"","#wt","#mut","pvalue","p_adj"
"DPYD",8,1,3.39495426071861e-06,0.0195549190520449
"PRMT10",9,0,8.08342030070185e-06,0.0195549190520449
"USP1",9,0,1.46065800413394e-05,0.0195549190520449
"OVOL1",9,0,1.46088421338989e-05,0.0195549190520449
"SIM1",8,1,1.49388228052291e-05,0.0195549190520449
"PAQR8",9,0,1.99027668424573e-05,0.0217106014973138
"CSRNP3",9,0,2.88436815005598e-05,0.0260231829342576
"ADRA2C",7,2,3.25881570281792e-05,0.0260231829342576
"GLYR1",9,0,3.57843615597125e-05,0.0260231829342576
"NFIA",9,0,4.41978404829148e-05,0.0260966957361153
"TCF21",9,0,4.73511527505604e-05,0.0260966957361153
"STK31",7,2,5.32533247809472e-05,0.0260966957361153
"BCAR1",8,1,5.3925112406743e-05,0.0260966957361153
"FOXO4",9,0,5.78237118628887e-05,0.0260966957361153
"ZNF609",8,1,5.98090811370099e-05,0.0260966957361153
"CCNE2",9,0,7.29918776063374e-05,0.0284306219697436
"MPP7",8,1,7.4230158340616e-05,0.0284306219697436
"CES5A",8,1,7.83563549315295e-05,0.0284306219697436
"SOX14",9,0,8.25335091558638e-05,0.0284306219697436
"POU4F1",8,1,0.00010249845207213,0.0326546063555915
"GSTP1",9,0,0.000104774138039331,0.0326546063555915
"PARP4",9,0,0.000113158534800512,0.0336646641031523
"ACVR2A",9,0,0.000129682624996979,0.0362619085141022
"PLCG1",9,0,0.000134457787441778,0.0362619085141022
"DNMT3B",9,0,0.000138509963766624,0.0362619085141022
"ARHGAP42",9,0,0.000161643603600803,0.0406906686756637
"TPM3P9",9,0,0.000220316593838275,0.053406374321167
"TMEM71",9,0,0.00024964128112114,0.0583536494620665
"PER1",8,1,0.000280730006874255,0.063357858448
"FAM58BP",9,0,0.000340155820432376,0.0742106614909967
"CD22",9,0,0.000366495768955672,0.0758722094116876
"SOX13",9,0,0.000370956562440642,0.0758722094116876
"ETV5",8,1,0.000411413352752221,0.0801065883626362
"ITGB6",9,0,0.000419195085126025,0.0801065883626362
"HOXA2",7,2,0.00042837747787506,0.0801065883626362
"CASC1",9,0,0.000463026192072562,0.0822212381758109
"POU3F2",9,0,0.000469986365301707,0.0822212381758109
"CTSB",9,0,0.000478812785545656,0.0822212381758109
"VPREB3",8,1,0.000496074665351526,0.0822212381758109
"OR6F1",9,0,0.000502498017881197,0.0822212381758109
"GPR158",8,1,0.000527196137839582,0.0841585054185382
"USP28",8,1,0.0006049118654671,0.0942654323686231
"GPR84",9,0,0.00070951380422091,0.0979044286792298
"CHRAC1",8,1,0.000715335507611874,0.0979044286792298
"SIRPG",9,0,0.00072059529239115,0.0979044286792298
"GRIA2",9,0,0.000722489676744139,0.0979044286792298
"KDM4A",9,0,0.000727912245778139,0.0979044286792298
"KBTBD6",9,0,0.000741165079300127,0.0979044286792298
"SGK223",8,1,0.000742419043412996,0.0979044286792298
"MEIS2",8,1,0.000764558593977417,0.0979044286792298
"PARP15",9,0,0.000772703386854912,0.0979044286792298
"LGALS9",9,0,0.000789798552420624,0.0979044286792298
"FOXL2",9,0,0.000807534077238511,0.0979044286792298
"GAS6",7,2,0.000807767631578061,0.0979044286792298
"CDK19",8,1,0.00082569949785541,0.0982582402447938
"HPD",9,0,0.00087507101676477,0.102273925084382
"CDC42",8,1,0.000903466410097638,0.103740134282264
"HIST1H1T",9,0,0.000986249544621573,0.110381998655508
"NUDT11",9,0,0.000995040171226119,0.110381998655508
"PATZ1",8,1,0.00101474949934677,0.110692257887077
"NNMT",9,0,0.00104981242439734,0.112639710125911
"SIRPA",9,0,0.00107961619909033,0.113969161662036
"MMP3",9,0,0.00112139579367529,0.116160943332293
"CCDC36",9,0,0.00114172730690836,0.116160943332293
"CAV1",9,0,0.00115362281384248,0.116160943332293
"GPR37",8,1,0.00120439337145258,0.118963999834135
"CDC20B",9,0,0.00121781329089183,0.118963999834135
"FAM46C",6,3,0.00127227167660057,0.120713049340423
"GMPR2",9,0,0.00127260510381806,0.120713049340423
"GPR87",9,0,0.00135298545792036,0.126504140315554
"OR5W2",8,1,0.00138375070661122,0.126939290335103
"GEM",9,0,0.00139642916793391,0.126939290335103
"FOXJ3",9,0,0.00149361920738621,0.132328605282273
"WDR78",8,1,0.00149615229807306,0.132328605282273
"RIPK3",9,0,0.00151851143684571,0.132515431388736
"ATP1A3",8,1,0.00154184063056741,0.132780880619259
"SOCS1",9,0,0.00159237156214641,0.132790621508603
"GPR20",9,0,0.00159903470913771,0.132790621508603
"ZNF92",8,1,0.0016036500011259,0.132790621508603
"HES1",9,0,0.00163373329047098,0.132790621508603
"NR1H4",9,0,0.00165477558559191,0.132790621508603
"RAG2",9,0,0.00167933775452917,0.132790621508603
"RAPGEF5",7,2,0.00168397579606021,0.132790621508603
"LRFN2",9,0,0.00175568895738664,0.136797431263042
"HOXA6",7,2,0.00180428955645639,0.138695866846548
"NFIX",8,1,0.00182243614191033,0.138695866846548
"PRRT1",9,0,0.0019230588363372,0.144671495216402
"ITGB5",8,1,0.00203071743151641,0.151034608969033
"CES3",9,0,0.00207299492836242,0.152446649507102
"BLZF1",9,0,0.00210875917563151,0.153353653383425
"LRFN1",9,0,0.00213903403008781,0.153584465663066
"OR2T4",9,0,0.00216051245797329,0.153584465663066
"NID2",9,0,0.00218233083371507,0.153584465663066
