"","#wt","#mut","pvalue","p_adj"
"COPS8",9,0,8.93507490218326e-13,5.84800652347894e-09
"XRCC5",9,0,1.64269708946563e-10,5.37572622527627e-07
"COPS3",9,0,4.3908510161117e-10,9.57937330015036e-07
"TFRC",8,1,2.78907397177619e-09,4.56362228631879e-06
"DDX39B",9,0,5.65867586121982e-09,6.17267225194729e-06
"ATP6V1G2-DDX39B",9,0,5.65867586121982e-09,6.17267225194729e-06
"WDR82",9,0,3.35976823029327e-08,3.14138329532421e-05
"SSRP1",9,0,5.5882471317048e-08,4.57188468462599e-05
"CDC40",9,0,7.57516405158754e-08,5.50882763529338e-05
"TTK",8,1,2.97612690380866e-07,0.000194787505854277
"UBE2I",9,0,4.3110109582134e-07,0.000230864676803999
"SLITRK3",8,1,4.40320033878727e-07,0.000230864676803999
"DTL",9,0,4.58554743842932e-07,0.000230864676803999
"EEF2",9,0,6.20509026383331e-07,0.000290087969834207
"TTC1",9,0,1.01856355139152e-06,0.000424174931351052
"DMAP1",9,0,1.07958534556474e-06,0.000424174931351052
"MMS22L",8,1,1.10175306844429e-06,0.000424174931351052
"UBL5",9,0,1.32867621660537e-06,0.000460960371039617
"POLD1",9,0,1.33815844916008e-06,0.000460960371039617
"TAF1",9,0,1.6870597195906e-06,0.000552090293236024
"UBR5",9,0,2.14768948836319e-06,0.00058040437158935
"AHCTF1",9,0,2.15093968847224e-06,0.00058040437158935
"RPS10",9,0,2.15796136748825e-06,0.00058040437158935
"RPS10-NUDT3",9,0,2.15796136748825e-06,0.00058040437158935
"KEAP1",9,0,2.21697620927941e-06,0.00058040437158935
"MED8",9,0,2.37440969819147e-06,0.000597711979794737
"SF3B4",8,1,2.57257664804111e-06,0.000623611635608484
"RFC4",8,1,2.98083716609998e-06,0.00069677068757587
"CARS",8,1,3.5729752863034e-06,0.000806383560305371
"CASP8AP2",9,0,3.77263568962505e-06,0.000823063352953198
"NEDD8-MDP1",9,0,4.60764094978305e-06,0.000972806774720325
"PAF1",9,0,4.91021211601606e-06,0.000989292012505971
"OGDH",7,2,4.98802695381162e-06,0.000989292012505971
"PLRG1",9,0,5.16629360514109e-06,0.00099451151898966
"FIP1L1",9,0,6.67804836440578e-06,0.00124879504414388
"PRPF6",7,2,7.34260118062657e-06,0.00133492568686669
"TLE3",9,0,7.58538202028092e-06,0.00133554457874488
"RNF40",9,0,7.75411672915283e-06,0.00133554457874488
"TOP2A",9,0,8.989010748639e-06,0.0015085403935857
"WDR70",6,3,1.06263007141338e-05,0.00173872845435014
"CERK",8,1,1.13277198454664e-05,0.00180829088752628
"ATP6AP1",9,0,1.5031304577362e-05,0.00234237829663891
"SMNDC1",9,0,1.59013875491443e-05,0.00238563174947013
"GNL3",9,0,1.60378605006395e-05,0.00238563174947013
"PRPF4B",9,0,1.70410179776148e-05,0.00247852139252198
"LOC341056",9,0,1.87719129954855e-05,0.00267091675120549
"RBMXL1",9,0,2.41584071649648e-05,0.00336418669988712
"SNRNP40",9,0,2.73773200573091e-05,0.00365599772394975
"EDC4",9,0,2.78108782745257e-05,0.00365599772394975
"EIF3I",9,0,2.82657069583525e-05,0.00365599772394975
"RANBP2",9,0,2.84882939528552e-05,0.00365599772394975
"RAE1",8,1,2.95881991613234e-05,0.00372413006751657
"FBXO5",9,0,3.11199530453887e-05,0.00384302061664281
"FTSJ3",9,0,3.27035714839941e-05,0.00387669063266503
"GEMIN5",8,1,3.28546184734657e-05,0.00387669063266503
"TBL3",9,0,3.31695455201286e-05,0.00387669063266503
"CLSPN",9,0,3.76447173520145e-05,0.00432253815910412
"TARDBP",9,0,3.96531065716133e-05,0.00447464797433119
"ASH2L",9,0,4.2964435013837e-05,0.00476613944348412
"UTP18",9,0,5.6947289684417e-05,0.00621200018307515
"FBXW7",9,0,5.92158076039295e-05,0.00635356493061834
"SEH1L",9,0,6.08663407212218e-05,0.00642532580678059
"KRAS",9,0,6.24833913842604e-05,0.00649133010492039
"BUD31",8,1,6.74620247697044e-05,0.0068990461268393
"DHX38",9,0,6.91538203415609e-05,0.00696325775593102
"TAF5",9,0,7.12345775951695e-05,0.00706409561152098
"ATP6V1B2",9,0,7.73728291121323e-05,0.00755828606774486
"UBA3",7,2,9.1100143623235e-05,0.00876838882373637
"PPP4C",9,0,0.000102332007391404,0.0096416375218914
