"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"CREBBP","CREBBP",2,0.604062817693197,7,"0.199244721452421",1,NA,NA
"WDR27","WDR27",2,0.749181520370017,7,"0.848056348071078",1,NA,NA
"TP53","TP53",2,0.751809688363753,7,"0.632605401472984",1,NA,NA
"MAP3K2","MAP3K2",2,0.858143736554491,7,"0.821636511915745",1,NA,NA
"MAP4K5","MAP4K5",3,0.894014377081444,6,"0.767597552508855",1,NA,NA
"HELZ","HELZ",2,0.901694131351173,7,"0.0938298650024569",1,NA,NA
"MACF1","MACF1",2,0.933312483349686,7,"0.631305731623289",1,NA,NA
"CHD7","CHD7",2,0.937592517695939,7,"0.959786802461799",1,NA,NA
"PTEN","PTEN",3,0.992297206268133,6,"0.834605985369056",1,NA,NA
"PIK3R1","PIK3R1",2,0.993910784387492,7,"0.774457387387308",1,NA,NA
"WDR70","WDR70",1,0.0041240494197845,8,"4.0262062794838e-08",0.597987165868752,NA,NA
"VAX2","VAX2",1,0.0149687105906441,8,"0.102368894975204",1,NA,NA
"DDX54","DDX54",1,0.0250496632283445,8,"0.0886567899312821",1,NA,NA
"HDAC5","HDAC5",1,0.0265770802946627,8,"0.0500325533751699",1,NA,NA
"CNGA3","CNGA3",1,0.031464814906881,8,"0.441508513424037",1,NA,NA
"RBM19","RBM19",1,0.0329922319731992,8,"0.00203666501100952",1,NA,NA
"GABRR1","GABRR1",1,0.0367344037856789,8,"0.484939715322378",1,NA,NA
"DDX10","DDX10",1,0.0411639132780017,8,"0.00868780867853225",1,NA,NA
"GAB1","GAB1",1,0.0473715958637334,8,"0.906849668136109",1,NA,NA
"VAT1L","VAT1L",1,0.0490301111695407,8,"0.0341144429208294",1,NA,NA
"CR2","CR2",1,0.0587292095406615,8,"0.690286970517353",1,NA,NA
"DICER1","DICER1",1,0.0693447581515733,8,"0.442284188209619",1,NA,NA
"OGT","OGT",1,0.0705666918046278,8,"0.000837468969269728",1,NA,NA
"ITGA4","ITGA4",1,0.0876374920453358,8,"0.269342755715834",1,NA,NA
"KSR1","KSR1",1,0.0906522262267127,8,"0.563929666228807",1,NA,NA
"ARHGAP26","ARHGAP26",1,0.0949289940124037,8,"0.164832794091883",1,NA,NA
"SMPD2","SMPD2",1,0.0971437487585652,8,"0.132196893260737",1,NA,NA
"ROS1","ROS1",1,0.106613734569738,8,"0.211479950614006",1,NA,NA
"MYO7A","MYO7A",1,0.107301072249581,8,"0.826338668448792",1,NA,NA
"FPGT-TNNI3K","FPGT-TNNI3K",1,0.108496295949657,8,"0.156505198372235",1,NA,NA
"OR2W3","OR2W3",1,0.112341548568432,8,"0.0182599830542292",1,NA,NA
"SP140L","SP140L",1,0.14357722757464,8,"0.792336604102287",1,NA,NA
"SSH2","SSH2",1,0.152588988265917,8,"0.224003720664936",1,NA,NA
"ITGB5","ITGB5",1,0.154574630452131,8,"0.997969282568484",1,NA,NA
"MRE11A","MRE11A",1,0.156102047518449,8,"0.0028260879615275",1,NA,NA
"ITGAD","ITGAD",1,0.163357278583461,8,"0.714656880820122",1,NA,NA
"KIF13B","KIF13B",1,0.176034840233902,8,"0.816066098065166",1,NA,NA
"AKR1B1","AKR1B1",1,0.177796424672074,8,"0.944791703374139",1,NA,NA
"FGF10","FGF10",1,0.177796424672074,8,"0.00511646676401367",1,NA,NA
"VPREB3","VPREB3",1,0.185428455191759,8,"0.999503925334648",1,NA,NA
"HMHA1","HMHA1",1,0.190927156630505,8,"0.621885370558356",1,NA,NA
"JARID2","JARID2",1,0.231480079741254,8,"0.593442051977355",1,NA,NA
"KIF15","KIF15",1,0.238506198246318,8,"0.614889803714045",1,NA,NA
