"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"FOXK1","FOXK1",2,0.0032397165620243,9,"0.607128129365313",1,NA,NA
"RAPGEF5","RAPGEF5",2,0.00790105845573627,9,"0.000142021671340486",1,NA,NA
"ARHGEF2","ARHGEF2",2,0.0120294396814962,9,"0.177026020791171",1,NA,NA
"GPT2","GPT2",2,0.0144113430011443,9,"0.994629068296633",1,NA,NA
"HOXA5","HOXA5",2,0.0160776178578241,9,"0.00258302750949612",1,NA,NA
"TNS3","TNS3",2,0.0190373856341362,9,"0.943095276574532",1,NA,NA
"C3orf43","C3orf43",2,0.0198049758470302,9,"0.903475158920397",1,NA,NA
"UTS2D","UTS2D",2,0.0198810463404839,9,"0.0927780350012396",1,NA,NA
"PHKB","PHKB",2,0.0241382176505328,9,"0.585452409807847",1,NA,NA
"GLI3","GLI3",2,0.025018669798266,9,"0.594627862163221",1,NA,NA
"HOXA11","HOXA11",2,0.0501526042534036,9,"0.409245633364686",1,NA,NA
"RXFP4","RXFP4",2,0.0502009907405653,9,"0.767928321813757",1,NA,NA
"GPNMB","GPNMB",2,0.0513937473938192,9,"0.0240122251233134",1,NA,NA
"OR2T29","OR2T29",3,0.0527252283894699,8,"0.0322055117284992",1,NA,NA
"GPR160","GPR160",2,0.059027908439617,9,"0.107333176787781",1,NA,NA
"WWP2","WWP2",2,0.0689658254969604,9,"0.937953284807108",1,NA,NA
"TWIST1","TWIST1",2,0.0691361113996192,9,"0.198305316966557",1,NA,NA
"TMEM207","TMEM207",2,0.0848491064846434,9,"0.0629906152758657",1,NA,NA
"LRRC33","LRRC33",2,0.0857955475408147,9,"0.0312951791918515",1,NA,NA
"HDAC9","HDAC9",2,0.0894075992612749,9,"0.226475573997316",1,NA,NA
"ACTB","ACTB",2,0.0897631926854141,9,"0.805920831354859",1,NA,NA
"LEPREL1","LEPREL1",2,0.102307823492288,9,"0.110572579459451",1,NA,NA
"CLCN2","CLCN2",2,0.115746128562544,9,"0.715859385285559",1,NA,NA
"MFN1","MFN1",2,0.116371632945444,9,"5.75024165781774e-05",1,NA,NA
"CAMK2B","CAMK2B",2,0.12192612550667,9,"0.409650325057565",1,NA,NA
"DDX19A","DDX19A",2,0.126993539499053,9,"0.722209436613257",1,NA,NA
"JAZF1","JAZF1",2,0.12935220272659,9,"0.819180971377526",1,NA,NA
"MEOX2","MEOX2",3,0.134343079244064,8,"0.260082662169336",1,NA,NA
"AKTIP","AKTIP",2,0.142733188685813,9,"0.625593994335134",1,NA,NA
"TBL1XR1","TBL1XR1",2,0.145315429420366,9,"0.878716479245548",1,NA,NA
"ARL4A","ARL4A",3,0.147729267758532,8,"0.0509799671041853",1,NA,NA
"KIAA0226","KIAA0226",2,0.153454796032555,9,"0.0284267816075897",1,NA,NA
"MASP1","MASP1",2,0.157200572473546,9,"0.00521914859036112",1,NA,NA
"KLHL7","KLHL7",2,0.162207197098652,9,"0.0496158205792274",1,NA,NA
"IL6","IL6",2,0.162337719872533,9,"0.392304588221305",1,NA,NA
"MYNN","MYNN",2,0.168975180719493,9,"0.00817247690488085",1,NA,NA
"GRB10","GRB10",2,0.176108037262095,9,"0.571639817092158",1,NA,NA
"PIGZ","PIGZ",2,0.176833974499783,9,"0.163320889313535",1,NA,NA
"MAP3K13","MAP3K13",2,0.184453679195107,9,"0.826221649859284",1,NA,NA
"CFHR3","CFHR3",9,0.18814819994237,2,"0.163733228997978",1,NA,NA
"CHIC2","CHIC2",2,0.188417553484739,9,"0.298396266115984",1,NA,NA
"IKZF1","IKZF1",2,0.19394263259789,9,"0.870225865545031",1,NA,NA
"HES1","HES1",2,0.19795859408983,9,"0.151976967955624",1,NA,NA
"DGKB","DGKB",3,0.199388707110936,8,"0.619650463824397",1,NA,NA
"HOXA6","HOXA6",2,0.200707148746832,9,"0.0144266568053733",1,NA,NA
"HOXA10","HOXA10",2,0.212637266120706,9,"0.324358597392379",1,NA,NA
"HOXA3","HOXA3",2,0.221137396542791,9,"0.107893187724707",1,NA,NA
"CBX3","CBX3",2,0.225116718202883,9,"0.827910238556875",1,NA,NA
"ATP13A5","ATP13A5",2,0.227737768397804,9,"0.428666645747234",1,NA,NA
"PRKCI","PRKCI",2,0.230633258489789,9,"0.00109239764700886",1,NA,NA
"PGAM2","PGAM2",2,0.234696743229299,9,"0.572286656822131",1,NA,NA
"TP63","TP63",2,0.24069951342316,9,"0.739715116720334",1,NA,NA
"LRRIQ4","LRRIQ4",2,0.243143147478891,9,"0.150962014473019",1,NA,NA
"C1QTNF1","C1QTNF1",2,0.245064165520579,9,"0.9688861541465",1,NA,NA
"MFI2","MFI2",2,0.249575936787654,9,"0.781068240761054",1,NA,NA
"ETV1","ETV1",3,0.252794151924436,8,"0.00435823223433639",1,NA,NA
"TNFSF10","TNFSF10",2,0.260704431311692,9,"0.0660257615612988",1,NA,NA
"EGFR","EGFR",4,0.266087929330695,7,"0.0564997174014577",1,NA,NA
"TBX20","TBX20",2,0.274164082873579,9,"0.282930137297619",1,NA,NA
"VWC2","VWC2",2,0.276885297620826,9,"0.275106410894213",1,NA,NA
"AGR2","AGR2",3,0.282147490917791,8,"0.87680346011736",1,NA,NA
"ADCY1","ADCY1",2,0.282655073685523,9,"0.547452475243218",1,NA,NA
"SERPINI2","SERPINI2",2,0.28380466093308,9,"0.158307477963329",1,NA,NA
"BMPER","BMPER",2,0.294255931291346,9,"0.932032905246316",1,NA,NA
"GSTT1","GSTT1",2,0.296133718775138,9,"0.641548043749527",1,NA,NA
"PIK3CA","PIK3CA",2,0.298784462243008,9,"0.677297992980268",1,NA,NA
"NDUFB5","NDUFB5",2,0.302396548773126,9,"0.553767369280633",1,NA,NA
"ARHGEF5","ARHGEF5",3,0.307085217159608,8,"0.69349738444757",1,NA,NA
"WDR49","WDR49",2,0.310648240522714,9,"0.190884886469862",1,NA,NA
"LOC646214","LOC646214",3,0.312028908050494,8,"0.907998456282966",1,NA,NA
"IQCG","IQCG",2,0.313121232485793,9,"0.435589799421057",1,NA,NA
"SENP2","SENP2",2,0.314391683868117,9,"0.577182798733203",1,NA,NA
"CDK13","CDK13",2,0.316150345297168,9,"0.963716716639819",1,NA,NA
"HRASLS","HRASLS",2,0.31974345284161,9,"0.0142443379364317",1,NA,NA
"FNDC3B","FNDC3B",2,0.330955188830491,9,"0.81383590439308",1,NA,NA
"ETV5","ETV5",2,0.333881914882893,9,"2.79918431641015e-05",1,NA,NA
"HECW1","HECW1",2,0.348453738051464,9,"0.855176888022046",1,NA,NA
"DLG1","DLG1",2,0.352610143333662,9,"0.191387164172644",1,NA,NA
"MYLK3","MYLK3",2,0.353123403998968,9,"0.165086827607705",1,NA,NA
"TRIL","TRIL",2,0.355308926236687,9,"0.922703350110789",1,NA,NA
"OR2T34","OR2T34",4,0.360056797810405,7,"0.207043428463275",1,NA,NA
"RTP2","RTP2",2,0.36418361432689,9,"0.835917510699357",1,NA,NA
"PPAT","PPAT",2,0.376540201517541,9,"0.931796170460218",1,NA,NA
"CLOCK","CLOCK",2,0.382728979041059,9,"0.282104847759879",1,NA,NA
