"","#wt","#mut","pvalue","p_adj"
"GPT2",9,2,0.00183630719271187,0.954961635333744
"TNS3",9,2,0.00695547371912022,0.954961635333744
"UBR5",10,1,0.00899000891326741,0.954961635333744
"C3orf43",9,2,0.00980129887238528,0.954961635333744
"PRKD2",10,1,0.0120416275579231,0.954961635333744
"HNRNPUL1",10,1,0.0135118120910615,0.954961635333744
"FOXK1",9,2,0.0155752658123429,0.954961635333744
"TNFRSF10A",10,1,0.0166388147173388,0.954961635333744
"GPT",10,1,0.0193709550280733,0.954961635333744
"CD79A",10,1,0.0194662439450286,0.954961635333744
"WWP2",9,2,0.0201369121385545,0.954961635333744
"FCGBP",10,1,0.0207517506984706,0.954961635333744
"ACAD9",10,1,0.0215794220995,0.954961635333744
"HTR1B",10,1,0.0234426695979181,0.954961635333744
"NDUFC2",10,1,0.0235658523438164,0.954961635333744
"AHCY",10,1,0.0263180433775112,0.954961635333744
"WDR24",10,1,0.0286350678352749,0.954961635333744
"ENPP7",10,1,0.0290069322291826,0.954961635333744
"BCHE",10,1,0.0293490776120197,0.954961635333744
"JMJD8",10,1,0.029458796017406,0.954961635333744
"SRSF2",10,1,0.0296690494596386,0.954961635333744
"MTHFSD",10,1,0.0322906174189366,0.954961635333744
"NCSTN",10,1,0.0330884363487546,0.954961635333744
"RXFP4",9,2,0.0336153976263317,0.954961635333744
"GLI3",9,2,0.034087494508921,0.954961635333744
"PHKB",9,2,0.0341956756618745,0.954961635333744
"FAM91A1",10,1,0.0342915919569205,0.954961635333744
"TSNARE1",10,1,0.0359189692857871,0.954961635333744
"KCNS2",10,1,0.0373411180707473,0.954961635333744
"KIAA1875",10,1,0.0374975816067925,0.954961635333744
"STK35",10,1,0.0382753646581347,0.954961635333744
"SNAPC4",10,1,0.0387453496645864,0.954961635333744
"REM1",10,1,0.0403146549480647,0.954961635333744
"IL8",10,1,0.0409885777301752,0.954961635333744
"CYP11B1",10,1,0.0417728280779909,0.954961635333744
"PHGDH",10,1,0.0441892965243678,0.954961635333744
"SLC23A2",10,1,0.0449819299250203,0.954961635333744
"WIPI2",9,2,0.0460848937819707,0.954961635333744
"CALM3",10,1,0.0462411517424725,0.954961635333744
"IGSF8",10,1,0.0487143666153577,0.954961635333744
"LGALS16",10,1,0.0489236606884605,0.954961635333744
"ACTB",9,2,0.0495144268184155,0.954961635333744
"ALDH3A1",10,1,0.0497472992551118,0.954961635333744
"FUK",10,1,0.0500850463719987,0.954961635333744
"MRGPRF",10,1,0.050118921396706,0.954961635333744
"ASH1L",10,1,0.0512709624052554,0.954961635333744
"MAN1B1",10,1,0.0520694300666284,0.954961635333744
"EPB41L1",10,1,0.0535254939763184,0.954961635333744
"CDK3",10,1,0.0576206173221363,0.954961635333744
"TEN1-CDK3",10,1,0.0576206173221363,0.954961635333744
"MBD6",10,1,0.0624465362688755,0.954961635333744
"TBL1XR1",9,2,0.063734718693765,0.954961635333744
"ITPKC",10,1,0.064404491022703,0.954961635333744
"FAM22D",10,1,0.0645347901877826,0.954961635333744
"NKX2-8",10,1,0.0649428956842629,0.954961635333744
"ZNF367",10,1,0.066413068147948,0.954961635333744
"AANAT",10,1,0.0671249567484874,0.954961635333744
"MLLT11",10,1,0.0675489824864621,0.954961635333744
"JAZF1",9,2,0.0691019807755545,0.954961635333744
"DUSP23",10,1,0.0692187886165331,0.954961635333744
"ARHGEF2",9,2,0.0705151519262028,0.954961635333744
"CHRM5",10,1,0.0714210382595628,0.954961635333744
"C1QTNF1",9,2,0.0724960240439007,0.954961635333744
"ALB",10,1,0.0725525816135059,0.954961635333744
"OR13G1",10,1,0.0765686772439609,0.954961635333744
"NRAS",10,1,0.0773625610084992,0.954961635333744
"OR2T2",10,1,0.0777398208227625,0.954961635333744
"OR2T35",10,1,0.0777398208227625,0.954961635333744
"SPAG1",10,1,0.0777875352189793,0.954961635333744
"FOXH1",10,1,0.0785170122985677,0.954961635333744
"HOXA11",9,2,0.0786173433346144,0.954961635333744
"CEBPG",10,1,0.080521540076168,0.954961635333744
"CLCN2",9,2,0.0812626324033411,0.954961635333744
"JMJD6",10,1,0.0856089425236959,0.954961635333744
"FANCC",10,1,0.0870663866666733,0.954961635333744
"METRNL",10,1,0.0876111551613921,0.954961635333744
"DDX19A",9,2,0.0878431874620169,0.954961635333744
"MAFG",10,1,0.0883845643539295,0.954961635333744
"LY6K",10,1,0.0887123679633899,0.954961635333744
"INPP5E",10,1,0.08995481522211,0.954961635333744
"HAPLN2",10,1,0.09099108011675,0.954961635333744
"MRGPRD",10,1,0.0916494545991684,0.954961635333744
"IKZF1",9,2,0.0932082365812215,0.954961635333744
"CD84",10,1,0.0942207624054943,0.954961635333744
"OGDH",9,2,0.0944488545946233,0.954961635333744
"PAK1",10,1,0.0952931051009186,0.954961635333744
"NCBP2",9,2,0.0955291896740867,0.954961635333744
"HEATR2",10,1,0.0977212663655756,0.954961635333744
"VAT1L",10,1,0.097934724863802,0.954961635333744
"BAIAP2",10,1,0.0997342112668704,0.954961635333744
"SDK1",10,1,0.0997695618751603,0.954961635333744
"MAP3K13",9,2,0.101100743516463,0.954961635333744
"AGAP2",10,1,0.102704056309113,0.954961635333744
"TMEM203",10,1,0.1028847213325,0.954961635333744
"SBK1",10,1,0.103092771433208,0.954961635333744
"GALR2",10,1,0.10316520826206,0.954961635333744
"LILRA4",10,1,0.103269400947251,0.954961635333744
"SHKBP1",10,1,0.103350996328158,0.954961635333744
"FOXK2",10,1,0.104352057197675,0.954961635333744
"C8orf33",10,1,0.104969813084503,0.954961635333744
"AKAP1",10,1,0.105705391076958,0.954961635333744
"SHC1",10,1,0.107192367517297,0.954961635333744
"HPN",10,1,0.10884021878964,0.954961635333744
"MUC1",10,1,0.109203101342883,0.954961635333744
"ADAR",10,1,0.110007347089617,0.954961635333744
"UBE2Q1",10,1,0.110434840708227,0.954961635333744
"CDC25B",10,1,0.111255139006509,0.954961635333744
"CDK13",9,2,0.111515862143858,0.954961635333744
"OR2G2",10,1,0.111642949487072,0.954961635333744
"HCK",10,1,0.112031726142978,0.954961635333744
"UTS2D",9,2,0.114045913819415,0.954961635333744
"DLC1",10,1,0.114579936500007,0.954961635333744
"PYGO2",10,1,0.115628378063677,0.954961635333744
"MLL4",10,1,0.115918629129747,0.954961635333744
"MAFK",10,1,0.11609105623256,0.954961635333744
"OR2W5",10,1,0.118204343762068,0.954961635333744
"CES5A",10,1,0.118304223371069,0.954961635333744
"SETDB1",10,1,0.118839592802633,0.954961635333744
"DCAF8",10,1,0.119175694106769,0.954961635333744
"FFAR1",10,1,0.119562787807611,0.954961635333744
"AKTIP",9,2,0.120872119684927,0.954961635333744
"COLEC10",10,1,0.122394471453106,0.954961635333744
"CD48",10,1,0.122537792923532,0.954961635333744
"PTCH1",10,1,0.12271711029776,0.954961635333744
"BMPER",9,2,0.124126976909699,0.954961635333744
"GABRR3",10,1,0.124484163997868,0.954961635333744
"HSD17B3",10,1,0.125678987502555,0.954961635333744
"LOC646214",8,3,0.127158718545923,0.954961635333744
"CBX3",9,2,0.127733184965503,0.954961635333744
"FGF3",10,1,0.128589728627654,0.954961635333744
"FOXS1",10,1,0.128595024626679,0.954961635333744
"AGR2",8,3,0.129589813061479,0.954961635333744
"SPECC1",10,1,0.131638405389475,0.954961635333744
