"","#wt","#mut","pvalue","p_adj"
"AHCTF1",10,1,0.00152732429221051,0.872882862008346
"RANBP2",10,1,0.0021968311180258,0.872882862008346
"PWWP2B",9,2,0.0039254564542651,0.872882862008346
"OR51B2",10,1,0.0156312617484252,0.872882862008346
"CAMK2A",10,1,0.0158904038580109,0.872882862008346
"ZNF165",9,2,0.0171276657079978,0.872882862008346
"PNPLA7",10,1,0.0180847074690114,0.872882862008346
"WDR70",10,1,0.0196075217301643,0.872882862008346
"EGLN2",10,1,0.0233061268663777,0.872882862008346
"PLK1",10,1,0.0234412729131184,0.872882862008346
"AIRE",10,1,0.0247722504786951,0.872882862008346
"ARID1B",9,2,0.0263030138771328,0.872882862008346
"CSRP2BP",10,1,0.0276472655532998,0.872882862008346
"WDR24",10,1,0.0286350678352749,0.872882862008346
"CHTF18",9,2,0.0288282076628236,0.872882862008346
"KCTD21",10,1,0.0294773973953354,0.872882862008346
"NAV2",10,1,0.030774120869912,0.872882862008346
"SPAG16",9,2,0.0312065363299823,0.872882862008346
"STARD9",10,1,0.031253987079571,0.872882862008346
"ZFHX3",10,1,0.033639346054458,0.872882862008346
"GPR19",10,1,0.0346515454136912,0.872882862008346
"TP53",5,6,0.0347808884663529,0.872882862008346
"GLTSCR2",10,1,0.0351767337391001,0.872882862008346
"FKBP15",9,2,0.0370708128420244,0.872882862008346
"NOMO2",10,1,0.0375429734717666,0.872882862008346
"POU2F2",10,1,0.0385002898012957,0.872882862008346
"SLIT2",8,3,0.0399392448973256,0.872882862008346
"BLNK",9,2,0.0439968077669114,0.872882862008346
"INTS4",10,1,0.0450225776405739,0.872882862008346
"TRIP12",10,1,0.0461971797662933,0.872882862008346
"ZNF444",10,1,0.0470904616128756,0.872882862008346
"ALS2CL",10,1,0.0477537935041043,0.872882862008346
"BRWD3",10,1,0.0477838937402443,0.872882862008346
"SH3TC2",10,1,0.0495687730424852,0.872882862008346
"WNT5B",10,1,0.0501997740158904,0.872882862008346
"ERI1",10,1,0.0505924661001083,0.872882862008346
"FER",10,1,0.0514942908386439,0.872882862008346
"CDH16",10,1,0.0532623609620531,0.872882862008346
"BRCA2",10,1,0.0537868988869823,0.872882862008346
"NGB",10,1,0.0541407051858994,0.872882862008346
"PIK3CG",10,1,0.0557698629145431,0.872882862008346
"GPT2",10,1,0.0560313476579001,0.872882862008346
"ZNF3",10,1,0.0582873120119264,0.872882862008346
"MCAM",10,1,0.0620414472842895,0.872882862008346
"ERBB4",10,1,0.0621031599691146,0.872882862008346
"CTAG2",10,1,0.0624186399158808,0.872882862008346
"DPF3",10,1,0.0630939641632773,0.872882862008346
"SLC19A1",10,1,0.0633694446956556,0.872882862008346
"WDR60",10,1,0.0641666679771002,0.872882862008346
"CLP1",10,1,0.0648470666690824,0.872882862008346
"FN1",10,1,0.064949288191826,0.872882862008346
"SEMA4B",10,1,0.0651348834671949,0.872882862008346
"BUB1",10,1,0.0651412906370558,0.872882862008346
"NDST4",10,1,0.0654108336600704,0.872882862008346
"BIRC6",10,1,0.0656200016852031,0.872882862008346
"IFT80",10,1,0.0658975436111222,0.872882862008346
"ATP10B",10,1,0.0685830883147792,0.872882862008346
"SIRPG",10,1,0.0693632856400894,0.872882862008346
"CABP5",10,1,0.069376739026809,0.872882862008346
"NCOA1",10,1,0.069974065804083,0.872882862008346
"ACTRT3",10,1,0.0700790883737868,0.872882862008346
"SOX11",10,1,0.070968124656407,0.872882862008346
"DLK1",10,1,0.0712938620227525,0.872882862008346
"FGD5",9,2,0.0713593079564531,0.872882862008346
"FASN",10,1,0.0714657631127962,0.872882862008346
"HNRNPD",10,1,0.0726849615928232,0.872882862008346
"RUNX3",10,1,0.0744831389609598,0.872882862008346
"PKN3",10,1,0.0746288742413013,0.872882862008346
"IL2RB",9,2,0.0753543857696223,0.872882862008346
"DUSP27",10,1,0.0759358811993248,0.872882862008346
"FOXN1",10,1,0.0782216521891921,0.872882862008346
"VCAN",10,1,0.0782769679267912,0.872882862008346
"NKX6-1",10,1,0.0796134619731538,0.872882862008346
"SET",10,1,0.0809936425868652,0.872882862008346
"NPY1R",10,1,0.0814944476779849,0.872882862008346
"MCL1",10,1,0.0820090465506557,0.872882862008346
"ARHGEF1",10,1,0.082303652912182,0.872882862008346
"ADAM23",10,1,0.0826028972112341,0.872882862008346
"TIAM1",10,1,0.0832038414515629,0.872882862008346
"SEMA6D",10,1,0.0836373116934544,0.872882862008346
"CDYL2",10,1,0.0838818831615335,0.872882862008346
"SUV420H1",10,1,0.0839129782485469,0.872882862008346
"CEACAM3",10,1,0.0846149081992394,0.872882862008346
"SKP2",10,1,0.0864406501950486,0.872882862008346
"ADAR",10,1,0.086659473480637,0.872882862008346
"GRB7",10,1,0.0879126649308719,0.872882862008346
"PTPN11",10,1,0.0882997257546745,0.872882862008346
"VPREB3",10,1,0.090751793712852,0.872882862008346
"PDE1C",10,1,0.0908095096999236,0.872882862008346
"SEMA3E",10,1,0.0960688459418109,0.872882862008346
"CDC42BPG",10,1,0.0969746836876178,0.872882862008346
"VAT1L",10,1,0.097934724863802,0.872882862008346
"PKD1",7,4,0.0987374159089621,0.872882862008346
"CADM2",10,1,0.0999818577627793,0.872882862008346
"TTN",6,5,0.10014423243797,0.872882862008346
"RAB3GAP2",10,1,0.100150159151025,0.872882862008346
"MLH3",10,1,0.100260996485335,0.872882862008346
"SLC12A7",10,1,0.101678667207422,0.872882862008346
"KIF27",10,1,0.101884941432559,0.872882862008346
"CBL",10,1,0.10239295125439,0.872882862008346
"KLHL21",10,1,0.102898280511694,0.872882862008346
"PDE7A",10,1,0.103696026154131,0.872882862008346
"MAGEB4",10,1,0.103732393639808,0.872882862008346
"STEAP1B",10,1,0.103996334664784,0.872882862008346
"C4BPA",10,1,0.10535552818528,0.872882862008346
"SVEP1",10,1,0.105617846708683,0.872882862008346
"MAP3K10",10,1,0.106922582108058,0.872882862008346
"EFNB3",10,1,0.106983008618142,0.872882862008346
"MSH6",10,1,0.10845942178042,0.872882862008346
"GRIN2B",10,1,0.108713179792947,0.872882862008346
"LRIT3",10,1,0.109311663259609,0.872882862008346
"OPA1",10,1,0.10996940519783,0.872882862008346
"SOX8",10,1,0.11123601289204,0.872882862008346
"TAP2",10,1,0.112228882873686,0.872882862008346
