"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"AHCTF1","AHCTF1",-1,-1,9,"1.77635683940025e-15",1.1628031870714e-11,NA,NA
"TFRC","TFRC",-1,-1,9,"3.0684477181353e-10",2.00829903151955e-06,NA,NA
"UTP15","UTP15",-1,-1,11,"9.35393978940269e-08",0.000612121819818512,NA,NA
"PLRG1","PLRG1",-1,-1,11,"1.18344287147742e-07",0.000774326670807676,NA,NA
"MED12","MED12",-1,-1,10,"1.3743364324359e-07",0.000899090894099566,NA,NA
"COPS8","COPS8",-1,-1,11,"1.56945451079693e-07",0.00102658019551227,NA,NA
"NAA15","NAA15",-1,-1,11,"3.24907446391798e-07",0.00212489469940236,NA,NA
"RANBP2","RANBP2",-1,-1,10,"1.66779962518238e-06",0.0109057417490676,NA,NA
"TTC1","TTC1",-1,-1,11,"4.4401007889272e-06",0.029029378958006,NA,NA
"SNRNP40","SNRNP40",-1,-1,11,"4.86252662224018e-06",0.0317863365295841,NA,NA
"CDK7","CDK7",-1,-1,11,"5.5108123746539e-06",0.0360186696807379,NA,NA
"TTK","TTK",-1,-1,10,"5.87582601840886e-06",0.0383985230303019,NA,NA
"XAF1","XAF1",-1,-1,11,"5.89359565839054e-06",0.0385087540319238,NA,NA
"CDK12","CDK12",-1,-1,11,"7.06607259626235e-06",0.0461626522713819,NA,NA
"VPRBP","VPRBP",-1,-1,11,"7.90354644342184e-06",0.0516259653684315,NA,NA
"GEMIN5","GEMIN5",-1,-1,11,"8.81280908893167e-06",0.0575564561598127,NA,NA
"UBA3","UBA3",-1,-1,11,"1.20875359714834e-05",0.0789316098937866,NA,NA
"ASH2L","ASH2L",-1,-1,11,"1.48262034009861e-05",0.0968002820050382,NA,NA
"UBE2I","UBE2I",-1,-1,11,"1.82755796397371e-05",0.119302983888204,NA,NA
"CCDC91","CCDC91",-1,-1,11,"2.38652011631535e-05",0.155768167991903,NA,NA
