"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"CBX5","CBX5",-1,-1,11,"1.00425888161688e-09",6.5738786390641e-06,NA,NA
"GSTP1","GSTP1",-1,-1,10,"2.66044261712746e-07",0.00174125969290992,NA,NA
"ATF1","ATF1",-1,-1,11,"1.81174812179695e-06",0.0118560797090392,NA,NA
"ITGB6","ITGB6",-1,-1,11,"4.77473387618682e-06",0.0312410837518904,NA,NA
"SNAI2","SNAI2",-1,-1,11,"8.91315163800784e-06",0.0583098380158473,NA,NA
"TCF19","TCF19",-1,-1,11,"1.59262938260592e-05",0.104173887916253,NA,NA
"CAPZA2","CAPZA2",-1,-1,11,"1.7966703310812e-05",0.11750223965271,NA,NA
"MAP4K3","MAP4K3",-1,-1,11,"1.84784988549646e-05",0.120830904012614,NA,NA
"TFE3","TFE3",-1,-1,11,"1.91433984564666e-05",0.125159539108379,NA,NA
"PFDN4","PFDN4",-1,-1,11,"2.47254171613796e-05",0.161630051983938,NA,NA
"ETV5","ETV5",-1,-1,8,"3.306039516258e-05",0.216082742782623,NA,NA
"ANGEL1","ANGEL1",-1,-1,11,"3.88063910475972e-05",0.253599765496048,NA,NA
"CDC20B","CDC20B",-1,-1,11,"5.19770761192973e-05",0.339618215363489,NA,NA
"MFN1","MFN1",-1,-1,9,"5.75024165781774e-05",0.375663287505233,NA,NA
"HIST1H1T","HIST1H1T",-1,-1,10,"6.51718953380424e-05",0.425702820348093,NA,NA
"SPRYD4","SPRYD4",-1,-1,10,"6.55175877683819e-05",0.427895365715302,NA,NA
"OR6S1","OR6S1",-1,-1,11,"6.65299223865892e-05",0.434440393184427,NA,NA
"GAB1","GAB1",-1,-1,11,"6.8785353940915e-05",0.449099575880234,NA,NA
"PA2G4P4","PA2G4P4",-1,-1,11,"8.20447090450794e-05",0.535587860646278,NA,NA
"CETN2","CETN2",-1,-1,11,"8.53101428833861e-05",0.556819302599861,NA,NA
"EGOT","EGOT",-1,-1,11,"0.000131244304130601",0.856500328756302,NA,NA
"MXD1","MXD1",-1,-1,11,"0.000137838427436419",0.899395739022634,NA,NA
"NFIX","NFIX",-1,-1,11,"0.000143315970664563",0.934993392615609,NA,NA
"RDX","RDX",-1,-1,10,"0.000143599559030086",0.936699923553251,NA,NA
"ATRNL1","ATRNL1",-1,-1,11,"0.000147204978883472",0.960070872278004,NA,NA
"SLC39A4","SLC39A4",-1,-1,9,"0.000149947198011599",0.977805678233637,NA,NA
"SEMA6C","SEMA6C",-1,-1,10,"0.00015663834292289",1,NA,NA
"PRRT1","PRRT1",-1,-1,11,"0.000173883370855671",1,NA,NA
"SERPINB11","SERPINB11",-1,-1,10,"0.000177091417431131",1,NA,NA
"NPR3","NPR3",-1,-1,11,"0.00017772014976728",1,NA,NA
"SGMS2","SGMS2",-1,-1,10,"0.000208116711912747",1,NA,NA
"REXO4","REXO4",-1,-1,11,"0.000213650338233188",1,NA,NA
"ACAP2","ACAP2",-1,-1,9,"0.000242627655429646",1,NA,NA
"ABCA10","ABCA10",-1,-1,11,"0.000244893677568385",1,NA,NA
"GPR37","GPR37",-1,-1,10,"0.000252169400354606",1,NA,NA
"ARHGEF33","ARHGEF33",-1,-1,11,"0.000254064153582522",1,NA,NA
"HCAR1","HCAR1",-1,-1,11,"0.000258074617485235",1,NA,NA
"MUC20","MUC20",-1,-1,10,"0.000273259654113729",1,NA,NA
"TTC39C","TTC39C",-1,-1,10,"0.000287347634323778",1,NA,NA
"PRKG2","PRKG2",-1,-1,10,"0.000312308566868182",1,NA,NA
"FGFR1","FGFR1",-1,-1,11,"0.00031750289301522",1,NA,NA
"MCF2L2","MCF2L2",-1,-1,9,"0.000336599881493829",1,NA,NA
"UBASH3B","UBASH3B",-1,-1,11,"0.000378426338749419",1,NA,NA
"HLF","HLF",-1,-1,11,"0.000385466472941595",1,NA,NA
"PITX3","PITX3",-1,-1,11,"0.000391022815291167",1,NA,NA
"RASL11A","RASL11A",-1,-1,11,"0.000468021115734841",1,NA,NA
"AHI1","AHI1",-1,-1,8,"0.000468188866113384",1,NA,NA
"DPYD","DPYD",-1,-1,11,"0.000500897541463081",1,NA,NA
"LRRC34","LRRC34",-1,-1,9,"0.000501701320018326",1,NA,NA
"F2RL2","F2RL2",-1,-1,11,"0.000531074865886053",1,NA,NA
"FOXN2","FOXN2",-1,-1,10,"0.000541044974075352",1,NA,NA
"RAPGEF5","RAPGEF5",-1,-1,7,"0.000578554020593113",1,NA,NA
"SLC2A4RG","SLC2A4RG",-1,-1,11,"0.000579855243966613",1,NA,NA
"CDKL5","CDKL5",-1,-1,11,"0.000582889830273074",1,NA,NA
"SGK1","SGK1",-1,-1,10,"0.000583505852676298",1,NA,NA
"CBFA2T2","CBFA2T2",-1,-1,10,"0.00060184279012893",1,NA,NA
"GLYR1","GLYR1",-1,-1,11,"0.000622436227761139",1,NA,NA
"LPAR3","LPAR3",-1,-1,11,"0.000638952944314172",1,NA,NA
"DNAJC2","DNAJC2",-1,-1,11,"0.000644336657756186",1,NA,NA
"OLR1","OLR1",-1,-1,11,"0.000670572003401582",1,NA,NA
"RABGGTA","RABGGTA",-1,-1,11,"0.000692638600187542",1,NA,NA
"CYP2B6","CYP2B6",-1,-1,10,"0.000700682426382049",1,NA,NA
"MMP3","MMP3",-1,-1,10,"0.00077883815864524",1,NA,NA
"MMP10","MMP10",-1,-1,10,"0.00077883815864524",1,NA,NA
"SPR","SPR",-1,-1,11,"0.000790485329610925",1,NA,NA
"FGL2","FGL2",-1,-1,11,"0.000811414475752626",1,NA,NA
"SETD4","SETD4",-1,-1,11,"0.000844126802498528",1,NA,NA
"STAT5B","STAT5B",-1,-1,11,"0.000854753536988401",1,NA,NA
"NDRG1","NDRG1",-1,-1,10,"0.00087821259417486",1,NA,NA
"TEAD1","TEAD1",-1,-1,11,"0.000889560925363756",1,NA,NA
"MMP14","MMP14",-1,-1,11,"0.000911099874852834",1,NA,NA
"FASLG","FASLG",-1,-1,11,"0.000918476452056144",1,NA,NA
"IGSF11","IGSF11",-1,-1,10,"0.00096521974753993",1,NA,NA
"ZNF24","ZNF24",-1,-1,10,"0.00098925753283124",1,NA,NA
"DACH1","DACH1",-1,-1,11,"0.00103438970593945",1,NA,NA
"JAM2","JAM2",-1,-1,10,"0.00106976088384762",1,NA,NA
"FOXL2","FOXL2",-1,-1,11,"0.00107952445640987",1,NA,NA
"ELK3","ELK3",-1,-1,11,"0.00107985301561646",1,NA,NA
"PRKCI","PRKCI",-1,-1,9,"0.00109239764700886",1,NA,NA
"NFIA","NFIA",-1,-1,11,"0.0011027383244948",1,NA,NA
"PTAR1","PTAR1",-1,-1,11,"0.00113529196517142",1,NA,NA
"CAPNS1","CAPNS1",-1,-1,10,"0.00114413861853749",1,NA,NA
"DHRS12","DHRS12",-1,-1,11,"0.00122115362497661",1,NA,NA
"MYL3","MYL3",-1,-1,11,"0.00123625507970167",1,NA,NA
"OLFM2","OLFM2",-1,-1,10,"0.00125541807011281",1,NA,NA
"CES1","CES1",-1,-1,9,"0.00125998153138105",1,NA,NA
"HSD17B6","HSD17B6",-1,-1,10,"0.00129799261429159",1,NA,NA
"CYP2U1","CYP2U1",-1,-1,11,"0.0013386959368937",1,NA,NA
"ITGAV","ITGAV",-1,-1,10,"0.00134225368771289",1,NA,NA
"RASEF","RASEF",-1,-1,11,"0.00134267400148605",1,NA,NA
"CA7","CA7",-1,-1,11,"0.0013450658421096",1,NA,NA
"EPB41L4B","EPB41L4B",-1,-1,11,"0.00141358142066038",1,NA,NA
"HOXD1","HOXD1",-1,-1,10,"0.00142714803536013",1,NA,NA
"PGR","PGR",-1,-1,10,"0.00143926622339362",1,NA,NA
"FLRT1","FLRT1",-1,-1,11,"0.00145324442670484",1,NA,NA
"NUDT5","NUDT5",-1,-1,11,"0.00148559046071542",1,NA,NA
"ZNF609","ZNF609",-1,-1,10,"0.00150871641234237",1,NA,NA
"CAMK2D","CAMK2D",-1,-1,11,"0.00156172123298241",1,NA,NA
"GPR158","GPR158",-1,-1,11,"0.00157450893529755",1,NA,NA
"DNASE1","DNASE1",-1,-1,11,"0.00160315301707929",1,NA,NA
"NEK4","NEK4",-1,-1,10,"0.001644290975945",1,NA,NA
"FCGR2C","FCGR2C",-1,-1,9,"0.00164613159540592",1,NA,NA
"CCDC47","CCDC47",-1,-1,11,"0.00174732418031374",1,NA,NA
"MAP1B","MAP1B",-1,-1,11,"0.00176701098398152",1,NA,NA
"SLC5A11","SLC5A11",-1,-1,11,"0.00181994441773387",1,NA,NA
"IRF9","IRF9",-1,-1,11,"0.00183719573810982",1,NA,NA
"SLC10A2","SLC10A2",-1,-1,10,"0.00186877712341802",1,NA,NA
"PTGFR","PTGFR",-1,-1,11,"0.00187800837677318",1,NA,NA
"USP6NL","USP6NL",-1,-1,11,"0.00193439442411715",1,NA,NA
"MEIS2","MEIS2",-1,-1,10,"0.00195954313055841",1,NA,NA
"GRK7","GRK7",-1,-1,11,"0.00200186245702152",1,NA,NA
"PAN3","PAN3",-1,-1,10,"0.00203759001272699",1,NA,NA
"CCNE2","CCNE2",-1,-1,11,"0.00205163947601716",1,NA,NA
