"","#wt","#mut","pvalue","p_adj"
"CBX5",11,0,1.00425888161688e-09,6.5738786390641e-06
"GSTP1",10,1,2.66044261712746e-07,0.000870762868585818
"ATF1",11,0,1.81174812179695e-06,0.00395323440176094
"ITGB6",11,0,4.77473387618682e-06,0.00781385198837973
"SNAI2",11,0,8.91315163800784e-06,0.0116690981244799
"TCF19",11,0,1.59262938260592e-05,0.01392363181067
"CAPZA2",11,0,1.7966703310812e-05,0.01392363181067
"MAP4K3",11,0,1.84784988549646e-05,0.01392363181067
"TFE3",11,0,1.91433984564666e-05,0.01392363181067
"PFDN4",11,0,2.47254171613796e-05,0.0161852580738391
"ETV5",8,3,3.306039516258e-05,0.0196739406122044
"ANGEL1",11,0,3.88063910475972e-05,0.0211688863164643
"CDC20B",11,0,5.19770761192973e-05,0.0250149403831794
"MFN1",9,2,5.75024165781774e-05,0.0250149403831794
"HIST1H1T",10,1,6.51718953380424e-05,0.0250149403831794
"SPRYD4",10,1,6.55175877683819e-05,0.0250149403831794
"OR6S1",11,0,6.65299223865892e-05,0.0250149403831794
"GAB1",11,0,6.8785353940915e-05,0.0250149403831794
"PA2G4P4",11,0,8.20447090450794e-05,0.0279220097657323
"CETN2",11,0,8.53101428833861e-05,0.0279220097657323
"EGOT",11,0,0.000131244304130601,0.0377520906993818
"MXD1",11,0,0.000137838427436419,0.0377520906993818
"NFIX",11,0,0.000143315970664563,0.0377520906993818
"RDX",10,1,0.000143599559030086,0.0377520906993818
"ATRNL1",11,0,0.000147204978883472,0.0377520906993818
"SLC39A4",9,2,0.000149947198011599,0.0377520906993818
"SEMA6C",10,1,0.00015663834292289,0.0379760960286384
"PRRT1",11,0,0.000173883370855671,0.0387785366792205
"SERPINB11",10,1,0.000177091417431131,0.0387785366792205
"NPR3",11,0,0.00017772014976728,0.0387785366792205
"SGMS2",10,1,0.000208116711912747,0.0437048473148265
"REXO4",11,0,0.000213650338233188,0.0437048473148265
"ACAP2",9,2,0.000242627655429646,0.0456582823259013
"ABCA10",11,0,0.000244893677568385,0.0456582823259013
"GPR37",10,1,0.000252169400354606,0.0456582823259013
"ARHGEF33",11,0,0.000254064153582522,0.0456582823259013
"HCAR1",11,0,0.000258074617485235,0.0456582823259013
"MUC20",10,1,0.000273259654113729,0.0470725709428545
"TTC39C",10,1,0.000287347634323778,0.0482301952380372
"PRKG2",10,1,0.000312308566868182,0.05069204726043
"FGFR1",11,0,0.00031750289301522,0.05069204726043
"MCF2L2",9,2,0.000336599881493829,0.0524614958156811
"UBASH3B",11,0,0.000378426338749419,0.0568807855310218
"HLF",11,0,0.000385466472941595,0.0568807855310218
"PITX3",11,0,0.000391022815291167,0.0568807855310218
"RASL11A",11,0,0.000468021115734841,0.0652077514378343
"AHI1",8,3,0.000468188866113384,0.0652077514378343
"DPYD",11,0,0.000500897541463081,0.0670232008334686
"LRRC34",9,2,0.000501701320018326,0.0670232008334686
"F2RL2",11,0,0.000531074865886053,0.0694447137313187
"FOXN2",10,1,0.000541044974075352,0.0694447137313187
"RAPGEF5",7,4,0.000578554020593113,0.0694478056658008
"SLC2A4RG",11,0,0.000579855243966613,0.0694478056658008
"CDKL5",11,0,0.000582889830273074,0.0694478056658008
"SGK1",10,1,0.000583505852676298,0.0694478056658008
"CBFA2T2",10,1,0.00060184279012893,0.0703511232889996
"GLYR1",11,0,0.000622436227761139,0.0714818867881477
"LPAR3",11,0,0.000638952944314172,0.0714886061300338
"DNAJC2",11,0,0.000644336657756186,0.0714886061300338
"OLR1",11,0,0.000670572003401582,0.0731594055711126
"RABGGTA",11,0,0.000692638600187542,0.073978502630595
"CYP2B6",10,1,0.000700682426382049,0.073978502630595
"MMP3",10,1,0.00077883815864524,0.0796079533482018
"MMP10",10,1,0.00077883815864524,0.0796079533482018
"SPR",11,0,0.000790485329610925,0.0796079533482018
"FGL2",11,0,0.000811414475752626,0.0804775630041923
"SETD4",11,0,0.000844126802498528,0.0822825978400893
"STAT5B",11,0,0.000854753536988401,0.0822825978400893
"NDRG1",10,1,0.00087821259417486,0.0831866545347307
"TEAD1",11,0,0.000889560925363756,0.0831866545347307
"MMP14",11,0,0.000911099874852834,0.0835048174327711
"FASLG",11,0,0.000918476452056144,0.0835048174327711
"IGSF11",10,1,0.00096521974753993,0.0865524447588545
"ZNF24",10,1,0.00098925753283124,0.0875091866204499
"DACH1",11,0,0.00103438970593945,0.090231563401787
"JAM2",10,1,0.00106976088384762,0.090231563401787
"FOXL2",11,0,0.00107952445640987,0.090231563401787
"ELK3",11,0,0.00107985301561646,0.090231563401787
"PRKCI",9,2,0.00109239764700886,0.090231563401787
"NFIA",11,0,0.0011027383244948,0.090231563401787
"PTAR1",11,0,0.00113529196517142,0.0913357487432489
"CAPNS1",10,1,0.00114413861853749,0.0913357487432489
"DHRS12",11,0,0.00122115362497661,0.0959051058653529
"MYL3",11,0,0.00123625507970167,0.0959051058653529
"OLFM2",10,1,0.00125541807011281,0.0959051058653529
"CES1",9,2,0.00125998153138105,0.0959051058653529
"HSD17B6",10,1,0.00129799261429159,0.0967560549719719
"CYP2U1",11,0,0.0013386959368937,0.0967560549719719
"ITGAV",10,1,0.00134225368771289,0.0967560549719719
"RASEF",11,0,0.00134267400148605,0.0967560549719719
"CA7",11,0,0.0013450658421096,0.0967560549719719
"EPB41L4B",11,0,0.00141358142066038,0.100136189654841
"HOXD1",10,1,0.00142714803536013,0.100136189654841
"PGR",10,1,0.00143926622339362,0.100136189654841
"FLRT1",11,0,0.00145324442670484,0.100136189654841
"NUDT5",11,0,0.00148559046071542,0.101298699540033
"ZNF609",10,1,0.00150871641234237,0.10181502716694
"CAMK2D",11,0,0.00156172123298241,0.104108439297553
"GPR158",11,0,0.00157450893529755,0.104108439297553
"DNASE1",11,0,0.00160315301707929,0.10494239649801
"NEK4",10,1,0.001644290975945,0.105642915916933
"FCGR2C",9,2,0.00164613159540592,0.105642915916933
"CCDC47",11,0,0.00174732418031374,0.111048389168289
"MAP1B",11,0,0.00176701098398152,0.111219749049452
"SLC5A11",11,0,0.00181994441773387,0.113455502845914
"IRF9",11,0,0.00183719573810982,0.113455502845914
"SLC10A2",10,1,0.00186877712341802,0.113828174392197
"PTGFR",11,0,0.00187800837677318,0.113828174392197
"USP6NL",11,0,0.00193439442411715,0.116170145874045
"MEIS2",10,1,0.00195954313055841,0.116610630296685
"GRK7",11,0,0.00200186245702152,0.117277595850997
"PAN3",10,1,0.00203759001272699,0.117277595850997
"CCNE2",11,0,0.00205163947601716,0.117277595850997
"MAGEA9",11,0,0.00206033051067288,0.117277595850997
"MAGEA9B",11,0,0.00206033051067288,0.117277595850997
"GRIK4",10,1,0.00211770483514393,0.119504274576312
"ITGA8",11,0,0.00213641556062779,0.119529711622816
"RAG2",10,1,0.00217780069060392,0.120253233895713
"CCDC90A",11,0,0.0021872725636984,0.120253233895713
"PMP22",11,0,0.00220445891651169,0.120253233895713
"B4GALNT3",11,0,0.00230239314244572,0.124210629370129
"RIPK3",11,0,0.00233263566085842,0.124210629370129
"KCNE3",11,0,0.0023339302493929,0.124210629370129
