"","#wt","#mut","pvalue","p_adj"
"AHCTF1",9,2,1.77635683940025e-15,1.1628031870714e-11
"TFRC",9,2,3.0684477181353e-10,1.00430293814568e-06
"UTP15",11,0,9.35393978940269e-08,0.000171227487127945
"PLRG1",11,0,1.18344287147742e-07,0.000171227487127945
"MED12",10,1,1.3743364324359e-07,0.000171227487127945
"COPS8",11,0,1.56945451079693e-07,0.000171227487127945
"NAA15",11,0,3.24907446391798e-07,0.000303834877725816
"RANBP2",10,1,1.66779962518238e-06,0.00136467704330548
"TTC1",11,0,4.4401007889272e-06,0.00296765209075573
"SNRNP40",11,0,4.86252662224018e-06,0.00296765209075573
"CDK7",11,0,5.5108123746539e-06,0.00296765209075573
"TTK",10,1,5.87582601840886e-06,0.00296765209075573
"XAF1",11,0,5.89359565839054e-06,0.00296765209075573
"CDK12",11,0,7.06607259626235e-06,0.00330389365822381
"VPRBP",11,0,7.90354644342184e-06,0.00344910766790929
"GEMIN5",11,0,8.81280908893167e-06,0.00360554051850917
"UBA3",11,0,1.20875359714834e-05,0.00465441238054884
"ASH2L",11,0,1.48262034009861e-05,0.00539179597015861
"UBE2I",11,0,1.82755796397371e-05,0.00629641812219574
"CCDC91",11,0,2.38652011631535e-05,0.00731025702959187
"ANKRD46",10,1,2.57980560022242e-05,0.00731025702959187
"COPS3",11,0,2.61207762545235e-05,0.00731025702959187
"MCL1",10,1,2.68289281775136e-05,0.00731025702959187
"UBE2H",11,0,2.72227482115417e-05,0.00731025702959187
"TOP2A",11,0,2.79187940329662e-05,0.00731025702959187
"BCLAF1",10,1,3.40865049837102e-05,0.00858193313936027
"OGDH",9,2,4.06895114984929e-05,0.00986494600996794
"ACVR1B",11,0,4.25554558256547e-05,0.00994885763695484
"WIPI2",9,2,4.46898665712459e-05,0.0100875816060474
"B9D1",11,0,4.73613980677134e-05,0.0103342570583751
"MED16",11,0,5.09246940285646e-05,0.0107533241003543
"JUNB",11,0,6.85066535071055e-05,0.0140138923080473
"SOD2",10,1,7.11836005030664e-05,0.0141202378452446
"CARS",11,0,7.59720629764926e-05,0.0142868445531366
"XRCC5",11,0,7.65543686056525e-05,0.0142868445531366
"NCBP2",9,2,7.85710974507969e-05,0.0142868445531366
"TIPARP",11,0,8.48365858513445e-05,0.0148387490889685
"RFC4",8,3,8.61400038772997e-05,0.0148387490889685
"POLD1",11,0,8.91500145847601e-05,0.0149634870633805
"PCGF1",11,0,9.57468279644269e-05,0.0156689683963785
"PDZRN4",10,1,0.000118810172208161,0.0189690582262103
"AATF",11,0,0.00014105919313756,0.0214819248313518
"HMGB1",11,0,0.000141112552359934,0.0214819248313518
"LIMK2",10,1,0.000169571648888756,0.0252276366733136
"WDR82",11,0,0.000175629847400272,0.0255482884684929
"AFP",10,1,0.00018439660366798,0.0262404384263173
"VRK3",11,0,0.00020054436340422,0.0277511660316876
"CSNK1A1",11,0,0.00020349159326627,0.0277511660316876
"MYC",10,1,0.000222515728850681,0.0282434186427601
"WSB1",11,0,0.000230488553742192,0.0282434186427601
"TRA2B",9,2,0.00023095793398098,0.0282434186427601
"WDFY2",11,0,0.000232069224216813,0.0282434186427601
"CDC40",10,1,0.00023236322309661,0.0282434186427601
"KPNA6",11,0,0.000232988788070432,0.0282434186427601
"RNGTT",11,0,0.000299310493455662,0.0356233907301957
"VPS28",10,1,0.000306639008459397,0.0356457752446208
"WDR33",11,0,0.00031158516904839,0.0356457752446208
"PRDX3",11,0,0.000316179218447177,0.0356457752446208
"CASP8AP2",11,0,0.000321280284056313,0.0356457752446208
"AANAT",10,1,0.000339809805587787,0.0370732497896276
"SUMO2",11,0,0.00034551595368415,0.0370778267674827
"SMARCD1",11,0,0.000368586402910043,0.0389155902169216
"KIAA1875",8,3,0.00038571018267286,0.0400771246948657
"GABRP",11,0,0.00040481590274688,0.0414050765528293
"GMNN",11,0,0.000432837482978843,0.0435900640550693
"LGALS1",11,0,0.000440182009073031,0.0436580519907888
"WDR61",11,0,0.000466616100041839,0.0449937576210063
"KANSL1",11,0,0.000467396198934988,0.0449937576210063
"VSTM2L",11,0,0.000502894054436265,0.0473090762610209
"UBL5",11,0,0.0005059021292807,0.0473090762610209
"RPP40",11,0,0.000524462880314935,0.0480137957431817
"LOC341056",11,0,0.000528107744196316,0.0480137957431817
"WDR7",9,2,0.000535685490128945,0.0480355783340284
"MCPH1",11,0,0.000593815801777753,0.0524898560894324
"MED19",11,0,0.000601396151345468,0.0524898560894324
"SMARCA4",11,0,0.00063401892218895,0.0542319005646161
"DDX39B",11,0,0.000646209630925765,0.0542319005646161
"ATP6V1G2-DDX39B",11,0,0.000646209630925765,0.0542319005646161
"AHCY",10,1,0.000669302556744134,0.0554589181828747
"GPT2",8,3,0.00070509696755916,0.0576945593705283
"PCDH8",11,0,0.000796989298572193,0.0630354387830894
"RBMXL1",11,0,0.000808612761410532,0.0630354387830894
