"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"WDR36","WDR36",2,0.0534710534705329,9,"0.00251552249224973",1,NA,NA
"CHD9","CHD9",2,0.138601498521121,9,"0.17112621655296",1,NA,NA
"SIPA1L1","SIPA1L1",2,0.270781461762966,9,"0.264466427136496",1,NA,NA
"GPR98","GPR98",2,0.285418002524522,9,"0.326457593595214",1,NA,NA
"CDK14","CDK14",2,0.369941885724717,9,"0.205466919540227",1,NA,NA
"MACF1","MACF1",2,0.389507265596981,9,"0.13547040006794",1,NA,NA
"AHI1","AHI1",2,0.504875789637399,9,"0.999922243479705",1,NA,NA
"ABCA9","ABCA9",2,0.68482055724444,9,"0.159546235427068",1,NA,NA
"SH2D4A","SH2D4A",2,0.710877188650876,9,"0.999223585333949",1,NA,NA
"MAP3K2","MAP3K2",2,0.767651905526272,9,"0.912154525049689",1,NA,NA
"PLD1","PLD1",2,0.829110354035744,9,"0.0759789550858724",1,NA,NA
"PTEN","PTEN",3,0.99916894423728,8,"0.587326282626622",1,NA,NA
"KIF5C","KIF5C",1,0.00244389064683448,10,"0.0445637497942678",0.522992598422579,NA,NA
"RTN4RL2","RTN4RL2",1,0.0191691075230193,10,"0.596977741844428",1,NA,NA
"SERPINA6","SERPINA6",1,0.0239804712819216,10,"0.271110977235596",1,NA,NA
"UBE2E1","UBE2E1",1,0.0287154641875083,10,"0.00232635082638899",1,NA,NA
"DUOX2","DUOX2",1,0.0290973184540877,10,"0.436394696274454",1,NA,NA
"LAMA3","LAMA3",1,0.0317702983201447,10,"0.000713205717452592",1,NA,NA
"CYP4B1","CYP4B1",1,0.0378799665854176,10,"0.972743853646439",1,NA,NA
"FCGBP","FCGBP",1,0.0432259263175314,10,"0.208670360347558",1,NA,NA
"IFT80","IFT80",1,0.0437605222907428,10,"0.62955348468686",1,NA,NA
"MMS22L","MMS22L",1,0.0446006016772179,10,"0.00125142808195733",1,NA,NA
"XBP1","XBP1",1,0.0468153564233793,10,"0.405929910002564",1,NA,NA
"MFAP4","MFAP4",1,0.0521613161554931,10,"0.125399317635649",1,NA,NA
"TFRC","TFRC",1,0.0563617130878683,10,"6.23041840341898e-10",1,NA,NA
"QSOX2","QSOX2",1,0.0623186396465094,10,"0.1067676663227",1,NA,NA
"SI","SI",1,0.0643042818327232,10,"0.893154685760892",1,NA,NA
"FBXW5","FBXW5",1,0.0643806526860391,10,"0.0695401324652464",1,NA,NA
"RACGAP1","RACGAP1",1,0.0660608114589891,10,"0.0720197900092335",1,NA,NA
"CDH6","CDH6",1,0.0664426657255686,10,"0.412113192466021",1,NA,NA
"CALCR","CALCR",1,0.0702612083913643,10,"0.819277237241614",1,NA,NA
"TRIM24","TRIM24",1,0.0705666918046278,10,"0.259754907530617",1,NA,NA
"VGLL1","VGLL1",1,0.0740033802038439,10,"0.496844380187813",1,NA,NA
"ZEB2","ZEB2",1,0.0879028755073398,10,"0.984313777480211",1,NA,NA
"TRIP12","TRIP12",1,0.0910340804932923,10,"0.172009314481111",1,NA,NA
"RASGRP4","RASGRP4",1,0.0924087558529786,10,"0.836418595882669",1,NA,NA
"EED","EED",1,0.101191403984308,10,"0.0221387601502321",1,NA,NA
"PIK3CG","PIK3CG",1,0.104246238116945,10,"0.425575840843338",1,NA,NA
"PCOLCE","PCOLCE",1,0.1121888068618,10,"0.303538120251054",1,NA,NA
"PPP1R15A","PPP1R15A",1,0.113945336488066,10,"0.97792141910141",1,NA,NA
"CD109","CD109",1,0.120055004753339,10,"0.426610156206296",1,NA,NA
"ARHGEF18","ARHGEF18",1,0.1222697594995,10,"0.658436305680327",1,NA,NA
"COL28A1","COL28A1",1,0.123568064005871,10,"0.338687890555312",1,NA,NA
"VCAN","VCAN",1,0.124789997658925,10,"0.236882066455125",1,NA,NA
"IRX3","IRX3",1,0.128150315204825,10,"0.0173425868579767",1,NA,NA
"SLC44A4","SLC44A4",1,0.149075929013385,10,"0.0278873468571188",1,NA,NA
"COL2A1","COL2A1",1,0.149457783279965,10,"0.784724466935618",1,NA,NA
"BAZ2B","BAZ2B",1,0.151519796319494,10,"0.805473696534671",1,NA,NA
"POLR3G","POLR3G",1,0.152665359119233,10,"0.137734947811261",1,NA,NA
"COL9A3","COL9A3",1,0.156865756051608,10,"0.301747753052228",1,NA,NA
"RABL2B","RABL2B",1,0.161524378103879,10,"0.00512158919571204",1,NA,NA
"EP400","EP400",1,0.167634046369152,10,"0.283795026398742",1,NA,NA
"RNF213","RNF213",1,0.174125568901004,10,"0.111240785726916",1,NA,NA
"TGFB3","TGFB3",1,0.18168628337928,10,"0.509991883384197",1,NA,NA
"KIAA2026","KIAA2026",1,0.186039422018287,10,"0.0797892420915282",1,NA,NA
"DAZAP1","DAZAP1",1,0.189628852124134,10,"0.35113186326872",1,NA,NA
"ARHGEF5","ARHGEF5",1,0.192301831990191,10,"0.56555245259845",1,NA,NA
"CIC","CIC",1,0.199557063055203,10,"0.820613096184858",1,NA,NA
"GABRG3","GABRG3",1,0.201237221828153,10,"0.183944535652215",1,NA,NA
"ANKRD50","ANKRD50",1,0.206965035826846,10,"0.716429362083649",1,NA,NA
