"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"TFRC","TFRC",3,4.85503349882791e-05,37,"4.42362817290745e-07",0.127298978339268,0.99999999997983,2.01704437990001e-11
"SOX14","SOX14",3,0.000544566216913645,37,"0.0101742116756373",1,1,2.05250448189186e-41
"IRS2","IRS2",8,0.00108001089291676,32,"0.000748800938877352",1,1,1.47337338728776e-21
"FOXA1","FOXA1",2,0.00113552139342628,38,"0.0125315903820011",1,4.68465317217356e-08,0.999999953153468
"LRRC24","LRRC24",4,0.00117254876798133,36,"0.0809058721527638",1,0.684135976887176,0.315864023112824
"DDX39B","DDX39B",3,0.00154057305937309,37,"4.21943334335238e-08",1,1,5.10870361179655e-21
"ATP6V1G2-DDX39B","ATP6V1G2-DDX39B",3,0.00154057305937309,37,"4.21943334335238e-08",1,0.135861960067724,0.864138039932276
"UTP18","UTP18",2,0.00156260128832087,38,"0.270904331151524",1,1,1.12751388640052e-52
"KRAS","KRAS",4,0.00295036936106141,36,"0.00296731306991988",1,2.35270825319284e-17,1
"GPT","GPT",4,0.00328236153775699,36,"0.00758612286024928",1,1.36650996884786e-18,1
"PMEPA1","PMEPA1",5,0.0034693501866123,35,"0.00967996697813738",1,1,2.8719772984197e-77
"KCNS2","KCNS2",2,0.00379661924436871,38,"0.994949263509815",1,7.66008805315533e-06,0.999992339911947
"ELF1","ELF1",3,0.00389618453603555,37,"2.504561341079e-05",1,0.999993012943697,6.98705630318951e-06
"POU4F1","POU4F1",2,0.00397842733993969,38,"0.753108999023781",1,1,1.70940721636229e-30
"BIRC5","BIRC5",2,0.00409508046152406,38,"2.80310464192011e-07",1,1,2.98196755556555e-44
"SMAD4","SMAD4",2,0.00569139178781592,38,"2.48430744122441e-07",1,5.96750205100455e-16,0.999999999999999
"NOL11","NOL11",2,0.00647437996954779,38,"0.0304691042988491",1,1,1.86997117582749e-36
"ABCF1","ABCF1",2,0.00696117580082979,38,"0.336339062016477",1,0.99999999999995,5.04846012961004e-14
"SUCLA2","SUCLA2",3,0.00791118967284179,37,"0.000807286918386589",1,0.989552057188073,0.0104479428119267
"PSCA","PSCA",2,0.0089514583918334,38,"0.44931245562435",1,0.811563389804164,0.188436610195836
"CYP24A1","CYP24A1",5,0.00930489143072299,35,"0.0834325807923569",1,0.999999914857705,8.51422952713211e-08
"SND1","SND1",2,0.00955394493109437,38,"0.493269739133716",1,1,1.67009519370225e-70
"IQCG","IQCG",4,0.00962207874152623,36,"0.711693152629105",1,0.999969193285123,3.08067148772902e-05
"DHX16","DHX16",2,0.00974491294719388,38,"0.011733188456346",1,0.99999999998286,1.7140211731461e-11
"AEBP2","AEBP2",2,0.0111805631759543,38,"0.000679841028730181",1,1,1.24188235819481e-17
"SORD","SORD",2,0.0123754211978819,38,"0.0409116058469004",1,1,1.99624484335695e-68
"IL6","IL6",3,0.0123919746740719,37,"0.936027074654921",1,0.998921727298099,0.00107827270190095
"CYP3A5","CYP3A5",3,0.0137051652769601,37,"0.101081475951268",1,0.21543125866229,0.78456874133771
"PUF60","PUF60",4,0.0143851779629825,36,"0.104041336668765",1,1,7.42193604727255e-58
"ADCY1","ADCY1",3,0.0151234151558667,37,"0.799075347305119",1,0.999989409643882,1.05903561177767e-05
"ZMYM5","ZMYM5",4,0.0153366287983882,36,"0.494609739720591",1,1,1.11165091693186e-30
"PDE1C","PDE1C",2,0.0153466062033666,38,"0.980448384145964",1,9.17621731686852e-15,0.999999999999991
"HSF1","HSF1",4,0.0153968668522348,36,"0.110688513898555",1,1,9.72667023061832e-73
"HAS2","HAS2",4,0.0172354317495164,36,"0.945493830884877",1,0.993415311411893,0.00658468858810748
"LIG4","LIG4",7,0.0181618412281223,33,"0.00795724896206981",1,0.000113330709369997,0.99988666929063
"HOXA7","HOXA7",2,0.0181974431475865,38,"0.000179855990859108",1,0.835647588582404,0.164352411417596
"DCT","DCT",3,0.0202283252545832,37,"0.125315286518021",1,0.999891965133178,0.000108034866821712
"EGFR","EGFR",4,0.0214168557968277,36,"0.000122845653064364",1,1.59770136880332e-11,0.999999999984023
"TK2","TK2",3,0.0225792089553497,37,"0.00108726976104541",1,0.956939693799666,0.0430603062003337
"HRH3","HRH3",2,0.0226028885278962,38,"6.28623541699305e-08",1,0.879132542318424,0.120867457681576
"WIPI2","WIPI2",3,0.0235496782637962,37,"0.439524754519228",1,1,1.25368326455418e-51
"NRBP2","NRBP2",4,0.0235805549130394,36,"0.660634978835549",1,0.999999999999992,8.45032643696528e-15
"HOXA6","HOXA6",2,0.0242390033969649,38,"0.415505121937177",1,0.00038481178905879,0.999615188210941
"EVI2B","EVI2B",2,0.0242894750090287,38,"0.298863550828851",1,1.52368230702647e-14,0.999999999999985
"EVX1","EVX1",2,0.0249674457927687,38,"0.0113865146905268",1,1,3.16025710228998e-45
"RAB22A","RAB22A",5,0.0274035980685877,35,"0.00204526576817571",1,1,2.27358342462673e-53
"PMP2","PMP2",2,0.0277726490435081,38,"0.784665668482166",1,1.85676008849752e-10,0.999999999814324
"PIK3CG","PIK3CG",2,0.0282425975742504,38,"0.520969046986198",1,5.64464803469384e-14,0.999999999999944
"FOXF1","FOXF1",2,0.0288080738425863,38,"0.00149717994977889",1,1.36322053987025e-07,0.999999863677946
"C1QTNF1","C1QTNF1",2,0.0294347185412571,38,"0.00401461757221938",1,1,4.36108843277124e-20
"SOX18","SOX18",3,0.0294416375010583,37,"0.906863771500034",1,0.0597715518529444,0.940228448147056
"TM4SF18","TM4SF18",2,0.0298624484576749,38,"0.00258901588941077",1,0.947574688979721,0.0524253110202785
"NFATC2","NFATC2",3,0.0302177608676463,37,"0.0451348531607554",1,0.160114789591784,0.839885210408216
"C20orf151","C20orf151",2,0.0303685031280279,38,"0.00025057183678694",1,NA,NA
"ECHDC1","ECHDC1",2,0.0304295854288106,38,"0.682077443232711",1,9.44562234486341e-11,0.999999999905544
"MYT1","MYT1",3,0.0307220631846061,37,"0.0100597720526776",1,0.999999999994171,5.82886740128552e-12
"PCDH8","PCDH8",5,0.03415659958408,35,"0.0988940536876431",1,0.0775784200842564,0.922421579915744
"SFTPA2","SFTPA2",2,0.0345900930529924,38,"0.903716544531593",1,0.0010809970478826,0.998919002952117
"MBTD1","MBTD1",2,0.0352358683682678,38,"0.296525559380887",1,0.999998304616084,1.69538391571988e-06
"COL4A2","COL4A2",6,0.0354445676007675,34,"0.00629369013081927",1,0.99854732345893,0.00145267654106998
"GJB6","GJB6",2,0.0372507083423933,38,"8.62183872402293e-06",1,0.999997253975983,2.74602401709359e-06
"IRF8","IRF8",2,0.0375431153100844,38,"0.0013990919834727",1,0.953975298076888,0.0460247019231121
"GPR89A","GPR89A",2,0.0380681139568104,38,"0.199035504968092",1,1,1.50320510216857e-31
"RDH10","RDH10",2,0.0385119299210554,38,"0.980288569466338",1,1,9.34629092595548e-38
"LYNX1","LYNX1",2,0.0396219728836344,38,"0.014610880319487",1,1.15674983437669e-07,0.999999884325017
"EIF3H","EIF3H",3,0.0402775900064842,37,"0.000282304271443199",1,1,7.17176843313607e-57
"GPR89B","GPR89B",3,0.0409030380982836,37,"0.220329103932473",1,1,1.6965888003341e-29
"GPR89C","GPR89C",3,0.0409030380982836,37,"0.220329103932473",1,NA,NA
"PKD1L2","PKD1L2",3,0.0422191379552405,37,"0.990106569976471",1,5.19899589508085e-07,0.999999480100411
"TFEC","TFEC",2,0.0423993345434334,38,"0.971466545458993",1,0.0088838667008571,0.991116133299143
"CD300LD","CD300LD",2,0.0432261829799357,38,"0.000122684014771053",1,0.999999999999989,1.12543056531411e-14
