"","#wt","#mut","pvalue","p_adj","tcga_pvalue","tcga_tumor_vs_normal"
"KCNS2",38,2,0.00293804217361317,0.923946565812235,1.53201761063107e-05,"down"
"IL6",37,3,0.00632720969465571,0.923946565812235,0.0021565454038019,"up"
"HAS2",36,4,0.00665499718846716,0.923946565812235,0.013169377176215,"up"
"PDE1C",38,2,0.00753862016503769,0.923946565812235,1.8352434633737e-14,"down"
"VDAC2",39,1,0.00938771000694535,0.923946565812235,1.74116667001393e-09,"down"
"POU4F1",38,2,0.00996886186490045,0.923946565812235,3.41881443272457e-30,"up"
"IQCG",36,4,0.0100674823482578,0.923946565812235,6.16134297545803e-05,"up"
"PKD1L2",37,3,0.0105436170089418,0.923946565812235,1.03979917901617e-06,"down"
"ADCY1",37,3,0.0122080177025451,0.923946565812235,2.11807122355533e-05,"up"
"TCF15",37,3,0.0123431580327206,0.923946565812235,0.652347837471183,"up"
"RDH10",38,2,0.014428209077701,0.923946565812235,1.8692581851911e-37,"up"
"TLK2",39,1,0.0148543262458663,0.923946565812235,0.000287447229560927,"down"
"LRRC24",36,4,0.014968317461874,0.923946565812235,0.631728046225649,"up"
"SOX18",37,3,0.0150802812201195,0.923946565812235,0.119543103705889,"down"
"ACAP2",38,2,0.0160903891687159,0.923946565812235,4.25358197414652e-10,"down"
"TFEC",38,2,0.0170998035715262,0.923946565812235,0.0177677334017142,"down"
"UTP18",38,2,0.017105267957304,0.923946565812235,2.25502777280104e-52,"up"
"SND1",38,2,0.0200037189039895,0.923946565812235,3.34019038740451e-70,"up"
"SFTPA2",38,2,0.0201394431822175,0.923946565812235,0.00216199409576519,"down"
"PSCA",38,2,0.0206984452839012,0.923946565812235,0.376873220391673,"up"
"ABCF1",38,2,0.0221471813803419,0.923946565812235,1.00969202592201e-13,"up"
"WDR11",39,1,0.0221903138697553,0.923946565812235,0.702736283382629,"down"
"ZMYM5",36,4,0.0226322212315046,0.923946565812235,2.22330183386372e-30,"up"
"PMP2",38,2,0.0226961587022937,0.923946565812235,3.71352017699504e-10,"down"
"NRBP2",36,4,0.0231787033583746,0.923946565812235,1.69006528739306e-14,"up"
"ARL17A",29,11,0.0234326442587777,0.923946565812235,0.000112993215781723,"up"
"KCNMB2",39,1,0.0234432025440634,0.923946565812235,0.000239084491867215,"down"
"SOX14",37,3,0.0247328015921506,0.923946565812235,4.10500896378371e-41,"up"
"PRKAR1A",39,1,0.0248405900936769,0.923946565812235,0.138597985918115,"up"
"DKK1",39,1,0.0259241358787487,0.923946565812235,7.0404094779438e-06,"up"
"SIRPG",39,1,0.0261618537546256,0.923946565812235,6.58932897200487e-05,"down"
"CCND3",39,1,0.0263646463370503,0.923946565812235,0.0152605845960791,"down"
"GABARAPL3",39,1,0.027187989270979,0.923946565812235,0.000112121332821987,"up"
"ATAD3B",39,1,0.0277618395116926,0.923946565812235,1.82085692179495e-44,"up"
"ECHDC1",38,2,0.028431084344556,0.923946565812235,1.88912446897268e-10,"down"
"ARL10",39,1,0.0290069837835789,0.923946565812235,0.432076365303108,"up"
"TMEM130",37,3,0.0299113482877291,0.923946565812235,2.86580801879115e-08,"down"
"FOXL2",37,3,0.0308558224733506,0.923946565812235,2.11332443923126e-06,"up"
"WIPI2",37,3,0.0327551782229773,0.923946565812235,2.50736652910835e-51,"up"
"CD7",39,1,0.0328051105140984,0.923946565812235,1.24897020383739e-06,"down"
"TTC16",39,1,0.0333036260557528,0.923946565812235,3.13876279329635e-26,"up"
"PIK3CG",38,2,0.0334901876645449,0.923946565812235,1.12892960693877e-13,"down"
"RAB24",39,1,0.0335683698998127,0.923946565812235,2.83753085470852e-12,"up"
"NLE1",38,2,0.0339277381581565,0.923946565812235,1.21475745825621e-97,"up"
"RAB8A",39,1,0.0339892967153009,0.923946565812235,7.23560145184453e-11,"down"
"HEPACAM2",39,1,0.034386067044099,0.923946565812235,2.08919697093219e-10,"down"
"HOXA6",38,2,0.0348325258920226,0.923946565812235,0.00076962357811758,"down"
"PHC3",38,2,0.0349251328899061,0.923946565812235,0.000273713102568392,"up"
"ADAM12",39,1,0.0357602121325136,0.923946565812235,2.01104566435601e-36,"up"
"LRRC30",39,1,0.0364983109457446,0.923946565812235,0.285338783924409,"up"
"DUSP4",39,1,0.0365345599233275,0.923946565812235,1.68470217511846e-41,"up"
"DDX5",39,1,0.0372411931548841,0.923946565812235,5.79147304676512e-05,"up"
"FUT11",39,1,0.0373428370897205,0.923946565812235,8.91198739877088e-18,"up"
"TIAL1",39,1,0.0376669072942468,0.923946565812235,1.34503527994501e-16,"up"
"FOXA1",38,2,0.0381378392861825,0.923946565812235,9.36930634434712e-08,"down"
"BTNL9",39,1,0.038457050061001,0.923946565812235,8.37716937431376e-16,"up"
"STK33",39,1,0.0385189787730193,0.923946565812235,0.00933123027228926,"down"
"DDIT3",39,1,0.0397525622295671,0.923946565812235,2.79952619346532e-30,"up"
"EVI2B",38,2,0.0406438110743765,0.923946565812235,3.04736461405295e-14,"down"
"DDI2",39,1,0.0409876728013229,0.923946565812235,1.2110487032391e-16,"up"
"OGFOD1",39,1,0.0410215889004079,0.923946565812235,4.244804118148e-40,"up"
"TBX4",39,1,0.0436896508269449,0.923946565812235,4.97539812258818e-05,"up"
"EMP1",38,2,0.0439319092041531,0.923946565812235,7.17535834533966e-10,"down"
"PWP2",39,1,0.0442113992638971,0.923946565812235,0.159708220367714,"up"
"ENDOV",38,2,0.0442219945614295,0.923946565812235,2.35637360883389e-08,"down"
"PRDX3",39,1,0.0442967057844977,0.923946565812235,0.129124366167358,"up"
"CYP3A5",37,3,0.0446068972293828,0.923946565812235,0.430862517324579,"down"
"NAPRT1",37,3,0.0447500605639043,0.923946565812235,NA,NA
"SNAPC4",39,1,0.0447911482605667,0.923946565812235,3.76238388112354e-48,"up"
"NOL11",38,2,0.0448705857486661,0.923946565812235,3.73994235165499e-36,"up"
"TNS3",37,3,0.0454600438422944,0.923946565812235,0.0272803605184159,"up"
"HIF1AN",39,1,0.045567518620109,0.923946565812235,0.00849982711984335,"down"
"HTR3E",39,1,0.0455892554815505,0.923946565812235,1.4044477393773e-09,"down"
"SOHLH1",39,1,0.0468298437886285,0.923946565812235,0.0820478303840406,"up"
"SFR1",39,1,0.0468860213145079,0.923946565812235,8.42975574905197e-14,"up"
"MXRA8",39,1,0.0471647647373879,0.923946565812235,3.45315737377416e-10,"up"
"GKN1",39,1,0.0477993292881742,0.923946565812235,0.478647202253865,"up"
"ARL16",39,1,0.048396045295079,0.923946565812235,6.07287186441587e-13,"up"
"DCAF7",39,1,0.0486843940945336,0.923946565812235,1.79338462981668e-05,"up"
"DMTF1",39,1,0.0487551846879059,0.923946565812235,8.2056747716949e-12,"up"
"ATG5",39,1,0.0491755010565982,0.923946565812235,0.0425844761901804,"down"
"CYP24A1",35,5,0.0492003727001912,0.923946565812235,1.70284590542642e-07,"up"
"ARL17B",30,10,0.04920954401408,0.923946565812235,0.014016752568211,"up"
"GPT",36,4,0.0496832173568508,0.923946565812235,2.73301993769573e-18,"down"
"PARP12",38,2,0.0500077735564774,0.923946565812235,0.025572319497892,"down"
"AIFM3",38,2,0.0504432296085852,0.923946565812235,1.97495219144821e-07,"down"
"TBX2",39,1,0.0508678900037236,0.923946565812235,0.594503586501555,"up"
"MBTD1",38,2,0.05111073421293,0.923946565812235,3.39076783143976e-06,"up"
"PUF60",36,4,0.0516876415335234,0.923946565812235,1.48438720945451e-57,"up"
"ADCY2",39,1,0.051837334984014,0.923946565812235,4.34578126730396e-06,"down"
"SORD",38,2,0.0523225057301079,0.923946565812235,3.9924896867139e-68,"up"
"SS18L1",38,2,0.0527403607198618,0.923946565812235,3.92970068640508e-64,"up"
"HSF1",36,4,0.0527774809393813,0.923946565812235,1.94533404612366e-72,"up"
"CCDC79",38,2,0.0527865135826601,0.923946565812235,NA,NA
"DCT",37,3,0.0527965045429459,0.923946565812235,0.000216069733643423,"up"
"ARHGEF5",31,9,0.0531976390654322,0.923946565812235,0.0519254894759905,"down"
"ANKRD20A4",37,3,0.0540544254223467,0.923946565812235,0.000297847013638733,"down"
"ZBTB2",39,1,0.0545718257640295,0.923946565812235,2.76531164809571e-12,"up"
"AGAP5",39,1,0.0561817331176419,0.923946565812235,0.000208788491133688,"up"
"PMEPA1",35,5,0.0570675623272216,0.923946565812235,5.74395459683939e-77,"up"
"MAPK1",39,1,0.057131523783259,0.923946565812235,2.62044946134087e-10,"down"
"BTNL2",36,4,0.0572704306369407,0.923946565812235,0.0120011001289451,"down"
"MCL1",39,1,0.0576998102835781,0.923946565812235,0.00402370420135144,"down"
"GJD4",39,1,0.0578119468714144,0.923946565812235,0.205275934869662,"up"
"HDAC2",39,1,0.0578507707997179,0.923946565812235,7.52957719843373e-73,"up"
"KRAS",36,4,0.0583647395183833,0.923946565812235,4.70541650638567e-17,"down"
"GNG11",39,1,0.0588427454292056,0.923946565812235,1.62394580392533e-07,"down"
"PPM1D",39,1,0.0590675275726366,0.923946565812235,1.18620761024205e-05,"down"
"ABCA5",38,2,0.0600914886920631,0.923946565812235,4.00047001393722e-13,"down"
"DHX16",38,2,0.060868429945116,0.923946565812235,3.42804234629221e-11,"up"
"CES1",38,2,0.0609921232167001,0.923946565812235,0.0819634327394406,"down"
"RPS6KB1",39,1,0.061104947196912,0.923946565812235,1.37243871212856e-08,"up"
"DDX51",39,1,0.0617528452552902,0.923946565812235,9.9175001890835e-44,"up"
"GPR89A",38,2,0.0618125229743142,0.923946565812235,3.00641020433714e-31,"up"
"RSPO3",38,2,0.0622073533067896,0.923946565812235,8.39383962948461e-08,"down"
"CFH",36,4,0.0627092953643272,0.923946565812235,1.26654194860415e-16,"down"
"MMEL1",38,2,0.0631272346646109,0.923946565812235,0.00723291636450469,"up"
"CYP1A2",39,1,0.0632966378911883,0.923946565812235,0.158797618399605,"up"
"SH2D3C",39,1,0.0633552957395181,0.923946565812235,0.000101029830547228,"down"
"PIGX",36,4,0.0636533574670085,0.923946565812235,3.36755030328031e-35,"up"
"TMEM100",39,1,0.0642253681044311,0.923946565812235,2.47052814067154e-20,"down"
"CELF6",39,1,0.0642305938045928,0.923946565812235,0.708755470019484,"down"
