"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"CTNNB1","CTNNB1",9,2.46092497336157e-23,31,"5.70899115319151e-13",1.35400092034354e-19,1,4.37757063503837e-54
"KRAS","KRAS",21,2.12642800265379e-09,19,"0.885656596097413",1.16974804425985e-05,2.35270825319284e-17,1
"KIF2B","KIF2B",5,1.42730238896616e-06,35,"0.414975693678275",0.00785016313931388,0.928596480628524,0.0714035193714759
"DDX27","DDX27",3,2.06520661299717e-06,37,"0.528287634860614",0.0113565711648714,1,5.78841288839062e-96
"TCF7L2","TCF7L2",6,2.54347383135529e-06,34,"2.03116356663765e-09",0.0139840191247914,4.60261897281404e-10,0.999999999539738
"LONP1","LONP1",3,5.26787653672589e-06,37,"0.0975202353577254",0.0289575173223822,1,3.15791763536163e-59
"SCAP","SCAP",5,8.93195359850221e-06,35,"0.000386249812717493",0.0490900169773681,0.961816865411695,0.0381831345883046
"BRAF","BRAF",18,1.23916457843627e-05,22,"0.181519983758563",0.068092093585073,0.999999858608342,1.41391658394049e-07
"CASC5","CASC5",8,1.80718709191817e-05,32,"0.00217881178228173",0.0992868588299843,NA,NA
"SPEG","SPEG",13,2.07305284525598e-05,27,"0.000307712556021218",0.113872792789911,1.41247570246734e-05,0.999985875242975
"SBK1","SBK1",4,2.1305085134353e-05,36,"0.999849426873729",0.117007527557867,1,1.85179499017025e-46
"AHCTF1","AHCTF1",8,4.68126885005734e-05,32,"7.07093611845323e-07",0.257048472556649,1,2.89644082939929e-28
"BIRC5","BIRC5",2,6.47442777767646e-05,38,"3.52738888950962e-07",0.355446084994438,1,2.98196755556555e-44
"GLDC","GLDC",8,8.18697540133726e-05,32,"0.00187594215059269",0.449383079779402,0.964976418335557,0.0350235816644431
"SERPINE3","SERPINE3",5,0.000156361438733017,35,"0.150231920093275",0.858111575766797,0.999962600162662,3.73998373378987e-05
"SMAD4","SMAD4",3,0.000164992472014707,37,"7.68904648637289e-07",0.905313693944697,5.96750205100455e-16,0.999999999999999
"PIK3CA","PIK3CA",18,0.000167959846744804,22,"0.129196520431378",0.921427719241995,0.189603999447081,0.810396000552919
"KEAP1","KEAP1",5,0.000248147990844961,35,"0.298895631611377",1,1,5.12866920261267e-28
"DDX39B","DDX39B",4,0.000259386488078964,36,"1.08754400035066e-07",1,1,5.10870361179655e-21
"MCRS1","MCRS1",2,0.000276648581280037,38,"0.814545319829245",1,1,8.85165395441642e-25
"TENC1","TENC1",10,0.000429077835704028,30,"0.199654661764988",1,NA,NA
"COL4A5","COL4A5",6,0.000457108566281972,34,"0.000570690910489613",1,6.6591260175324e-13,0.999999999999334
"ATP5B","ATP5B",2,0.000711672629108303,38,"0.228207878188026",1,4.90741455231222e-16,1
"WDR75","WDR75",2,0.000875764580207088,38,"0.0548290570084549",1,1,7.07291546109369e-92
"CCNK","CCNK",5,0.000876171399071657,35,"0.0202471144782883",1,0.0246992123708708,0.975300787629129
"CIC","CIC",11,0.000897153472831262,29,"0.581600266698726",1,0.695980292056386,0.304019707943614
"CSNK1A1","CSNK1A1",2,0.000930943075521901,38,"1.6919533822586e-07",1,0.986025708261043,0.0139742917389571
"ABCA4","ABCA4",7,0.00108486131279336,33,"0.000581951444163274",1,0.999096872835471,0.000903127164528842
"APC","APC",14,0.00113702954894996,26,"0.019838214842567",1,6.57106584611984e-14,0.999999999999934
"DNA2","DNA2",7,0.00117523172631649,33,"0.00159220744408905",1,1,4.19573203107238e-61
"NOL11","NOL11",3,0.00122664525425058,37,"0.0484247687364887",1,1,1.86997117582749e-36
"COPS8","COPS8",2,0.00144534446302143,38,"0.00162994535463957",1,1,1.09631430492806e-19
"MAPKAPK2","MAPKAPK2",4,0.00156457212295328,36,"0.186733396326279",1,0.999999999896743,1.03256517283794e-10
"CAMKV","CAMKV",4,0.00167032708360003,36,"0.0960430773606024",1,1,3.2691935641644e-16
"DDX3X","DDX3X",3,0.00174959473916514,37,"0.254860584559789",1,0.219551903940035,0.780448096059965
"RNF40","RNF40",4,0.00180415107165188,36,"0.198531864278496",1,0.999729178513951,0.000270821486048955
"IL6R","IL6R",3,0.00184453946264354,37,"0.999665685609695",1,3.25853580479749e-25,1
"STK32C","STK32C",2,0.00206261377351563,38,"0.00380375441203526",1,1,1.34381928356716e-45
"SHC1","SHC1",3,0.0021522647953373,37,"0.00153909890667095",1,0.497554647109878,0.502445352890122
"RGL1","RGL1",6,0.00216015348271555,34,"0.181828414854235",1,2.28737074914646e-15,0.999999999999998
"ARSG","ARSG",10,0.0021831515772659,30,"0.00589974500423733",1,0.176645518737894,0.823354481262106
"PPIL2","PPIL2",3,0.00226341993727583,37,"0.484961845670012",1,0.728696789633669,0.271303210366331
"GRID2","GRID2",6,0.00232103069969487,34,"0.00424626040328228",1,0.00042583891821183,0.999574161081788
"CTBP1","CTBP1",4,0.00245504668284327,36,"0.148380368447867",1,1,5.53852304259523e-18
"TENM4","TENM4",11,0.00249736213649678,29,"0.606182715495299",1,0.999999999999988,1.2145348472226e-14
"NCKAP1","NCKAP1",6,0.00260394770940982,34,"0.0118716994946398",1,0.999669503742521,0.000330496257478996
"TNFRSF25","TNFRSF25",6,0.00267351547362055,34,"0.884263025065341",1,0.999999989496521,1.05034788867883e-08
"CATSPERG","CATSPERG",4,0.00270258766021057,36,"0.0221088344483701",1,5.05427867976654e-08,0.999999949457213
"PNPT1","PNPT1",7,0.00271914413601719,33,"0.00531501199867664",1,1,5.46766447817963e-47
"KIF12","KIF12",8,0.00272181835382818,32,"0.06771824636086",1,1,4.47132588239259e-40
"KCNK3","KCNK3",6,0.002842709551816,34,"0.853843914373722",1,1.55494618449548e-06,0.999998445053816
"CSMD1","CSMD1",16,0.00291035200135825,24,"0.886399259286873",1,4.44424988550202e-06,0.999995555750115
"ATN1","ATN1",6,0.00300447653902495,34,"9.85483597845937e-07",1,0.0389829822920824,0.961017017707918
"DHX35","DHX35",7,0.00306671522740976,33,"0.107119736863074",1,1,2.70807583094733e-44
"NFATC1","NFATC1",4,0.00307005744949186,36,"1.81537541902559e-05",1,4.19289387790356e-06,0.999995807106122
"VRK3","VRK3",3,0.00308578507335208,37,"4.40691058064439e-06",1,1.35890561857456e-06,0.999998641094381
"CCNB3","CCNB3",6,0.00317542834495016,34,"0.201065233860318",1,0.999997499927064,2.50007293565346e-06
"ADRBK2","ADRBK2",4,0.0034488539035318,36,"0.347192851680149",1,NA,NA
