"","#wt","#mut","pvalue","p_adj","tcga_pvalue","tcga_tumor_vs_normal"
"RFXANK",38,2,0.00378332548260751,0.957062701183444,6.80947927636191e-23,"up"
"ABCA10",36,4,0.00433333736015462,0.957062701183444,1.58253817441103e-09,"down"
"CDX2",38,2,0.00526201989416841,0.957062701183444,0.516229427287042,"down"
"THRAP3",38,2,0.00702763051552358,0.957062701183444,0.156290352665815,"up"
"MYO3B",37,3,0.00729872940900478,0.957062701183444,7.23949732587978e-14,"up"
"ANO1",37,3,0.00739533448413454,0.957062701183444,3.26443395105179e-22,"up"
"PAN3",36,4,0.00798542376910627,0.957062701183444,4.29105386725092e-52,"up"
"COL14A1",35,5,0.00901974224861446,0.957062701183444,2.81050963384507e-08,"down"
"DDX47",39,1,0.00903611901971169,0.957062701183444,4.17543378168624e-17,"up"
"RAPGEF1",38,2,0.0100126596943535,0.957062701183444,3.37888757916588e-10,"down"
"PRSS23",38,2,0.0104033586078752,0.957062701183444,0.370298568033357,"up"
"KDM5B",35,5,0.0110658174453775,0.957062701183444,0.000136687693603175,"up"
"PHF3",34,6,0.0123448868810878,0.957062701183444,0.34171909289715,"down"
"TRIM46",37,3,0.0126011187026065,0.957062701183444,4.91107476930988e-17,"up"
"SERPINE3",38,2,0.0126145992005453,0.957062701183444,7.47996746757974e-05,"up"
"FCGBP",36,4,0.0139414232756502,0.957062701183444,6.43248213287281e-14,"down"
"COL5A1",36,4,0.0142409485557795,0.957062701183444,9.49144825909858e-40,"up"
"CDK1",39,1,0.0149622938313021,0.957062701183444,7.74721393926736e-58,"up"
"GABRG1",37,3,0.0150591905810449,0.957062701183444,2.25691619784935e-08,"down"
"TEAD2",32,8,0.0157348825863506,0.957062701183444,0.00493943048618618,"up"
"CSMD1",35,5,0.0160021423660297,0.957062701183444,8.88849977100404e-06,"down"
"SLC52A2",39,1,0.0160231260646347,0.957062701183444,2.34096251393161e-74,"up"
"MAP1B",34,6,0.0164210527603843,0.957062701183444,6.43682746047361e-06,"down"
"SPTY2D1",39,1,0.0166383930802418,0.957062701183444,0.741319951686625,"down"
"WDR19",35,5,0.0178874462600543,0.957062701183444,5.04605728350924e-12,"up"
"MTSS1L",36,4,0.0180185487053828,0.957062701183444,0.398592599588414,"down"
"CLCA2",37,3,0.0180607417753991,0.957062701183444,0.301571082829573,"down"
"PMS1",37,3,0.0181561521563129,0.957062701183444,1.97012982669572e-42,"up"
"SMAD4",39,1,0.019000488761068,0.957062701183444,1.19350041020091e-15,"down"
"PLEKHA4",38,2,0.0194271705029198,0.957062701183444,4.58167774709411e-06,"up"
"MMP10",39,1,0.0205194498437725,0.957062701183444,7.76954132978956e-14,"up"
"NDUFS7",39,1,0.0206831436596816,0.957062701183444,0.00348051341127517,"down"
"BRIP1",37,3,0.0207193060390453,0.957062701183444,2.12155189127916e-45,"up"
"PORCN",36,4,0.0232010209254565,0.957062701183444,8.0794556762376e-42,"up"
"MATN3",38,2,0.0232862183674091,0.957062701183444,9.63013481301383e-17,"up"
"EP400",39,1,0.0241557960071144,0.957062701183444,6.26584580871366e-12,"up"
"RAPGEFL1",39,1,0.0243719908548305,0.957062701183444,3.30720242085467e-10,"down"
"TSC22D2",38,2,0.0250490557580003,0.957062701183444,0.562500231863262,"up"
"FGD5",37,3,0.0253550319472142,0.957062701183444,0.0218044001257209,"down"
"IGSF9B",36,4,0.0256054467222779,0.957062701183444,0.195771646030695,"down"
"SORCS2",39,1,0.0258163130466167,0.957062701183444,0.0117285633584858,"down"
"NR1H2",38,2,0.0264321580725813,0.957062701183444,1.63930853566912e-15,"down"
"KSR2",37,3,0.0273318235861328,0.957062701183444,0.0658038456334984,"down"
"RASGRP3",38,2,0.0282346551733937,0.957062701183444,0.0125748282497069,"down"
"RAB3GAP2",37,3,0.0283536235013928,0.957062701183444,2.03441459080991e-12,"up"
"SLC47A1",38,2,0.0287612067316637,0.957062701183444,1.21415925462286e-09,"down"
"SEMA6B",38,2,0.0294376883351174,0.957062701183444,0.531121439814747,"up"
"KLHL21",39,1,0.0298370228638436,0.957062701183444,0.00831823898008851,"up"
"KIF5C",37,3,0.031633944269003,0.957062701183444,1.34859126722191e-09,"down"
"CASR",38,2,0.0316588999092098,0.957062701183444,1.01569681392498e-09,"down"
"OPN4",38,2,0.0318080124784956,0.957062701183444,0.000438711670386495,"down"
"SMARCAD1",38,2,0.0320665692771436,0.957062701183444,3.51190428400797e-21,"up"
"INA",39,1,0.032173917960857,0.957062701183444,6.71330756306316e-09,"down"
"TEAD1",38,2,0.0328665308251163,0.957062701183444,0.126351889010951,"down"
"NCOR2",32,8,0.0338180821746267,0.957062701183444,7.45092578022521e-14,"up"
"ABCC12",38,2,0.0344822913357369,0.957062701183444,0.00589334363284938,"up"
"GRIA3",39,1,0.0351620258291231,0.957062701183444,2.28090267647931e-17,"down"
"NRK",38,2,0.0355368468096485,0.957062701183444,0.181986987414222,"down"
"MEF2C",39,1,0.0356046151903191,0.957062701183444,8.95355252730134e-18,"down"
"CRTC1",38,2,0.0357513884870886,0.957062701183444,0.278558200949855,"up"
"PHYHD1",39,1,0.0359606712089072,0.957062701183444,2.33110872960277e-08,"down"
"HIPK2",38,2,0.0364969296924982,0.957062701183444,0.00551195829116729,"down"
"TBC1D22A",39,1,0.0366233405861682,0.957062701183444,9.03964344004179e-08,"down"
"MPP5",37,3,0.0367077411419021,0.957062701183444,3.17581383034425e-16,"down"
"MPZ",39,1,0.0372399082769014,0.957062701183444,2.47745955612226e-10,"down"
"ITGB8",39,1,0.0375109726934801,0.957062701183444,2.70494382729561e-27,"up"
"RPAP1",39,1,0.0386964511451739,0.957062701183444,8.57915000631679e-16,"up"
"COL8A1",39,1,0.0389167961683514,0.957062701183444,4.10001670484386e-28,"up"
"MCM7",39,1,0.0393357986597315,0.957062701183444,1.26202493242485e-68,"up"
"EDARADD",38,2,0.0396414797385041,0.957062701183444,2.59482325538528e-08,"up"
"ANKRD44",38,2,0.0402795418192718,0.957062701183444,1.30274755750382e-08,"down"
"NRCAM",37,3,0.0406557937489139,0.957062701183444,2.43252416765844e-10,"up"
"CHRNA5",39,1,0.0407602428117783,0.957062701183444,5.79658454701138e-30,"up"
"ABL1",38,2,0.0411752252346684,0.957062701183444,2.8308140419454e-09,"down"
"KLHL17",38,2,0.0412337270848941,0.957062701183444,2.72639228991269e-75,"up"
"DGKG",38,2,0.0413083212121841,0.957062701183444,0.227187983570645,"up"
"SERPINB5",38,2,0.0413527664438679,0.957062701183444,4.43763303919115e-45,"up"
"MSX1",39,1,0.0414961418841598,0.957062701183444,1.21532135168919e-45,"up"
"PDE3B",37,3,0.041711472371177,0.957062701183444,5.40213947919136e-07,"down"
"DBF4",35,5,0.0418606181306475,0.957062701183444,1.56150638159245e-48,"up"
"PSG4",39,1,0.0426587796221002,0.957062701183444,0.0889498142803824,"up"
"CALD1",39,1,0.0427824548448722,0.957062701183444,0.000806456757525067,"down"
"LAMA3",38,2,0.043332296403008,0.957062701183444,0.0120046467880732,"down"
"RBM45",39,1,0.0434500156423426,0.957062701183444,6.14741783214569e-05,"up"
"KIF1A",38,2,0.0443329408751871,0.957062701183444,2.39026817244203e-07,"down"
"MED20",39,1,0.0447419856538819,0.957062701183444,8.35333223393408e-11,"up"
"PPP6C",39,1,0.0447433991807483,0.957062701183444,1.60386596924184e-09,"down"
"PLXNA2",36,4,0.0450761648823221,0.957062701183444,3.27436667478533e-13,"down"
"PHKA2",37,3,0.0453993681303102,0.957062701183444,6.29724386884178e-05,"up"
"PIP4K2B",39,1,0.0454956668186423,0.957062701183444,8.18037923801376e-05,"up"
"GABRA6",39,1,0.0459376838765759,0.957062701183444,0.0632915976404858,"up"
"KCNK12",39,1,0.0459977155862451,0.957062701183444,0.0373587799680537,"down"
"PIGZ",38,2,0.046270763882121,0.957062701183444,1.34006712793423e-12,"down"
"WDR31",38,2,0.0462758628290679,0.957062701183444,1.86980522759596e-18,"up"
"AEBP2",38,2,0.0464168194877852,0.957062701183444,2.48376471638962e-17,"up"
"GLIS3",39,1,0.0464402286846511,0.957062701183444,0.0765105355852438,"down"
"RGPD3",39,1,0.0465963841220776,0.957062701183444,0.909070768392864,"down"
"RRM2",39,1,0.0469484413053408,0.957062701183444,2.01521062061622e-36,"up"
"OGDH",39,1,0.047022678601445,0.957062701183444,2.58793705765844e-11,"down"
"ABCD4",38,2,0.0471022778046111,0.957062701183444,1.90855631367973e-07,"down"
"CYP8B1",39,1,0.0475534874599065,0.957062701183444,1.14719432863153e-07,"down"
"THBS1",39,1,0.0477014793098796,0.957062701183444,0.0840885515682295,"down"
"RIPK1",39,1,0.0480543234794329,0.957062701183444,2.24093090594715e-16,"down"
"CLPTM1L",38,2,0.0490784485534358,0.957062701183444,2.70560839876851e-12,"up"
"UBE2H",39,1,0.0494174868727293,0.957062701183444,4.55989433875657e-09,"up"
"FABP1",39,1,0.0495113251546512,0.957062701183444,1.26488251324417e-16,"down"
"EPB41L2",39,1,0.0495170609370639,0.957062701183444,3.75043636254454e-24,"up"
"ARHGEF37",39,1,0.0500616961381057,0.957062701183444,3.35525813933347e-19,"down"
"DHX38",39,1,0.0513816415220709,0.957062701183444,0.00812453455539198,"up"
"UNC45A",39,1,0.0516993323557198,0.957062701183444,0.60075585767113,"up"
"PER1",37,3,0.0518284004945289,0.957062701183444,6.8756339471298e-06,"down"
"HSPA8",39,1,0.0532907344184739,0.957062701183444,4.83441744759899e-21,"up"
"DDX4",39,1,0.0534391691205982,0.957062701183444,0.00556493780520313,"up"
"EPHA5",35,5,0.0535695311014502,0.957062701183444,1.90529660495811e-08,"down"
"DAK",39,1,0.0536646160968431,0.957062701183444,NA,NA
"BTN2A1",38,2,0.0539837923113556,0.957062701183444,2.53136509146062e-08,"up"
"WNK1",38,2,0.0543602541228294,0.957062701183444,7.7622351031674e-05,"up"
"SVIL",31,9,0.054643605452466,0.957062701183444,1.28363747529079e-05,"down"
"POLK",37,3,0.055484649434536,0.957062701183444,0.5723764177834,"up"
"G2E3",38,2,0.0561587249606299,0.957062701183444,8.63725624314875e-16,"up"
"HEYL",39,1,0.0563898785872824,0.957062701183444,1.78772197591717e-12,"up"
"CYP2R1",39,1,0.056692525906106,0.957062701183444,1.69433502674345e-07,"up"
"ADCK4",39,1,0.0569162400241527,0.957062701183444,NA,NA
