"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"FERMT2","FERMT2",-1,-1,36,"1.73158776206606e-09",1.13349734904844e-05,3.25337007549092e-05,0.999967466299245
"WWTR1","WWTR1",-1,-1,36,"2.64644151037885e-09",1.73209596854296e-05,5.80773162543067e-05,0.999941922683746
"CBX5","CBX5",-1,-1,36,"3.9014004249438e-09",2.55307643808322e-05,1,1.13352178481493e-16
"CDC42","CDC42",-1,-1,37,"7.25067417217673e-09",4.74411611085523e-05,2.35052292625252e-13,0.999999999999765
"WFIKKN1","WFIKKN1",-1,-1,36,"2.75071906363777e-08",0.000179952041143183,0.999748819540484,0.000251180459516144
"C5AR1","C5AR1",-1,-1,36,"4.39186215173137e-08",0.000287271703344749,0.927203018248751,0.0727969817512493
"CHMP4C","CHMP4C",-1,-1,36,"9.01738332892421e-08",0.000589736869711643,1,5.01884794403093e-22
"ZNF24","ZNF24",-1,-1,36,"2.3508504642944e-07",0.00153722111860211,1.3591249608969e-13,0.999999999999864
"SMURF2","SMURF2",-1,-1,37,"3.35645156002151e-07",0.00219444802994206,0.999999999875313,1.24686595695944e-10
"SDHAF2","SDHAF2",-1,-1,38,"3.40549389687972e-07",0.00222617136039027,0.999668113572375,0.000331886427625391
"MTAP","MTAP",-1,-1,34,"4.81225648440997e-07",0.00314529083821036,1,3.44544779720219e-60
"TSNARE1","TSNARE1",-1,-1,37,"7.26783827231792e-07",0.00474953231095976,1,4.52305392672817e-57
"BCKDK","BCKDK",-1,-1,36,"7.80427812707707e-07",0.00509931532823216,0.999999998581854,1.41814648861218e-09
"SNAP29","SNAP29",-1,-1,38,"8.99898349060457e-07",0.00587903591441197,1.39273591351228e-29,1
"FRMD3","FRMD3",-1,-1,37,"1.04978988091364e-06",0.0068572275021279,1.75374885912273e-17,1
"HBP1","HBP1",-1,-1,37,"1.07981444874561e-06",0.00705226816475758,9.33897319019162e-07,0.999999066102681
"USPL1","USPL1",-1,-1,32,"1.28585104930412e-06",0.0083966073519559,1,2.84336020442961e-69
"AMT","AMT",-1,-1,36,"1.50058255143914e-06",0.00979730347834614,6.67878963919596e-16,0.999999999999999
"HDAC6","HDAC6",-1,-1,36,"2.36499032379989e-06",0.0154386568337657,0.999991964887448,8.03511255185872e-06
"LATS1","LATS1",-1,-1,30,"2.37867362229416e-06",0.015525602732714,0.999045741547992,0.000954258452007924
"UBE2R2","UBE2R2",-1,-1,40,"3.15021757013589e-06",0.0205583198627068,1,5.62658733583434e-31
"DUSP14","DUSP14",-1,-1,38,"3.87851488037327e-06",0.0253073095944356,1,5.16876562287965e-46
"B3GNT7","B3GNT7",-1,-1,40,"4.83756502400734e-06",0.0315602742166239,6.10076247778185e-09,0.999999993899238
"CDX4","CDX4",-1,-1,38,"5.06957573720435e-06",0.033068842533784,0.959630120900749,0.040369879099251
"ACTA2","ACTA2",-1,-1,38,"5.53144103498937e-06",0.0360760584302007,0.000884134921113877,0.999115865078886
"MICB","MICB",-1,-1,35,"5.69145820716876e-06",0.0371139989689475,1,2.69284718393081e-17
"CP","CP",-1,-1,30,"5.84532171765684e-06",0.0381114975991226,2.04165375513801e-14,0.99999999999998
"VDAC2","VDAC2",-1,-1,38,"6.36527180286617e-06",0.0414952068828846,8.70583335006965e-10,0.999999999129417
"PRDM7","PRDM7",-1,-1,34,"6.73167313514078e-06",0.0438770454948476,0.999959691763053,4.030823694737e-05
"MECR","MECR",-1,-1,35,"6.7721650767183e-06",0.0441341998049732,1,1.95067242683846e-26
"RAG2","RAG2",-1,-1,35,"6.89431926348405e-06",0.0449233843208621,0.999998867051337,1.13294866343271e-06
"MDS2","MDS2",-1,-1,39,"9.94084905336923e-06",0.0647646315827005,0.999999999999999,1.35684438120683e-15
"TXN","TXN",-1,-1,38,"1.03526529888764e-05",0.0674371815695409,0.99999939873802,6.01261979484078e-07
"ERMAP","ERMAP",-1,-1,36,"1.09304680829814e-05",0.0711901386244579,5.52077170830355e-08,0.999999944792283
"RAB40C","RAB40C",-1,-1,38,"1.13367107913431e-05",0.0738246606732263,0.999660491611933,0.000339508388066889
"PRKCD","PRKCD",-1,-1,35,"1.13988224356154e-05",0.0742177328782919,2.6956988592362e-10,0.99999999973043
"L3MBTL4","L3MBTL4",-1,-1,33,"1.33345345495473e-05",0.0868078199175529,0.588765547991107,0.411234452008893
"GJD3","GJD3",-1,-1,38,"1.40882981135571e-05",0.0917007324211432,0.999993292105883,6.70789411741407e-06
"CDK19","CDK19",-1,-1,35,"1.49130223567884e-05",0.0970539494979789,0.00226869543134838,0.997731304568652
"BTN1A1","BTN1A1",-1,-1,37,"1.54271733378009e-05",0.10038461690907,0.999993484478162,6.5155218379415e-06
"PDE11A","PDE11A",-1,-1,33,"1.60102112319871e-05",0.104162434275308,0.333925764729867,0.666074235270133
"ADPRM","ADPRM",-1,-1,39,"1.60852489419216e-05",0.1046345443672,0.00458736012246999,0.99541263987753
"ANKLE2","ANKLE2",-1,-1,32,"1.70154153272817e-05",0.11066826128864,1,2.79044613321374e-42
"ARL14","ARL14",-1,-1,36,"1.7280463636471e-05",0.112374855027971,3.94782421936606e-11,0.999999999960522
"GBX2","GBX2",-1,-1,38,"1.7444945620726e-05",0.11342703642596,1,1.96645564630686e-24
"MXD1","MXD1",-1,-1,39,"1.74859418775597e-05",0.113676108146016,3.91478969121943e-13,0.999999999999609
"CDKAL1","CDKAL1",-1,-1,35,"1.86733117433224e-05",0.121376526331596,1,2.049296146607e-38
"HLX","HLX",-1,-1,40,"2.00556851842615e-05",0.130341898012516,0.000282231929768201,0.999717768070232
"TMEM130","TMEM130",-1,-1,30,"2.08504922242225e-05",0.135486498472998,1.43290400939558e-08,0.99999998567096
"STK33","STK33",-1,-1,34,"2.23618091107491e-05",0.145284673792537,0.00466561513614463,0.995334384863855
"CNGA1","CNGA1",-1,-1,38,"2.32873464075523e-05",0.15127460226346,1.92670073884115e-08,0.999999980732993
"GPIHBP1","GPIHBP1",-1,-1,38,"2.4102445653984e-05",0.156545384522626,2.33080879379631e-07,0.999999766919121
"FGF3","FGF3",-1,-1,38,"2.42851970453373e-05",0.15770806961242,0.999974315608248,2.56843917516359e-05
"SEMA3D","SEMA3D",-1,-1,37,"2.48397733352279e-05",0.161284648265635,2.33467799283893e-14,0.999999999999977
"DDX28","DDX28",-1,-1,35,"2.67088513093983e-05",0.173393862700614,1,2.47747059816558e-31
"TRIM13","TRIM13",-1,-1,36,"2.7252495838237e-05",0.176895950485996,0.999885280505353,0.000114719494646689
"KIAA1549","KIAA1549",-1,-1,20,"2.77747629340297e-05",0.180258211441853,1,7.34179627828849e-166
"TERT","TERT",-1,-1,35,"2.86041254463631e-05",0.18561217002145,1,1.16971387281672e-37
"HDAC11","HDAC11",-1,-1,39,"2.90340969680836e-05",0.188373221128926,0.979937962336747,0.0200620376632531
"KCNF1","KCNF1",-1,-1,36,"2.97814324974333e-05",0.19319215261085,0.000157220637350287,0.99984277936265
"FKBP14","FKBP14",-1,-1,34,"3.00719457755338e-05",0.195046640300112,0.999999999999276,7.2382647846608e-13
"SREK1IP1","SREK1IP1",-1,-1,39,"3.34749164914161e-05",0.217084833446833,0.999351682504197,0.0006483174958031
"MIB1","MIB1",-1,-1,35,"3.54256251835494e-05",0.229699753690134,0.860865671778381,0.139134328221619
"SPEN","SPEN",-1,-1,25,"3.69853624534455e-05",0.239776104785687,0.630580952754791,0.369419047245209
"GLDN","GLDN",-1,-1,36,"3.80590542053971e-05",0.246698789359384,9.14026635567626e-08,0.999999908597336
"MLNR","MLNR",-1,-1,32,"3.89902451177759e-05",0.252695778608306,0.124230673510462,0.875769326489538
"RALGAPA1","RALGAPA1",-1,-1,28,"4.18382976652421e-05",0.271112168870769,9.63970903058649e-14,0.999999999999904
"EXOC2","EXOC2",-1,-1,31,"4.21271518709077e-05",0.272941816971611,1,1.38637573121482e-17
"KLHL28","KLHL28",-1,-1,38,"4.27162503296996e-05",0.276715869635794,0.202451527198974,0.797548472801026
"SMARCA1","SMARCA1",-1,-1,33,"4.55453900161107e-05",0.294997491134349,0.000873095799605266,0.999126904200395
"CLOCK","CLOCK",-1,-1,35,"4.63160704535781e-05",0.299942872257372,0.999998602542559,1.39745744082836e-06
"MTHFSD","MTHFSD",-1,-1,34,"4.82696834078755e-05",0.312546200065994,1,1.83752936846786e-20
"OR6F1","OR6F1",-1,-1,36,"4.84799302125083e-05",0.313859068195779,0.420920888022968,0.579079111977032
"CEACAM19","CEACAM19",-1,-1,40,"5.05807664781255e-05",0.327409301412906,0.999999999993748,6.2524466317274e-12
"LRG1","LRG1",-1,-1,36,"5.27855733951643e-05",0.341628231013503,0.111959346864807,0.888040653135193
"TEF","TEF",-1,-1,37,"5.28108086766954e-05",0.341738742946896,8.790848110364e-17,1
"HIST1H1B","HIST1H1B",-1,-1,36,"5.51198937253083e-05",0.356625712402745,0.997992727429915,0.00200727257008457
"MADD","MADD",-1,-1,32,"5.76194720938172e-05",0.372740364974903,0.109262311713842,0.890737688286158
"MARCO","MARCO",-1,-1,35,"5.7923986273245e-05",0.374652343215349,0.130123271931719,0.869876728068281
"CXCR6","CXCR6",-1,-1,37,"5.98361854329266e-05",0.386960611194736,0.0137387047228032,0.986261295277197
"NEUROD1","NEUROD1",-1,-1,36,"6.26559448976272e-05",0.405133339708057,0.00379643347013272,0.996203566529867
"ORC5","ORC5",-1,-1,33,"6.4178815616267e-05",0.414916042959166,1,1.82465980891805e-45
"PEX7","PEX7",-1,-1,35,"6.52654200901104e-05",0.421875675462474,1,4.78135182040883e-19
"COG2","COG2",-1,-1,35,"6.71889787643432e-05",0.43424236975395,0.200995721077286,0.799004278922714
"DUSP19","DUSP19",-1,-1,38,"6.73400501088883e-05",0.435151403803636,1.60918358044827e-06,0.99999839081642
