"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"ADSL","ADSL",-1,-1,31,"1.20710182177249e-12",7.47799578588058e-09,1,4.18784535481134e-20
"CTNNB1","CTNNB1",-1,-1,28,"8.37750391231421e-12",5.18902592328742e-08,1,4.37757063503837e-54
"YAP1","YAP1",-1,-1,36,"1.62278962633766e-11",1.00499361559091e-07,0.999999999998916,1.0835538975687e-12
"LCN12","LCN12",-1,-1,38,"2.09875918158525e-10",1.29955168523759e-06,1,5.13902386293153e-47
"SDCBP","SDCBP",-1,-1,37,"1.53845589854947e-08",9.52458046791977e-05,0.185472250933093,0.814527749066907
"ATP6V1G2-DDX39B","ATP6V1G2-DDX39B",-1,-1,35,"2.16035260337482e-08",0.000133725826148901,0.135861960067724,0.864138039932276
"IDH1","IDH1",-1,-1,32,"2.63163074506152e-08",0.000162871626811857,0.0358782616252721,0.964121738374728
"RRN3P2","RRN3P2",-1,-1,38,"7.80555898687288e-08",0.000483007990107694,0.496336229297451,0.503663770702549
"CDX2","CDX2",-1,-1,34,"7.80950885481667e-08",0.000483174312847507,0.258114713643521,0.741885286356479
"CORO1B","CORO1B",-1,-1,36,"1.06880846818392e-07",0.000661164918418573,0.313425158290805,0.686574841709195
"TFRC","TFRC",-1,-1,34,"1.18947776964454e-07",0.000735692000525148,0.99999999997983,2.01704437990001e-11
"SDHC","SDHC",-1,-1,39,"1.33508118561173e-07",0.000825614205182294,1.97105855381684e-05,0.999980289414462
"UBA2","UBA2",-1,-1,35,"1.57801746966197e-07",0.000975688201491996,1,1.29212936106729e-46
"GATA6","GATA6",-1,-1,32,"1.82063037475014e-07",0.00112551369767054,0.809388078250807,0.190611921749193
"RRN3P1","RRN3P1",-1,-1,39,"1.99082883567369e-07",0.00123053130332991,1,8.62112869256581e-26
"FERMT1","FERMT1",-1,-1,33,"2.60469577868157e-07",0.00160970199122521,1,1.11747186484536e-80
"HRH3","HRH3",-1,-1,32,"2.86731613916426e-07",0.0017717146423896,0.879132542318424,0.120867457681576
"WNK1","WNK1",-1,-1,26,"2.92368212908624e-07",0.00180625081934948,0.999961188824484,3.8811175515837e-05
"CSNK1A1","CSNK1A1",-1,-1,37,"2.95996823179623e-07",0.00182837237678053,0.986025708261043,0.0139742917389571
"RRN3","RRN3",-1,-1,36,"3.08259657715948e-07",0.00190381164605369,1,5.69753377862939e-17
"MAPKAP1","MAPKAP1",-1,-1,35,"3.29001378136064e-07",0.0020315835099902,0.996302116072604,0.00369788392739607
"PPAT","PPAT",-1,-1,38,"4.54992632056729e-07",0.00280912451031824,1,6.08183158305745e-118
"DDX39B","DDX39B",-1,-1,32,"5.85902205405168e-07",0.0036167743139661,1,5.10870361179655e-21
"SMAD4","SMAD4",-1,-1,26,"7.17969715832256e-07",0.00443130908611668,5.96750205100455e-16,0.999999999999999
"GREB1","GREB1",-1,-1,28,"7.4786297338197e-07",0.00461506240874014,1,5.62441553126803e-26
"CHML","CHML",-1,-1,35,"7.72164796334456e-07",0.00476425679338359,1,9.37195227660273e-33
"GRB7","GRB7",-1,-1,37,"7.87038676818679e-07",0.00485524159729443,0.99999999995672,4.32803824552712e-11
"WEE1","WEE1",-1,-1,35,"7.91744024636386e-07",0.00488347714395723,1,3.4689434625636e-17
"CIT","CIT",-1,-1,25,"1.46880642801677e-06",0.00905812924157942,1,7.69166948450844e-36
"BIRC5","BIRC5",-1,-1,35,"1.49313098171241e-06",0.00920664563323872,1,2.98196755556555e-44
"PAF1","PAF1",-1,-1,37,"1.75673142042569e-06",0.0108302492069244,0.991193386065632,0.00880661393436757
"ADRBK1","ADRBK1",-1,-1,35,"1.92145474924242e-06",0.0118438470743303,NA,NA
"TCF7L2","TCF7L2",-1,-1,26,"1.99539373086389e-06",0.0122976115633142,4.60261897281404e-10,0.999999999539738
"PLRG1","PLRG1",-1,-1,35,"2.01260174388073e-06",0.0124016519457931,0.999978197230073,2.18027699271683e-05
"TACSTD2","TACSTD2",-1,-1,36,"2.48069780098495e-06",0.0152835791518683,1,7.37106425279778e-35
"TOP2A","TOP2A",-1,-1,32,"2.92315598194447e-06",0.0180066408487779,1,6.35780655568581e-61
"GSK3B","GSK3B",-1,-1,32,"2.92430047324917e-06",0.0180107666147416,1,4.17897864370941e-19
"VIT","VIT",-1,-1,33,"3.09020754357537e-06",0.0190294980533371,2.17099818775235e-11,0.99999999997829
"SCN2B","SCN2B",-1,-1,37,"3.14751067303839e-06",0.0193792232138974,1.49111436928467e-08,0.999999985088856
"IRF1","IRF1",-1,-1,38,"3.30596178463541e-06",0.0203515007462156,0.348289085697646,0.651710914302354
"LOC341056","LOC341056",-1,-1,39,"3.33278216713133e-06",0.0205132742386933,NA,NA
"FAM20B","FAM20B",-1,-1,37,"3.38763594050273e-06",0.0208475115778538,0.003120545232455,0.996879454767545
"SHOX2","SHOX2",-1,-1,34,"3.49202709216267e-06",0.0214864426980769,0.999999999999583,4.17193095153785e-13
"ATN1","ATN1",-1,-1,30,"3.76645956876845e-06",0.0231712592670635,0.0389829822920824,0.961017017707918
"CCNJL","CCNJL",-1,-1,33,"4.57162450628764e-06",0.0281200623381753,6.96560311099919e-11,0.999999999930344
"RPA3","RPA3",-1,-1,33,"4.96963368856653e-06",0.0305632471846842,1,4.16863044207651e-27
"SCD","SCD",-1,-1,36,"5.41311319431424e-06",0.0332852330318383,1,3.04214918694745e-45
"WDHD1","WDHD1",-1,-1,37,"5.89223508940781e-06",0.0362254613296792,1,3.25559303860688e-43
"CS","CS",-1,-1,34,"5.99710299910858e-06",0.0368641921355204,0.00549728307081723,0.994502716929183
"DDX47","DDX47",-1,-1,35,"6.33572765663676e-06",0.0389393821776895,1,2.08771689084312e-17
"NACC1","NACC1",-1,-1,34,"6.52495238588414e-06",0.040095832411258,0.999999969342943,3.06570566885945e-08
"ATP2A3","ATP2A3",-1,-1,34,"6.62232783204571e-06",0.0406875822000888,6.54035810927689e-18,1
"WRN","WRN",-1,-1,29,"6.70274591524083e-06",0.0411749681573244,0.999999999999996,3.96329133031309e-15
"CD79B","CD79B",-1,-1,38,"7.71982362731218e-06",0.0474151567189514,7.18798470695193e-06,0.999992812015293
"KLHL17","KLHL17",-1,-1,32,"8.32215539145576e-06",0.0511063562589298,1,1.36319614495635e-75
"CD46","CD46",-1,-1,35,"8.74159265787032e-06",0.0536733789193238,1,4.93034629183826e-87
"MAPK15","MAPK15",-1,-1,31,"8.77005139041024e-06",0.0538393454857285,1,7.20985566354475e-63
"GTF3C3","GTF3C3",-1,-1,34,"8.88099334273132e-06",0.0545115371376848,1,3.97897657410114e-57
"EEF1E1-MUTED","EEF1E1-MUTED",-1,-1,37,"1.1424783570571e-05",0.0701138967725942,NA,NA
"CCR2","CCR2",-1,-1,35,"1.22485951752778e-05",0.0751573799955046,9.45144642465265e-15,0.999999999999991
"MAMDC2","MAMDC2",-1,-1,34,"1.27918115810893e-05",0.0784777640499829,8.22505284227053e-13,0.999999999999178
"VRK3","VRK3",-1,-1,35,"1.30163153923823e-05",0.079842078616873,1.35890561857456e-06,0.999998641094381
"ACO2","ACO2",-1,-1,31,"1.36211670383541e-05",0.0835386174462257,5.22989724613937e-21,1
"KCNA6","KCNA6",-1,-1,32,"1.41783787504446e-05",0.0869418184977263,NA,NA
"AHCTF1","AHCTF1",-1,-1,27,"1.43490898065787e-05",0.087974269604134,1,2.89644082939929e-28
"PMP22","PMP22",-1,-1,36,"1.46645307272256e-05",0.0898935733578929,0.0018393201389208,0.998160679861079
"UBL5","UBL5",-1,-1,39,"1.50287260855974e-05",0.0921110621786265,0.999380876071156,0.000619123928843803
"KLF5","KLF5",-1,-1,25,"1.7981390021756e-05",0.110189958053321,0.00765429299760318,0.992345707002397
"WDR70","WDR70",-1,-1,33,"1.83176668961391e-05",0.112232345072644,0.999999999917827,8.21729152474431e-11
"GJB6","GJB6",-1,-1,37,"1.90101320317644e-05",0.116456068826589,0.999997253975983,2.74602401709359e-06
"PNPLA6","PNPLA6",-1,-1,30,"2.03640526688887e-05",0.124729822596943,0.820961299964474,0.179038700035526
"RPL22L1","RPL22L1",-1,-1,36,"2.04724314418473e-05",0.125373170149873,1,4.16144972190982e-65
"OGDH","OGDH",-1,-1,32,"2.05529686059032e-05",0.125845826773945,1.29396852882922e-11,0.99999999998706
"SPOPL","SPOPL",-1,-1,34,"2.07071722042698e-05",0.12676930823454,1.22070664306075e-06,0.999998779293357
"ALDH9A1","ALDH9A1",-1,-1,34,"2.0756222456625e-05",0.127048837657002,7.78366130716534e-12,0.999999999992216
"GTF3C2","GTF3C2",-1,-1,37,"2.12431469078359e-05",0.130008059075956,0.999999999999975,2.49047736869763e-14
"BHMT","BHMT",-1,-1,32,"2.13740993746012e-05",0.130788114073185,0.790216662860016,0.209783337139984
"ARL1","ARL1",-1,-1,37,"2.18409958938942e-05",0.133623212878845,0.648029767512389,0.351970232487611
"UBE2E2","UBE2E2",-1,-1,36,"2.21338613411261e-05",0.135392829823668,0.0013612589271115,0.998638741072889
"CLK4","CLK4",-1,-1,37,"2.37284247156823e-05",0.145123045561113,0.998091495434938,0.00190850456506218
"IBTK","IBTK",-1,-1,33,"2.41085549236777e-05",0.147423813358289,0.775023654664176,0.224976345335824
"XAF1","XAF1",-1,-1,36,"2.48671403650358e-05",0.152037696191829,0.999949189092748,5.08109072517542e-05
"THBS1","THBS1",-1,-1,34,"2.6555241918153e-05",0.162332193845669,0.0420442757841148,0.957955724215885
