"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"KSR2","KSR2",3,0.000127019600605682,37,"0.00200349480656858",0.431358563656896,0.0329019228167492,0.967098077183251
"PHF3","PHF3",6,0.000242088566986376,34,"0.0372384895296943",0.821890684918747,0.170859546448575,0.829140453551425
"ABCA10","ABCA10",4,0.00026051638569069,36,"0.264215983399258",0.884192613034202,7.91269087205516e-10,0.999999999208731
"CHD9","CHD9",8,0.000521083386209042,32,"0.00155909236333929",1,5.19197253713843e-07,0.999999480802746
"CARD11","CARD11",4,0.000668994939749701,36,"3.66175597996676e-05",1,0.999999999498106,5.01894222513853e-10
"TEAD1","TEAD1",2,0.000872571278930145,38,"0.0226831342492749",1,0.0631759445054753,0.936824055494525
"MYO3B","MYO3B",3,0.0010084247536617,37,"0.367655785382563",1,0.999999999999964,3.61974866293989e-14
"COL14A1","COL14A1",5,0.00262159646964755,35,"0.379853108665596",1,1.40525481692253e-08,0.999999985947452
"PAN3","PAN3",4,0.00277696076557177,36,"0.447334183910539",1,1,2.14552693362546e-52
"KIF5C","KIF5C",3,0.00295927697307741,37,"0.0273433931605664",1,6.74295633610954e-10,0.999999999325704
"KDM5B","KDM5B",5,0.00301529573007575,35,"0.333406574220318",1,0.999931656153198,6.83438468015877e-05
"FGD5","FGD5",3,0.00317481861144753,37,"0.0636174418275115",1,0.0109022000628604,0.98909779993714
"GABRG1","GABRG1",3,0.00329901009621025,37,"0.236587164661283",1,1.12845809892467e-08,0.999999988715419
"LARP4B","LARP4B",6,0.00384035138186711,34,"0.014367802191932",1,0.999999999999996,3.8858274811668e-15
"RAB3GAP2","RAB3GAP2",3,0.00410007220901809,37,"0.0624203772932452",1,0.999999999998983,1.01720729540495e-12
"G2E3","G2E3",2,0.00469622561681349,38,"0.00552401183195794",1,1,4.31862812157438e-16
"HIPK2","HIPK2",2,0.00498169198645593,38,"0.055538305892503",1,0.00275597914558364,0.997244020854416
"PIGZ","PIGZ",2,0.00499694983251597,38,"0.0184470730598498",1,6.70033563967116e-13,0.99999999999933
"ITGA6","ITGA6",6,0.00567712915523599,34,"0.000392677725051693",1,1,2.47359336348732e-22
"PLXNA2","PLXNA2",4,0.00623240475840969,36,"0.035767419876905",1,1.63718333739266e-13,0.999999999999836
"WWP1","WWP1",3,0.00695162678331551,37,"0.00061829456463991",1,0.999999999957943,4.20573989107139e-11
"WDR87","WDR87",5,0.00776175015276193,35,"0.0319681659152221",1,0.988119619837289,0.0118803801627105
"RFXANK","RFXANK",2,0.00795876530372186,38,"0.995528903561267",1,1,3.40473963818096e-23
"WDR27","WDR27",2,0.00805540998427678,38,"0.000564565517733984",1,1,1.13996779926187e-35
"HTR1F","HTR1F",3,0.00919660230963759,37,"0.00892363573880994",1,0.999999999938497,6.1503368752065e-11
"HDGF","HDGF",3,0.00958379748668337,37,"0.000387119734331698",1,1,8.82306397586296e-49
"LATS1","LATS1",3,0.0100755268465363,37,"9.93048746689151e-06",1,0.999045741547992,0.000954258452007924
"BRIP1","BRIP1",3,0.0101228019454073,37,"0.371101207354979",1,1,1.06077594563958e-45
"NR1H2","NR1H2",2,0.0114098026725327,38,"0.342370205617242",1,8.19654267834562e-16,0.999999999999999
"ARAP1","ARAP1",2,0.0114573421604248,38,"9.46302226147999e-05",1,0.488753516902877,0.511246483097123
"ANO1","ANO1",3,0.0115863609662016,37,"0.894851026989795",1,1,1.6322169755259e-22
"WDR19","WDR19",5,0.0121858569540159,35,"0.545269004263164",1,0.999999999997477,2.52302864175462e-12
"ABCC12","ABCC12",2,0.0134929328250157,38,"0.214805694899159",1,0.997053328183575,0.00294667181642469
"EXO1","EXO1",3,0.0135474249624842,37,"0.00273131287580031",1,1,2.12099841579046e-59
"PRSS23","PRSS23",2,0.0135934852782887,38,"0.922288170656081",1,0.814850715983321,0.185149284016679
"FCGBP","FCGBP",4,0.0137150047008373,36,"0.690451571653569",1,3.21624106643641e-14,0.999999999999968
"PLEKHA4","PLEKHA4",2,0.015547958987905,38,"0.671453328498464",1,0.999997709161127,2.29083887354706e-06
"RBM23","RBM23",3,0.0160677079281818,37,"0.000258775091102281",1,2.18355228965153e-08,0.999999978164477
"ARHGEF7","ARHGEF7",2,0.0163112710745668,38,"0.00381927078890709",1,1,5.41486472348165e-20
"DGKG","DGKG",2,0.0168536681402898,38,"0.169909948248627",1,0.886406008214678,0.113593991785322
"EPHA5","EPHA5",5,0.0168824274702787,35,"0.166210262246778",1,9.52648302479054e-09,0.999999990473517
"ATP10A","ATP10A",5,0.0176080625358069,35,"0.00243545631881237",1,0.995904373152419,0.00409562684758109
"POLK","POLK",3,0.0176592113455745,37,"0.0819440759731725",1,0.7138117911083,0.2861882088917
"SOS2","SOS2",6,0.0183531425262842,34,"0.0467699434328847",1,5.72580044891787e-21,1
"OPN4","OPN4",2,0.0185046909548959,38,"0.371513057223536",1,0.000219355835193247,0.999780644164807
"CBX8","CBX8",3,0.0187494804983502,37,"0.00364335717946074",1,1,6.7420654356552e-158
"MPP5","MPP5",3,0.0190986739166586,37,"0.278585456006648",1,1.58790691517212e-16,1
"GABRB1","GABRB1",2,0.0191269029765881,38,"0.0113918642759469",1,0.999999999854533,1.45467149045888e-10
"ABCD4","ABCD4",2,0.0191717403866616,38,"0.135301742556215",1,9.54278156839863e-08,0.999999904572184
