"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"CCNE1","CCNE1",2,3.98754871398811e-06,10,"0.00810549345325434",0.0071775876851786,1,2.01788762749803e-41
"RBM38","RBM38",3,0.00145516054795538,9,"0.667654815557892",1,0.99999999380723,6.1927700691599e-09
"MECOM","MECOM",2,0.00145634249157556,10,"0.177015973459787",1,1,9.99994416598157e-20
"PAX8","PAX8",3,0.00250495002517344,9,"0.27299587490851",1,0.999999999990394,9.60617305609633e-12
"UCKL1","UCKL1",4,0.00848251203224215,8,"0.753229810173536",1,0.999999780047473,2.19952527357115e-07
"JMJD8","JMJD8",2,0.0100017871467157,10,"0.768875250769789",1,0.99411780132167,0.0058821986783299
"FBXL20","FBXL20",2,0.0103486765208387,10,"0.748546492884551",1,0.0748236404554594,0.925176359544541
"FAM210B","FAM210B",3,0.0109950550694403,9,"0.47039531552605",1,0.158255185654247,0.841744814345753
"KCTD5","KCTD5",2,0.0133494893635884,10,"0.469136284332298",1,1,2.90169409662872e-18
"APCDD1L","APCDD1L",3,0.0140752850354248,9,"0.219259868629839",1,0.997648061869371,0.00235193813062918
"PLEKHF1","PLEKHF1",2,0.0261793522774668,10,"0.17831000521948",1,0.999520615402687,0.0004793845973132
"CCDC132","CCDC132",2,0.0302964612597882,10,"0.26226966099697",1,NA,NA
"GNAS","GNAS",3,0.0331849967352725,9,"0.390788552047079",1,1,1.00130140985647e-18
"MMP9","MMP9",2,0.0504656687869998,10,"0.00523871399879231",1,0.999999996469998,3.53000158465441e-09
"PMEPA1","PMEPA1",3,0.0539502481525066,9,"0.119575286645256",1,0.00122947135964611,0.998770528640354
"GSTT1","GSTT1",3,0.0567525563690004,9,"0.249590441648062",1,NA,NA
"DLX5","DLX5",2,0.0577114977372787,10,"0.124070401540531",1,1,1.57110384687929e-17
"ARFRP1","ARFRP1",4,0.0615130965669551,8,"0.533466513520227",1,0.0496326780512816,0.950367321948718
"BIRC7","BIRC7",4,0.0678280802519055,8,"0.820027757269467",1,0.999998268880964,1.73111903604691e-06
"VAPB","VAPB",3,0.0731291536016741,9,"0.0231236866335591",1,0.0355559805266927,0.964444019473307
"LASP1","LASP1",2,0.0792112533627678,10,"0.55994605047023",1,0.991433737730815,0.00856626226918529
"NKAIN4","NKAIN4",4,0.0812308581968529,8,"0.248634270440962",1,0.999999999982036,1.79636137859722e-11
"OSBPL2","OSBPL2",4,0.0893535964125317,8,"0.239681939262833",1,0.999999999999976,2.3659485229343e-14
"CSNK1D","CSNK1D",2,0.0954544852966559,10,"0.599884214467361",1,0.999752674866369,0.000247325133631508
"SLC13A3","SLC13A3",2,0.100313218313624,10,"0.344908067082238",1,0.401490954286256,0.598509045713744
"TDRD12","TDRD12",2,0.106701138458215,10,"0.496961308921737",1,0.99982962209618,0.000170377903819543
"CYP24A1","CYP24A1",3,0.108368191582976,9,"0.811911934733646",1,0.148998934301404,0.851001065698596
"DYNC1I1","DYNC1I1",2,0.10881325971829,10,"0.0957164062113406",1,0.998720777223346,0.00127922277665356
"WDR24","WDR24",2,0.108849857127677,10,"0.00900219559201951",1,0.999999999999685,3.14876866046428e-13
"SERPINI2","SERPINI2",2,0.110281955753517,10,"0.212487899279378",1,0.399323103012545,0.600676896987455
"RAB32","RAB32",2,0.115839491573175,10,"0.647814003084847",1,0.00165882364623523,0.998341176353765
"ASB4","ASB4",2,0.116255194453212,10,"0.752010477604056",1,0.0392674357981411,0.960732564201859
