"","#wt","#mut","pvalue","p_adj","tcga_pvalue","tcga_tumor_vs_normal"
"EPHA2",11,1,0.0061974534280586,0.851720175849049,0.00572506353908443,"up"
"RBM38",9,3,0.00697978399500046,0.851720175849049,1.23855401383198e-08,"up"
"TMEM189-UBE2V1",10,2,0.00982056252371851,0.851720175849049,0.844927048196556,"down"
"WDHD1",11,1,0.0108540324645308,0.851720175849049,6.99322027370429e-37,"up"
"PDE4B",11,1,0.0110593809645093,0.851720175849049,0.151281445557209,"down"
"GPR160",11,1,0.0112687812832987,0.851720175849049,1.84004474075856e-20,"up"
"UCKL1",8,4,0.0114235144584764,0.851720175849049,4.39905054714229e-07,"up"
"TCF15",11,1,0.0131057208246327,0.851720175849049,6.52099481459783e-08,"up"
"JMJD8",10,2,0.0131313915277309,0.851720175849049,0.0117643973566598,"up"
"THOC3",11,1,0.0131547028815528,0.851720175849049,2.78245991444078e-21,"up"
"LOC728554",11,1,0.0131547028815528,0.851720175849049,NA,NA
"FBXL20",10,2,0.0143194049058264,0.851720175849049,0.149647280910919,"down"
"TJP1",11,1,0.0150895595206402,0.851720175849049,2.43642203201025e-07,"down"
"LOC649395",11,1,0.0157684635517147,0.851720175849049,NA,NA
"MST1P2",10,2,0.0159690749388908,0.851720175849049,4.17379170843625e-09,"up"
"RHO",11,1,0.0181916117004398,0.851720175849049,0.148984636331685,"up"
"NCOA7",11,1,0.0191827918441711,0.851720175849049,0.808994118778608,"up"
"CYP21A2",11,1,0.0194077338486946,0.851720175849049,0.92353978397436,"down"
"CYP21A1P",11,1,0.0194077338486946,0.851720175849049,0.0589278273750886,"down"
"KAT6B",11,1,0.0210866980956808,0.851720175849049,7.77396419998008e-07,"down"
"FYN",11,1,0.0218021976868319,0.851720175849049,2.71944073361264e-16,"down"
"DPCR1",11,1,0.0225331625570818,0.851720175849049,0.00463391697618354,"up"
"PTK6",8,4,0.0233229926541042,0.851720175849049,6.49111643767318e-32,"up"
"OR2T35",9,3,0.0237537331750836,0.851720175849049,0.649871591393498,"down"
"PRDM14",11,1,0.0261117273165817,0.851720175849049,0.397187062285022,"up"
"TMEM207",11,1,0.0266225039752357,0.851720175849049,0.0245109979044876,"up"
"FOXP2",11,1,0.0273179472901635,0.851720175849049,7.79714110618425e-06,"down"
"FABP9",11,1,0.0285161700600206,0.851720175849049,0.000411107376505883,"up"
"PDE7B",11,1,0.0287634077838575,0.851720175849049,5.02323492320533e-08,"down"
"PABPN1L",11,1,0.0289423987171356,0.851720175849049,0.0771098205555929,"down"
"FUBP1",11,1,0.0303319341786678,0.851720175849049,1.17907982045313e-08,"up"
"DCAF4L2",11,1,0.0304380237699142,0.851720175849049,0.0116642862734519,"up"
"PRKACB",11,1,0.0306399626145786,0.851720175849049,5.49014287501019e-10,"down"
"RBFOX3",11,1,0.0307453445500835,0.851720175849049,0.000148551576656012,"down"
"PAX8",9,3,0.0310635785816127,0.851720175849049,1.92123461121927e-11,"up"
"HIST1H2BD",11,1,0.0311537087698526,0.851720175849049,3.64606842006579e-21,"up"
"FAM210B",9,3,0.0315984832449227,0.851720175849049,0.316510371308495,"down"
"SLC7A14",11,1,0.0329709466719417,0.851720175849049,0.380411166230257,"up"
"KCTD5",10,2,0.0331545454112821,0.851720175849049,5.80338819325744e-18,"up"
"EPB41L1",11,1,0.0334343731899579,0.851720175849049,1.15782389711861e-06,"down"
"RAET1G",11,1,0.0338183037780073,0.851720175849049,0.000426080606742473,"up"
"SMARCB1",11,1,0.035394052036775,0.851720175849049,9.90161162024916e-05,"up"
"MYBL1",11,1,0.035725726045488,0.851720175849049,8.73499352458416e-08,"up"
"ISL1",11,1,0.0382244555424683,0.851720175849049,0.933096322904201,"up"
"KIF9",11,1,0.0387320261091894,0.851720175849049,7.30246918056871e-05,"up"
"ARF1",11,1,0.0389626058572811,0.851720175849049,3.15624587499662e-34,"up"
"SSH2",11,1,0.0389859195074226,0.851720175849049,1.05089982578631e-20,"up"
"AIFM3",11,1,0.0390578747744698,0.851720175849049,9.53276760301143e-25,"up"
"BIRC7",8,4,0.0390584262007309,0.851720175849049,3.46223807209382e-06,"up"
"ALDOC",11,1,0.0395901681975205,0.851720175849049,0.765160953464391,"down"
"PMS2CL",11,1,0.0397557401988548,0.851720175849049,0.000238072135474883,"up"
"DLX3",11,1,0.0406081314418853,0.851720175849049,2.34104290962206e-23,"up"
"SDHA",11,1,0.0409730406399079,0.851720175849049,8.48231079478327e-22,"up"
"MECOM",10,2,0.0414860668706045,0.851720175849049,1.99998883319631e-19,"up"
"ATP5J2-PTCD1",11,1,0.0425740285968384,0.851720175849049,0.810705917887548,"down"
"ABHD13",11,1,0.0428020244093325,0.851720175849049,8.37250898114483e-06,"down"
"CP",11,1,0.0439975563180929,0.851720175849049,7.59273055122102e-14,"up"
"BCL6",11,1,0.044098387623529,0.851720175849049,3.27838728161855e-05,"down"
"ERAL1",11,1,0.0453207583959947,0.851720175849049,1.7439564132869e-25,"up"
"PLCE1",11,1,0.0458323358324566,0.851720175849049,0.00204347014677136,"down"
"RBM15",11,1,0.0471270662660631,0.851720175849049,1.87617906898078e-11,"up"
"NGFR",11,1,0.0471769200656724,0.851720175849049,0.000621829301394782,"down"
"THOC6",11,1,0.047376758160183,0.851720175849049,4.8201542233025e-11,"up"
"LY6K",11,1,0.0475042806357924,0.851720175849049,7.33485658156138e-21,"up"
"RSPO3",11,1,0.0475567355366002,0.851720175849049,9.93012433406008e-07,"down"
"ANKRD31",11,1,0.0481437189129479,0.851720175849049,0.0172218903570345,"down"
"DDX51",11,1,0.0482013508719521,0.851720175849049,0.645088611321614,"up"
"COL7A1",11,1,0.0485367055356721,0.851720175849049,0.285357625418321,"down"
"CREBBP",11,1,0.0485622221772263,0.851720175849049,7.58180337766674e-08,"down"
"PIK3CG",11,1,0.048908914355736,0.851720175849049,0.455891395140729,"down"
"GRK7",11,1,0.0489252504202083,0.851720175849049,0.093681023300844,"up"
"LY6G6F",11,1,0.0489626063673914,0.851720175849049,0.00648177509559798,"up"
"COL1A2",9,3,0.0492964573519432,0.851720175849049,0.00827016774025053,"down"
"ZBTB12",11,1,0.0501200873707178,0.851720175849049,0.00100821187618723,"up"
"CNOT6",11,1,0.0502510916335894,0.851720175849049,2.46871652450309e-15,"up"
"ACOT11",11,1,0.0510694203731372,0.851720175849049,1.6254600467319e-08,"up"
"GRAPL",11,1,0.0513380735488487,0.851720175849049,0.00138806205946599,"down"
"COPS8",11,1,0.0514205882466795,0.851720175849049,9.85038341765073e-05,"down"
"ADIPOQ",11,1,0.0527403526369793,0.851720175849049,0.501478988934019,"down"
"SNAI1",11,1,0.0533127025532247,0.851720175849049,0.00136593148492751,"down"
"PTGER4",11,1,0.0560767721322107,0.851720175849049,0.000576822895336388,"down"
"CEACAM3",11,1,0.0565988850174456,0.851720175849049,2.62931571093364e-16,"up"
"TTC22",11,1,0.057135378330535,0.851720175849049,0.193972164785592,"up"
"UBE2V1",11,1,0.0571908320641328,0.851720175849049,0.00206869621566131,"up"
"CYHR1",11,1,0.0576891640294049,0.851720175849049,7.34448495118297e-12,"up"
"POU3F2",11,1,0.0576971437252764,0.851720175849049,0.00912759567823476,"up"
"ZSCAN16",11,1,0.0582632433026854,0.851720175849049,1.73890677014382e-19,"up"
"DCLRE1B",11,1,0.0586933702459388,0.851720175849049,4.63750516167957e-18,"up"
"NAT8",11,1,0.0590690627820092,0.851720175849049,0.742535003476755,"down"
"NSUN2",11,1,0.0592046643670797,0.851720175849049,1.04457082319019e-13,"up"
"UBE2J1",11,1,0.0599712916642116,0.851720175849049,0.151595227476204,"down"
"CBX2",11,1,0.0600975265785993,0.851720175849049,5.72589410779202e-77,"up"
"WWP1",11,1,0.0602817625552814,0.851720175849049,7.93189521305234e-06,"down"
"DRD2",11,1,0.0603285792404432,0.851720175849049,0.000517899840239976,"down"
"CYP24A1",9,3,0.0617715277244971,0.851720175849049,0.297997868602808,"down"
"LRRC34",11,1,0.0619148485476415,0.851720175849049,0.00960330695972177,"down"
"ITGB5",11,1,0.0623263478051082,0.851720175849049,0.859103367953899,"down"
"CD8B",11,1,0.0632814608809987,0.851720175849049,2.34362345890386e-06,"up"
"GRAP",11,1,0.063381603626846,0.851720175849049,1.41764032436775e-05,"down"
"UBR5",11,1,0.063763271448545,0.851720175849049,0.895684797513182,"up"
"LOC440354",11,1,0.0641785189840111,0.851720175849049,NA,NA
"VPS28",11,1,0.0645348715276246,0.851720175849049,1.9183131347035e-06,"up"
"COL9A3",8,4,0.0647108961761784,0.851720175849049,5.64324211572383e-06,"up"
"SETD2",11,1,0.0650795857023969,0.851720175849049,0.0613962500934574,"down"
"L3MBTL1",11,1,0.0654251409969834,0.851720175849049,0.105478748930935,"down"
"EDN1",11,1,0.0654515552082274,0.851720175849049,0.00103797289423885,"down"
"ACAD11",11,1,0.0657456032237969,0.851720175849049,0.000775945223972363,"down"
"NPHP3-ACAD11",11,1,0.0657456032237969,0.851720175849049,0.169513887283621,"down"
"DYRK1B",11,1,0.0672102516481842,0.851720175849049,3.40708323093905e-12,"up"
"F13A1",11,1,0.0672282311092783,0.851720175849049,0.0226833825617303,"down"
"HSF1",11,1,0.0673631956207017,0.851720175849049,1.09809002703634e-12,"up"
"RNF19A",11,1,0.0681198429518246,0.851720175849049,1.30156734781467e-07,"down"
"STARD7",11,1,0.0682622523877787,0.851720175849049,2.89141456823924e-05,"up"
"ASPN",11,1,0.0682956154122377,0.851720175849049,2.24862700472114e-05,"down"
"CDH6",11,1,0.0688738736309078,0.851720175849049,3.06990166119314e-05,"up"
"LRIG2",11,1,0.0693637493005524,0.851720175849049,4.64702118713975e-07,"down"
"ARPC1B",11,1,0.0697421624567818,0.851720175849049,1.5753168949249e-20,"up"
"CDK7",11,1,0.070208888965779,0.851720175849049,5.38966863064005e-17,"up"
"WWTR1",11,1,0.0706064027895966,0.851720175849049,1.91138016521946e-08,"down"
"PSPH",11,1,0.0709681417981744,0.851720175849049,0.000254231429301011,"up"
"NAA40",11,1,0.070993141691428,0.851720175849049,5.54246293400098e-16,"up"
"DLG1",8,4,0.071250374970919,0.851720175849049,2.006007046511e-07,"up"
"CDC25A",11,1,0.0714034778215692,0.851720175849049,1.76484029468166e-49,"up"
"MFI2",8,4,0.0714343099384063,0.851720175849049,NA,NA
"PRKCZ",11,1,0.071434875816999,0.851720175849049,7.56410764743324e-13,"up"
"WDR45L",11,1,0.0714694258492351,0.851720175849049,NA,NA
"MMEL1",11,1,0.0718787163268738,0.851720175849049,1.29095413199971e-06,"up"
"NPTX1",11,1,0.0730342928587068,0.851720175849049,0.149367822707982,"down"
