"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"BRCA1","BRCA1",3,4.30656754633311e-05,9,"0.199750410995625",0.163821829462512,1,4.23107904092877e-33
"NTNG1","NTNG1",2,4.77803556131287e-05,10,"0.19858812582882",0.181708692396728,0.975985548243817,0.0240144517561827
"CHRM4","CHRM4",3,5.30451365402784e-05,9,"0.00844945914522927",0.201677609126138,0.999999993621181,6.37881857764416e-09
"CTNNB1","CTNNB1",5,0.000319198549010179,7,"0.525195631831718",1,0.000142453857577718,0.999857546142422
"PSAT1","PSAT1",2,0.000461947657033328,10,"0.405929910002564",1,1,7.34510607799253e-19
"RSF1","RSF1",2,0.000485452696846238,10,"0.0931312207345204",1,1.75537322817906e-07,0.999999824462677
"WDR70","WDR70",2,0.000569732547622811,10,"0.00117695105010278",1,0.782800985203234,0.217199014796766
"NR3C2","NR3C2",2,0.000590542961962392,10,"0.538892604907348",1,1.35348693034395e-09,0.999999998646513
"SH2D2A","SH2D2A",3,0.000902088429517317,9,"0.146742843074392",1,0.999999988991384,1.10086160300879e-08
"ZFHX3","ZFHX3",3,0.00104824337065222,9,"0.626877090363284",1,0.999248612473197,0.000751387526803497
"FKBP10","FKBP10",3,0.00127494444177407,9,"0.132014177887296",1,0.978352822501952,0.0216471774980484
"PRMT10","PRMT10",2,0.00144534446302143,10,"0.11173680131042",1,NA,NA
"PRKDC","PRKDC",4,0.00149938509586211,8,"0.452007150987037",1,0.999999999999819,1.80756277452448e-13
"LCP1","LCP1",2,0.00172456139741809,10,"0.802848367970837",1,0.999999990585196,9.41480433369539e-09
"GLI3","GLI3",3,0.00177341164986822,9,"0.00398430093719497",1,8.32475346402041e-09,0.999999991675247
"SCAP","SCAP",5,0.00184387389671781,7,"0.0935444228680224",1,0.999999991035758,8.96424211868574e-09
"ERBB4","ERBB4",2,0.00309986753777095,10,"0.188076363887608",1,0.979443634335461,0.0205563656645394
"POLE","POLE",5,0.00335871167138681,7,"0.400853456425429",1,1,2.0961763300563e-27
