"","#wt","#mut","pvalue","p_adj","tcga_pvalue","tcga_tumor_vs_normal"
"ALX4",10,2,0.00550746077975971,0.87734561886086,0.00432602181357016,"up"
"LCP1",10,2,0.0070135891892339,0.87734561886086,1.88296086673908e-08,"up"
"F13A1",11,1,0.00708696695172974,0.87734561886086,0.0226833825617303,"down"
"GTF3C1",9,3,0.00723226686912908,0.87734561886086,1.45481481707764e-07,"up"
"ZFHX3",9,3,0.00728638922431327,0.87734561886086,0.00150277505360699,"up"
"AR",10,2,0.00745542241603711,0.87734561886086,2.48406800371371e-10,"down"
"NOTCH3",7,5,0.00751113228886433,0.87734561886086,4.07250742279522e-06,"up"
"CTNNB1",7,5,0.00857329667596612,0.87734561886086,0.000284907715155435,"down"
"PIK3CA",5,7,0.00893617955133668,0.87734561886086,0.000239976982868502,"down"
"NCBP2",11,1,0.00928357117852546,0.87734561886086,1.32563560804521e-06,"up"
"ACVR2A",11,1,0.00948208989525023,0.87734561886086,2.95322460742607e-07,"down"
"MCF2L",11,1,0.0108217758312932,0.87734561886086,7.68898310207852e-12,"up"
"COL4A3",7,5,0.0124065699199448,0.87734561886086,0.973391457410287,"down"
"ZNF197",9,3,0.0130448086415858,0.87734561886086,3.77142410068975e-06,"down"
"CYP26B1",11,1,0.0135020273622102,0.87734561886086,0.0534881233860091,"down"
"GPR65",10,2,0.0135617770041778,0.87734561886086,0.462585809466353,"up"
"KSR2",9,3,0.013617955913741,0.87734561886086,0.0407917010031761,"up"
"NR3C2",10,2,0.013914314424593,0.87734561886086,2.7069738606879e-09,"down"
"CDRT1",10,2,0.0139203776567581,0.87734561886086,6.79657732013749e-06,"up"
"RAPGEF1",8,4,0.0139859743959785,0.87734561886086,4.54373560953246e-07,"down"
"SOX3",8,4,0.0141504705407164,0.87734561886086,0.0355254369092769,"down"
"PTPN11",11,1,0.0150501611532558,0.87734561886086,0.000118908717138867,"down"
"PKN2",11,1,0.015605346363037,0.87734561886086,2.41005392105431e-09,"down"
"SQSTM1",9,3,0.0157251392688472,0.87734561886086,0.32774351657568,"down"
"PRKDC",8,4,0.0161161795821301,0.87734561886086,3.61512554904895e-13,"up"
"NFAT5",10,2,0.0166881936218311,0.87734561886086,0.00151309382537119,"down"
"ZGPAT",9,3,0.0174096106446023,0.87734561886086,0.0086314114631452,"up"
"SETDB1",8,4,0.0175186235271541,0.87734561886086,1.51601908825901e-20,"up"
"ZEB2",10,2,0.0178179911491223,0.87734561886086,1.7799022585129e-09,"down"
"YAP1",11,1,0.0183298884715043,0.87734561886086,4.26631894623518e-10,"down"
"TEAD1",11,1,0.0184857370864861,0.87734561886086,1.08156324598924e-11,"down"
"SLC47A1",10,2,0.0188986357514651,0.87734561886086,4.55314054012155e-05,"up"
"GALK1",10,2,0.0192304683814084,0.87734561886086,3.7471311738813e-18,"up"
"PSAT1",10,2,0.0192512712818974,0.87734561886086,1.46902121559851e-18,"up"
"BRCA1",9,3,0.0196523542170963,0.87734561886086,8.46215808185754e-33,"up"
"RALGAPB",9,3,0.0198466731798707,0.87734561886086,0.75080029755251,"down"
