"","#wt","#mut","pvalue","p_adj","tcga_pvalue","tcga_tumor_vs_normal"
"WDR49",10,2,0.00322489254478631,0.904741327396438,0.9579481484329,"down"
"DHX29",10,2,0.00389371741540723,0.904741327396438,0.0134289189696738,"down"
"SI",10,2,0.00608606059149075,0.904741327396438,0.0880599901445235,"up"
"DDX39B",11,1,0.00630831773309193,0.904741327396438,0.123718177804938,"up"
"ARHGAP39",10,2,0.00713315150745586,0.904741327396438,0.000227725130514792,"up"
"MEOX2",10,2,0.00765906115784432,0.904741327396438,0.000440109791072352,"down"
"BRD3",10,2,0.00859967814146967,0.904741327396438,0.00180491519178169,"down"
"ARPC1A",10,2,0.00895536106171435,0.904741327396438,1.8704909111383e-15,"up"
"SOX3",10,2,0.00949650011530423,0.904741327396438,0.0355254369092769,"down"
"KIF26A",10,2,0.0101487080760418,0.904741327396438,6.06494821622328e-08,"down"
"RBM39",11,1,0.012426707654177,0.904741327396438,0.140130298252714,"down"
"XPO4",10,2,0.0142883645631425,0.904741327396438,0.0145080590480146,"down"
"PPEF1",11,1,0.0148406622806384,0.904741327396438,2.63361535111424e-05,"up"
"GPR162",10,2,0.0153583343136576,0.904741327396438,0.00715958538562778,"down"
"PDK4",11,1,0.0155045837028707,0.904741327396438,0.000121675582558967,"down"
"HTR3A",11,1,0.0158890103116203,0.904741327396438,1.45621979965507e-06,"up"
"MED25",9,3,0.015954354311735,0.904741327396438,3.58721583048568e-08,"up"
"IL1RAP",11,1,0.0166891178812558,0.904741327396438,0.639008553110572,"up"
"LGSN",11,1,0.0191322717156134,0.904741327396438,1.84591642773821e-22,"up"
"EED",10,2,0.019460354303527,0.904741327396438,3.34204370488596e-11,"up"
"HKDC1",11,1,0.0209761717763159,0.904741327396438,1.3476581241727e-14,"up"
"MEP1A",11,1,0.0215729410162417,0.904741327396438,2.75278165196596e-06,"up"
"COPS3",11,1,0.0221098576983104,0.904741327396438,1.24374774049704e-10,"up"
"BRWD3",11,1,0.0223010962163048,0.904741327396438,2.83799705699155e-10,"up"
"TNKS2",10,2,0.0223368636747235,0.904741327396438,4.43958260496163e-05,"down"
"WDR82",11,1,0.022970799639653,0.904741327396438,0.337155971703084,"up"
"ZFP36L2",10,2,0.0261326301003565,0.904741327396438,1.53997581688089e-08,"down"
"DDX19B",11,1,0.0271848758551648,0.904741327396438,0.627657788168647,"up"
"RCBTB2",11,1,0.0284126789813057,0.904741327396438,1.00416039909292e-17,"down"
"TBL1X",11,1,0.0288012525551222,0.904741327396438,1.80883913417244e-10,"down"
"POU2F2",11,1,0.0301867583348573,0.904741327396438,0.00014053531711565,"up"
"ALPP",11,1,0.0316123350692727,0.904741327396438,2.02526707362285e-10,"up"
"WDR35",11,1,0.0323123909810072,0.904741327396438,4.30335738581305e-08,"down"
"WDR70",10,2,0.0326030576716656,0.904741327396438,0.434398029593531,"up"
"STK25",11,1,0.0327210201452677,0.904741327396438,9.64845897358905e-14,"up"
"POU4F1",11,1,0.0327816688564542,0.904741327396438,3.37292521773845e-08,"up"
"PIK3CD",10,2,0.0329707060082221,0.904741327396438,0.000249520559481611,"down"
"NKX2-1",11,1,0.0330116231596639,0.904741327396438,7.40470726839357e-05,"up"
"AKAP8",10,2,0.0334992926972359,0.904741327396438,0.660176035671091,"up"
"NFATC1",11,1,0.0342984973364674,0.904741327396438,2.0573401469126e-05,"down"
"EGFR",11,1,0.0352041281276618,0.904741327396438,2.33453446623964e-06,"down"
"PPP2R5B",11,1,0.0359634123850471,0.904741327396438,0.349136212015147,"up"
"MAN1B1",11,1,0.0360727080500587,0.904741327396438,1.40303783568365e-19,"up"
"ANKRD36",11,1,0.0364868328979788,0.904741327396438,0.398911277300454,"down"
"CDC20",10,2,0.0366927761128389,0.904741327396438,7.76059341089421e-89,"up"
"WASL",11,1,0.0369252849243022,0.904741327396438,1.84074191038188e-09,"down"
"CIRH1A",11,1,0.0374131112888313,0.904741327396438,NA,NA
"MARK1",11,1,0.0379784181033712,0.904741327396438,0.100607528131548,"down"
"FOXC1",10,2,0.0397694124560527,0.904741327396438,3.8151502621968e-15,"up"
"WDR91",11,1,0.0399892798807381,0.904741327396438,0.0113205339903815,"up"
"CELF6",11,1,0.0404456861213185,0.904741327396438,0.00458565137371537,"down"
"SGK3",11,1,0.0419206570496973,0.904741327396438,0.188860495190574,"down"
"CALD1",10,2,0.0423080876029014,0.904741327396438,4.73113567067564e-09,"down"
"MST1R",11,1,0.0427894485669,0.904741327396438,7.4601603372731e-33,"up"
"TRADD",11,1,0.0436407864429613,0.904741327396438,0.391292838218054,"up"
"COL4A5",10,2,0.0443744395694472,0.904741327396438,0.000724705904493569,"down"
"TPTE2",11,1,0.045342714019442,0.904741327396438,1.12123803076554e-05,"up"
"PDPN",11,1,0.04543282153924,0.904741327396438,4.17194939319282e-05,"down"
"CA5A",11,1,0.045704008428088,0.904741327396438,0.0056154679414313,"up"
"MASP1",11,1,0.0462681378721816,0.904741327396438,1.3954717959255e-07,"down"
"LAMA5",7,5,0.0463036805681246,0.904741327396438,3.82962815952265e-15,"up"
"HSD17B6",11,1,0.0463574845931887,0.904741327396438,9.18437675565906e-08,"down"
"CHRNB1",11,1,0.046705012229298,0.904741327396438,4.09600738363483e-06,"up"
"TRIM23",11,1,0.0475133998962211,0.904741327396438,8.36181684199631e-13,"down"
"DDX17",10,2,0.0476663318020968,0.904741327396438,5.50221336661206e-06,"down"
"SLC35E1",11,1,0.049356221116187,0.904741327396438,6.2263097397515e-12,"up"
"CYP4B1",11,1,0.050005979013295,0.904741327396438,0.120812495011216,"down"
"TSC2",11,1,0.0500226069012442,0.904741327396438,6.74952061682967e-07,"up"
"ALS2",11,1,0.0509439502735493,0.904741327396438,1.42657283439122e-06,"up"
"AHCTF1",11,1,0.051149173106667,0.904741327396438,0.844105456952032,"up"
"VCAN",11,1,0.0512677766291929,0.904741327396438,0.531302005934222,"up"
"TRPC4",11,1,0.051452165846384,0.904741327396438,1.47033055345611e-05,"down"
"PLEKHG4",11,1,0.051476466800631,0.904741327396438,1.13688937389856e-07,"up"
"CAPNS1",11,1,0.0521827161776665,0.904741327396438,1.51753844162408e-17,"up"
"WEE2",11,1,0.0529513026795675,0.904741327396438,0.216074593608033,"down"
"COL23A1",11,1,0.0532427630963498,0.904741327396438,4.15248565716469e-05,"up"
"SETD1A",10,2,0.0535548476302691,0.904741327396438,0.0435506859798892,"up"
"PEX1",10,2,0.053767229270405,0.904741327396438,0.605516451757011,"down"
"ANKRD11",11,1,0.054954294633877,0.904741327396438,0.000854042129413317,"down"
"BTNL8",11,1,0.0557006210821418,0.904741327396438,0.794670260273746,"up"
"NR1H2",10,2,0.0569554916807017,0.904741327396438,0.00469768102632288,"down"
"HELZ",11,1,0.0581989383733239,0.904741327396438,5.18652268561123e-05,"down"
"PER2",11,1,0.0590934530715221,0.904741327396438,9.08806022280126e-06,"down"
"TNFRSF6B",11,1,0.0600700665230893,0.904741327396438,NA,NA
"ABCA10",11,1,0.0603230699185862,0.904741327396438,1.93281866912548e-05,"down"
"UBASH3B",11,1,0.0607345936529901,0.904741327396438,3.26178743409853e-08,"up"
"ANKS6",11,1,0.0614076495185747,0.904741327396438,0.0250727254948961,"up"
"CACNB2",11,1,0.062075249338894,0.904741327396438,3.24391557821232e-10,"down"
"SDSL",10,2,0.0622928991228893,0.904741327396438,4.12406152034517e-14,"up"
"HGF",11,1,0.0626689985542039,0.904741327396438,5.34219608977459e-08,"down"
"ZRANB3",11,1,0.0632957594408194,0.904741327396438,1.53031333387952e-05,"up"
"OPN4",11,1,0.0639619826853444,0.904741327396438,0.0143998839443013,"up"
"PPP3R1",11,1,0.0641178314620635,0.904741327396438,0.03346962836824,"down"
"PVRL3",11,1,0.064529064909263,0.904741327396438,NA,NA
"ALG8",11,1,0.0645842441731418,0.904741327396438,3.27419195134842e-13,"up"
"ZC3HC1",11,1,0.0651760810656694,0.904741327396438,1.80662409985393e-08,"up"
"IL1RL1",11,1,0.0655719912902322,0.904741327396438,0.403239077530981,"down"
"C1QC",11,1,0.0657161524200198,0.904741327396438,1.23320967433507e-08,"up"
"SLTM",10,2,0.0661137947201521,0.904741327396438,0.710420665950171,"down"
"HMGN5",11,1,0.0662448707440391,0.904741327396438,0.0449189295057331,"down"
"MAGEC1",11,1,0.0665833097869601,0.904741327396438,0.00279850974485312,"up"
"NBEA",9,3,0.0666885642121228,0.904741327396438,6.73421660500193e-11,"down"
"HOXA1",11,1,0.0667470696517201,0.904741327396438,0.00168569811844628,"up"
"TNIK",11,1,0.0668753170344298,0.904741327396438,0.162204919393606,"down"
"VAX2",11,1,0.0671743038794766,0.904741327396438,1.32934909922513e-55,"up"
"PABPC4",10,2,0.068183192244617,0.904741327396438,0.0924679511774174,"up"
"PAX2",11,1,0.0681834443311071,0.904741327396438,0.569780162829493,"up"
"WDR13",11,1,0.069198117105539,0.904741327396438,0.60034457672762,"up"
"CDKN1A",10,2,0.0694094276815752,0.904741327396438,0.677866274869275,"up"
"MAPK3",11,1,0.0695020092594489,0.904741327396438,1.50421649190989e-10,"down"
"LRRC24",11,1,0.0695481430424987,0.904741327396438,0.148708579598566,"down"
"DDX27",11,1,0.0696959296108318,0.904741327396438,2.67797154831928e-07,"up"
"ASH1L",11,1,0.0710994667051189,0.904741327396438,3.58106342064145e-07,"down"
"ALPK3",11,1,0.0712685871251896,0.904741327396438,1.75495185732654e-27,"up"
"COL14A1",11,1,0.0718503230443619,0.904741327396438,8.74333002156964e-06,"down"
"TCHH",11,1,0.0720619017014319,0.904741327396438,0.00337010460221933,"up"
"EML3",11,1,0.0722137738748617,0.904741327396438,0.000107224255280201,"down"
"TCIRG1",11,1,0.0725087241391561,0.904741327396438,5.08659816886759e-07,"up"
"ST18",9,3,0.0726129408011553,0.904741327396438,0.0121712053538962,"up"
"MLLT4",11,1,0.0730630438753737,0.904741327396438,NA,NA
"PTPN21",11,1,0.0735402925740973,0.904741327396438,8.50863460690286e-10,"down"
"IRF7",11,1,0.0737653247185344,0.904741327396438,1.58582080989247e-37,"up"
"EIF2AK2",11,1,0.0744079340160568,0.904741327396438,0.0965975516919464,"up"
"CHRND",11,1,0.0744565445903329,0.904741327396438,2.73556662395313e-13,"up"
"APH1A",11,1,0.0758110719603645,0.904741327396438,2.68755668044018e-12,"up"
"ATP6V1B1",11,1,0.0758406538018039,0.904741327396438,0.107180184438852,"up"
"SPEG",11,1,0.0759031332240485,0.904741327396438,6.36049800599255e-09,"down"
"KIF18A",10,2,0.0762805014883835,0.904741327396438,3.40212190105968e-58,"up"
"ZFP36L1",10,2,0.0763000932259047,0.904741327396438,5.18862313790997e-10,"down"
"HECTD1",10,2,0.0764324376238599,0.904741327396438,0.00712197388710282,"down"
"WDR72",10,2,0.0773884972487634,0.904741327396438,0.0377061350621671,"up"
"PAX7",11,1,0.0778594950892756,0.904741327396438,0.0233555039122057,"up"
"MERTK",11,1,0.0780373940409553,0.904741327396438,5.21985576432634e-07,"up"
"ECM2",11,1,0.0781180534259214,0.904741327396438,6.1071462378448e-09,"down"
"SIRT4",11,1,0.078559434301567,0.904741327396438,3.74373579292846e-05,"down"
