"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"ACTL6A","ACTL6A",-1,-1,10,"5.33763644938734e-06",0.0349401681976895,1,7.31530037347786e-17
"RAPGEF1","RAPGEF1",-1,-1,8,"3.4794198592758e-05",0.227728029789601,2.27186780476623e-07,0.99999977281322
"MAGEA12","MAGEA12",-1,-1,11,"3.8162256748242e-05",0.249733808160496,0.999978075167193,2.19248328070697e-05
"METTL1","METTL1",-1,-1,12,"6.39802072216478e-05",0.418622495851242,0.999987095539253,1.29044607473952e-05
"CHAF1B","CHAF1B",-1,-1,11,"7.08510879506852e-05",0.463507817373383,1,2.47263146012687e-31
"SRPX","SRPX",-1,-1,12,"9.5296255475108e-05",0.623332807062681,1.31372567425233e-06,0.999998686274326
"FOXP2","FOXP2",-1,-1,8,"0.000126953431383026",0.83027544124499,3.89857055309212e-06,0.999996101429447
"SIX3","SIX3",-1,-1,9,"0.000228358635777415",1,0.999999777162952,2.22837048278417e-07
"SMAD9","SMAD9",-1,-1,11,"0.000247356768971585",1,1.12973082966042e-05,0.999988702691703
"MST1P2","MST1P2",-1,-1,9,"0.000271535733721739",1,0.999999997913104,2.08689585421812e-09
"F13A1","F13A1",-1,-1,10,"0.000290285342702368",1,0.0113416912808651,0.988658308719135
"RGL2","RGL2",-1,-1,10,"0.000340565048152941",1,1,1.55019493799953e-23
"F2RL3","F2RL3",-1,-1,12,"0.000343932959149806",1,0.999991988260284,8.01173971637e-06
"MED1","MED1",-1,-1,6,"0.000368027419819783",1,0.0150497210512467,0.984950278948753
"ANKK1","ANKK1",-1,-1,11,"0.000376748753232903",1,0.717319765102614,0.282680234897386
"HIST1H1T","HIST1H1T",-1,-1,10,"0.000383353567651179",1,1,4.78032975142498e-16
"LOC101060230","LOC101060230",-1,-1,12,"0.000387724493168928",1,NA,NA
"CLOCK","CLOCK",-1,-1,9,"0.000516869917052687",1,1.49925403269601e-07,0.999999850074597
"PPP1CB","PPP1CB",-1,-1,11,"0.000562493620145155",1,0.0389986302831557,0.961001369716844
