"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"ASNS","ASNS",-1,-1,11,"1.00217545053632e-05",0.0587876119284605,1,1.28803344778031e-25
"MMP8","MMP8",-1,-1,10,"2.6287529926552e-05",0.154176363019227,0.816344365813369,0.183655634186631
"DDX27","DDX27",-1,-1,8,"4.55646728386575e-05",0.267191241525888,0.999999866101423,1.33898577415964e-07
"NR1H2","NR1H2",-1,-1,8,"6.21077438038116e-05",0.364137701921747,0.00234884051316144,0.997651159486839
"DHX29","DHX29",-1,-1,9,"0.000111183532566374",0.651757867904084,0.00671445948483691,0.993285540515163
"SMARCC2","SMARCC2",-1,-1,9,"0.000119395980371398",0.699779840956764,0.00348266708200878,0.996517332917991
"WDR70","WDR70",-1,-1,8,"0.000136569150160175",0.800295219938626,0.782800985203234,0.217199014796766
"CEBPZ","CEBPZ",-1,-1,10,"0.00015310011520958",0.897013575012929,9.88909465830242e-05,0.999901109053417
"MAP4K1","MAP4K1",-1,-1,10,"0.000261005792794737",1,1,5.95110120931105e-17
"ELP3","ELP3",-1,-1,11,"0.000266018090224199",1,1,4.38010278640406e-23
"PRDM7","PRDM7",-1,-1,10,"0.000266260347232014",1,0.999520686916567,0.00047931308343284
"WDR74","WDR74",-1,-1,9,"0.000323432580184063",1,0.999997320444021,2.67955597942422e-06
"UBE2G1","UBE2G1",-1,-1,12,"0.00036233794175046",1,0.839241186139129,0.160758813860871
"FLOT2","FLOT2",-1,-1,11,"0.00037553147814634",1,1,5.63809182148109e-18
"GNB1L","GNB1L",-1,-1,10,"0.000375868976915336",1,0.999999999975993,2.40068623904918e-11
"BCLAF1","BCLAF1",-1,-1,9,"0.000382912227597733",1,2.85641158963755e-05,0.999971435884104
"SRSF2","SRSF2",-1,-1,12,"0.000578965530492583",1,0.999936561403104,6.34385968956935e-05
"SERPINE3","SERPINE3",-1,-1,11,"0.000592195385566973",1,0.409999106942396,0.590000893057604
"ANKS6","ANKS6",-1,-1,7,"0.000680098504426",1,0.987463637252552,0.0125363627474481
"SRSF7","SRSF7",-1,-1,11,"0.000685936295456652",1,0.999002071486361,0.000997928513638966
"ST18","ST18",-1,-1,9,"0.000751378543607606",1,0.993914397323052,0.00608560267694809
"RAB3GAP2","RAB3GAP2",-1,-1,11,"0.000828236054258236",1,0.830314680317589,0.169685319682411
"C1QC","C1QC",-1,-1,10,"0.000959676491230484",1,0.999999993833952,6.16604837167536e-09
"RRAS","RRAS",-1,-1,9,"0.00114119060951448",1,3.73298182587189e-09,0.999999996267018
"FOXF2","FOXF2",-1,-1,9,"0.00120685542509613",1,0.999999999999797,2.02954892370599e-13
"XPR1","XPR1",-1,-1,11,"0.00128063814240322",1,1,1.95074284693623e-18
"TNS3","TNS3",-1,-1,12,"0.0014518859491583",1,0.110667213037305,0.889332786962695
"LGSN","LGSN",-1,-1,10,"0.0015260912214162",1,1,9.22958213869106e-23
"GNG12","GNG12",-1,-1,11,"0.00159558826584081",1,8.32147422747363e-10,0.999999999167853
"CTNNBL1","CTNNBL1",-1,-1,11,"0.00162681514842182",1,0.292269206956785,0.707730793043215
"MAP1LC3C","MAP1LC3C",-1,-1,12,"0.00168898284289245",1,0.999349618456647,0.00065038154335253
"ATP1A1","ATP1A1",-1,-1,9,"0.001702555112921",1,1,2.4674263900848e-20
"DUSP13","DUSP13",-1,-1,10,"0.00174857602084612",1,0.999999546026923,4.53973076590498e-07
"TMPRSS4","TMPRSS4",-1,-1,11,"0.00176651949057671",1,1,1.09715978361618e-84
"VCAN","VCAN",-1,-1,5,"0.00180787308288188",1,0.734348997032889,0.265651002967111
"SH3RF1","SH3RF1",-1,-1,10,"0.00187300765832189",1,0.999999990825228,9.17477209308557e-09
"STK19","STK19",-1,-1,10,"0.00199769943332281",1,0.54013644270995,0.45986355729005
"PPP1R14B","PPP1R14B",-1,-1,11,"0.00209778615123353",1,1,2.28634658179249e-18
"JUND","JUND",-1,-1,11,"0.00210202995794298",1,0.00472943885797199,0.995270561142028
