"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"MED25","MED25",3,0.000107974813597367,9,"0.275484943010764",0.207635566547737,0.999999982063921,1.79360791524284e-08
"NFRKB","NFRKB",4,0.00340712494260942,8,"0.0101336305101249",1,0.183871326488284,0.816128673511716
"ARID1A","ARID1A",10,0.00401349759002201,2,"0.173669022523574",1,0.997776945174201,0.00222305482579863
"ZFP36L2","ZFP36L2",2,0.00593013682615695,10,"0.450455584412429",1,7.69987908440445e-09,0.999999992300121
"XPO4","XPO4",2,0.00644833489778918,10,"0.691587610300981",1,0.00725402952400728,0.992745970475993
"MBD6","MBD6",7,0.0074335896765938,5,"0.414885424171865",1,0.999992932159198,7.06784080161372e-06
"DDX17","DDX17",2,0.00851745262632753,10,"0.252045185946957",1,2.75110668330603e-06,0.999997248893317
"TNKS2","TNKS2",2,0.0116067694187594,10,"0.606843051325881",1,2.21979130248081e-05,0.999977802086975
"EED","EED",2,0.014554318206495,10,"0.694405989321246",1,0.99999999998329,1.67102185244298e-11
"AKAP8","AKAP8",2,0.0223761322616557,10,"0.565779520409709",1,0.669911982164455,0.330088017835545
"ARHGAP39","ARHGAP39",2,0.0231747805684522,10,"0.955759507718764",1,0.999886137434743,0.000113862565257396
"STK4","STK4",2,0.0250357561317794,10,"0.0176059360914973",1,0.99959623775174,0.000403762248259512
"MEOX2","MEOX2",2,0.0282970761187855,10,"0.961321899930913",1,0.000220054895536176,0.999779945104464
"SI","SI",2,0.0286250497298632,10,"0.976371445343956",1,0.955970004927738,0.0440299950722618
"WDR49","WDR49",2,0.0286616078923498,10,"0.994667248998069",1,0.47897407421645,0.52102592578355
"EPHA2","EPHA2",4,0.0341203831668856,8,"0.0181398855404835",1,0.997137468230458,0.00286253176954221
"SDSL","SDSL",2,0.034129631105965,10,"0.389703593453814",1,0.999999999999979,2.06203076017258e-14
"BRD3","BRD3",2,0.0356425108440778,10,"0.965912848421609",1,0.000902457595890846,0.999097542404109
"ARPC1A","ARPC1A",2,0.0389370031197317,10,"0.968161224712736",1,0.999999999999999,9.35245455569149e-16
"KIF18A","KIF18A",2,0.0396434744251258,10,"0.335519957241835",1,1,1.70106095052984e-58
"CALD1","CALD1",2,0.0432935746954919,10,"0.638125217458508",1,2.36556783533782e-09,0.999999997634432
"DCLK2","DCLK2",2,0.0477630256822219,10,"0.0133923007248095",1,1.19214699565841e-16,1
"SETD1A","SETD1A",2,0.0508321381063016,10,"0.584288748436196",1,0.978224657010055,0.0217753429899446
"SOX3","SOX3",2,0.0518600126712861,10,"0.979566023653465",1,0.0177627184546385,0.982237281545361
"PPP2R2A","PPP2R2A",2,0.0531717758164478,10,"0.236984592099253",1,0.0182540871709756,0.981745912829024
"ACVR2A","ACVR2A",3,0.0565551531495133,9,"0.0169935570747572",1,1.47661230371303e-07,0.99999985233877
"LYST","LYST",2,0.0600292567474305,10,"3.08891031369773e-05",1,2.42630722454055e-06,0.999997573692776
"KCNH7","KCNH7",3,0.0603331495753724,9,"0.119327302895384",1,0.970103181714748,0.029896818285252
"CDKN1A","CDKN1A",2,0.0636820398641724,10,"0.540495558431247",1,0.661066862565362,0.338933137434638
"PLK3","PLK3",3,0.0697448428504471,9,"0.00909522731012535",1,0.000805857092000208,0.999194142908
"CHST4","CHST4",3,0.0721431729549494,9,"0.28832164327306",1,0.588195965069606,0.411804034930394
"PEX1","PEX1",2,0.0742834396503281,10,"0.715081796172056",1,0.302758225878505,0.697241774121495
"SIX3","SIX3",2,0.0752876575374415,10,"0.000137647942764718",1,0.999999777162952,2.22837048278417e-07
"WDTC1","WDTC1",6,0.0769097207466817,6,"0.597958660728494",1,0.00515952862704244,0.994840471372958
