"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"PRPF6","PRPF6",4,0.000137089509989517,11,"0.0449124887124462",0.285694538818153,1,1.16822257974863e-22
"OSBPL2","OSBPL2",4,0.0019664058549525,11,"0.860082083301646",1,0.999999891573168,1.08426832319135e-07
"AKT1","AKT1",2,0.00435479922440723,13,"0.66347832991068",1,0.981448583470082,0.0185514165299184
"TCF15","TCF15",2,0.0047779944912274,13,"0.819708843787986",1,0.96062010111657,0.0393798988834305
"NRXN3","NRXN3",2,0.00779580790718929,13,"0.861565800740962",1,0.00761926131534454,0.992380738684655
"KCNG1","KCNG1",2,0.00883940713984901,13,"0.550660661444589",1,0.256349397471174,0.743650602528826
"AMBRA1","AMBRA1",3,0.0144418997213744,12,"0.386667165394516",1,0.999999999995205,4.79498638528576e-12
"COL28A1","COL28A1",3,0.0146503664393408,12,"0.479957827023878",1,0.0761932263589958,0.923806773641004
"SERPINA4","SERPINA4",2,0.0186961809625675,13,"0.557825167180189",1,0.987735716869395,0.0122642831306046
"FBXL20","FBXL20",2,0.0193365933266553,13,"0.985736961157158",1,0.999780193905779,0.000219806094221416
"CYP11B2","CYP11B2",4,0.0193496144409898,11,"0.789925276165751",1,0.999909271806105,9.07281938946052e-05
"GJA5","GJA5",2,0.0199877899966229,13,"0.0857178126943434",1,0.999999999888872,1.11127784727672e-10
"AHCY","AHCY",2,0.0215914878047333,13,"0.714435934504083",1,1,1.7815544100005e-17
"NCOA6","NCOA6",2,0.0255510582530509,13,"0.137241228502794",1,1,1.14551787965582e-16
"ARHGAP1","ARHGAP1",2,0.0259360313231963,13,"0.661739391622965",1,0.98455283390266,0.0154471660973403
"OR2T35","OR2T35",4,0.031062294836032,11,"0.0130337633843962",1,0.999998450396282,1.54960371776107e-06
"VPS28","VPS28",4,0.0315774827541083,11,"0.0110920446622036",1,0.720830822131332,0.279169177868668
"USF2","USF2",2,0.0350536403963476,13,"0.523833905206775",1,0.969948625061296,0.0300513749387043
"RAB22A","RAB22A",2,0.0385331281721705,13,"0.786632082692112",1,1,7.25036755480018e-18
"HSF1","HSF1",4,0.0410092112374036,11,"0.901134774545928",1,0.999999999998398,1.60208990709964e-12
"ITGA10","ITGA10",2,0.0426220197053625,13,"0.456091473213174",1,0.967766021215438,0.0322339787845617
"NBN","NBN",3,0.044967309695831,12,"0.168080323281218",1,1,2.42334799580828e-16
"ESPNP","ESPNP",2,0.0452937517107744,13,"0.686437453555691",1,0.999999999946379,5.36208027294507e-11
"TMEM71","TMEM71",4,0.0465276700369491,11,"0.79947559600711",1,0.00350320318728266,0.996496796812717
"ERBB2","ERBB2",2,0.0507591121887556,13,"0.680813460198892",1,0.99999969647309,3.03526910400652e-07
"SDC2","SDC2",3,0.051738638330101,12,"0.771814437733444",1,0.0756131565850578,0.924386843414942
"GPIHBP1","GPIHBP1",3,0.0536704434803748,12,"0.106075342301842",1,0.00043812359856558,0.999561876401434
"CHMP4C","CHMP4C",3,0.0552658809874477,12,"0.844600006961424",1,0.998689658186741,0.00131034181325878
"DCAF13","DCAF13",3,0.0582057479927448,12,"0.0330068223085732",1,1,6.50109627238932e-55
"RBPJL","RBPJL",2,0.0593169062961332,13,"0.00629514212426276",1,0.832743191025313,0.167256808974687
"LIFR","LIFR",2,0.0595286652975745,13,"0.255828799136253",1,5.79007388582991e-05,0.999942099261142
"CREB3L1","CREB3L1",3,0.0607623878092081,12,"0.981596125034095",1,0.999998812669764,1.18733023594949e-06
"LGR4","LGR4",3,0.0608778565404072,12,"0.396335909159818",1,0.999999999996883,3.11681976789506e-12
"CBX3","CBX3",2,0.0619227658935174,13,"0.0763356653579917",1,1,5.47473056297011e-46
"PTGR1","PTGR1",2,0.0648869193658911,13,"0.715342757865488",1,4.40878418834251e-05,0.999955912158117
"GRB2","GRB2",2,0.0667154106197367,13,"0.631779318129781",1,0.999986739117907,1.32608820929973e-05
"SLC1A2","SLC1A2",2,0.0701365173887621,13,"0.917636811353627",1,0.289578426951658,0.710421573048342
"ANKRD20A4","ANKRD20A4",2,0.0710519007090877,13,"0.533161623536065",1,0.998695906577633,0.00130409342236672
"USP35","USP35",2,0.0736958728000511,13,"0.203285123015972",1,0.999996720705654,3.27929434595558e-06
"TTC7B","TTC7B",2,0.07647772245652,13,"0.716245198541558",1,0.0237665258064792,0.976233474193521
"IL6","IL6",2,0.0805324353047924,13,"0.560621991179276",1,0.110148033621596,0.889851966378404
"PSPH","PSPH",2,0.0820103461495126,13,"0.17032117156913",1,0.999999999999974,2.61706691517445e-14
"MFSD3","MFSD3",4,0.0839475061913738,11,"0.629431867295966",1,0.998807366766888,0.00119263323311246
"UBR5","UBR5",3,0.085989977366601,12,"0.475855521865577",1,0.999999999951888,4.81119687713249e-11
"WWP1","WWP1",3,0.0869054336824337,12,"0.669098791122755",1,1,8.35223001184133e-21
"C1QTNF3","C1QTNF3",2,0.087992282898474,13,"0.644641446315421",1,0.0172267758968976,0.982773224103102
"C1QTNF3-AMACR","C1QTNF3-AMACR",2,0.087992282898474,13,"0.644641446315421",1,0.997966499964604,0.00203350003539643
"DIDO1","DIDO1",3,0.0893993205283088,12,"0.143332749547204",1,0.999999999999996,3.85209019964638e-15
"GATA5","GATA5",4,0.0897728734555964,11,"0.210520910017033",1,0.0798791731591104,0.92012082684089
"RBM39","RBM39",2,0.0906390049845134,13,"0.205506673670181",1,1,1.04145470910914e-18
"DHX40","DHX40",2,0.0916943364169141,13,"0.30340226196901",1,0.999999970796822,2.9203177555957e-08
"TWIST1","TWIST1",4,0.0917766509851997,11,"0.860563300965603",1,0.616783002921286,0.383216997078714
"CCNE1","CCNE1",3,0.0954552402157318,12,"0.541221288978846",1,0.999999999493645,5.06355339954179e-10
"ARFRP1","ARFRP1",4,0.103903779187157,11,"0.104371645843461",1,0.999999998268621,1.7313795109773e-09
"SRMS","SRMS",4,0.104026384277795,11,"0.186466329373385",1,1,5.70891994126365e-21
"ID1","ID1",3,0.104160745480464,12,"0.291281792489475",1,0.000398310092320936,0.999601689907679
"RSF1","RSF1",2,0.10439107864082,13,"0.50422220820441",1,0.999990390698439,9.60930156066543e-06
"PHF21A","PHF21A",2,0.105405512146532,13,"0.239241225279386",1,0.169717437462022,0.830282562537978
"AGAP9","AGAP9",2,0.106495330815403,13,"0.325738397100346",1,0.999999999847493,1.52507331223337e-10
"NDUFC2","NDUFC2",2,0.106777484213982,13,"0.0590947197120242",1,0.997025358075334,0.00297464192466591
"ATP4A","ATP4A",2,0.107060010893024,13,"0.523353783098924",1,0.00338768180514731,0.996612318194853
"KCTD14","KCTD14",2,0.108087299244685,13,"0.124651349776155",1,0.884204188987154,0.115795811012846
"NDUFC2-KCTD14","NDUFC2-KCTD14",2,0.108087299244685,13,"0.124651349776155",1,NA,NA
"SETD3","SETD3",2,0.10830045407553,13,"0.304574858021437",1,0.364051406379815,0.635948593620185
"OR2T27","OR2T27",2,0.110838729399057,13,"0.886672078957823",1,0.989166352163686,0.0108336478363137
"CA2","CA2",3,0.111823807622229,12,"0.73529246050901",1,0.00256626430508825,0.997433735694912
"COLEC12","COLEC12",2,0.112535169705084,13,"0.700998171648453",1,0.00674286806223472,0.993257131937765
"FBXO32","FBXO32",5,0.114435394615837,10,"0.174683728511816",1,0.00759957261393973,0.99240042738606
"C20orf151","C20orf151",4,0.115166622286441,11,"0.401503001249338",1,NA,NA
"EML5","EML5",2,0.116187486092903,13,"0.207747751008222",1,0.00762667903002608,0.992373320969974
"PHF20L1","PHF20L1",4,0.117303784185921,11,"0.334693419382685",1,1,1.41961160316393e-19
"SUMO2","SUMO2",2,0.117405549938013,13,"0.22338343816909",1,0.999998492845623,1.50715437664016e-06
"PMS2CL","PMS2CL",4,0.118769020110929,11,"0.537143353994641",1,0.999999999082888,9.17112117685817e-10
"SCRT1","SCRT1",4,0.119417898656538,11,"0.711395359892546",1,0.964268768031093,0.0357312319689067
"TSNARE1","TSNARE1",4,0.121409694969103,11,"0.601235681485116",1,0.999999999999981,1.94522075184626e-14
"CHRM4","CHRM4",3,0.12883544951444,12,"0.489772386026175",1,0.00100080663092901,0.998999193369071
"GPR132","GPR132",2,0.130598213026557,13,"0.492466698297062",1,0.998094358483325,0.00190564151667485
"BDKRB2","BDKRB2",2,0.132007113602877,13,"0.834212845079099",1,0.165162504362414,0.834837495637586
"SLIRP","SLIRP",2,0.132478426890401,13,"0.223821879156639",1,0.989900644294484,0.0100993557055156
"SNX31","SNX31",3,0.133616783100912,12,"0.503777817716243",1,0.033181619385281,0.966818380614719
"CACNB1","CACNB1",2,0.136239300801329,13,"0.932637543268484",1,0.999999988449472,1.15505278033757e-08
"TYMS","TYMS",2,0.136917851837541,13,"0.296036921930041",1,1,1.30116166776908e-35
"NFATC2","NFATC2",2,0.137838574428099,13,"0.296277131654595",1,0.999999042148079,9.5785192065717e-07
"HNF4A","HNF4A",2,0.138641710745826,13,"0.260318275007666",1,0.99917376488731,0.000826235112690098
"RNF19A","RNF19A",3,0.140078317178216,12,"0.261636879918323",1,1,2.28565791100727e-16
"UBE2V1","UBE2V1",3,0.143887198087044,12,"0.960820469113926",1,0.999999999999997,3.01422575718668e-15
"TMEM189-UBE2V1","TMEM189-UBE2V1",3,0.143887198087044,12,"0.960820469113926",1,0.924896224705896,0.0751037752941038
"ZGPAT","ZGPAT",4,0.147708834345845,11,"0.542338789294",1,0.999999999987035,1.29647162995781e-11
"MC3R","MC3R",2,0.148045462982725,13,"0.234871851237622",1,0.999999621113849,3.78886150880351e-07
