"","#wt","#mut","pvalue","p_adj","tcga_pvalue","tcga_tumor_vs_normal"
"OSBPL2",11,4,0.00226993353039218,0.783361728504618,2.1685366463827e-07,"up"
"FBXL20",13,2,0.00432095257083696,0.783361728504618,0.000439612188442831,"up"
"NRXN3",13,2,0.00829874772704001,0.783361728504618,0.0152385226306891,"down"
"TCF15",13,2,0.00833034891675886,0.783361728504618,0.0787597977668609,"up"
"CREB3L1",12,3,0.00980651648909454,0.783361728504618,2.37466047189899e-06,"up"
"AKT1",13,2,0.013097028062101,0.783361728504618,0.0371028330598367,"up"
"CYP11B2",11,4,0.0152741836856554,0.783361728504618,0.00018145638778921,"up"
"HSF1",11,4,0.0154466531783116,0.783361728504618,3.20417981419928e-12,"up"
"PGAM1",14,1,0.0176488817071219,0.783361728504618,0.0138821269642675,"down"
"PYROXD1",14,1,0.0181995270549426,0.783361728504618,0.592537573709995,"up"
"OR51B2",14,1,0.0193378373832224,0.783361728504618,0.0639759897875657,"up"
"OR5W2",14,1,0.0194916500898555,0.783361728504618,0.000172179243442026,"up"
"MET",14,1,0.0207815711291129,0.783361728504618,3.38908753840342e-08,"up"
"KCNG1",13,2,0.0214753547801376,0.783361728504618,0.512698794942348,"down"
"AHCY",13,2,0.0219277278502496,0.783361728504618,3.563108820001e-17,"up"
"P2RY1",14,1,0.0225066870692696,0.783361728504618,0.0298748285963808,"down"
"FGFR1",14,1,0.022727835080768,0.783361728504618,0.0377455561336235,"down"
"GMNN",14,1,0.0229206422748084,0.783361728504618,4.02943145006609e-09,"up"
"TTC23",14,1,0.0233993073300653,0.783361728504618,0.119649246141492,"down"
"FIGNL2",14,1,0.0238544148647393,0.783361728504618,2.73634985532561e-05,"up"
"RAB22A",13,2,0.0261765297050405,0.783361728504618,1.45007351096004e-17,"up"
"SLC1A2",13,2,0.0264490002550847,0.783361728504618,0.579156853903316,"down"
"CHRNA10",14,1,0.0266222671466649,0.783361728504618,3.85521984047762e-09,"up"
"HLF",14,1,0.0268648263206841,0.783361728504618,0.000377036742082512,"down"
"AQP4",14,1,0.0271783919590293,0.783361728504618,0.00762128094881742,"down"
"ARHGAP1",13,2,0.0277448504250827,0.783361728504618,0.0308943321946807,"up"
"WASH2P",14,1,0.0279639125958491,0.783361728504618,0.0397130029391954,"up"
"CHMP4C",12,3,0.02857232211415,0.783361728504618,0.00262068362651756,"up"
"CDKN1A",14,1,0.0289250653158829,0.783361728504618,0.000892867501943202,"down"
"SERPINA4",13,2,0.0291703089682046,0.783361728504618,0.0245285662612092,"up"
"CORO2B",14,1,0.029210269003599,0.783361728504618,0.00737850583289127,"down"
"BTN3A2",14,1,0.0296352559423994,0.783361728504618,1.55774950186775e-05,"up"
"BTN3A1",14,1,0.0296352559423994,0.783361728504618,1.01927521450988e-06,"up"
"UBD",14,1,0.0297401496005967,0.783361728504618,4.38592467502092e-26,"up"
"TMEM71",11,4,0.0300521181084935,0.783361728504618,0.00700640637456532,"down"
"OR52I2",14,1,0.0301755246988501,0.783361728504618,0.0211799529373014,"up"
