"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"CTNNB1","CTNNB1",3,2.03751638600047e-10,12,"0.100504636009245",4.7596382776971e-07,1,2.22137743097702e-18
"KRAS","KRAS",2,0.000161050943859699,13,"0.253885492589152",0.375570801080818,0.999999996691303,3.30869713194723e-09
"RBM28","RBM28",2,0.000539216826981784,13,"0.363992575690152",1,1,1.63508408899593e-22
"OGDH","OGDH",2,0.00170220829560984,13,"0.655307045378172",1,0.039791988066685,0.960208011933315
"NR1D1","NR1D1",2,0.00219717856047339,13,"0.588508378162613",1,0.999995653092832,4.34690716781695e-06
"FCGBP","FCGBP",6,0.003349096554926,9,"0.46103579066541",1,0.0172514242353053,0.982748575764695
"PRKDC","PRKDC",3,0.00377613205226512,12,"0.0516839386651096",1,1,4.43059808086015e-31
"VRK3","VRK3",2,0.00399889070227321,13,"0.116879784068745",1,0.915013807551584,0.0849861924484161
"CCNI","CCNI",3,0.00503099755654763,12,"0.337833693207195",1,0.00996408035235373,0.990035919647646
"TEC","TEC",3,0.00539870129978081,12,"0.693728886334121",1,0.529565057799142,0.470434942200858
"PTK2B","PTK2B",2,0.00648353309494102,13,"0.746650055591369",1,0.220442550111832,0.779557449888168
"CACNA1C","CACNA1C",2,0.00804571926993866,13,"0.892202850860884",1,0.0509327963005903,0.94906720369941
"ASH1L","ASH1L",2,0.0123274079840531,13,"0.555402178297921",1,0.98937183279687,0.0106281672031302
"HIVEP3","HIVEP3",3,0.0128776561660642,12,"0.728677998298962",1,0.9999943180849,5.68191510031495e-06
"PIK3R2","PIK3R2",2,0.0138464995134972,13,"0.609483685931792",1,0.999999999910158,8.98415927469663e-11
"TIAM2","TIAM2",2,0.0144113430011443,13,"0.0173714285343887",1,0.951138957603662,0.0488610423963382
"TSC1","TSC1",2,0.0156964517451011,13,"0.817662965521034",1,0.99999949805429,5.01945709781962e-07
"TENM4","TENM4",2,0.0176193248877302,13,"0.157511347735314",1,0.955754941200385,0.0442450587996153
"ABCC12","ABCC12",2,0.0184459692577814,13,"0.445663128294232",1,0.861447132763969,0.138552867236031
"CSMD3","CSMD3",5,0.0193793474410133,10,"0.749821613683352",1,0.999458283939027,0.000541716060972948
"ABCC1","ABCC1",2,0.0204484998501635,13,"0.691691864320872",1,0.999998347574685,1.652425315125e-06
"CDRT1","CDRT1",2,0.021259498501728,13,"0.872570586274982",1,0.99982536508933,0.000174634910670174
"PARP16","PARP16",2,0.0215439032837514,13,"0.387248326456568",1,0.925175676502322,0.0748243234976781
"NCOA6","NCOA6",2,0.0235047838991786,13,"0.139204321390297",1,1,1.14551787965582e-16
"GRM6","GRM6",4,0.0262895369663491,11,"0.3284947901761",1,0.840085296731886,0.159914703268114
"CSMD1","CSMD1",5,0.0263106614599652,10,"0.0792111374661918",1,0.999972968393516,2.70316064842144e-05
"KIF26A","KIF26A",2,0.0272887987282032,13,"0.741942030867912",1,0.999980219970918,1.97800290823209e-05
"CHD2","CHD2",2,0.0277546528388657,13,"0.295844310387802",1,0.999999015663184,9.84336816112115e-07
"FRAS1","FRAS1",3,0.0278599056441001,12,"0.837363448295587",1,0.99999999940911,5.90890018005596e-10
"GAK","GAK",3,0.0285491678488154,12,"0.568827783847094",1,0.968347578305205,0.0316524216947945
"GLUD2","GLUD2",2,0.0290652874616141,13,"0.0455365816878787",1,0.99999997665461,2.33453902534112e-08
"ANXA13","ANXA13",2,0.0305758925432953,13,"0.669665884156429",1,0.964134549485882,0.0358654505141185
"HSP90AB1","HSP90AB1",2,0.0306514818513368,13,"0.685632405674586",1,1,9.20055008304918e-41
"GPR50","GPR50",3,0.0307591820602603,12,"0.902419641358268",1,0.976638075658683,0.0233619243413175
"ATAD2","ATAD2",2,0.035887616170953,13,"0.449148569402543",1,1,1.43333955096185e-68
"IGSF9","IGSF9",3,0.0376126297551686,12,"0.192997699501607",1,0.380594499543162,0.619405500456838
"CLCN4","CLCN4",2,0.0407695917776477,13,"0.591248295320023",1,1,2.20609042979227e-26
"LAMA5","LAMA5",4,0.0416794043824454,11,"0.175450867580625",1,0.994590925796111,0.00540907420388851
"ANKRD20A4","ANKRD20A4",2,0.0434960647975504,13,"0.564002027631594",1,0.998695906577633,0.00130409342236672
"ABTB2","ABTB2",2,0.0473625977535676,13,"0.258823353108535",1,0.682478962453092,0.317521037546908
"DMXL2","DMXL2",4,0.0507674164587218,11,"0.934965894273858",1,0.999999752147067,2.4785293258986e-07
"OXTR","OXTR",2,0.0509295876514645,13,"0.738512366535311",1,0.999919311924121,8.06880758791949e-05
"SETD1A","SETD1A",3,0.0518963601467608,12,"0.0551154469451368",1,0.999999999619171,3.80829416212452e-10
"WBP2","WBP2",2,0.0529478687478178,13,"0.993546967892156",1,0.000207682327173316,0.999792317672827
"TAF1L","TAF1L",3,0.0546087378216484,12,"0.665399107493865",1,0.999835247549772,0.00016475245022746
"FBXO10","FBXO10",2,0.055157456102909,13,"0.555886817356271",1,0.664664451385782,0.335335548614218
"TAS1R2","TAS1R2",2,0.0583737197576091,13,"0.117382188523563",1,0.99994701742882,5.2982571179611e-05
"EP300","EP300",3,0.0590811985457479,12,"0.734843187958897",1,0.999999934488186,6.55118140317308e-08
"PARP4","PARP4",2,0.0604268442379309,13,"0.858315877509952",1,0.999999998473648,1.52635220662231e-09
"PIP5K1C","PIP5K1C",3,0.0605661957958866,12,"0.078148082410485",1,0.015563885370705,0.984436114629295
"C2orf44","C2orf44",2,0.0608790298357994,13,"0.840682054319565",1,NA,NA
"NTN5","NTN5",2,0.0623265650042241,13,"0.824257307539348",1,0.992265734991469,0.00773426500853053
"DUSP27","DUSP27",2,0.0643652452696803,13,"0.853529054845401",1,0.999999240392595,7.59607404965312e-07
"DNMBP","DNMBP",2,0.0643926493084946,13,"0.459276486248921",1,0.999987643395772,1.23566042277408e-05
"PARP14","PARP14",2,0.0643926493084946,13,"0.609848733478334",1,1,4.72696036900166e-41
"LRP1","LRP1",4,0.0650800228650052,11,"0.147034652298269",1,0.813027092140901,0.186972907859099
"KIAA1239","KIAA1239",4,0.066041258099434,11,"0.582065452339714",1,NA,NA
"HECTD3","HECTD3",2,0.0665555358102021,13,"0.393605212805475",1,0.52357479395843,0.47642520604157
"OR2T2","OR2T2",2,0.0708792701385201,13,"0.0063958753629422",1,0.482379252054151,0.517620747945849
"VCAN","VCAN",3,0.0731309207362635,12,"0.14590125396661",1,1,7.77093493406099e-42
"BAZ1B","BAZ1B",2,0.0741951558938519,13,"0.217027478487109",1,0.999999999999993,7.25168900465624e-15
"SRCAP","SRCAP",3,0.0754031063420157,12,"0.112976611263284",1,0.999999999999774,2.25606959422577e-13
"COL18A1","COL18A1",2,0.0775868409132255,13,"0.567606173053301",1,1,1.56596753156069e-23
"TAF3","TAF3",2,0.0818625410484256,13,"0.552766570214636",1,0.999999152116904,8.47883095922113e-07
"COL7A1","COL7A1",4,0.0822911546543447,11,"0.70434339946585",1,0.999995016495171,4.98350482853793e-06
"HOXD9","HOXD9",2,0.0841583859042569,13,"0.708510442614004",1,0.999999999984473,1.55269544452728e-11
"WDR66","WDR66",2,0.0875123695683348,13,"0.975089799334227",1,1,4.66924901677995e-17
"ABCC6","ABCC6",3,0.0891978005978652,12,"0.273707196631888",1,0.311686303409205,0.688313696590795
"MME","MME",2,0.0900546576853611,13,"0.161117885561163",1,0.0368086266268299,0.96319137337317
"IRX4","IRX4",2,0.090281679305725,13,"0.819844520942739",1,0.033171551061989,0.966828448938011
"NOTCH1","NOTCH1",2,0.0908016590478884,13,"0.0374355159999958",1,0.999997129638002,2.87036199783729e-06
"WDR35","WDR35",2,0.0915844282646068,13,"0.0501004732067532",1,0.857232876541407,0.142767123458593
