"","#wt","#mut","pvalue","p_adj","tcga_pvalue","tcga_tumor_vs_normal"
"TP53",7,8,0.00102486753142241,0.80938976534699,9.68201268301075e-24,"up"
"CACNA1C",13,2,0.00722516172806757,0.80938976534699,0.101865592601181,"down"
"WBP2",13,2,0.00745197374199491,0.80938976534699,0.000415364654346633,"down"
"TEC",12,3,0.00958584063689345,0.80938976534699,0.940869884401716,"up"
"OGDH",13,2,0.0108703746208942,0.80938976534699,0.07958397613337,"down"
"KCNB1",14,1,0.0116492354636107,0.80938976534699,0.00196492398603345,"down"
"PTK2B",13,2,0.0117390033771463,0.80938976534699,0.440885100223664,"down"
"GPR50",12,3,0.0123061779137834,0.80938976534699,0.046723848682635,"up"
"CDRT1",13,2,0.012917145847517,0.80938976534699,0.000349269821340349,"up"
"NR1D1",13,2,0.0134896619681259,0.80938976534699,8.69381433563391e-06,"up"
"TSC1",13,2,0.0135472794613176,0.80938976534699,1.00389141956392e-06,"up"
"HIVEP3",12,3,0.0140214232356725,0.80938976534699,1.13638302006299e-05,"up"
"DMXL2",11,4,0.0141721116852718,0.80938976534699,4.95705865179719e-07,"up"
"TEAD1",14,1,0.0158221966159227,0.80938976534699,0.06692475598625,"down"
"FRAS1",12,3,0.0161130770620582,0.80938976534699,1.18178003601119e-09,"up"
"CTNNB1",12,3,0.0175941519261651,0.80938976534699,4.44275486195405e-18,"up"
"ATAD3B",14,1,0.0176531005466455,0.80938976534699,7.4919528853396e-38,"up"
"MED26",14,1,0.0179882467683614,0.80938976534699,1.96879911886129e-13,"up"
"SLC4A11",14,1,0.018585601218815,0.80938976534699,7.3156883788756e-12,"up"
"RBM28",13,2,0.0188992707000539,0.80938976534699,3.27016817799186e-22,"up"
"NRG1",14,1,0.0197512674085716,0.80938976534699,0.364448580039837,"down"
"CSMD3",10,5,0.0197557200512403,0.80938976534699,0.0010834321219459,"up"
"NBR1",14,1,0.0204313916548823,0.80938976534699,0.0025490782478592,"up"
"WDR66",13,2,0.0206650206583596,0.80938976534699,9.3384980335599e-17,"up"
"RAPGEF5",13,2,0.022370872748502,0.80938976534699,1.60444194571048e-08,"up"
"ABCC1",13,2,0.0225363124071405,0.80938976534699,3.30485063025001e-06,"up"
"PIK3R2",13,2,0.022559916886724,0.80938976534699,1.79683185493933e-10,"up"
"FOXA1",14,1,0.0227712877918519,0.80938976534699,0.00131146573383132,"up"
"KRAS",13,2,0.0230130028849962,0.80938976534699,6.61739426389445e-09,"up"
"NAT10",14,1,0.0231417522862203,0.80938976534699,3.63904106632778e-39,"up"
"PPP3CA",14,1,0.023446310476992,0.80938976534699,6.84652543576055e-20,"up"
"KIF26A",13,2,0.0234544561649574,0.80938976534699,3.95600581646417e-05,"up"
"ASH1L",13,2,0.0242045114492008,0.80938976534699,0.0212563344062603,"up"
"GRIA4",14,1,0.0250853731967812,0.80938976534699,0.000270161237585752,"down"
"FCGBP",9,6,0.0252989698796773,0.80938976534699,0.0345028484706106,"down"
"CCNI",12,3,0.0263760422211862,0.80938976534699,0.0199281607047075,"down"
"GNL3L",14,1,0.0263838243768984,0.80938976534699,4.01870155529078e-27,"up"
"NLE1",14,1,0.0264860860607006,0.80938976534699,2.27079779593891e-36,"up"
"UBTF",14,1,0.0267537435932222,0.80938976534699,1.02777794592166e-07,"up"
"DPCR1",14,1,0.0283293030070282,0.80938976534699,0.262692259894342,"down"
"WDR82",14,1,0.0284184398427238,0.80938976534699,3.33767613256401e-05,"up"
"HSP90AB1",13,2,0.0290983279970469,0.80938976534699,1.84011001660984e-40,"up"
"PDE9A",14,1,0.0293927817129942,0.80938976534699,0.00849650073386297,"down"
"PARP4",13,2,0.0299056403589861,0.80938976534699,3.05270441324462e-09,"up"
"ANXA13",13,2,0.0301561026374994,0.80938976534699,0.0717309010282371,"up"
"MAP2K1",14,1,0.031546165851877,0.80938976534699,0.000343286082196929,"up"
"C2orf44",13,2,0.0320367991793538,0.80938976534699,NA,NA
"FOXM1",14,1,0.0321650130889327,0.80938976534699,2.26267497713118e-42,"up"
"DUSP27",13,2,0.0322242372854023,0.80938976534699,1.51921480993062e-06,"up"
"MADD",14,1,0.0327212444305476,0.80938976534699,1.52576816111306e-08,"up"
"FNTA",14,1,0.033066529788305,0.80938976534699,4.02239237019021e-12,"up"
"DGKD",14,1,0.0334317847091116,0.80938976534699,0.147884186914467,"down"
"ATF4",14,1,0.0336432872190927,0.80938976534699,0.00652025532521342,"down"
"FGD5",13,2,0.0339833276740725,0.80938976534699,0.0386660651395063,"up"
"NTN5",13,2,0.0345087323313402,0.80938976534699,0.0154685300170611,"up"
"CBLN2",14,1,0.0349234263756111,0.80938976534699,0.0564783603926401,"up"
"MIB1",14,1,0.0353603356031897,0.80938976534699,6.40577848751824e-10,"up"
"CORO2B",14,1,0.0359326554117981,0.80938976534699,0.00737850583289127,"down"
"MASP2",14,1,0.0360011095011538,0.80938976534699,0.481155331699056,"up"
"ABCC12",13,2,0.0365755562550773,0.80938976534699,0.277105734472062,"up"
"HTR7",14,1,0.0366633147761751,0.80938976534699,0.000426601031625906,"down"
"ANGPTL5",14,1,0.0368337399253165,0.80938976534699,0.0296304936815615,"down"
"OXTR",13,2,0.0368733475786543,0.80938976534699,0.00016137615175839,"up"
"GAK",12,3,0.0385030578775344,0.80938976534699,0.063304843389589,"up"
"MTMR2",14,1,0.0385138250382187,0.80938976534699,5.29971728454461e-10,"up"
"DNMT3B",14,1,0.0387376808840554,0.80938976534699,2.16089869063638e-26,"up"
"PAK1",14,1,0.038794116283168,0.80938976534699,1.40454332752286e-05,"up"
"NAA30",14,1,0.0396658766557164,0.80938976534699,0.0785249181621214,"up"
"ERBB2",14,1,0.0402649688169547,0.80938976534699,6.07053820801304e-07,"up"
"TOP1",14,1,0.0408135855203321,0.80938976534699,5.33226076786912e-17,"up"
"PKD1",13,2,0.0408515069859009,0.80938976534699,0.0377849426599164,"down"
"EPB41L5",14,1,0.0415592971796094,0.80938976534699,1.69117228539357e-19,"up"
"MAVS",14,1,0.0415966581655006,0.80938976534699,6.68195930253902e-05,"up"
"FZD5",14,1,0.0416883833758309,0.80938976534699,0.00890298160227646,"up"
"GAS6",14,1,0.0418155942938034,0.80938976534699,0.640907828988766,"up"
"EPHB2",14,1,0.0430909176660016,0.80938976534699,1.53053140134331e-22,"up"
