"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"TP53","TP53",-1,-1,6,"5.69934066607658e-09",3.34323323472052e-05,1,4.84100634150537e-24
"MARK1","MARK1",-1,-1,15,"3.60966683563557e-05",0.211706959910026,0.0857084161204393,0.914291583879561
"TGIF2","TGIF2",-1,-1,14,"0.000373688025891994",1,1,7.45127919490978e-27
"FRMD1","FRMD1",-1,-1,12,"0.000442634855783774",1,0.000791848363681934,0.999208151636318
"ATP10D","ATP10D",-1,-1,14,"0.00060521632487498",1,0.299663169248078,0.700336830751922
"CRABP1","CRABP1",-1,-1,15,"0.000686606393081379",1,0.927427527941057,0.0725724720589425
"PPP2R5B","PPP2R5B",-1,-1,14,"0.000778852562224763",1,0.274637997710009,0.725362002289991
"DSTYK","DSTYK",-1,-1,14,"0.000805440700397786",1,0.908842393024461,0.0911576069755391
"RAPGEF5","RAPGEF5",-1,-1,11,"0.000931752909991257",1,0.99999999197779,8.02220972855242e-09
"ITGB5","ITGB5",-1,-1,15,"0.00105020914749032",1,0.999999766538644,2.33461356087891e-07
"ARPC1A","ARPC1A",-1,-1,15,"0.00158767372829904",1,0.999482210956102,0.000517789043897971
"HEY2","HEY2",-1,-1,14,"0.00160488304066864",1,0.877712403518876,0.122287596481124
"NBR1","NBR1",-1,-1,14,"0.00168845510631266",1,0.99872546087607,0.0012745391239296
"VAPB","VAPB",-1,-1,13,"0.00178121024735578",1,0.999999999999994,6.21138075432114e-15
"SIX1","SIX1",-1,-1,15,"0.00183779535648954",1,1,7.35664523132687e-18
"WASH2P","WASH2P",-1,-1,14,"0.00185034402756223",1,0.980143498530402,0.0198565014695977
"FAM69B","FAM69B",-1,-1,15,"0.0018779362598873",1,0.995164231742263,0.00483576825773698
"GLI3","GLI3",-1,-1,8,"0.00196546825452082",1,0.0163231823158019,0.983676817684198
"LGR5","LGR5",-1,-1,12,"0.00199119126997249",1,1,5.72461788874806e-19
"ORC4","ORC4",-1,-1,14,"0.00200362706202151",1,0.999999999999901,9.91032159691631e-14
"AXIN1","AXIN1",-1,-1,13,"0.00201578462951024",1,0.999999999999987,1.26357186190166e-14
"KCNE3","KCNE3",-1,-1,15,"0.00217152676211319",1,0.999999999999997,3.33169410270002e-15
"GMPR2","GMPR2",-1,-1,15,"0.00226547170813751",1,0.63797162161913,0.36202837838087
"VLDLR","VLDLR",-1,-1,10,"0.00238085470761773",1,0.000959901618653763,0.999040098381346
"NFIL3","NFIL3",-1,-1,14,"0.00245921161268314",1,0.0580825184637124,0.941917481536288
"ULK3","ULK3",-1,-1,14,"0.00256719622121304",1,0.384094895488031,0.615905104511969
"WWTR1","WWTR1",-1,-1,14,"0.00261510298591361",1,0.0370648516078156,0.962935148392184
"ATG2B","ATG2B",-1,-1,12,"0.00266749719048509",1,0.998751725855329,0.00124827414467077
"C1R","C1R",-1,-1,14,"0.00282760361927115",1,0.972693498989676,0.0273065010103238
"ITGB6","ITGB6",-1,-1,15,"0.00302645517340228",1,0.999999903814274,9.61857257897306e-08
"ARNTL","ARNTL",-1,-1,13,"0.00331807396076533",1,0.626224278153587,0.373775721846413
"FOXA2","FOXA2",-1,-1,14,"0.00342861903638603",1,0.989923282421468,0.0100767175785324
"ZFAND4","ZFAND4",-1,-1,13,"0.00362159990566158",1,0.999999984856824,1.51431760496396e-08
"VPRBP","VPRBP",-1,-1,15,"0.00367882598743541",1,NA,NA
"EXOC2","EXOC2",-1,-1,14,"0.0038970692915602",1,0.999999999999878,1.22287800339213e-13
"FGF7","FGF7",-1,-1,14,"0.0039900094513835",1,0.209637353801014,0.790362646198986
"DLX5","DLX5",-1,-1,15,"0.00435679694993862",1,0.929998527926269,0.0700014720737313
"DAPK2","DAPK2",-1,-1,14,"0.00437641211377926",1,0.209547819388741,0.790452180611259
"HEYL","HEYL",-1,-1,15,"0.00446205569397229",1,0.999999999999972,2.79949930717321e-14
"GLIS3","GLIS3",-1,-1,12,"0.0045800576624373",1,1,1.7042665138953e-21
"GPX4","GPX4",-1,-1,13,"0.00464264761169719",1,0.819511596056361,0.180488403943639
"PTAR1","PTAR1",-1,-1,15,"0.00495350088126167",1,0.999999999724468,2.75531840985544e-10
"ORM2","ORM2",-1,-1,13,"0.00495624736806877",1,0.574731636265012,0.425268363734988
"BMPR1B","BMPR1B",-1,-1,15,"0.00514033632060285",1,0.0183884963233804,0.98161150367662
"LOX","LOX",-1,-1,14,"0.00520149039909767",1,1,3.70336103404478e-38
"CIAO1","CIAO1",-1,-1,13,"0.0054926787166607",1,1,6.74248536386421e-22
"GNB4","GNB4",-1,-1,15,"0.00579175768069307",1,0.351602748523433,0.648397251476567
