"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"MAPKAP1","MAPKAP1",-1,-1,15,"3.15076862181125e-05",0.195190116121207,0.999999447920706,5.52079293838154e-07
"RPA3","RPA3",-1,-1,12,"3.4160283904189e-05",0.211588798502547,0.999999999894467,1.05533154788363e-10
"YAP1","YAP1",-1,-1,13,"4.13669646781338e-05",0.256185612251683,0.96740151281441,0.03259848718559
"HEATR2","HEATR2",-1,-1,13,"6.81079325111293e-05",0.421724318108913,NA,NA
"CDC45","CDC45",-1,-1,14,"8.07690516402883e-05",0.500041198705025,1,7.14456400822186e-34
"USP5","USP5",-1,-1,14,"8.34033577202752e-05",0.516266784288503,0.999977819464022,2.21805359780995e-05
"AHCTF1","AHCTF1",-1,-1,14,"0.000252824416857956",1,0.999999999999985,1.53178759354155e-14
"CDK12","CDK12",-1,-1,12,"0.000315418357122757",1,0.999999999997651,2.34895776505932e-12
"UBL5","UBL5",-1,-1,14,"0.000441914801541212",1,0.516747966792012,0.483252033207988
"WDR33","WDR33",-1,-1,15,"0.000486668607642914",1,0.999999999999991,9.08356337438604e-15
"CSNK1A1","CSNK1A1",-1,-1,15,"0.000503787947733753",1,0.197140013992811,0.802859986007189
"TCF21","TCF21",-1,-1,15,"0.000522507063153491",1,3.2293767405188e-06,0.99999677062326
"CATSPERG","CATSPERG",-1,-1,13,"0.000650161648543023",1,0.99997693236792,2.30676320804735e-05
"PRPF4B","PRPF4B",-1,-1,15,"0.000726545038477865",1,0.999999999999234,7.66423193490954e-13
"SIRPA","SIRPA",-1,-1,14,"0.00105915825733289",1,0.999999846900024,1.53099976444006e-07
"SMARCA5","SMARCA5",-1,-1,15,"0.00108244447742765",1,0.999999999994046,5.95359662492794e-12
"C7","C7",-1,-1,13,"0.00114768909079702",1,0.00420280287130414,0.995797197128696
"TERF1","TERF1",-1,-1,11,"0.00119538735741842",1,0.999335644512915,0.000664355487085247
"RGPD1","RGPD1",-1,-1,13,"0.00120381368856705",1,0.970980956778852,0.029019043221148
"RGPD2","RGPD2",-1,-1,13,"0.00120381368856705",1,1,5.27152033912536e-19
"DHX15","DHX15",-1,-1,15,"0.00125390026512365",1,1,5.43025358308039e-39
"PAF1","PAF1",-1,-1,14,"0.00132839573188961",1,0.873754785290661,0.126245214709339
"KIF13A","KIF13A",-1,-1,14,"0.00143453370068857",1,0.581192166601846,0.418807833398154
"TNK2","TNK2",-1,-1,13,"0.00144160130508511",1,0.999999999840808,1.59192257730176e-10
"OR2AT4","OR2AT4",-1,-1,15,"0.00149436697419975",1,0.999999040441883,9.59558116629668e-07
"CDH15","CDH15",-1,-1,13,"0.00153297044791339",1,0.999988415677388,1.15843226123008e-05
"HPSE","HPSE",-1,-1,15,"0.00161099459552368",1,0.999999288162966,7.11837034091243e-07
"DUSP19","DUSP19",-1,-1,15,"0.00161541212180168",1,0.00151917198542996,0.99848082801457
"UBE3B","UBE3B",-1,-1,15,"0.00168526157311075",1,0.999501715705954,0.000498284294046365
"EPN2","EPN2",-1,-1,14,"0.00172144235779878",1,0.026186185178941,0.973813814821059
"JUNB","JUNB",-1,-1,14,"0.00173139361660151",1,0.00282075184530181,0.997179248154698
"COLEC11","COLEC11",-1,-1,15,"0.00181473504112389",1,0.46129585630293,0.53870414369707
"USP7","USP7",-1,-1,14,"0.00206767893394128",1,0.999999999999327,6.72667364701574e-13
"WEE1","WEE1",-1,-1,14,"0.00225940769481186",1,0.938519341019852,0.0614806589801482
"LRRC24","LRRC24",-1,-1,10,"0.00226202158376604",1,0.329567811201559,0.670432188798441
"PDZK1IP1","PDZK1IP1",-1,-1,15,"0.00226337625353971",1,0.999998430111829,1.56988817114755e-06
"SOX9","SOX9",-1,-1,12,"0.00231657173206817",1,1,3.93407734731715e-30
"TNIK","TNIK",-1,-1,13,"0.00232779656104497",1,0.997579438501949,0.00242056149805054
"TDRKH","TDRKH",-1,-1,14,"0.00239970736614412",1,1,2.65820179146409e-21
"ID3","ID3",-1,-1,15,"0.00242360637676167",1,0.000109322138370732,0.999890677861629
"KBTBD4","KBTBD4",-1,-1,13,"0.0026068575600407",1,0.710847837416512,0.289152162583488
"SART3","SART3",-1,-1,15,"0.00260759707111218",1,1,2.32860055922313e-34
"SF3B4","SF3B4",-1,-1,13,"0.00260841540183623",1,1,1.23113639456512e-28
"TPBG","TPBG",-1,-1,14,"0.00261731829489316",1,0.992068576434278,0.00793142356572177
"SOS1","SOS1",-1,-1,13,"0.0026560505117759",1,0.999955898069059,4.41019309411612e-05
"MFAP4","MFAP4",-1,-1,14,"0.00275717531055951",1,1.47447032092942e-05,0.999985255296791
"PPYR1","PPYR1",-1,-1,14,"0.00281361180782283",1,NA,NA
"CDC27","CDC27",-1,-1,14,"0.00282858018997456",1,1,1.23060482305759e-18
