"","#wt","#mut","pvalue","p_adj","tcga_pvalue","tcga_tumor_vs_normal"
"MAPKAP1",15,0,3.15076862181125e-05,0.0902627169276879,1.10415858767631e-06,"up"
"RPA3",12,3,3.4160283904189e-05,0.0902627169276879,2.11066309576726e-10,"up"
"YAP1",13,2,4.13669646781338e-05,0.0902627169276879,0.06519697437118,"up"
"HEATR2",13,2,6.81079325111293e-05,0.0909930632728202,NA,NA
"CDC45",14,1,8.07690516402883e-05,0.0909930632728202,1.42891280164437e-33,"up"
"USP5",14,1,8.34033577202752e-05,0.0909930632728202,4.4361071956199e-05,"up"
"AHCTF1",14,1,0.000252824416857956,0.236426947536026,3.06357518708311e-14,"up"
"CDK12",12,3,0.000315418357122757,0.258091070715696,4.69791553011864e-12,"up"
"UBL5",14,1,0.000441914801541212,0.285027602950229,0.966504066415977,"up"
"WDR33",15,0,0.000486668607642914,0.285027602950229,1.81671267487721e-14,"up"
"CSNK1A1",15,0,0.000503787947733753,0.285027602950229,0.394280027985622,"down"
"TCF21",15,0,0.000522507063153491,0.285027602950229,6.45875348103761e-06,"down"
"CATSPERG",13,2,0.000650161648543023,0.321736792018191,4.6135264160947e-05,"up"
"PRPF4B",15,0,0.000726545038477865,0.321736792018191,1.53284638698191e-12,"up"
"MAGED4B",15,0,0.000786402180307218,0.321736792018191,0.000729395725216683,"up"
"MAGED4",15,0,0.000786402180307218,0.321736792018191,0.109577728346721,"up"
"LOC100996758",15,0,0.00102997528591108,0.321970575233251,NA,NA
"SIRPA",14,1,0.00105915825733289,0.321970575233251,3.06199952888012e-07,"up"
"SMARCA5",15,0,0.00108244447742765,0.321970575233251,1.19071932498559e-11,"up"
"C7",13,2,0.00114768909079702,0.321970575233251,0.00840560574260828,"down"
"TERF1",11,4,0.00119538735741842,0.321970575233251,0.00132871097417049,"up"
"RGPD1",13,2,0.00120381368856705,0.321970575233251,0.058038086442296,"up"
"RGPD2",13,2,0.00120381368856705,0.321970575233251,1.05430406782507e-18,"up"
"DHX15",15,0,0.00125390026512365,0.321970575233251,1.08605071661608e-38,"up"
