"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"ZFHX4","ZFHX4",4,0.00437812956228434,11,"0.0659755877678907",1,0.582832150324097,0.417167849675903
"CELSR1","CELSR1",2,0.0235731826131301,13,"0.628082854934771",1,0.99961498996855,0.000385010031450079
"TSC2","TSC2",2,0.0308200580912489,13,"0.903444026052007",1,0.479406749545031,0.520593250454969
"RPL22","RPL22",3,0.0347055180238387,12,"0.415010360279328",1,0.997710626004267,0.00228937399573344
"FOXD2","FOXD2",2,0.0457467287280651,13,"0.577293095272399",1,1,2.93801691140195e-30
"GPR64","GPR64",2,0.0506902098266067,13,"0.00112001233260617",1,NA,NA
"ELF3","ELF3",2,0.0691261947181609,13,"0.942732438620791",1,0.999998923244526,1.07675547433327e-06
"NCSTN","NCSTN",2,0.0707987194460975,13,"0.80204393353528",1,0.999999979655588,2.03444125079367e-08
"LRP1B","LRP1B",2,0.0825872759804502,13,"0.887672144834154",1,0.0100606738089082,0.989939326191092
"LMTK3","LMTK3",2,0.0859036412734651,13,"0.431124754865566",1,0.999994777544778,5.22245522178597e-06
"TFPI","TFPI",2,0.0908500604204859,13,"0.0279500669229895",1,0.999924002626708,7.59973732924793e-05
"TRPS1","TRPS1",3,0.0939842735391604,12,"0.290354615254145",1,0.0429928659356565,0.957007134064344
"TSPAN8","TSPAN8",2,0.120992803687419,13,"0.0462041854268498",1,0.999805618101563,0.000194381898437227
"SEMA4G","SEMA4G",2,0.13211930214715,13,"0.731167494725148",1,0.999854378505682,0.000145621494318427
"MTMR10","MTMR10",2,0.136920291480395,13,"0.591679000486314",1,0.0307954006091528,0.969204599390847
"ARID1A","ARID1A",5,0.139099295086856,10,"0.0383029482818571",1,0.999999888241611,1.11758388888215e-07
"DOCK9","DOCK9",2,0.14306299504304,13,"0.337308141371121",1,0.242205061308955,0.757794938691045
"FIGN","FIGN",2,0.156410170031983,13,"0.132711196501327",1,0.184067173414245,0.815932826585755
"ZBTB20","ZBTB20",2,0.168025347609254,13,"0.356091260466921",1,0.354635728941539,0.645364271058461
"SPEG","SPEG",2,0.17361893307664,13,"0.169795673217263",1,0.00129840651207039,0.99870159348793
"SETX","SETX",2,0.173803879980774,13,"0.942068774383586",1,0.999999997251288,2.74871211319994e-09
"TP53BP1","TP53BP1",2,0.191774204409576,13,"0.0517660006833652",1,0.999999805641403,1.94358597307967e-07
