"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"CAPZA2","CAPZA2",5,0.000214245299125488,10,"0.0287524150076997",0.313440872620589,0.0406405851632266,0.959359414836773
"MUC20","MUC20",5,0.000377683371989815,10,"2.38485354467881e-05",0.55217308984911,5.45117559691953e-05,0.999945488244031
"LRRC69","LRRC69",2,0.000747791968976166,13,"1.42404179679049e-05",1,0.999999999999899,1.00818414771559e-13
"VN1R5","VN1R5",2,0.00171683194512868,13,"0.00116760596241509",1,0.999999422833675,5.77166325126062e-07
"PLXNA2","PLXNA2",2,0.00224915154809123,13,"0.0111290712410983",1,0.99999999997629,2.37101514721596e-11
"ANKIB1","ANKIB1",3,0.00442139363153775,12,"7.78012908217297e-09",1,0.999967210561425,3.27894385749974e-05
"LGR6","LGR6",2,0.0046019215611291,13,"0.00836561704314054",1,2.02763425532558e-06,0.999997972365745
"ATP2B4","ATP2B4",2,0.00592741284682027,13,"0.00074385800326649",1,1,3.06596120951366e-17
"EXOC8","EXOC8",2,0.00659429509437533,13,"0.45622254870216",1,0.00306054175717661,0.996939458242823
"KCNS2","KCNS2",2,0.00778801095973251,13,"0.000151057717940043",1,5.92513083974601e-05,0.999940748691603
"LRRN2","LRRN2",2,0.00787637088430855,13,"0.0167480668387122",1,8.55953816956247e-29,1
"IMPDH1","IMPDH1",3,0.00806789804859584,12,"0.0210733529427499",1,1,4.65257314791749e-43
"DMTF1","DMTF1",3,0.00858385066865786,12,"0.799086964144102",1,1,2.00456284169485e-45
"MYOC","MYOC",3,0.0109247653272563,12,"0.0122247599521407",1,0.955111100800869,0.0448888991991307
"CRABP2","CRABP2",2,0.0109786782248824,13,"0.0466007942806208",1,0.549779908144444,0.450220091855556
"LYST","LYST",2,0.0122085698944622,13,"0.174538299211323",1,0.999999999201982,7.98017650108298e-10
"FMOD","FMOD",2,0.0131197701947598,13,"0.378082081022903",1,0.0171323350882776,0.982867664911722
"ABCF2","ABCF2",2,0.0143812780613495,13,"0.00899123387167644",1,0.149168371516284,0.850831628483717
"GABRB2","GABRB2",3,0.0146724176021778,12,"0.00578867155497412",1,5.90785376979558e-12,0.999999999994092
"PROP1","PROP1",2,0.0168612167904043,13,"0.0253487087130451",1,0.992497333182129,0.00750266681787139
"METTL13","METTL13",3,0.0177798115085423,12,"0.217549587390123",1,3.79079860210413e-20,1
"MAT2B","MAT2B",3,0.0185584463254538,12,"0.0934835373580343",1,1.82518282822011e-20,1
"RXRG","RXRG",3,0.0214372150891125,12,"0.000744322436726862",1,6.90141280656888e-06,0.999993098587193
"NSF","NSF",2,0.0218186758193316,13,"0.12386916712051",1,0.184218676206595,0.815781323793406
"SEMA6C","SEMA6C",2,0.022412578470651,13,"0.00510551809635544",1,0.999999968018727,3.19812728784764e-08
"NR1I3","NR1I3",3,0.0231288752447598,12,"0.138546472074079",1,2.11952005425312e-16,1
"NCSTN","NCSTN",3,0.0256546606107571,12,"0.0143407361731871",1,1.46273364966041e-05,0.999985372663503
"LAX1","LAX1",2,0.0258750999347955,13,"0.0276765862302856",1,1,1.92154881739317e-22
"OR13G1","OR13G1",3,0.0264743341997205,12,"0.00505656504392168",1,0.993357497826472,0.00664250217352841
"POU2F1","POU2F1",3,0.0285147968094772,12,"0.0150774167496111",1,0.0320181855485011,0.967981814451499
"HK3","HK3",2,0.0327582103004843,13,"0.152885100517585",1,1,2.70964092915004e-85
"SLAMF9","SLAMF9",3,0.0338581910356833,12,"0.18925131536361",1,0.999999999998385,1.61479126548575e-12
"BPGM","BPGM",3,0.0357352064718222,12,"0.231474745198292",1,2.39531098234873e-10,0.999999999760469
"TRPS1","TRPS1",2,0.0361971394596245,13,"0.0676230564405061",1,3.90491252712819e-14,0.999999999999961
"GUK1","GUK1",2,0.0380350279611954,13,"0.670536470163715",1,1,4.8592690116801e-36
"F11R","F11R",3,0.0418110255260533,12,"0.285870120234547",1,2.34447784980517e-14,0.999999999999977
"ADIPOR1","ADIPOR1",2,0.0422568217100861,13,"0.0287734783181607",1,6.37892195024893e-10,0.999999999362108
"G3BP1","G3BP1",2,0.0426453880755378,13,"0.000171905095594504",1,8.60653213951296e-05,0.999913934678605
"ZC3HAV1","ZC3HAV1",3,0.043278777908665,12,"0.240721247706439",1,2.25384400689338e-07,0.999999774615599
"IL6","IL6",2,0.0437521159562949,13,"0.0226400645519781",1,0.964715188003887,0.035284811996113
"DECR1","DECR1",2,0.0439612057835824,13,"0.456990743992536",1,7.26108437709674e-27,1
"MAD1L1","MAD1L1",2,0.0457230042522393,13,"0.269202901425587",1,1,9.51177226576007e-39
"CDC42BPA","CDC42BPA",2,0.0464374152603325,13,"0.844465015849236",1,7.87582016646459e-27,1
"KCNH2","KCNH2",2,0.046580962030223,13,"0.00060803600252426",1,1,2.58601729552577e-22
"FAM58BP","FAM58BP",2,0.0506902098266068,13,"0.114556269830689",1,0.976126803275578,0.0238731967244218
"WDR91","WDR91",3,0.0527026108847291,12,"0.000237277819421956",1,1,8.95663328403767e-48
"THEM4","THEM4",2,0.0571266775730948,13,"0.328221533750754",1,3.25554174636869e-41,1
"SUSD4","SUSD4",2,0.0579516007505838,13,"0.597689300816732",1,1.60657288657237e-26,1
"ADRA1B","ADRA1B",3,0.0593738900172672,12,"0.290035132901169",1,0.999999999999994,6.00900476206487e-15
"KDM5B","KDM5B",2,0.0602982931857098,13,"0.00160747356084077",1,0.476501973020036,0.523498026979964
"DOCK2","DOCK2",3,0.0637338773333021,12,"0.203179945798803",1,1,1.47826803258136e-56
"ABCB8","ABCB8",2,0.064933371393182,13,"0.00838567230072069",1,0.803910383507239,0.196089616492761
"CHD1L","CHD1L",2,0.0656135940325565,13,"0.360633518894152",1,0.765542616868991,0.234457383131009
"LEP","LEP",3,0.0667986369135039,12,"0.644709899843355",1,0.138291828850854,0.861708171149146
"GRB10","GRB10",2,0.0670995688892112,13,"0.00561948885035014",1,1,3.43561472169847e-44
"ARHGEF37","ARHGEF37",2,0.0682249692576126,13,"0.0426264657686224",1,0.968885774980486,0.0311142250195139
"CARD11","CARD11",2,0.0689804358012661,13,"0.138235367625315",1,1,2.60856117960518e-45
"LY9","LY9",3,0.0695869649794699,12,"0.26508967886755",1,1,7.89289183770107e-31
"TFEC","TFEC",4,0.0703724056272044,11,"0.0217473201565156",1,0.999946265040305,5.37349596951642e-05
"CA13","CA13",2,0.0709463859200687,13,"0.799337063242734",1,2.38365974186799e-18,1
"GRM8","GRM8",3,0.0738562739438362,12,"0.0211396346545141",1,1,1.84067742855987e-43
"RALGPS2","RALGPS2",3,0.0790338004083742,12,"0.568271857128811",1,7.81004428919162e-26,1
"SLAMF1","SLAMF1",3,0.081345665352758,12,"0.000438762202757198",1,1,1.27389216653426e-18
"HSD17B7","HSD17B7",3,0.0818573228471423,12,"0.0552689973275995",1,1,6.09948241082467e-67
"TPM3","TPM3",2,0.0818873870506852,13,"0.383878739165083",1,1,1.55893892100479e-29
"RAD54B","RAD54B",2,0.0820779704860357,13,"0.0827871159622406",1,1,8.65857243609618e-26
"ZFPM2","ZFPM2",2,0.0875042449153011,13,"0.610270505946626",1,0.994663771452661,0.00533622854733903
"HAS2","HAS2",2,0.0899827618048712,13,"0.956027029159791",1,8.98274790554396e-06,0.999991017252094
"CHRM2","CHRM2",3,0.0911487736104795,12,"0.0258353856093092",1,0.227558566020467,0.772441433979533
"FMN2","FMN2",2,0.0914529346739336,13,"0.000941062215069668",1,2.49486070998274e-18,1
"CNOT6","CNOT6",2,0.0943608519340315,13,"0.191171210170732",1,0.000105702831302189,0.999894297168698
"GEM","GEM",2,0.0944972115134038,13,"0.941336434820012",1,0.414386953574533,0.585613046425467
"APOD","APOD",3,0.0947896951770427,12,"0.0204885213116639",1,4.71497228622297e-12,0.999999999995285
"RDH10","RDH10",2,0.0957288781828999,13,"0.517854643214183",1,1.73752825937095e-23,1
"DUSP23","DUSP23",3,0.0963870887354129,12,"0.110264013069825",1,1,3.16054601889756e-51
"MNX1","MNX1",2,0.0965888942340059,13,"0.985223391083775",1,1,9.11527488083786e-46
"GLRA1","GLRA1",2,0.0974181278481032,13,"0.0369836798464189",1,0.9878988364292,0.0121011635707998
"BTNL9","BTNL9",2,0.0992968625611221,13,"0.0727942912974568",1,1,1.7507837462657e-36
"SPRR2G","SPRR2G",2,0.0997868709542879,13,"0.880925313677516",1,0.428805998539968,0.571194001460032
"ZHX2","ZHX2",2,0.100067417250456,13,"0.200789363570809",1,1,7.19324394094902e-42
"EGFR","EGFR",2,0.100946662707575,13,"0.00294074387751265",1,1,1.67276794068161e-43
"SPAG1","SPAG1",2,0.101017168486212,13,"0.112125468872136",1,0.927456015373671,0.0725439846263291
"CSF1R","CSF1R",2,0.101652828107736,13,"0.0344597283165639",1,1,6.11197190036939e-40
"RUFY1","RUFY1",2,0.103357667433119,13,"0.618994436472826",1,1,5.78607505706227e-23
"OR2L2","OR2L2",2,0.105040726760211,13,"0.0614777688185086",1,0.983226866735626,0.0167731332643743
"CCDC132","CCDC132",3,0.109668595982405,12,"0.259030063595398",1,NA,NA
"SDK1","SDK1",2,0.111723413715852,13,"0.00713271329036862",1,1,2.97889944497584e-16
"OR2G6","OR2G6",2,0.112205979555851,13,"0.706868125735539",1,0.171200562580235,0.828799437419764
"RHEB","RHEB",2,0.113099602451394,13,"0.0375753567540566",1,0.935439124260398,0.0645608757396021
"JHDM1D","JHDM1D",3,0.114546071062767,12,"0.584445701770158",1,NA,NA
"NTRK1","NTRK1",2,0.117620882390855,13,"0.286277429381952",1,4.7885712588554e-11,0.999999999952114
"PRRX1","PRRX1",3,0.119943636480196,12,"0.0880846632709817",1,0.991603750529849,0.00839624947015084
"HEPACAM2","HEPACAM2",3,0.120038154700113,12,"0.236806820742714",1,1.65086544056943e-10,0.999999999834913
"DRD1","DRD1",2,0.120915639919244,13,"0.0614777688185086",1,6.89970111822054e-11,0.999999999931003
"GPR52","GPR52",3,0.121907117845722,12,"0.393274232100635",1,0.990886868657722,0.00911313134227824
"ARF1","ARF1",2,0.125039237228041,13,"0.951870817376334",1,1,3.46882474500894e-31
"SGCE","SGCE",3,0.129146322465884,12,"0.0190866552874607",1,0.999993650027845,6.34997215447509e-06
"SHE","SHE",2,0.130751866648814,13,"0.945752613572625",1,2.79876857394741e-06,0.999997201231426
"UHMK1","UHMK1",3,0.13244990721402,12,"0.44752410503107",1,9.25996154038186e-26,1
"ITLN1","ITLN1",3,0.134955711266127,12,"0.217710351968733",1,1.0693496197672e-06,0.99999893065038
"PSPH","PSPH",2,0.135691578470843,13,"0.909464296273633",1,0.999008934406789,0.000991065593211213
"ZNF496","ZNF496",2,0.136592093177774,13,"0.403811218598346",1,1,2.83745129198989e-23
"OR11L1","OR11L1",3,0.136769699864095,12,"0.787785975798866",1,0.98623378179153,0.0137662182084703
"SDC2","SDC2",2,0.138691104570962,13,"0.856704762874499",1,0.00552553944462359,0.994474460555376
"CHD7","CHD7",2,0.139642954104049,13,"0.000621056333547152",1,0.0221494981347083,0.977850501865292
"ARHGEF2","ARHGEF2",2,0.141598160291857,13,"0.0343475644802711",1,1,2.07595745917997e-28
"TIMD4","TIMD4",2,0.143693088893697,13,"0.318166687601828",1,1,5.63627819251498e-41
"COL23A1","COL23A1",2,0.143903427847745,13,"0.0029518015735217",1,1,1.46138562100484e-115
"PMVK","PMVK",2,0.146609353188679,13,"0.984375028585845",1,0.765724897715841,0.234275102284159
"NSMAF","NSMAF",2,0.146651833257954,13,"0.282499010796195",1,1,1.8947401011664e-28
"UBE3C","UBE3C",2,0.148057127606984,13,"0.572240424962659",1,5.64514276677451e-08,0.999999943548572
"ARF5","ARF5",3,0.148830952184234,12,"0.623027602761976",1,1,3.91162308822796e-22
"WNT16","WNT16",2,0.151017124186297,13,"0.872946177569019",1,0.0901176822225227,0.909882317777477
"BCAN","BCAN",2,0.152313217034518,13,"0.2281094488916",1,0.999999930216123,6.97838770302193e-08
"KRT1","KRT1",2,0.155009358445946,13,"0.65700259461517",1,0.98139969644317,0.0186003035568297
"NR5A2","NR5A2",2,0.156805283594687,13,"0.0238685290294304",1,0.999999999999999,1.36696896468333e-15
"CNOT8","CNOT8",2,0.158346574464177,13,"0.0387748204696751",1,0.999358734235001,0.000641265764999467
"ETNK2","ETNK2",2,0.159319244055879,13,"0.0074466997041805",1,1.44830546952836e-16,1
"SLC25A13","SLC25A13",3,0.163277613614955,12,"0.0750595117301522",1,7.56388404799347e-09,0.999999992436116
"ETV1","ETV1",3,0.165141702165398,12,"0.292114633168188",1,0.695136898787452,0.304863101212548
"CYP2W1","CYP2W1",2,0.167117104227184,13,"0.387271974633953",1,0.996922403653789,0.00307759634621066
"IVNS1ABP","IVNS1ABP",2,0.167389318798588,13,"0.0088488626949728",1,5.98531741503819e-10,0.999999999401468
"CA1","CA1",2,0.167798056010864,13,"0.998787390790339",1,0.999708645086897,0.000291354913102815
"PROX1","PROX1",2,0.168025347609254,13,"0.0885662957147658",1,6.36570898487937e-15,0.999999999999994
"WNT9A","WNT9A",2,0.168161796409206,13,"0.0843200446164721",1,0.999999990803225,9.19677481710148e-09
"CACNA2D1","CACNA2D1",4,0.17022274589511,11,"0.437803333614041",1,0.820315686011287,0.179684313988712
"EZH2","EZH2",2,0.172880130005695,13,"0.0667277600361899",1,1,7.6865180213944e-76
"SMO","SMO",3,0.174188423199502,12,"0.0159930262554775",1,0.99999974524352,2.54756479930801e-07
"CREB3L2","CREB3L2",3,0.175280521394283,12,"0.623115966641454",1,1.6270653088195e-12,0.999999999998373
"RAPGEF5","RAPGEF5",2,0.175798277220934,13,"0.167351154313541",1,1,1.74268448147453e-19
"DUSP10","DUSP10",2,0.177663745128069,13,"0.270191845457558",1,1,3.72405085560814e-78
"KIAA1549","KIAA1549",3,0.183545523808378,12,"0.242325799102406",1,1.77883431655112e-06,0.999998221165683
"ADAP1","ADAP1",3,0.185218269183463,12,"0.509609294906464",1,4.52116985165119e-10,0.999999999547883
"DBF4","DBF4",3,0.18614217882787,12,"0.343085056990641",1,1,3.0777402379852e-32
"CDH17","CDH17",2,0.186275935292821,13,"0.398565593199341",1,0.999999999924731,7.52685952810841e-11
"MXD3","MXD3",2,0.186419602042615,13,"0.622824807097952",1,1,6.79105026051157e-82
"WASL","WASL",2,0.18704279791302,13,"0.295037532502288",1,6.56534438856551e-17,1
"AKR1D1","AKR1D1",3,0.188548732623034,12,"0.933699776880449",1,0.998461903047219,0.00153809695278043
"MDM4","MDM4",2,0.190077632240651,13,"0.650864211218641",1,1,2.15817160877304e-26
"ARHGAP30","ARHGAP30",3,0.191358133200102,12,"0.000279832335139602",1,1,4.02666920661222e-59
"LMBR1","LMBR1",2,0.192893199016432,13,"0.0253440986530934",1,0.00136841117999126,0.998631588820009
"TMEM68","TMEM68",2,0.193624731829689,13,"0.000419130433809477",1,5.37305554314105e-13,0.999999999999463
"HIPK2","HIPK2",3,0.196267746936815,12,"0.225317862846191",1,0.114002548779303,0.885997451220697
"IRF6","IRF6",2,0.196613895541135,13,"0.253121938107762",1,2.73907415463943e-80,1
