"","#wt","#mut","pvalue","p_adj","tcga_pvalue","tcga_tumor_vs_normal"
"ARPC1A",14,1,0.00569915954821615,0.976230385149293,1.68536578661889e-73,"up"
"DMTF1",12,3,0.00832417073201294,0.976230385149293,4.0091256833897e-45,"up"
"LY6K",14,1,0.00997201113941825,0.976230385149293,0.000127101225483379,"down"
"CDK4",14,1,0.0109825163555687,0.976230385149293,8.51062174745982e-05,"up"
"PILRB",14,1,0.0138333441232715,0.976230385149293,1.76771121372152e-26,"up"
"NSFP1",11,4,0.0140489124088544,0.976230385149293,NA,NA
"MCM4",14,1,0.0145930356938863,0.976230385149293,0.00114741366519507,"down"
"SIRPB1",10,5,0.016140720745534,0.976230385149293,9.75033250280064e-64,"up"
"MED15",14,1,0.0167342490756649,0.976230385149293,9.56583674787523e-53,"up"
"RARG",14,1,0.0175133678273763,0.976230385149293,1.31113093139608e-09,"up"
"MNX1",13,2,0.0196389844899857,0.976230385149293,1.82305497616757e-45,"up"
"CA1",13,2,0.0207018103152485,0.976230385149293,0.000582709826205629,"up"
"EIF4B",13,2,0.0217068833084108,0.976230385149293,4.79941003544496e-05,"up"
"SLC1A3",14,1,0.0225131776992333,0.976230385149293,1.25582482418474e-87,"up"
"TCEB2",14,1,0.0229850949475384,0.976230385149293,NA,NA
"TNFRSF18",14,1,0.0232664160964192,0.976230385149293,2.21180879763985e-49,"up"
"EXOC8",13,2,0.024040013114513,0.976230385149293,0.00612108351435321,"down"
"RAD50",14,1,0.024099175001514,0.976230385149293,0.131771206943032,"up"
"CDC42BPA",13,2,0.025393360682803,0.976230385149293,1.57516403329292e-26,"down"
"HAS2",13,2,0.0263173659124684,0.976230385149293,1.79654958110879e-05,"down"
"STAG3L1",14,1,0.0270820072376608,0.976230385149293,1.0937225963125e-20,"up"
"STAG3L2",14,1,0.0270820072376608,0.976230385149293,1.68100715988546e-17,"up"
"DDX5",14,1,0.0272751419690587,0.976230385149293,7.1431124165858e-19,"up"
"UGT3A1",14,1,0.0277912308230546,0.976230385149293,1.97458660248408e-23,"down"
"RRN3P1",14,1,0.0282277196677331,0.976230385149293,2.38228375555752e-88,"up"
"KCNJ10",12,3,0.0292527253906566,0.976230385149293,3.65205371970138e-38,"down"
"FCGR3A",12,3,0.0294960166300294,0.976230385149293,4.15495425243741e-85,"up"
"FCGR3B",12,3,0.0294960166300294,0.976230385149293,7.55778506744344e-08,"up"
"GEM",13,2,0.0313347772813024,0.976230385149293,0.828773907149067,"down"
"ARPC1B",14,1,0.0328755183723605,0.976230385149293,4.67772855113957e-58,"up"
"BRD9",14,1,0.0330676807336197,0.976230385149293,6.66359175958032e-50,"up"
"RET",14,1,0.0338275421470609,0.976230385149293,1.36321912849731e-08,"down"
"PMVK",13,2,0.034389433475698,0.976230385149293,0.468550204568317,"up"
"GUK1",13,2,0.0352269963699469,0.976230385149293,9.7185380233602e-36,"up"
"FMOD",13,2,0.0365576027513139,0.976230385149293,0.0342646701765553,"down"
"PECAM1",14,1,0.036751319869413,0.976230385149293,7.43949674472839e-27,"up"
"SLC16A6",14,1,0.0378415918726715,0.976230385149293,1.91565099312049e-08,"up"
"NTHL1",14,1,0.0386839998105616,0.976230385149293,3.50432859682645e-10,"up"
"RICTOR",14,1,0.0401112002558254,0.976230385149293,0.00529487680129965,"down"
"ARF1",13,2,0.0404285349753463,0.976230385149293,6.93764949001788e-31,"up"
