"","#wt","#mut","pvalue","p_adj","tcga_pvalue","tcga_tumor_vs_normal"
"HIF1AN",14,1,0.0145665828136328,0.843613510589576,8.42102702969831e-13,"down"
"PRKX",14,1,0.0177758949349418,0.843613510589576,2.3077168331631e-07,"down"
"ANKRD11",14,1,0.0220577292355212,0.843613510589576,4.77601586377009e-05,"up"
"CDYL2",14,1,0.0246248286038196,0.843613510589576,0.955689805887534,"down"
"ATRNL1",14,1,0.0262205969562571,0.843613510589576,4.27797812864005e-16,"down"
"KIAA1875",14,1,0.0335369014288648,0.843613510589576,NA,NA
"ZNF367",14,1,0.0339144646104603,0.843613510589576,0.0319962599710325,"down"
"PRKACA",14,1,0.0341436164440874,0.843613510589576,0.366558293239345,"down"
"PANK2",14,1,0.0360519414620123,0.843613510589576,1.95668402458273e-09,"down"
"AKR1E2",14,1,0.0382359940089733,0.843613510589576,0.00740696063594213,"up"
"ARHGEF39",14,1,0.0394460441571347,0.843613510589576,1.78275473137743e-152,"up"
"LHX3",14,1,0.041676747570751,0.843613510589576,0.10726446099609,"up"
"RALGAPA2",14,1,0.0457742234570248,0.843613510589576,3.8393852979115e-18,"down"
"SETD2",10,5,0.0474303927575087,0.843613510589576,3.32927820994806e-29,"down"
"DDX6",14,1,0.0475568239680643,0.843613510589576,4.75176018909478e-09,"down"
"PHF15",14,1,0.0529126451037504,0.843613510589576,NA,NA
"ROS1",14,1,0.054076105937776,0.843613510589576,5.56294919154073e-08,"down"
"TAP2",14,1,0.0583706160738611,0.843613510589576,9.69441680364132e-69,"up"
"SUZ12",14,1,0.0600039278994493,0.843613510589576,2.17631310024052e-14,"down"
"FXR2",14,1,0.0606477567370162,0.843613510589576,1.21695657932955e-06,"down"
"HERC6",14,1,0.061473696358475,0.843613510589576,0.000123006424696095,"down"
"KCTD18",14,1,0.0630258754796575,0.843613510589576,0.190547405007369,"down"
"NDUFS7",14,1,0.0650565732735775,0.843613510589576,0.606156372109562,"down"
"ZMYM5",14,1,0.0654339078347557,0.843613510589576,0.837993616388158,"down"
"DHX36",14,1,0.0664447150400836,0.843613510589576,1.27894942736206e-12,"down"
"TMEM81",14,1,0.0700745036486761,0.843613510589576,1.75701169618188e-08,"up"
"CDC42BPA",14,1,0.0707013805352643,0.843613510589576,1.57516403329292e-26,"down"
"ASNS",14,1,0.0761547722950605,0.843613510589576,1.87053004156651e-56,"up"
"PKDCC",14,1,0.0774117379134619,0.843613510589576,2.77940282870499e-30,"up"
"PLEKHG6",14,1,0.0874645213119846,0.843613510589576,3.44460779304565e-25,"up"
"RAD51D",14,1,0.0877377790050387,0.843613510589576,1.15627234388079e-17,"up"
"JUND",14,1,0.0968040199022698,0.843613510589576,0.055860699877966,"down"
"TRIM24",14,1,0.0981118233560591,0.843613510589576,1.95717890022291e-05,"down"
"TDRD10",14,1,0.0995250983830863,0.843613510589576,7.80790834829933e-23,"up"
