"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"RACGAP1","RACGAP1",-1,-1,15,"-1.39370737173294e-11",-8.63401716788556e-08,1,3.71959293886399e-30
"SQRDL","SQRDL",-1,-1,15,"1.3122016362388e-08",8.12777693486313e-05,NA,NA
"TP53","TP53",-1,-1,9,"1.67455854738208e-08",0.000103705410839372,1,2.63097726479254e-30
"ARNT2","ARNT2",-1,-1,15,"2.47156938248949e-08",0.000153039576163749,7.22067878836962e-34,1
"POLD1","POLD1",-1,-1,15,"2.58830182842118e-08",0.000160241766197555,1,5.86010445686386e-41
"SUPV3L1","SUPV3L1",-1,-1,15,"2.70570065241671e-08",0.000167482870384594,2.85089640316109e-12,0.999999999997149
"NR6A1","NR6A1",-1,-1,15,"4.80384234613496e-08",0.000297309802802293,0.000687710693405106,0.999312289306595
"SLA2","SLA2",-1,-1,15,"1.25885323387642e-07",0.000778978381122729,1,3.22452418290823e-61
"SART3","SART3",-1,-1,15,"1.78257471672438e-07",0.00110287897723737,0.999999999673774,3.26225917150262e-10
"MED4","MED4",-1,-1,15,"1.90496781793392e-07",0.00117841309217392,0.984010383184476,0.0159896168155237
"CES3","CES3",-1,-1,15,"2.13204211618745e-07",0.00131866804886194,0.999999999999271,7.29201585081909e-13
"WIF1","WIF1",-1,-1,13,"2.26564646599314e-07",0.00140107577457016,7.03073769315465e-06,0.999992969262307
"KIF23","KIF23",-1,-1,14,"2.86183635567205e-07",0.00176947341871203,0.9999995888012,4.11198799948406e-07
"MED25","MED25",-1,-1,15,"2.98802386500263e-07",0.00184719635334463,0.998395821873261,0.00160417812673943
"PPP3CA","PPP3CA",-1,-1,14,"3.24386006167465e-07",0.0020050299041211,0.653614977905224,0.346385022094776
"XRCC5","XRCC5",-1,-1,15,"3.72832611006402e-07",0.00230410553601956,1.25822048847526e-05,0.999987417795115
"WDR31","WDR31",-1,-1,15,"8.18845119487932e-07",0.00505964399331593,5.99427721202763e-26,1
"DHX38","DHX38",-1,-1,15,"9.0846064815242e-07",0.00561246988428565,1,1.10746139225597e-24
"FKBP10","FKBP10",-1,-1,15,"9.97811879566157e-07",0.00616348398008015,1,2.27418144570999e-78
"KCNJ5","KCNJ5",-1,-1,13,"1.21459774693466e-06",0.00750135568506846,9.3950869124037e-07,0.999999060491309
"BIRC7","BIRC7",-1,-1,15,"1.30548014298792e-06",0.00806133988295041,1,1.61653837701945e-27
"RTP2","RTP2",-1,-1,14,"1.46006975865198e-06",0.00901447068991732,1,5.21157246935632e-25
