"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"PAX8","PAX8",-1,-1,14,"1.28604783646043e-14",7.54395660867688e-11,0.00602065276393893,0.993979347236061
"FERMT2","FERMT2",-1,-1,15,"7.65867890548785e-14",4.49181517806862e-10,4.05109099456066e-31,1
"PLXDC1","PLXDC1",-1,-1,15,"1.58255823415439e-09",9.28012148508134e-06,1,4.92568918983599e-75
"ANKIB1","ANKIB1",-1,-1,12,"7.78012908217297e-09",4.56148968087801e-05,0.999967210561425,3.27894385749974e-05
"NR1D1","NR1D1",-1,-1,14,"8.56068642812916e-09",5.01827438416931e-05,1,4.86104866944916e-16
"RGR","RGR",-1,-1,15,"6.185487970904e-08",0.000362531449974683,0.984303036162961,0.0156969638370391
"CPEB2","CPEB2",-1,-1,15,"6.81979252480394e-08",0.000399639841953511,1,5.12700308086776e-28
"OR6S1","OR6S1",-1,-1,15,"8.34199342303723e-08",0.000488757394655751,0.984774908983203,0.0152250910167967
"CBLC","CBLC",-1,-1,15,"1.17497014422117e-07",0.000688297510484761,7.08351538661024e-27,1
"DDHD2","DDHD2",-1,-1,15,"1.2948772061122e-07",0.000758409579619916,9.34175532286849e-05,0.999906582446771
"HNF1B","HNF1B",-1,-1,15,"1.491609437412e-07",0.000873486486548467,0.999985243888097,1.47561119031724e-05
"TTC37","TTC37",-1,-1,15,"2.6952041184247e-07",0.00157804201133766,6.59817427125006e-09,0.999999993401826
"RELA","RELA",-1,-1,15,"3.84814872801357e-07",0.00225270626537914,0.99999999725246,2.74754019062342e-09
"ABCC6","ABCC6",-1,-1,15,"5.11694408191486e-07",0.00299494737114477,0.00211638753147729,0.997883612468523
"FABP3","FABP3",-1,-1,15,"5.161247074121e-07",0.00302036178777561,0.226081959042487,0.773918040957513
"CASC1","CASC1",-1,-1,15,"8.00958125624427e-07",0.00468640599302852,0.519559351847307,0.480440648152693
"PATZ1","PATZ1",-1,-1,15,"1.01488463306611e-06",0.00593707510343674,6.30774277534638e-15,0.999999999999994
"ITGAV","ITGAV",-1,-1,15,"1.17161209025422e-06",0.00685275911589693,2.01753441066725e-10,0.999999999798246
"WNT5B","WNT5B",-1,-1,15,"1.21033715181173e-06",0.007078051663795,0.999999909676163,9.03238372407922e-08
"BTN2A1","BTN2A1",-1,-1,14,"1.32825661755824e-06",0.00776631644286303,1,5.07984163559905e-30
"ALDH1B1","ALDH1B1",-1,-1,15,"1.66942552386416e-06",0.00975946161250988,3.1591308958679e-12,0.999999999996841
"GNB5","GNB5",-1,-1,15,"2.00405954654927e-06",0.0117137280495805,6.43569803546798e-38,1
"WWTR1","WWTR1",-1,-1,15,"2.06778906214901e-06",0.0120841592791988,0.999999983470982,1.65290175964335e-08
"SYDE2","SYDE2",-1,-1,14,"2.15893809301957e-06",0.0126146752775133,6.5477134504081e-44,1
"MELK","MELK",-1,-1,15,"2.17443541099396e-06",0.0127030516710267,1,3.47376259821355e-37
"ALG5","ALG5",-1,-1,15,"2.32692077971625e-06",0.0135915442743226,0.980466848974901,0.0195331510250986
"L3MBTL1","L3MBTL1",-1,-1,14,"2.57646517544873e-06",0.0150465566246206,1,8.30077595690235e-33
"GPR162","GPR162",-1,-1,15,"2.68834378464936e-06",0.0156972393585676,0.999999999992347,7.65257578164095e-12
"EGOT","EGOT",-1,-1,15,"2.76496165576461e-06",0.0161418461463538,0.0429179398289625,0.957082060171037
"FRMD4B","FRMD4B",-1,-1,15,"2.79213448498329e-06",0.0162976889888475,0.999999999999983,1.66428058566263e-14
"FLRT1","FLRT1",-1,-1,15,"3.44773345292872e-06",0.020120972431292,2.18618537096401e-20,1
"MAPK15","MAPK15",-1,-1,14,"3.84850534810452e-06",0.0224560287061899,1,9.32143267110186e-51
"LYPD6B","LYPD6B",-1,-1,15,"3.85851716237396e-06",0.0225105891252897,4.71046218057972e-19,1
"DET1","DET1",-1,-1,15,"4.16397351596239e-06",0.0242884575186086,1.17305118805962e-11,0.999999999988269
"SIX6","SIX6",-1,-1,15,"4.18983796096828e-06",0.024435134988367,0.872371011395986,0.127628988604014
"AHCYL1","AHCYL1",-1,-1,15,"7.04106057560291e-06",0.0410564242163406,7.04881768434705e-52,1
"RHOG","RHOG",-1,-1,15,"7.12260899980391e-06",0.0415248104688568,1,1.42317883030727e-63
"IL2RA","IL2RA",-1,-1,15,"7.48125757164068e-06",0.0436082503850935,1,2.23285889672366e-19
"SGK196","SGK196",-1,-1,15,"8.29141660678323e-06",0.0483223759843327,NA,NA
"MNAT1","MNAT1",-1,-1,15,"8.48878919084477e-06",0.0494641746150525,4.4276188820731e-19,1
"KPNA6","KPNA6",-1,-1,15,"8.5723033993087e-06",0.0499422396043725,8.00863491304783e-35,1
"ANGEL1","ANGEL1",-1,-1,14,"9.92286303101473e-06",0.0578006771556608,5.86308315742481e-13,0.999999999999414
"ZCWPW1","ZCWPW1",-1,-1,14,"1.21502884080926e-05",0.0707632796887313,0.995172597803323,0.00482740219667689
"KLC2","KLC2",-1,-1,15,"1.26273059955593e-05",0.0735288028121418,0.0112527730886956,0.988747226911304
"SVIL","SVIL",-1,-1,15,"1.28012279177812e-05",0.0745287489373222,0.896387874403822,0.103612125596178
"TDG","TDG",-1,-1,15,"1.34988435371798e-05",0.0785767682299236,1,4.91908315023613e-26
"ALDH16A1","ALDH16A1",-1,-1,15,"1.7209155622173e-05",0.100157285721047,0.165501402297266,0.834498597702734
"TNFSF10","TNFSF10",-1,-1,14,"1.90028197735751e-05",0.110577408262434,1,5.44578919117983e-23
"NFIA","NFIA",-1,-1,15,"1.94481766217357e-05",0.113149491585258,1,4.57304356915829e-49
"ZNF219","ZNF219",-1,-1,15,"1.96638500711229e-05",0.114384615863722,0.999999999999742,2.58366963367236e-13
"C5AR1","C5AR1",-1,-1,15,"2.09129406349695e-05",0.121629662732983,1,1.37324681625021e-38
"HIST1H1D","HIST1H1D",-1,-1,15,"2.37449299161546e-05",0.138076767462439,0.928609562053933,0.0713904379460669
"DAZL","DAZL",-1,-1,15,"2.47528985245133e-05",0.14391335202152,0.0016059776785979,0.998394022321402
"ITGB3","ITGB3",-1,-1,14,"2.70025108411902e-05",0.156965595519839,0.000330903513023753,0.999669096486976
"MCMBP","MCMBP",-1,-1,15,"2.87170768279378e-05",0.166903650523974,0.00895862266129738,0.991041377338703
"P4HA2","P4HA2",-1,-1,14,"2.91318261538701e-05",0.169285041780139,1,1.14566633582121e-19
"PKN2","PKN2",-1,-1,15,"3.07362400200943e-05",0.178577554516748,6.59118346296296e-06,0.999993408816537
