"","#wt","#mut","pvalue","p_adj","tcga_pvalue","tcga_tumor_vs_normal"
"PAX8",14,1,1.45416275480298e-14,9.51894939294031e-11,0.0120413055278779,"down"
"FERMT2",15,0,8.51010832329567e-14,2.78535845421467e-10,8.10218198912133e-31,"down"
"PLXDC1",15,0,1.64861995333462e-09,3.59728873817614e-06,9.85137837967198e-75,"up"
"ANKIB1",12,3,8.40263865135024e-09,1.14189129522737e-05,6.55788771499949e-05,"up"
"NR1D1",14,1,8.72205388960719e-09,1.14189129522737e-05,9.72209733889832e-16,"up"
"SBDS",13,2,2.8554506224524e-08,3.11529662909557e-05,1.64849865320832e-06,"down"
"RGR",15,0,6.50622256482693e-08,5.56891276188261e-05,0.0313939276740782,"up"
"CPEB2",15,0,6.80588177437532e-08,5.56891276188261e-05,1.02540061617355e-27,"up"
"OR6S1",15,0,8.84992214914479e-08,6.43684337647798e-05,0.0304501820335935,"up"
"NUDT11",15,0,1.01191733017566e-07,6.62401084332987e-05,0.470504796634669,"down"
"CBLC",15,0,1.16883463966032e-07,6.95562868292405e-05,1.41670307732205e-26,"down"
"DDHD2",15,0,1.40510756669308e-07,7.64974697520201e-05,0.00018683510645737,"down"
"HNF1B",15,0,1.51919814661818e-07,7.64974697520201e-05,2.95122238063448e-05,"up"
"AVPR2",15,0,2.3767195536565e-07,0.000111128615701682,2.77416255830148e-18,"down"
"TTC37",15,0,2.78883483052601e-07,0.000121704752004155,1.31963485425001e-08,"down"
"RELA",15,0,3.99353356114347e-07,0.000163385441820282,5.49508038124684e-09,"up"
"ABCC6",15,0,5.37242949889768e-07,0.00019666177429762,0.00423277506295458,"down"
"FABP3",15,0,5.40774814750558e-07,0.00019666177429762,0.452163918084974,"down"
"SBDSP1",13,2,6.1244822028979e-07,0.000211004528948261,0.0279258060565957,"down"
"CASC1",15,0,8.31858479977443e-07,0.000272267280496617,0.960881296305386,"up"
"PATZ1",15,0,1.04273435900016e-06,0.000325035195905478,1.26154855506928e-14,"down"
"ITGAV",15,0,1.17793342183149e-06,0.000350488735423133,4.0350688213345e-10,"down"
"WNT5B",15,0,1.24231389556445e-06,0.000353573337407169,1.80647674481584e-07,"up"
"BTN2A1",14,1,1.39496724660238e-06,0.000380477316510799,1.01596832711981e-29,"up"
"ALDH1B1",15,0,1.71430722275888e-06,0.000448874203207185,6.3182617917358e-12,"down"
"MAGEA1",15,0,1.79223834045103e-06,0.000451230468330479,0.250639884492233,"up"
"GNB5",15,0,2.08227118485964e-06,0.00050483508059597,1.2871396070936e-37,"down"
"WWTR1",15,0,2.21164713051224e-06,0.000510735821100267,3.3058035192867e-08,"up"
"SYDE2",14,1,2.29255312086117e-06,0.000510735821100267,1.30954269008162e-43,"down"
"MELK",15,0,2.34067745692148e-06,0.000510735821100267,6.94752519642709e-37,"up"
"ALG5",15,0,2.44379540335794e-06,0.000516034990657454,0.0390663020501971,"up"
"L3MBTL1",14,1,2.63295104327033e-06,0.000538603047788987,1.66015519138047e-32,"up"
"GPR162",15,0,2.7697045455817e-06,0.000549408665314479,1.53051515632819e-11,"up"
"EGOT",15,0,2.886576022734e-06,0.000553217467543537,0.0858358796579251,"down"
"FRMD4B",15,0,2.95793024198347e-06,0.000553217467543537,3.32856117132525e-14,"up"
"FLRT1",15,0,3.58931298552102e-06,0.000652656744533905,4.37237074192802e-20,"down"
"MAPK15",14,1,3.87961759326006e-06,0.000682389460935213,1.86428653422037e-50,"up"
"LYPD6B",15,0,3.96131981600032e-06,0.000682389460935213,9.42092436115944e-19,"down"
"COX20",14,1,4.17645503065356e-06,0.000701001913606621,5.7088403459903e-24,"down"
"DET1",15,0,4.36715624151048e-06,0.00071468511892319,2.34610237611925e-11,"down"
"SIX6",15,0,4.48950873638672e-06,0.000716788394838719,0.255257977208028,"up"
"TMED10P1",14,1,6.82957977899574e-06,0.00106443879126919,NA,NA
"AHCYL1",15,0,7.20843425249118e-06,0.00109540823989344,1.40976353686941e-51,"down"
"RHOG",15,0,7.36296403228098e-06,0.00109540823989344,2.84635766061454e-63,"up"
"IL2RA",15,0,7.76630380767418e-06,0.001129738327223,4.46571779344732e-19,"up"
"SGK196",15,0,8.57573940517672e-06,0.00118964278987863,NA,NA
"MNAT1",15,0,8.69135353730563e-06,0.00118964278987863,8.8552377641462e-19,"down"
"KPNA6",15,0,8.7233201824281e-06,0.00118964278987863,1.60172698260957e-34,"down"
"CETN2",15,0,9.70243604054829e-06,0.00129616625145774,0.411194797877949,"up"
"ANGEL1",14,1,1.03334097365521e-05,0.0013528500027094,1.17261663148496e-12,"down"
"ZCWPW1",14,1,1.26568872995468e-05,0.00161956065429864,0.00965480439335379,"up"
"KLC2",15,0,1.29803448445698e-05,0.00161956065429864,0.0225055461773913,"down"
"SVIL",15,0,1.31128497827418e-05,0.00161956065429864,0.207224251192357,"up"
"TDG",15,0,1.41692183959986e-05,0.00171762414111494,9.83816630047226e-26,"up"
"ALDH16A1",15,0,1.79850437316985e-05,0.00214054720486724,0.331002804594531,"down"
"NFIA",15,0,1.95694281436534e-05,0.0022526938012104,9.14608713831658e-49,"up"
"TNFSF10",14,1,1.96351573795691e-05,0.0022526938012104,1.08915783823597e-22,"up"
"ZNF219",15,0,1.99597067629397e-05,0.0022526938012104,5.16733926734471e-13,"up"
"MAGEA2",15,0,2.11471601267745e-05,0.0023071551698311,0.00821781050518604,"up"
"MAGEA2B",15,0,2.11471601267745e-05,0.0023071551698311,0.329220653480399,"up"
"C5AR1",15,0,2.17851266614672e-05,0.0023377940840322,2.74649363250043e-38,"up"
"HIST1H1D",15,0,2.43694807719987e-05,0.00257294550215328,0.142780875892134,"up"
"DAZL",15,0,2.58378752913659e-05,0.00266370810893222,0.00321195535719581,"down"
"COPG1",15,0,2.60429757060284e-05,0.00266370810893222,3.98136001348697e-14,"up"
"ITGB3",14,1,2.73305315586527e-05,0.00275239476281447,0.000661807026047505,"down"
"MCMBP",15,0,2.90482536632846e-05,0.00288105861333123,0.0179172453225948,"down"
"P4HA2",14,1,3.00625358597742e-05,0.00293715462295645,2.29133267164241e-19,"up"
"PKN2",15,0,3.20795649056513e-05,0.00308812988047637,1.31823669259259e-05,"down"
"COL15A1",15,0,3.35084083387879e-05,0.00317892813022762,3.62160076885111e-14,"up"
"ITIH5",14,1,3.75953827245153e-05,0.00349017314454862,0.00183026401279907,"down"
"VDAC2",15,0,3.78555290655289e-05,0.00349017314454862,4.90342869553144e-15,"down"
"CD300LF",14,1,3.93188704166651e-05,0.0035747406353818,1.24986734845886e-113,"up"
"SLC12A7",14,1,4.0208102825964e-05,0.00360551015203781,1.58846999388865e-24,"up"
"APPBP2",14,1,4.16458936115941e-05,0.00368397323758777,0.000442246473029644,"down"
"AKAP13",15,0,4.26548425917494e-05,0.00372291466140789,6.38443098185585e-17,"up"
"COL4A4",14,1,4.56757867196803e-05,0.00385830791862853,1.21295435211421e-41,"down"
"RHOQ",15,0,4.58128801899759e-05,0.00385830791862853,6.09465053387106e-07,"up"
"PIGG",13,2,4.59743381688093e-05,0.00385830791862853,0.00120145811818722,"up"
"ASB7",15,0,4.68220058926795e-05,0.00387970696928456,0.000129981448756056,"down"
"RERGL",15,0,4.83100322247876e-05,0.00395296838679325,7.1932155487701e-21,"down"
