"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"TCHH","TCHH",2,0.0865551643934996,13,"0.176442531589504",1,0.999035244105126,0.000964755894873593
"TRIP12","TRIP12",3,0.129842438156912,12,"0.486869401100013",1,4.00117257493924e-17,1
"SETD2","SETD2",5,0.130280978494885,10,"0.895618808801337",1,1.66463910497403e-29,1
"DMPK","DMPK",2,0.194651203757199,13,"0.352344283150376",1,0.995560804783321,0.00443919521667864
"FBXW7","FBXW7",2,0.293560223488018,13,"0.375052273487408",1,1,4.99907224064414e-35
"TTN","TTN",2,0.340694438795756,13,"0.95200926319971",1,0.999999976528243,2.34717568855449e-08
"CNTRL","CNTRL",3,0.51070659145444,12,"0.899581022764968",1,0.99999999999975,2.49907586166539e-13
"TP53","TP53",6,0.524706397648395,9,"1.57369490771941e-08",1,1,2.63097726479254e-30
"ATM","ATM",2,0.530733219710521,13,"0.389472108061281",1,1,2.9798061522712e-27
"RPL22","RPL22",2,0.636867252129748,13,"0.00359431473594096",1,0.222615740592411,0.777384259407589
"PBRM1","PBRM1",5,0.671856276001959,10,"0.505739611536136",1,9.1315604447994e-15,0.999999999999991
"USP51","USP51",2,0.678831685825891,13,"0.161789301004302",1,4.34195566127925e-26,1
"MAP1B","MAP1B",2,0.727563584994047,13,"0.978179590072398",1,0.999999999999993,7.23403519717279e-15
"SACS","SACS",2,0.849499762293691,13,"0.95515951059065",1,1,1.5758508255191e-42
"MYLK4","MYLK4",2,0.905093119021127,13,"0.999672140173051",1,5.17210933287055e-05,0.999948278906671
"TTC3","TTC3",2,0.930347799425164,13,"0.345580062788104",1,6.88360648109857e-18,1
"GRB14","GRB14",3,0.97584711357072,12,"0.382758922715637",1,1.91297263851721e-39,1
"VHL","VHL",9,0.997237930816513,6,"0.953175447049162",1,6.13282503155609e-19,1
"GPR101","GPR101",1,0.00329465891543201,14,"0.0536521765503726",1,0.971487776013995,0.0285122239860045
"ORC3","ORC3",1,0.00392220830404166,14,"0.0154267700346844",1,0.0450680180949941,0.954931981905006
"DDX27","DDX27",1,0.0042359829983466,14,"0.0192369134673367",1,1,5.36230843922153e-23
"PILRB","PILRB",1,0.00533419442841343,14,"0.0226026858753101",1,1,8.83855606860761e-27
"FANCM","FANCM",1,0.00807972300358084,14,"0.000832839422795884",1,7.6172582988369e-06,0.999992382741701
"CBX4","CBX4",1,0.0115312446409341,14,"0.00594550862858878",1,0.0307611568040805,0.96923884319592
"DHX36","DHX36",1,0.0121587940295439,14,"0.309107764368622",1,6.39474713681032e-13,0.999999999999361
"DTL","DTL",1,0.0130216744388821,14,"0.00463217197830212",1,1,2.0747730633338e-42
"MTR","MTR",1,0.0138061111746443,14,"9.21408848675309e-06",1,1.27526284578549e-13,0.999999999999873
"HERC6","HERC6",1,0.0144336605632539,14,"0.374145178048533",1,6.15032123480476e-05,0.999938496787652
"PANK2","PANK2",1,0.0158456466876258,14,"0.754606205976542",1,9.78342012291364e-10,0.999999999021658
"HS3ST4","HS3ST4",1,0.0180420695477597,14,"0.0426116336629988",1,0.9999939191407,6.08085929992069e-06
"ARHGEF39","ARHGEF39",1,0.018512731589217,14,"0.714441257963449",1,1,8.91377365688716e-153
"PNPT1","PNPT1",1,0.0207091544493508,14,"2.16326352099339e-05",1,3.80907188864992e-15,0.999999999999996
"PRKX","PRKX",1,0.024474450781009,14,"0.976420452781194",1,1.15385841658155e-07,0.999999884614158
