"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"TFRC","TFRC",2,8.82931148704797e-05,3,"3.1319661671807e-05",0.0640125082810978,NA,NA
"MAPK15","MAPK15",3,9.22270214648865e-05,2,"0.00140053035445596",0.0667723635405778,NA,NA
"MICB","MICB",2,0.00035928661335554,3,"0.00406400080281373",0.259764221456055,NA,NA
"PSCA","PSCA",3,0.000494870050400972,2,"2.68765355953149e-05",0.357296176389502,NA,NA
"TSNARE1","TSNARE1",3,0.00119087834860589,2,"0.239693787886402",0.857432410996241,NA,NA
"OR4K14","OR4K14",2,0.00593845690129444,3,"0.631360463489166",1,NA,NA
"PARP10","PARP10",3,0.0100109654266847,2,"0.0983397351056595",1,NA,NA
"DENND3","DENND3",3,0.0135756005214647,2,"0.1281894923021",1,NA,NA
"OR2T10","OR2T10",4,0.0136377294962352,1,"0.641209707781121",1,NA,NA
"MFSD3","MFSD3",3,0.0142094656031491,2,"0.0511247667021376",1,NA,NA
"RGL4","RGL4",2,0.0146849080791646,3,"0.00930216033388688",1,NA,NA
"PIGZ","PIGZ",2,0.0184900017818564,3,"0.442472530796745",1,NA,NA
"ESPNP","ESPNP",2,0.0274675067855714,3,"0.0213434030972659",1,NA,NA
"BTNL9","BTNL9",2,0.0296574970304323,3,"0.487400390195038",1,NA,NA
"PARP2","PARP2",2,0.0318543229595135,3,"0.233647860897371",1,NA,NA
"PLEKHG4B","PLEKHG4B",2,0.033811129493769,3,"0.0536525054999089",1,NA,NA
"VPREB1","VPREB1",2,0.0371257410209598,3,"0.222895165816624",1,NA,NA
"ATP6V1G2","ATP6V1G2",2,0.0439930294875504,3,"0.0329636034000714",1,NA,NA
"LY6G6F","LY6G6F",2,0.046403794659093,3,"0.768798973260528",1,NA,NA
"ANKRD36","ANKRD36",2,0.0479520456052536,3,"0.00773233775685931",1,NA,NA
"SLC39A2","SLC39A2",2,0.0487118581020112,3,"0.659912881750635",1,NA,NA
"FKBP4","FKBP4",2,0.0530473246754699,3,"0.588284411315671",1,NA,NA
"FMN2","FMN2",3,0.0552098292424255,2,"0.500534453076784",1,NA,NA
"KIFC2","KIFC2",3,0.0563881231786292,2,"0.227686229444046",1,NA,NA
"ADCK5","ADCK5",3,0.0570769107082796,2,"0.141349216252551",1,NA,NA
"LY6E","LY6E",3,0.0580165842078925,2,"0.0314125075381204",1,NA,NA
"OR4L1","OR4L1",2,0.0624344664023543,3,"0.8603293807663",1,NA,NA
"MSH5","MSH5",2,0.0643652452696803,3,"0.706095414319277",1,NA,NA
"MSH5-SAPCD1","MSH5-SAPCD1",2,0.0643652452696803,3,"0.706095414319277",1,NA,NA
"CYP11B2","CYP11B2",3,0.066072627463133,2,"0.265746899520891",1,NA,NA
"HIRA","HIRA",3,0.0685553121033494,2,"0.404615186552335",1,NA,NA
"KDM5A","KDM5A",2,0.0688807612844788,3,"0.161228226401788",1,NA,NA
"MED15","MED15",3,0.0694035843191091,2,"0.0313933681620597",1,NA,NA
"SLC44A4","SLC44A4",2,0.0737251957337462,3,"0.0210632926786435",1,NA,NA
"NAPRT1","NAPRT1",3,0.074216676732168,2,"0.748206943341719",1,NA,NA
"OR2T34","OR2T34",4,0.0755103828461284,1,"0.212158253852328",1,NA,NA
"COL18A1","COL18A1",2,0.0841270565880725,3,"0.0202096097685896",1,NA,NA
"B4GALNT3","B4GALNT3",2,0.0848491064846434,3,"0.0946150009471964",1,NA,NA
"GSTT2","GSTT2",3,0.095297317988669,2,"0.244369592601249",1,NA,NA
"GSTT2B","GSTT2B",3,0.095297317988669,2,"0.244369592601249",1,NA,NA
"FBXL14","FBXL14",2,0.0984752592580602,3,"0.546658288496797",1,NA,NA
"WDR53","WDR53",2,0.0999721840621101,3,"0.0279759400729799",1,NA,NA
"RTN4R","RTN4R",3,0.102937409243577,2,"0.494668329910615",1,NA,NA
"ERC1","ERC1",2,0.106037627679949,3,"0.154307840514516",1,NA,NA
"KIAA1875","KIAA1875",3,0.107176036833733,2,"0.915747591152147",1,NA,NA
"BTNL2","BTNL2",2,0.110228296214856,3,"0.102688367253009",1,NA,NA
"RNF168","RNF168",2,0.113297318081774,3,"0.00190008264820068",1,NA,NA
"CDC73","CDC73",2,0.118555577579083,3,"0.804299128219506",1,NA,NA
"WASH3P","WASH3P",2,0.123439311326634,3,"0.0712726766227802",1,NA,NA
"OR4E2","OR4E2",2,0.125496915086951,3,"0.181267577069996",1,NA,NA
"CYP21A2","CYP21A2",2,0.127378718312582,3,"0.0336159846978231",1,NA,NA
"CYP21A1P","CYP21A1P",2,0.127378718312582,3,"0.0336159846978231",1,NA,NA
"LY6K","LY6K",3,0.130575448964238,2,"0.111270638267693",1,NA,NA
"LY6D","LY6D",3,0.138351065560983,2,"0.2190093827979",1,NA,NA
"LRRC24","LRRC24",3,0.15239331352513,2,"0.474073524247478",1,NA,NA
"ZBTB12","ZBTB12",2,0.152947507840398,3,"0.133880587117655",1,NA,NA
"SCXB","SCXB",3,0.157558755842459,2,"0.232087862564291",1,NA,NA
"SCXA","SCXA",3,0.157558755842459,2,"0.232087862564291",1,NA,NA
"DNMT3L","DNMT3L",2,0.158745953719193,3,"0.161190879120263",1,NA,NA
"BAI1","BAI1",3,0.177663551569301,2,"0.340908173439433",1,NA,NA
"PTP4A3","PTP4A3",3,0.196376164220179,2,"0.223837430557835",1,NA,NA
"OR4N5","OR4N5",2,0.197862497693476,3,"0.0231275035868644",1,NA,NA
"CYHR1","CYHR1",3,0.2057508451795,2,"0.91897642086882",1,NA,NA
"ADARB1","ADARB1",2,0.213285208144683,3,"0.92278221489167",1,NA,NA
"TNF","TNF",2,0.216640232772264,3,"0.66995413990558",1,NA,NA
"TEP1","TEP1",2,0.231515865624167,3,"0.580740678338951",1,NA,NA
"COL6A1","COL6A1",2,0.242664074051185,3,"0.507102206266945",1,NA,NA
"NEK7","NEK7",3,0.24388871496793,2,"0.477052769086333",1,NA,NA
"MUC20","MUC20",2,0.250980777903287,3,"0.178540385659078",1,NA,NA
"UCHL5","UCHL5",2,0.264523414399521,3,"0.837648670860518",1,NA,NA
"C4A","C4A",2,0.266917405059216,3,"0.516492557496325",1,NA,NA
"C4B","C4B",2,0.266917405059216,3,"0.516492557496325",1,NA,NA
"LOC100293534","LOC100293534",2,0.266917405059216,3,"0.516492557496325",1,NA,NA
"CFB","CFB",2,0.299138787078998,3,"0.606974814596953",1,NA,NA
"OR2T29","OR2T29",3,0.305529823320402,2,"0.630714737975585",1,NA,NA
"LYNX1","LYNX1",3,0.305581624613262,2,"0.121963841418278",1,NA,NA
"SMARCB1","SMARCB1",2,0.307885335020873,3,"0.748596363029005",1,NA,NA
"LRRC33","LRRC33",2,0.313000371263714,3,"0.444860021879848",1,NA,NA
"PTTG1IP","PTTG1IP",2,0.315240080420606,3,"0.447818057037677",1,NA,NA
"CACNA1C","CACNA1C",2,0.332012304581376,3,"0.931508028181203",1,NA,NA
"CDC45","CDC45",3,0.335215142740141,2,"0.34097123742749",1,NA,NA
"BCR","BCR",2,0.339899942851513,3,"0.318732741469413",1,NA,NA
"RNF5","RNF5",2,0.349602275440589,3,"0.0273302786181094",1,NA,NA
"SDHA","SDHA",2,0.351072601020521,3,"0.12812460383151",1,NA,NA
"ITGB2","ITGB2",2,0.36646842625511,3,"0.469893306582607",1,NA,NA
"AIRE","AIRE",2,0.368498083475007,3,"0.750651823352843",1,NA,NA
"TSSK2","TSSK2",3,0.373806180799261,2,"0.681720599880355",1,NA,NA
"KLHL22","KLHL22",3,0.383360386500695,2,"0.0953818137421348",1,NA,NA
"SKIV2L","SKIV2L",2,0.384535169564448,3,"0.519411505022914",1,NA,NA
"IQCG","IQCG",2,0.386681345701221,3,"0.882827290133138",1,NA,NA
"GP1BB","GP1BB",3,0.398547116688976,2,"0.516284929639424",1,NA,NA
"SLC19A1","SLC19A1",2,0.40978417345146,3,"0.354229268508346",1,NA,NA
"LMLN","LMLN",2,0.414638161198201,3,"0.956202255018293",1,NA,NA
"PRODH","PRODH",3,0.417624727097386,2,"0.466887609607585",1,NA,NA
"TM4SF19","TM4SF19",2,0.417703867138586,3,"0.121018138710021",1,NA,NA
"TM4SF19-TCTEX1D2","TM4SF19-TCTEX1D2",2,0.417703867138586,3,"0.121018138710021",1,NA,NA
"POFUT2","POFUT2",2,0.426968735363797,3,"0.199559197590901",1,NA,NA
"MYOM2","MYOM2",2,0.438049146527055,3,"0.310777378505653",1,NA,NA
"SALL2","SALL2",2,0.440841427426635,3,"0.69503978450318",1,NA,NA
"PUF60","PUF60",3,0.453512659406605,2,"0.433770652304962",1,NA,NA
"ARHGEF40","ARHGEF40",2,0.457927571576217,3,"0.109699072626737",1,NA,NA
"C2","C2",2,0.464013895241973,3,"0.524389008993469",1,NA,NA
"RAB36","RAB36",2,0.471771028171578,3,"0.996404787171542",1,NA,NA
"METTL3","METTL3",2,0.473924806970839,3,"0.768568674547844",1,NA,NA
"SUPT16H","SUPT16H",2,0.487553615613503,3,"0.938298951146402",1,NA,NA
"VPREB3","VPREB3",2,0.507532132276564,3,"0.270481661682032",1,NA,NA
"CBWD1","CBWD1",2,0.515157520518459,3,"0.216788524206953",1,NA,NA
"SIRPB1","SIRPB1",2,0.516735525839855,3,"0.387242110899149",1,NA,NA
"UBE2L3","UBE2L3",3,0.523588209946151,2,"0.952260575561874",1,NA,NA
"TMEM55B","TMEM55B",2,0.526967006758386,3,"0.587778496022405",1,NA,NA
"LILRA6","LILRA6",2,0.543095076962461,3,"0.320521507615871",1,NA,NA
"GSTT1","GSTT1",4,0.543693841697854,1,"0.865892758236533",1,NA,NA
"C8orf33","C8orf33",3,0.56983616949668,2,"0.100622074164894",1,NA,NA
"GPT","GPT",3,0.590924580189453,2,"0.205819881220617",1,NA,NA
"HLA-B","HLA-B",2,0.591597430933953,3,"0.0719466968183744",1,NA,NA
"PRMT2","PRMT2",2,0.598265115640895,3,"0.696074462701154",1,NA,NA
"BAG6","BAG6",2,0.61237782417161,3,"0.707931804606849",1,NA,NA
"MAPK1","MAPK1",3,0.619517378765344,2,"0.617671819212589",1,NA,NA
"ZDHHC19","ZDHHC19",2,0.622863089216306,3,"0.590812295985269",1,NA,NA
"LILRB3","LILRB3",2,0.638743502496367,3,"0.376120404454603",1,NA,NA
"PPP1R16A","PPP1R16A",3,0.639621430111555,2,"0.0447209265047115",1,NA,NA
"ARVCF","ARVCF",3,0.645607850731129,2,"0.612108805593587",1,NA,NA
"CCDC144A","CCDC144A",2,0.64655561852873,3,"0.670538753693413",1,NA,NA
"SEPT5","SEPT5",3,0.647127261305104,2,"0.237952005719032",1,NA,NA
"SEPT5-GP1BB","SEPT5-GP1BB",3,0.647127261305104,2,"0.237952005719032",1,NA,NA
"SLC6A12","SLC6A12",2,0.648223109110224,3,"0.73806078003533",1,NA,NA
"DDX39B","DDX39B",2,0.657387051673001,3,"0.99999446036942",1,NA,NA
"ATP6V1G2-DDX39B","ATP6V1G2-DDX39B",2,0.657387051673001,3,"0.99999446036942",1,NA,NA
"NCBP2","NCBP2",2,0.66104391726673,3,"0.991525272371995",1,NA,NA
"PAK2","PAK2",2,0.670720295205735,3,"0.20453874332174",1,NA,NA
"OR5AU1","OR5AU1",2,0.674674828660161,3,"0.662967063294615",1,NA,NA
"ZBTB41","ZBTB41",3,0.69135660121074,2,"0.845867513229615",1,NA,NA
"TSPAN9","TSPAN9",2,0.70068397176416,3,"0.885731522221521",1,NA,NA
"NCR3","NCR3",2,0.701510648059701,3,"0.343257156482432",1,NA,NA
"HSPA1A","HSPA1A",2,0.704336288016505,3,"0.715233434605556",1,NA,NA
"LRRC3","LRRC3",2,0.711399620937377,3,"0.900485640570995",1,NA,NA
"TEAD4","TEAD4",2,0.711689656958791,3,"0.508820291277676",1,NA,NA
"PRRT1","PRRT1",2,0.72100792772721,3,"0.97964034271634",1,NA,NA
"COL22A1","COL22A1",2,0.724306887346896,3,"0.905777157959846",1,NA,NA
"NOTCH4","NOTCH4",2,0.733417287557417,3,"0.771187430137439",1,NA,NA
"RDBP","RDBP",2,0.745816688399344,3,"0.596083382347837",1,NA,NA
"DLG1","DLG1",2,0.757389127167136,3,"0.705533433476276",1,NA,NA
"CFH","CFH",3,0.764543691102463,2,"0.944385018635283",1,NA,NA
"CHD8","CHD8",2,0.766139685025472,3,"0.752652113827308",1,NA,NA
"ARHGAP39","ARHGAP39",3,0.766305852506128,2,"0.75020819044026",1,NA,NA
"PKP3","PKP3",2,0.767026754027886,3,"0.311924547467822",1,NA,NA
"NRBP2","NRBP2",3,0.778819828610127,2,"0.658839535613297",1,NA,NA
"ARL17A","ARL17A",2,0.784464304196531,3,"0.992736108483721",1,NA,NA
"ARL17B","ARL17B",2,0.784464304196531,3,"0.992736108483721",1,NA,NA
"ARHGEF10","ARHGEF10",2,0.794425040357325,3,"0.923851823978302",1,NA,NA
"STK19","STK19",2,0.809985097637269,3,"0.219337345610437",1,NA,NA
"S100B","S100B",2,0.810173370985114,3,"0.466122146523657",1,NA,NA
"MAFA","MAFA",3,0.811267512763778,2,"0.785965941616517",1,NA,NA
"APEX1","APEX1",2,0.818042657424532,3,"0.158960581490262",1,NA,NA
"CYC1","CYC1",3,0.818208143170885,2,"0.473553115848118",1,NA,NA
"CFHR2","CFHR2",3,0.825895265543637,2,"0.612713966162726",1,NA,NA
"WNT5B","WNT5B",2,0.831512833948937,3,"0.994248541940491",1,NA,NA
"COMT","COMT",3,0.840557944602463,2,"0.682451366419774",1,NA,NA
"GPAA1","GPAA1",3,0.841446061631463,2,"0.240381688417454",1,NA,NA
"KBTBD11","KBTBD11",2,0.850788665380993,3,"0.403468618408584",1,NA,NA
"CRKL","CRKL",3,0.853009435782265,2,"0.413595615057521",1,NA,NA
"ADIPOR2","ADIPOR2",2,0.853239989643862,3,"0.704305902437462",1,NA,NA
"FOXM1","FOXM1",2,0.862642187521148,3,"0.585584918957581",1,NA,NA
"TMED10P1","TMED10P1",3,0.877152668370397,2,"0.888657295265766",1,NA,NA
"GPIHBP1","GPIHBP1",3,0.877712667117671,2,"0.997351428820215",1,NA,NA
"GNB1L","GNB1L",3,0.879904955155299,2,"0.564734263129019",1,NA,NA
"HSPA1B","HSPA1B",2,0.885390157691477,3,"0.526219123562929",1,NA,NA
"FAM83H","FAM83H",3,0.889228390574481,2,"0.937078822469628",1,NA,NA
"PRR5L","PRR5L",2,0.890308921498879,3,"0.961975401279699",1,NA,NA
