"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"DNMT1","DNMT1",2,0.000590249078907303,3,"0.367036326875782",0.721284374424724,NA,NA
"CACNA1E","CACNA1E",3,0.000910273927448991,2,"0.530505208170897",1,NA,NA
"DMXL1","DMXL1",2,0.00125235675942125,3,"0.0615079577526473",1,NA,NA
"HCN1","HCN1",2,0.00206877958447159,3,"0.0239693929466874",1,NA,NA
"CHD9","CHD9",2,0.00840682271487284,3,"0.0950322158159115",1,NA,NA
"THBS2","THBS2",3,0.0123745916881073,2,"0.181471472425351",1,NA,NA
"KDM2B","KDM2B",2,0.0130436401839981,3,"0.065422335241247",1,NA,NA
"TBX4","TBX4",2,0.0162616283651347,3,"0.00924629269186534",1,NA,NA
"FRY","FRY",2,0.0256258744719609,3,"0.0612661181162698",1,NA,NA
"FRAS1","FRAS1",2,0.0323977927048671,3,"0.00307902055195127",1,NA,NA
"RAD54L2","RAD54L2",2,0.03487966030772,3,"0.0274053522658729",1,NA,NA
"KRAS","KRAS",2,0.0366629649826956,3,"0.589322435793291",1,NA,NA
"MAPKBP1","MAPKBP1",2,0.0387741879994571,3,"0.0107408933409862",1,NA,NA
"ATRX","ATRX",2,0.0396970888889603,3,"0.0336417878356394",1,NA,NA
"RPAP1","RPAP1",2,0.0402738481015972,3,"0.499941167244979",1,NA,NA
"TNFRSF10B","TNFRSF10B",2,0.0418246461207753,3,"0.0490233406444604",1,NA,NA
"HELZ","HELZ",2,0.0542472505082243,3,"0.00547999322717606",1,NA,NA
"LIG1","LIG1",2,0.0545577516193566,3,"0.0520680106837861",1,NA,NA
"KIF21B","KIF21B",2,0.059510887356255,3,"0.0604246725656879",1,NA,NA
"TTBK1","TTBK1",2,0.0646509913731297,3,"0.107399663435355",1,NA,NA
"RPS6KA2","RPS6KA2",2,0.0679355128161476,3,"0.298711476578804",1,NA,NA
"SOX7","SOX7",2,0.0872419127125085,3,"0.458930856196071",1,NA,NA
"DMXL2","DMXL2",2,0.0919904966267199,3,"0.0734466786582518",1,NA,NA
"NOTCH1","NOTCH1",2,0.103857582816262,3,"0.100472860246647",1,NA,NA
"PGR","PGR",2,0.103964864453175,3,"0.256378028246699",1,NA,NA
"DNAH5","DNAH5",3,0.108456527204121,2,"0.0117592508355618",1,NA,NA
"CDC42BPG","CDC42BPG",2,0.114859880919625,3,"0.47166062946489",1,NA,NA
"SEMA7A","SEMA7A",2,0.116671641895849,3,"0.169744624716697",1,NA,NA
"PRKCA","PRKCA",2,0.122347153963414,3,"0.160775761164408",1,NA,NA
"SALL1","SALL1",3,0.128947890266935,2,"0.139270103578451",1,NA,NA
"PAPPA2","PAPPA2",2,0.129351642701835,3,"0.684231137928533",1,NA,NA
"UNC45A","UNC45A",2,0.132240299734783,3,"0.812762377583469",1,NA,NA
"RALGDS","RALGDS",2,0.133656030274771,3,"0.0763691732907242",1,NA,NA
"ABCA13","ABCA13",2,0.135977782823573,3,"0.154875870622274",1,NA,NA
"ERN2","ERN2",2,0.14886927625911,3,"0.400602505568865",1,NA,NA
"INSR","INSR",2,0.174776466497578,3,"0.37363771347997",1,NA,NA
"PLEKHG5","PLEKHG5",2,0.187955493283307,3,"0.0797035072016812",1,NA,NA
"IRAK2","IRAK2",2,0.198289924547166,3,"0.43514865245218",1,NA,NA
"MYO15A","MYO15A",2,0.224126374899256,3,"0.00565491687024716",1,NA,NA
"COL15A1","COL15A1",2,0.225072720187849,3,"0.158110182914409",1,NA,NA
"MAST4","MAST4",2,0.225072720187849,3,"0.193803977350761",1,NA,NA
"HS3ST1","HS3ST1",2,0.227606054625416,3,"0.334240717735836",1,NA,NA
"TENM4","TENM4",2,0.228029655395501,3,"0.294868184060007",1,NA,NA
"PLEKHG2","PLEKHG2",2,0.232447751737704,3,"0.0982778736456921",1,NA,NA
"COL6A1","COL6A1",2,0.236800258875799,3,"0.514705674753459",1,NA,NA
"HERC1","HERC1",3,0.243234709712233,2,"0.0502664951836684",1,NA,NA
"DOCK2","DOCK2",2,0.269145906519155,3,"0.0784152985749815",1,NA,NA
"GPI","GPI",2,0.275513947806413,3,"0.335666994760822",1,NA,NA
"ZNF408","ZNF408",2,0.276854858988773,3,"0.363494186923718",1,NA,NA
"PDE4D","PDE4D",2,0.289188843872593,3,"0.0134432581539151",1,NA,NA
"FLNA","FLNA",3,0.299292192283926,2,"0.180150655183781",1,NA,NA
"PRKDC","PRKDC",3,0.310188731362094,2,"0.472387731504003",1,NA,NA
"FCGBP","FCGBP",4,0.317602925201052,1,"0.835895810253335",1,NA,NA
"PHC2","PHC2",2,0.325520950487451,3,"0.791420074074515",1,NA,NA
"MYOM2","MYOM2",2,0.328248280383675,3,"0.400832250053743",1,NA,NA
"ENO3","ENO3",2,0.342769664109478,3,"0.018054706463923",1,NA,NA
"FGFR4","FGFR4",2,0.349951309256904,3,"0.143477154486007",1,NA,NA
"TRIP11","TRIP11",2,0.355088865344825,3,"0.843888323945181",1,NA,NA
"HOXA11","HOXA11",2,0.386976378895264,3,"0.877167170951434",1,NA,NA
"GFRA1","GFRA1",2,0.410155939997407,3,"0.313994546952134",1,NA,NA
"SLC19A1","SLC19A1",2,0.41100895034109,3,"0.355097302174461",1,NA,NA
"FAT3","FAT3",2,0.423621570728898,3,"0.14167458061083",1,NA,NA
"ONECUT2","ONECUT2",2,0.427529564659877,3,"0.785816999846672",1,NA,NA
"GABRR2","GABRR2",2,0.433498237228064,3,"0.100053602784443",1,NA,NA
"ARHGAP24","ARHGAP24",2,0.443710378417768,3,"0.860844433545901",1,NA,NA
"ACVR1B","ACVR1B",2,0.447116118693013,3,"0.759471663235343",1,NA,NA
"TXNRD1","TXNRD1",2,0.447412885362287,3,"0.21500287669881",1,NA,NA
"OBSCN","OBSCN",2,0.466231918360362,3,"0.921584701425018",1,NA,NA
"CACNA1B","CACNA1B",2,0.468659020267185,3,"0.238123933281916",1,NA,NA
"KCNH7","KCNH7",2,0.469798893363007,3,"0.0240880174853791",1,NA,NA
"HIPK2","HIPK2",2,0.485902491013968,3,"0.0662246225568505",1,NA,NA
"FMN2","FMN2",3,0.489705130159556,2,"0.0215084423544873",1,NA,NA
"MCM3","MCM3",2,0.500470551280079,3,"0.752777106212444",1,NA,NA
"HEATR6","HEATR6",2,0.507346519551119,3,"0.934850636570042",1,NA,NA
"SH3BP4","SH3BP4",2,0.519034020810824,3,"0.681266433464864",1,NA,NA
"SIGLEC10","SIGLEC10",2,0.532024239022036,3,"0.409293052926933",1,NA,NA
"KIAA1549","KIAA1549",2,0.536944090493321,3,"0.127138391402982",1,NA,NA
"ZBTB40","ZBTB40",2,0.538980078569345,3,"0.74939826537538",1,NA,NA
"EIF2AK4","EIF2AK4",3,0.544290926402343,2,"0.802006362163862",1,NA,NA
"NPR2","NPR2",2,0.553921789319798,3,"0.612675658117819",1,NA,NA
"CHRD","CHRD",2,0.556585157569521,3,"0.26056080714902",1,NA,NA
