"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"CCND3","CCND3",-1,-1,4,"2.94036524079625e-14",1.92417501357707e-10,NA,NA
"MYB","MYB",-1,-1,4,"2.26843058778428e-13",1.48423413358725e-09,NA,NA
"EP300","EP300",-1,-1,5,"4.7555955095463e-11",3.11111058234519e-07,NA,NA
"WIPI2","WIPI2",-1,-1,5,"6.71460195777988e-11",4.39202114058382e-07,NA,NA
"STK38","STK38",-1,-1,5,"2.05563735349876e-10",1.34438682918819e-06,NA,NA
"RUNX1","RUNX1",-1,-1,4,"3.57271493874052e-10",2.33619829844243e-06,NA,NA
"KPNA6","KPNA6",-1,-1,4,"8.18162979854453e-10",5.34914956228841e-06,NA,NA
"CHRM1","CHRM1",-1,-1,5,"1.2137925061827e-09",7.93456161291631e-06,NA,NA
"TYMS","TYMS",-1,-1,5,"2.75265592660741e-09",1.7991359136306e-05,NA,NA
"PAPPA","PAPPA",-1,-1,4,"5.53691504829369e-09",3.61837398405993e-05,NA,NA
"CCNI","CCNI",-1,-1,5,"1.38856452749905e-08",9.07288062267879e-05,NA,NA
"C1QL3","C1QL3",-1,-1,5,"1.58891171729594e-08",0.000103803602490944,NA,NA
"DNMBP","DNMBP",-1,-1,5,"2.48556869706929e-08",0.000162357347292566,NA,NA
"CDRT1","CDRT1",-1,-1,5,"3.28554744316588e-08",0.000214579103513164,NA,NA
"PKMYT1","PKMYT1",-1,-1,4,"7.21569620503666e-08",0.000471184962188894,NA,NA
"FGD6","FGD6",-1,-1,5,"7.55587340010965e-08",0.000493322974293159,NA,NA
"CLDN15","CLDN15",-1,-1,5,"7.91561271988385e-08",0.000516731198354018,NA,NA
"ADK","ADK",-1,-1,5,"1.20230399519824e-07",0.000784743817665891,NA,NA
"BRWD3","BRWD3",-1,-1,4,"2.99516835494372e-07",0.00195464686843627,NA,NA
"YWHAE","YWHAE",-1,-1,5,"3.70836435796981e-07",0.0024197077435753,NA,NA
"GPR173","GPR173",-1,-1,5,"4.80679613709568e-07",0.00313595379984122,NA,NA
"LGALS1","LGALS1",-1,-1,5,"5.26273851786165e-07",0.00343288433520115,NA,NA
"STK16","STK16",-1,-1,5,"5.26273851786165e-07",0.00343288433520115,NA,NA
"EGFL7","EGFL7",-1,-1,5,"6.02638264892218e-07",0.00392980412536215,NA,NA
"LRWD1","LRWD1",-1,-1,5,"6.67207926032446e-07",0.00435019567773155,NA,NA
"CBFB","CBFB",-1,-1,5,"6.92801161484363e-07",0.00451637077171656,NA,NA
"DGKG","DGKG",-1,-1,5,"1.48994336588601e-06",0.00971145085884501,NA,NA
"WNT8A","WNT8A",-1,-1,5,"1.52217805183859e-06",0.00992003436383209,NA,NA
"P2RY11","P2RY11",-1,-1,5,"1.64979724734248e-06",0.0107500788636836,NA,NA
"PPAN-P2RY11","PPAN-P2RY11",-1,-1,5,"1.64979724734248e-06",0.0107500788636836,NA,NA
"SFN","SFN",-1,-1,5,"1.75647651365021e-06",0.0114416880099175,NA,NA
"MAGEA11","MAGEA11",-1,-1,5,"2.19583207405638e-06",0.0143014542983292,NA,NA
"KLB","KLB",-1,-1,5,"2.21332167690513e-06",0.0144131507600062,NA,NA
"TMEM117","TMEM117",-1,-1,5,"2.2353402094767e-06",0.0145543001039028,NA,NA
"RASGRP4","RASGRP4",-1,-1,5,"2.32061447727681e-06",0.015107200247072,NA,NA
"ANGPTL5","ANGPTL5",-1,-1,5,"2.42258365444827e-06",0.0157685970068038,NA,NA
"IFT80","IFT80",-1,-1,4,"2.54000517920493e-06",0.0165303537062657,NA,NA
"FCGRT","FCGRT",-1,-1,5,"2.67789374243927e-06",0.0174250545820523,NA,NA
"WDR69","WDR69",-1,-1,5,"3.30712594566979e-06",0.0215161614025277,NA,NA
"FUK","FUK",-1,-1,4,"3.82871542645045e-06",0.0249057938490602,NA,NA
"ATP11B","ATP11B",-1,-1,5,"4.47907975434101e-06",0.0291319347222339,NA,NA
"FBXW10","FBXW10",-1,-1,3,"5.22979573359507e-06",0.0340093616555687,NA,NA
"MFRP","MFRP",-1,-1,5,"5.46573791511144e-06",0.0355382279240546,NA,NA
"C1QTNF5","C1QTNF5",-1,-1,5,"5.46573791511144e-06",0.0355382279240546,NA,NA
"SLIT2","SLIT2",-1,-1,4,"5.7956107576554e-06",0.0376714699247601,NA,NA
"PGK2","PGK2",-1,-1,5,"5.96196886995646e-06",0.038746835685847,NA,NA
"CAMKK1","CAMKK1",-1,-1,5,"7.92282329542712e-06",0.0514825057736854,NA,NA
"WDR52","WDR52",-1,-1,4,"7.97229927030443e-06",0.0517960283591679,NA,NA
"DAPK1","DAPK1",-1,-1,5,"8.38333132992236e-06",0.0544581203191756,NA,NA
"SLC7A8","SLC7A8",-1,-1,5,"9.03940500690457e-06",0.0587109355198452,NA,NA
"KRTAP5-5","KRTAP5-5",-1,-1,5,"1.014432864454e-05",0.0658772702176428,NA,NA
"SNAP25","SNAP25",-1,-1,5,"1.11453788486528e-05",0.0723669448643026,NA,NA
"UGT8","UGT8",-1,-1,5,"1.15672587543337e-05",0.0750946438331344,NA,NA
"TBL1Y","TBL1Y",-1,-1,5,"1.17495471244616e-05",0.0762663103848802,NA,NA
"ABCG8","ABCG8",-1,-1,5,"1.37397856818929e-05",0.0891712090754849,NA,NA
"PRKAB2","PRKAB2",-1,-1,5,"1.38535563539765e-05",0.0898957271809535,NA,NA
"SETD6","SETD6",-1,-1,4,"1.49458168481813e-05",0.0969684597110003,NA,NA
"CELF6","CELF6",-1,-1,5,"1.50129655080359e-05",0.0973891072506289,NA,NA
"SUFU","SUFU",-1,-1,5,"1.62271305991772e-05",0.105249169066263,NA,NA
"QSOX2","QSOX2",-1,-1,5,"1.70418502669552e-05",0.110516398981204,NA,NA
"ANGPTL4","ANGPTL4",-1,-1,5,"1.72222333464425e-05",0.111668961018333,NA,NA
"KLHL29","KLHL29",-1,-1,5,"1.78656407076963e-05",0.115822948707995,NA,NA
"IQUB","IQUB",-1,-1,5,"1.86967911329078e-05",0.121192600123508,NA,NA
"LRCH4","LRCH4",-1,-1,3,"1.87406566526503e-05",0.121458195765827,NA,NA
"HSH2D","HSH2D",-1,-1,5,"2.01163580105787e-05",0.13035399990855,NA,NA
"HIST1H1C","HIST1H1C",-1,-1,5,"2.12165011303572e-05",0.137461710823584,NA,NA
"SLC5A1","SLC5A1",-1,-1,5,"2.62352602217568e-05",0.169952015716541,NA,NA
"LOC100996481","LOC100996481",-1,-1,5,"2.68755827796698e-05",0.174073149663921,NA,NA
"PSCA","PSCA",-1,-1,2,"2.68765355953149e-05",0.174073149663921,NA,NA
"ANKIB1","ANKIB1",-1,-1,4,"2.69415343266889e-05",0.174446434765311,NA,NA
"GXYLT1","GXYLT1",-1,-1,5,"2.74954108956221e-05",0.178005290138257,NA,NA
"SOCS6","SOCS6",-1,-1,5,"2.85991013476047e-05",0.185121983023045,NA,NA
"NDUFC2","NDUFC2",-1,-1,5,"2.87011679495335e-05",0.185753958969381,NA,NA
"SLC44A5","SLC44A5",-1,-1,5,"3.04456306967821e-05",0.197013676238877,NA,NA
"MIB1","MIB1",-1,-1,5,"3.10939996985425e-05",0.20117817804957,NA,NA
"TFRC","TFRC",-1,-1,3,"3.1319661671807e-05",0.202606891354919,NA,NA
"SH2D1A","SH2D1A",-1,-1,5,"3.52602697079467e-05",0.228063424470999,NA,NA
"GNGT2","GNGT2",-1,-1,5,"3.62349243391354e-05",0.234331255701189,NA,NA
"ANKS1A","ANKS1A",-1,-1,4,"3.63916925108065e-05",0.235308683774875,NA,NA
"ABCC11","ABCC11",-1,-1,5,"4.15741071100137e-05",0.268776602466239,NA,NA
"UBA5","UBA5",-1,-1,5,"4.15741071100137e-05",0.268776602466239,NA,NA
"MOS","MOS",-1,-1,5,"4.23590244965905e-05",0.273766375321464,NA,NA
"CNST","CNST",-1,-1,4,"4.34498160448877e-05",0.280772711282064,NA,NA
"LPAR1","LPAR1",-1,-1,5,"4.48825329322435e-05",0.289986045275225,NA,NA
"HMHA1","HMHA1",-1,-1,4,"4.54787009859174e-05",0.293792408369026,NA,NA
"CRABP1","CRABP1",-1,-1,5,"4.77292663167536e-05",0.308283331139912,NA,NA
"HES7","HES7",-1,-1,5,"5.01836458644375e-05",0.324085984992537,NA,NA
