"","#wt","#mut","pvalue","p_adj"
"CCND3",4,1,2.94036524079625e-14,1.92417501357707e-10
"MYB",4,1,2.26843058778428e-13,7.42230488323016e-10
"EP300",5,0,4.7555955095463e-11,1.03735390048237e-07
"WIPI2",5,0,6.71460195777988e-11,1.09850888029279e-07
"STK38",5,0,2.05563735349876e-10,2.69041816825918e-07
"RUNX1",4,1,3.57271493874052e-10,3.89664109318633e-07
"KPNA6",4,1,8.18162979854453e-10,7.6486550573822e-07
"CHRM1",5,0,1.2137925061827e-09,9.92882270057449e-07
"TYMS",5,0,2.75265592660741e-09,2.0014867093021e-06
"PAPPA",4,1,5.53691504829369e-09,3.62335720760339e-06
"CCNI",5,0,1.38856452749905e-08,8.26069660723071e-06
"C1QL3",5,0,1.58891171729594e-08,8.66486523165386e-06
"DNMBP",5,0,2.48556869706929e-08,1.25119704258626e-05
"CDRT1",5,0,3.28554744316588e-08,1.53575874771982e-05
"PKMYT1",4,1,7.21569620503666e-08,3.04704527287764e-05
"FGD6",5,0,7.55587340010965e-08,3.04704527287764e-05
"CLDN15",5,0,7.91561271988385e-08,3.04704527287764e-05
"ADK",5,0,1.20230399519824e-07,4.3710429692096e-05
"BRWD3",4,1,2.99516835494372e-07,0.000103159903761851
"YWHAE",5,0,3.70836435796981e-07,0.000121337681792772
"GPR173",5,0,4.80679613709568e-07,0.000149736351569072
"LGALS1",5,0,5.26273851786165e-07,0.000149736351569072
"STK16",5,0,5.26273851786165e-07,0.000149736351569072
"EGFL7",5,0,6.02638264892218e-07,0.000164319366893945
"LRWD1",5,0,6.67207926032446e-07,0.00017437272310591
"CBFB",5,0,6.92801161484363e-07,0.00017437272310591
"DGKG",5,0,1.48994336588601e-06,0.000355754756115419
"WNT8A",5,0,1.52217805183859e-06,0.000355754756115419
"P2RY11",5,0,1.64979724734248e-06,0.000359875772886973
"PPAN-P2RY11",5,0,1.64979724734248e-06,0.000359875772886973
"SFN",5,0,1.75647651365021e-06,0.00037078652597829
"MAGEA11",5,0,2.19583207405638e-06,0.000430237245023986
"KLB",5,0,2.21332167690513e-06,0.000430237245023986
"TMEM117",5,0,2.2353402094767e-06,0.000430237245023986
"RASGRP4",5,0,2.32061447727681e-06,0.000433888603979984
"ANGPTL5",5,0,2.42258365444827e-06,0.000440371873186374
"IFT80",4,1,2.54000517920493e-06,0.000449237672776137
"FCGRT",5,0,2.67789374243927e-06,0.000461161490803226
"WDR69",5,0,3.30712594566979e-06,0.000554918774063157
"FUK",4,1,3.82871542645045e-06,0.000626377843767294
"ATP11B",5,0,4.47907975434101e-06,0.000714904827131892
"FBXW10",3,2,5.22979573359507e-06,0.000812904293556574
"MFRP",5,0,5.46573791511144e-06,0.000812904293556574
"C1QTNF5",5,0,5.46573791511144e-06,0.000812904293556574
"SLIT2",4,1,5.7956107576554e-06,0.000842810595513265
"PGK2",5,0,5.96196886995646e-06,0.000848154875760763
"CAMKK1",5,0,7.92282329542712e-06,0.0010868901338515
"WDR52",4,1,7.97229927030443e-06,0.0010868901338515
"DAPK1",5,0,8.38333132992236e-06,0.00111960245353086
"SLC7A8",5,0,9.03940500690457e-06,0.00118307732730367
"KRTAP5-5",5,0,1.014432864454e-05,0.00130165660097784
"SNAP25",5,0,1.11453788486528e-05,0.00140260306126123
"UGT8",5,0,1.15672587543337e-05,0.00142387104411994
"TBL1Y",5,0,1.17495471244616e-05,0.00142387104411994
"ABCG8",5,0,1.37397856818929e-05,0.00161888701393611
"PRKAB2",5,0,1.38535563539765e-05,0.00161888701393611
"SETD6",4,1,1.49458168481813e-05,0.00169387666007909
"CELF6",5,0,1.50129655080359e-05,0.00169387666007909
"SUFU",5,0,1.62271305991772e-05,0.00179983631594942
"QSOX2",5,0,1.70418502669552e-05,0.00184757860687081
"ANGPTL4",5,0,1.72222333464425e-05,0.00184757860687081
"KLHL29",5,0,1.78656407076963e-05,0.00188568956114782
"IQUB",5,0,1.86967911329078e-05,0.00191623214273349
"LRCH4",3,2,1.87406566526503e-05,0.00191623214273349
"HSH2D",5,0,2.01163580105787e-05,0.00202525302801888
"HIST1H1C",5,0,2.12165011303572e-05,0.00210364823328875
"SLC5A1",5,0,2.62352602217568e-05,0.0025186485804836
"LOC100996481",5,0,2.68755827796698e-05,0.0025186485804836
"PSCA",2,3,2.68765355953149e-05,0.0025186485804836
"ANKIB1",4,1,2.69415343266889e-05,0.0025186485804836
"GXYLT1",5,0,2.74954108956221e-05,0.0025342249140979
"SOCS6",5,0,2.85991013476047e-05,0.00257288278166777
"NDUFC2",5,0,2.87011679495335e-05,0.00257288278166777
"SLC44A5",5,0,3.04456306967821e-05,0.00269238117945597
"MIB1",5,0,3.10939996985425e-05,0.00269678771026717
"TFRC",3,2,3.1319661671807e-05,0.00269678771026717
"SH2D1A",5,0,3.52602697079467e-05,0.00299666499959485
"GNGT2",5,0,3.62349243391354e-05,0.0030145219720344
"ANKS1A",4,1,3.63916925108065e-05,0.0030145219720344
"ABCC11",5,0,4.15741071100137e-05,0.00335877724602382
"UBA5",5,0,4.15741071100137e-05,0.00335877724602382
"MOS",5,0,4.23590244965905e-05,0.00338045678421571
"CNST",4,1,4.34498160448877e-05,0.00342573007467163
"LPAR1",5,0,4.48825329322435e-05,0.00349656304176907
"HMHA1",4,1,4.54787009859174e-05,0.00350132493237463
"CRABP1",5,0,4.77292663167536e-05,0.00363186417182367
"HES7",5,0,5.01836458644375e-05,0.00377473308663079
"PCK2",4,1,5.67992658074686e-05,0.00418452911996222
"CCNYL2",5,0,5.69106191437404e-05,0.00418452911996222
"YAF2",5,0,5.98565581153803e-05,0.0043522368478561
"WDR65",5,0,6.16567197892709e-05,0.00443386345385702
"HPN",5,0,6.36930998660533e-05,0.00450908625206926
"PHKB",5,0,6.40808406849696e-05,0.00450908625206926
"PLK2",5,0,7.12482720204413e-05,0.00496009246916774
"PTPN3",5,0,7.32446965834345e-05,0.00503941422073056
"COL23A1",4,1,7.39975223321346e-05,0.00503941422073056
"ABCB8",5,0,7.46979186141297e-05,0.00503941422073056
"APMAP",5,0,7.72965046451021e-05,0.00516151353466886
"KLHL10",5,0,8.0977367486408e-05,0.00535268578617226
"ITSN2",5,0,8.30289209513323e-05,0.00543341258705519
"MCOLN2",5,0,8.52845717029364e-05,0.00552576472499026
"CD36",4,1,8.7372067490223e-05,0.0055590239548683
"PCDH7",4,1,8.74968623703293e-05,0.0055590239548683
"GRK7",5,0,9.01981184922012e-05,0.00565340637226029
"BFSP1",5,0,9.07102183813158e-05,0.00565340637226029
"CD300E",5,0,9.26078553887442e-05,0.0057172245817353
"KCNJ8",5,0,9.48913226222135e-05,0.00580344687139967
"ERG",4,1,9.64356945210485e-05,0.00584328874949761
"DPF2",5,0,9.90415183388003e-05,0.00591394101720816
"CDKN3",5,0,9.94091552403572e-05,0.00591394101720816
"ATP2B2",4,1,0.000101362583197225,0.00597582652651027
"WDFY2",4,1,0.000102764049314175,0.00600435659564251
"RGS2",4,1,0.000106765520521851,0.00616429259278875
"GINS4",5,0,0.000107385292722787,0.00616429259278875
"ARHGAP35",4,1,0.000114352854818534,0.00650717462549988
"RAB39A",5,0,0.000123772159095031,0.00683987362517011
"PARP6",5,0,0.000123881886149802,0.00683987362517011
"EMILIN1",5,0,0.000124211534320332,0.00683987362517011
"HK3",5,0,0.000124762507109349,0.00683987362517011
"EML3",3,2,0.000126370487216612,0.00683987362517011
"CDK6",5,0,0.000127771647602027,0.00683987362517011
"TRDMT1",5,0,0.000127996835443882,0.00683987362517011
"EN1",5,0,0.000128561194360624,0.00683987362517011
"AIFM2",5,0,0.00013408100524386,0.00707601692190177
"ATP10D",4,1,0.000140977078395059,0.00738043200813813
"EIF5A2",5,0,0.000143083837518584,0.00743127486286995
"FGD5",5,0,0.000144568096588337,0.00744924113444155
"CLEC7A",5,0,0.000149349706280431,0.00763550373358704
"UCKL1",5,0,0.00015942673250717,0.00808750804284434
"RALGAPA2",5,0,0.000165148184579693,0.00831330553761162
"CX3CR1",4,1,0.00016809536321046,0.00839706913625382
"RBPJL",5,0,0.000179581251703833,0.00890287659962033
"CNGA3",5,0,0.000184207852043652,0.00906358032912525
"ROR1",5,0,0.000187395813163813,0.00915162836823875
"XDH",5,0,0.000189854234978857,0.00920300824964178
"WSB1",5,0,0.000194848481952691,0.00937565048454713
"VTCN1",4,1,0.000197106575473169,0.00941507613063079
"CBX3",5,0,0.000200753519789686,0.00951979009785294
"DUSP28",5,0,0.000204823814478817,0.00964292835934805
"EBF1",4,1,0.000219839924420771,0.0102759461814966
"MLLT1",4,1,0.000225373380056524,0.0104150963562692
"TBL1X",5,0,0.000225999951496061,0.0104150963562692
"ASB7",5,0,0.000230473994899296,0.0105470057525944
"DUSP12",5,0,0.000234469507746362,0.0106553365186958
"KIF2A",5,0,0.000242438891227203,0.0109415179599367
"ZBTB9",5,0,0.000247361730834707,0.0110872271683721
"MAP3K3",5,0,0.000251202677070032,0.0111178150344376
"EED",5,0,0.000252170328534972,0.0111178150344376
"MMP8",5,0,0.000253140959677751,0.0111178150344376
"TBC1D10C",5,0,0.000260416909799313,0.011361121718178
"LOC100996758",5,0,0.000268673866812765,0.0116437204266406
"SIK3",5,0,0.00028410613337851,0.0121515721361371
"CEACAM3",5,0,0.00028410613337851,0.0121515721361371
"MAD1L1",5,0,0.00029317537729823,0.0124580497989586
"KLHL4",5,0,0.000303372580288998,0.0127922149306349
"APAF1",5,0,0.000304948888933228,0.0127922149306349
"AAMDC",5,0,0.000309488764658997,0.0128656753959458
"FNIP1",5,0,0.000310632138227297,0.0128656753959458
"NIN",5,0,0.000314544911303756,0.0129457981105143
"ISG20",5,0,0.000332522444742152,0.013600167989954
"CPVL",5,0,0.000363611333436787,0.014524362831915
"MTMR7",4,1,0.000363950417403547,0.014524362831915
"ZRANB3",5,0,0.000364651559488068,0.014524362831915
"DOCK11",5,0,0.000365433290256808,0.014524362831915
"RGL3",5,0,0.000366216361134775,0.014524362831915
"MCAM",5,0,0.000373855482307607,0.014693984079884
"GRIN1",4,1,0.000374984006928581,0.014693984079884
"PART1",5,0,0.000404281547247401,0.0157477288403988
"ARHGEF15",5,0,0.000417166665799576,0.0161534832011386
"WDR35",5,0,0.000429190505085125,0.0164304694388547
"SLC2A2",4,1,0.000429826689198152,0.0164304694388547
"NIM1",4,1,0.000432304069317337,0.0164304694388547
"LIMK2",5,0,0.000434556063814454,0.0164304694388547
"FRYL",4,1,0.000436873728967103,0.0164304694388547
"INPP4A",4,1,0.000441479520845152,0.0164379745866374
"KIF19",5,0,0.000442097116022034,0.0164379745866374
"ASS1",5,0,0.000445753812574632,0.0164802991496519
"KLHL5",5,0,0.000450358667250757,0.0165570062836458
"BTBD1",5,0,0.000471394002250771,0.0172335326856371
"COL5A1",5,0,0.000476209345368791,0.0173128553116298
"MAP3K9",5,0,0.000503907817394657,0.0181427964309197
"GNE",5,0,0.000504582663573868,0.0181427964309197
"DUSP6",5,0,0.000511029835206649,0.0181748871825669
"LDHAL6B",5,0,0.000511029835206649,0.0181748871825669
"PSTPIP2",5,0,0.000520997157978132,0.0184292183881562
"LOC649395",5,0,0.000534999774332226,0.0188227877593015
"MAF",5,0,0.000569836991549999,0.0199412474476107
"AMT",4,1,0.000575570100845909,0.020034737978381
"AP3M2",5,0,0.000585257428133151,0.0200935927591939
"TTC24",5,0,0.000587541802059199,0.0200935927591939
"PROX1",4,1,0.000587978079666663,0.0200935927591939
"FANCC",4,1,0.00058954306383943,0.0200935927591939
"CASP9",5,0,0.00060646580345011,0.0205630425947143
"LIPH",5,0,0.000609601201615919,0.0205630425947143
"PLEKHG1",5,0,0.000621873592099484,0.0208694399317899
"PUS7L",5,0,0.000629089684524606,0.0210038923241277
"FER1L6",4,1,0.000636855717239638,0.0211216466923753
"RALGPS2",4,1,0.00063907182840622,0.0211216466923753
"NUAK1",5,0,0.000645776562816612,0.0212359890807634
"VLDLR",3,2,0.000652771728172848,0.0213586909458156
"KIT",5,0,0.000661556849901568,0.0215384478893326
"TNFRSF18",5,0,0.000666603667343448,0.0215953188074036
"ARHGEF38",4,1,0.000675900720518828,0.0217514753196352
"CD97",5,0,0.000678071663387161,0.0217514753196352
"DNM2",5,0,0.00068494163290967,0.0218646733939555
"CD84",4,1,0.000692835738327942,0.0220093061729032
"AKAP10",5,0,0.000705003513748294,0.0222876473138591
"TMEM141",5,0,0.000718338634577023,0.022600038580154
"TLE4",5,0,0.000721928524960692,0.0226043074992477
"WDR66",4,1,0.000728882194327302,0.0227133575222755
"MBD2",5,0,0.000737346036892104,0.0227863591536009
"WDR67",4,1,0.000738727653996051,0.0227863591536009
"LGALS2",5,0,0.000743310102775873,0.0227863591536009
"GCLC",5,0,0.000745152942981446,0.0227863591536009
"KCNK3",5,0,0.000751167432075965,0.0228634403511866
"TMEM171",5,0,0.000763312919839845,0.0230352838914884
"MARK1",3,2,0.000763853393101006,0.0230352838914884
"MEF2C",4,1,0.00077461460965575,0.0232526514017763
"LRRC8A",5,0,0.000792909997368346,0.0236931644875729
"RBM34",4,1,0.000807157037740048,0.0240092529771403
"TCF4",5,0,0.000823418126492848,0.0242870176059472
"OSBPL2",5,0,0.00082391777330689,0.0242870176059472
"ZNF652",4,1,0.000849607864546768,0.0249319904286729
"WDR61",5,0,0.000855888129368373,0.0249680458412055
"APEX2",5,0,0.000858467346312841,0.0249680458412055
"GPR68",5,0,0.000883545649469306,0.0255837288943679
"EPHA2",5,0,0.00089043754653203,0.0256697061872494
"MNAT1",5,0,0.00091789153996708,0.0262392998468722
"C1R",4,1,0.000918215107722146,0.0262392998468722
"GCM1",4,1,0.000929918953848108,0.0264582157999218
"IRF5",5,0,0.000943230913261629,0.0267207926250394
"SFRP1",5,0,0.00097368796306191,0.0274647156477463
"CTBP2",4,1,0.000978620147313718,0.0274853658541673
"BOLL",5,0,0.000986319667725268,0.027583230365787
"ARID2",5,0,0.000993845253997358,0.0276754184772711
"SH2D4B",4,1,0.00100250897254582,0.0277983843912705
"PYROXD1",5,0,0.00102500338863861,0.0283022032711015
"PACSIN2",5,0,0.00104782037439153,0.028810657689152
"RAB11A",5,0,0.00105389186229574,0.0288563529157461
"TRPM1",4,1,0.0010645510204339,0.029026757823831
"MAGOHB",5,0,0.00107598268592556,0.0291462236095583
"ROCK1",5,0,0.00107784017627034,0.0291462236095583
"PPM1D",5,0,0.00109655656099812,0.0294429982131833
"FKBP11",5,0,0.00109781350305879,0.0294429982131833
"DRD3",5,0,0.00113541511022115,0.0303271693113763
"CLDN3",5,0,0.00114839262894155,0.0305491112349329
"GJA4",5,0,0.00117935725684641,0.0312458052178255
"SYDE1",4,1,0.00118837003844162,0.0313576352079111
"KLHL26",4,1,0.00119989568909455,0.0314680208865537
"CHCHD7",5,0,0.001202170724578,0.0314680208865537
"SUSD4",4,1,0.0012177909123453,0.0317498953401898
"WDR17",4,1,0.00122410127904959,0.0317877728972243
"INO80D",4,1,0.00130080865423268,0.0336462127798366
"SMYD1",4,1,0.00130649006539391,0.0336545171307811
"KLRAP1",5,0,0.0013114153221805,0.0336545171307811
"LCP2",5,0,0.00132305416729008,0.0338205721513527
"FXR2",5,0,0.00136294683729311,0.0345892139229324
"GTPBP8",5,0,0.00136369455869752,0.0345892139229324
"ARL5B",5,0,0.00137947267218509,0.0346091477646402
"RSF1",4,1,0.00138205491783406,0.0346091477646402
"HSD17B7",5,0,0.00139007230078041,0.0346091477646402
"UBE3A",4,1,0.00139197452359218,0.0346091477646402
"SOS1",5,0,0.00139768327725606,0.0346091477646402
"MAPK15",2,3,0.00140053035445596,0.0346091477646402
"SVEP1",5,0,0.00140150124658155,0.0346091477646402
"NUDT7",5,0,0.00142923762424609,0.035161394785964
"PPYR1",4,1,0.00147015514637361,0.035697996654084
"TFPI",5,0,0.00147086921333486,0.035697996654084
"UBE3B",4,1,0.00147534316014147,0.035697996654084
"PLOD3",5,0,0.00147564269148134,0.035697996654084
"CFL1",5,0,0.00148282613853415,0.035697996654084
"RAB6A",5,0,0.00148522682755187,0.035697996654084
"CORO6",5,0,0.00148923488486628,0.035697996654084
"KCNH8",5,0,0.00150697326731651,0.0359142783701988
"DPF3",4,1,0.00151310331538256,0.0359142783701988
"SP140",5,0,0.0015191642269836,0.0359142783701988
"FAM20B",4,1,0.00152478437912566,0.0359142783701988
"TAOK1",5,0,0.00152569825594671,0.0359142783701988
"ALX1",5,0,0.0015537191856396,0.0364427897879052
"DUSP11",5,0,0.00157878404110129,0.036579528371951
"PRDX3",5,0,0.00158046646186073,0.036579528371951
"HBB",4,1,0.00158201665734681,0.036579528371951
"RFXANK",5,0,0.0015829927820041,0.036579528371951
"PDIK1L",4,1,0.00158749786944286,0.036579528371951
"PARP9",5,0,0.00160843412035601,0.036931904854771
"GLYCTK",4,1,0.00162850276406456,0.0372396730719347
"DHX57",5,0,0.00163939440207342,0.0372396730719347
"KIAA1549L",4,1,0.00164422341133436,0.0372396730719347
"LGALS13",5,0,0.00164460047643477,0.0372396730719347
"ULK2",4,1,0.00167143756023983,0.0376892494005505
"POLD2",4,1,0.00168287592544805,0.0376892494005505
"TYMP",4,1,0.0016897670636472,0.0376892494005505
"ACAD8",4,1,0.00169437289869257,0.0376892494005505
"FRMD3",5,0,0.00169739234706868,0.0376892494005505
"HMGN3",3,2,0.00170413627111482,0.0376892494005505
"RASGRP3",4,1,0.00170477044965815,0.0376892494005505
"PSTPIP1",5,0,0.00171169663419084,0.0377149588355046
"DLL4",5,0,0.00172519433062885,0.0378848043611919
"RASD2",5,0,0.00178374461400574,0.0390395476724199
"TNFRSF25",5,0,0.00181925391653068,0.0396839920992559
"RNF168",3,2,0.00190008264820068,0.0413094380392865
"JPH4",4,1,0.00194586580742288,0.0421647213370044
"MERTK",5,0,0.00197703676938959,0.042666774219554
"STYK1",5,0,0.00198207508599395,0.042666774219554
"RASL10A",5,0,0.00201865499236956,0.0433117320330046
"P4HA1",5,0,0.0020319963342226,0.0434555033044206
"C8orf44-SGK3",3,2,0.00204277913726746,0.0435438002419487
"SERPING1",4,1,0.00205952076663163,0.0436251987542471
"TRIM23",5,0,0.00205993068689828,0.0436251987542471
"STARD9",4,1,0.00207423754057103,0.0437864853725704
"ITGB7",5,0,0.00209343500118305,0.044049641954154
"HSPB1",5,0,0.00212204209583913,0.044508472676831
"STRN3",5,0,0.00213378610994016,0.0445662588397881
"PIK3R4",5,0,0.002141286604938,0.0445662588397881
"SPSB1",5,0,0.00214773237473535,0.0445662588397881
"LMTK2",5,0,0.00215203817135896,0.0445662588397881
"ADAMTSL3",5,0,0.00216716287574634,0.044737898608467
"SHC4",4,1,0.00218086768178082,0.044879239338282
"FAM186B",5,0,0.00219328870452722,0.0449933582521195
"PDCD1LG2",5,0,0.0022097448759596,0.0451158431888505
"CNTN1",5,0,0.00221304793148243,0.0451158431888505
"RIOK3",5,0,0.00222851445787601,0.0452900578023
"RHOBTB2",5,0,0.00223961482501228,0.0453696377935049
"CPN2",5,0,0.00224629624772243,0.0453696377935049
"PREB",5,0,0.00227430737270304,0.0457940536829806
"LOC341056",5,0,0.00230487253365831,0.0462671345406748
"CDH6",5,0,0.00231513362232534,0.0463309921238441
"WDR73",5,0,0.00238097244962673,0.0475033039949918
"SLITRK3",5,0,0.00244710653681608,0.0486743622398919
"WDR41",4,1,0.00245475315922623,0.0486784990120498
"PRDM11",5,0,0.00248797086342922,0.0491881611186732
"GRID1",5,0,0.0025589393008738,0.0504388517618016
"ERAS",5,0,0.00258877503254053,0.050819344177267
"ALDH2",5,0,0.00259377459584462,0.050819344177267
"TCF3",5,0,0.00261762811865015,0.0510016517092436
"ALKBH4",5,0,0.0026201491891878,0.0510016517092436
"RPS6KA6",5,0,0.00262646036461111,0.0510016517092436
"ARHGEF3",4,1,0.00263774149039039,0.051069172524008
"TTC28",5,0,0.00266075120532545,0.0513627017334801
"ITGA5",4,1,0.00270258766021057,0.0520168636718176
"ECHDC2",5,0,0.00271739924317333,0.0521485649481709
"FFAR2",5,0,0.0027618301370294,0.0528462468325158
"C1orf27",4,1,0.00277696076557192,0.0529808491250806
"ARHGEF17",4,1,0.00281050361671892,0.0534649292668855
"NOX4",5,0,0.00288089179180807,0.0546450895234551
"LTK",5,0,0.00291231840641252,0.0549228001485983
"SLC22A7",5,0,0.00291231840641253,0.0549228001485983
"OMA1",4,1,0.00296873100705939,0.05582579227068
"ALDH3A2",5,0,0.00305358560373705,0.0571325233442646
"GOT1L1",4,1,0.00305568202483078,0.0571325233442646
"CEACAM19",5,0,0.0030764587985775,0.0573571121877241
"FRAS1",3,2,0.00310721405439176,0.0577659340111923
"MTHFD1",4,1,0.00311894923257306,0.0578198407307595
"AP5M1",4,1,0.00313903460373729,0.0580278035221944
"CCNB2",5,0,0.00315759680038321,0.0581776983336542
"SRPX",5,0,0.00316492368685527,0.0581776983336542
"NOTCH2",5,0,0.00318993690267867,0.0582816256759213
"RPS27L",5,0,0.00320324307072545,0.0582816256759213
"KIRREL3",4,1,0.00321102893052127,0.0582816256759213
"SHD",4,1,0.00321289107087767,0.0582816256759213
"PGAP3",5,0,0.00321510801788013,0.0582816256759213
"RALGAPB",5,0,0.00323297133658522,0.0584435481398168
"WDR54",5,0,0.00325091396687996,0.0584678254400818
"PKP1",4,1,0.00325218344440553,0.0584678254400818
"TMEFF1",5,0,0.00327496130357516,0.0585555922693876
"MSANTD3-TMEFF1",5,0,0.00327496130357516,0.0585555922693876
"GPR19",5,0,0.00332653447481537,0.0593156446953454
"CXorf21",5,0,0.00336025010631941,0.0597540127602017
