"","#wt","#mut","pvalue","p_adj"
"RRAS",5,0,5.65558710974301e-12,3.70101620461583e-08
"DARS",5,0,1.5088749139025e-09,4.20182007824603e-06
"PPP1CB",4,1,1.92626226080961e-09,4.20182007824603e-06
"DDX19B",5,0,4.36661418135031e-09,7.14378080068911e-06
"COPS3",4,1,1.50496393125366e-08,1.96969679322479e-05
"VPRBP",4,1,1.87199390433435e-08,2.04172135166066e-05
"NLE1",5,0,2.3786535296999e-08,2.22370124262231e-05
"LONP1",5,0,5.32023080035415e-08,4.35194879468969e-05
"UBE2I",5,0,8.00765337372056e-08,5.78604956158912e-05
"RBMX",5,0,8.84176277748949e-08,5.78604956158912e-05
"PPP2R3A",5,0,1.08356456030023e-07,5.99517506653472e-05
"OR2AT4",5,0,1.09935973102715e-07,5.99517506653472e-05
"ZFP36L2",5,0,2.01309485969858e-07,9.65322864319161e-05
"POU4F2",5,0,2.06517727696642e-07,9.65322864319161e-05
"CA7",5,0,2.99348420385037e-07,0.000130595737533312
"ATP1A1",5,0,4.06824648968573e-07,0.000166391281428146
"RACGAP1",4,1,4.60563958859517e-07,0.000176168364155139
"COPS8",5,0,4.84570683800811e-07,0.000176168364155139
"SLX1B",5,0,5.38903843438909e-07,0.000176329337573211
"SLX1A",5,0,5.38903843438909e-07,0.000176329337573211
"YAP1",5,0,7.51874744020498e-07,0.000234298491660483
"WDR74",5,0,9.94605398596526e-07,0.000290300507671991
"SNRPB2",5,0,1.02031046400608e-06,0.000290300507671991
"USP5",5,0,1.09562323002965e-06,0.000298739934054751
"EPSTI1",5,0,1.24014882807444e-06,0.000324621357236765
"DDX24",5,0,1.33392883439054e-06,0.000335739626625065
"GAMT",4,1,1.48670047117605e-06,0.000360332143828743
"F2RL2",5,0,2.18712882893435e-06,0.000511163252019514
"NACA2",4,1,2.54879791061757e-06,0.000575149431968323
"OGT",4,1,2.89049837254307e-06,0.000630514044997395
"CCNB1",5,0,3.57550642848814e-06,0.000754777873162142
"MAFF",5,0,4.02107742736302e-06,0.000822310333895738
"TNFRSF13C",5,0,5.26972621950339e-06,0.00103575264332722
"DDX39B",3,2,5.53963058014251e-06,0.00103575264332722
"ATP6V1G2-DDX39B",3,2,5.53963058014251e-06,0.00103575264332722
"RBMXL1",3,2,6.41063705841827e-06,0.00113388351947981
"RTP1",5,0,6.41101623177764e-06,0.00113388351947981
"ITGAV",5,0,7.64691951071761e-06,0.00131688003363516
"XRCC5",5,0,9.48040386461457e-06,0.00159076315102661
"ACADSB",5,0,1.25896932831049e-05,0.00205967382111596
"MEIS1",5,0,1.34214889887518e-05,0.00214220058396078
"TFEC",5,0,1.43748893124407e-05,0.00222729386392593
"CENPW",3,2,1.46353355973128e-05,0.00222729386392593
"TOP2A",4,1,1.59313972855069e-05,0.00236921948559517
"PPP1CC",5,0,1.6292004408891e-05,0.00236921948559517
"HDAC11",5,0,1.69522273083533e-05,0.00241163859795357
"STAP1",5,0,1.75645674455049e-05,0.00241822090741845
"PPP1R12A",5,0,1.78889700752638e-05,0.00241822090741845
"DNAJC5",5,0,1.8408414397042e-05,0.00241822090741845
"PRDM14",3,2,1.89191376436249e-05,0.00241822090741845
"GABRQ",5,0,1.90377865297853e-05,0.00241822090741845
"NMRK2",5,0,1.9558591309754e-05,0.00241822090741845
"KIF18A",4,1,1.9585224341867e-05,0.00241822090741845
"PPARG",5,0,2.06343929396446e-05,0.00250058272957471
"TLN1",4,1,2.18292243830964e-05,0.00259728080659969
"OMG",5,0,2.42379916347568e-05,0.00283238245103301
"PSAT1",5,0,2.98081228622404e-05,0.00342218168439476
"CDC27",5,0,3.24238751544526e-05,0.00365830756915065
"ADAP1",5,0,3.36438284502805e-05,0.00372460484807139
"UBL5",5,0,3.41497999517548e-05,0.00372460484807139
"KAT8",4,1,3.61337109118232e-05,0.00387637711814707
"PDE1C",4,1,3.69117975007605e-05,0.00389598069104801
"FOS",4,1,3.90481636319828e-05,0.00400387294689317
"HNRPDL",5,0,3.9157681632207e-05,0.00400387294689317
"MKI67IP",5,0,4.12087834221753e-05,0.00414877351868793
"NCKAP1",5,0,4.33449490192528e-05,0.00424283616161504
"CDK1",5,0,4.34397956644572e-05,0.00424283616161504
"NAA50",5,0,5.30714036203195e-05,0.00504531245623736
"ADAR",5,0,5.35186004728683e-05,0.00504531245623736
"MFNG",5,0,5.39688068362798e-05,0.00504531245623736
"OGG1",5,0,6.83354818884485e-05,0.00629841399264799
"GNL3",4,1,7.26849608474467e-05,0.00660625533035682
"KIAA1967",5,0,7.62485337745256e-05,0.00679567628488147
"SNAI2",5,0,7.6845972659112e-05,0.00679567628488147
"FOXL2",5,0,8.14471632308855e-05,0.00710653648243886
"PROM1",4,1,8.38107206572181e-05,0.00721654415764257
"RBP5",5,0,8.51218460395931e-05,0.00723425143484542
"INTS4",5,0,8.86756800562161e-05,0.00743966218317792
"TMEM44",5,0,9.41839735936201e-05,0.00773574731771618
"NCOA6",4,1,9.45690381138897e-05,0.00773574731771618
"RORA",5,0,9.64984024597326e-05,0.00779611784810482
"RRN3",5,0,9.84007714769364e-05,0.00785286156762283
"DHX15",5,0,0.000100704491239889,0.00793988181534739
"ERBB4",4,1,0.000104464934687631,0.00813831586423639
"AMIGO2",5,0,0.000117014416544103,0.0089765501903642
"MSX2",5,0,0.000118384099973889,0.0089765501903642
"ARHGAP11B",5,0,0.000119339832909793,0.0089765501903642
"CEBPZ",5,0,0.000131758508739366,0.0097474491385516
"UBTF",5,0,0.0001325676915237,0.0097474491385516
"PABPC4",5,0,0.000142591802912873,0.0103680084251316
"BTD",5,0,0.000152693606841336,0.0109805160787879
"NEDD8-MDP1",5,0,0.000154912194120338,0.0110189717209075
"UTP18",5,0,0.000167929798614908,0.0115870136303454
"BCLAF1",5,0,0.000168210008386738,0.0115870136303454
"TBX3",5,0,0.000168210008386738,0.0115870136303454
"WDR46",5,0,0.000174469891108031,0.0118094294993269
"TOPBP1",5,0,0.000175048083960072,0.0118094294993269
"RBPJ",5,0,0.000181509981257988,0.0120078452885314
"ETV5",5,0,0.000181659028662073,0.0120078452885314
"ITGA8",4,1,0.000185216913202058,0.0121205947999427
"PDE5A",5,0,0.000189083223214204,0.0122510951753837
"EGOT",5,0,0.00019738471116848,0.012663583822417
"PIP5K1B",5,0,0.000201238509424329,0.0126829236472562
"ILF2",5,0,0.000201562356252238,0.0126829236472562
"CYP2C18",5,0,0.000210297415966565,0.0131065360960495
"AATK",5,0,0.000216401433156932,0.0133597262130091
"GABRE",5,0,0.000241875953001847,0.0147928620228419
"COL21A1",5,0,0.000257841683550808,0.0156232960847823
"NRF1",5,0,0.000263413849790117,0.0158144975507021
"COL4A5",5,0,0.000277557271555651,0.0164777252355917
"BUB3",5,0,0.000281980237006096,0.0164777252355917
"KCNJ2",5,0,0.000282192252165858,0.0164777252355917
"AK1",5,0,0.000284532847130481,0.0164777252355917
"SIM1",3,2,0.000292821995539261,0.0167828294771633
"SRSF7",4,1,0.000294930530237436,0.0167828294771633
"POLM",4,1,0.000303407033330427,0.0171163416044337
"TMED10",5,0,0.000309260494500752,0.0172974416753241
"FOXB1",5,0,0.000316399807180567,0.0175467825270308
"TMEM241",5,0,0.000327952917083207,0.0178974124044624
"JAM2",5,0,0.000328192159006035,0.0178974124044624
"CYP2J2",5,0,0.000342804352787329,0.0184336633878075
"LPL",4,1,0.000343659372449956,0.0184336633878075
"PPRC1",5,0,0.00035921682280482,0.0191114054713795
"ZMYM2",4,1,0.000362135433748634,0.0191114054713795
"ECI2",5,0,0.000365433290254624,0.0191311636114101
"GLTSCR2",4,1,0.000372757488229514,0.0193597222458249
"SOD1",5,0,0.000388419542322049,0.0200143109051613
"MAGEB16",4,1,0.000392771985137319,0.0200804677401454
"TEAD1",5,0,0.000398937704419899,0.0202375840133629
"URI1",4,1,0.000417599121756873,0.0210212973290537
"CYR61",4,1,0.000427359972099972,0.0213484248658184
"CASP8AP2",2,3,0.000434511500212897,0.0215412367984333
"FOXE3",5,0,0.000452520582085336,0.0221597266838356
"SKP2",5,0,0.000453759684540644,0.0221597266838356
"CES4A",4,1,0.00046287555980129,0.0223144272070409
"OR2G2",4,1,0.000463747264694003,0.0223144272070409
"GNL3L",5,0,0.000472674267394724,0.0225779591666502
"SOX14",5,0,0.000476854353059886,0.0226125716407529
"HAL",4,1,0.000481890079606084,0.0226869689276418
"LRRC38",5,0,0.000486285770882722,0.0227303863189752
"PFDN5",5,0,0.000496532050052179,0.0228824347573342
"USP10",5,0,0.000496532050052179,0.0228824347573342
"OTC",5,0,0.000505596288316923,0.0231372175576639
"RAC1",4,1,0.000518817875745703,0.0234506805541849
"DRAP1",5,0,0.000519613184651102,0.0234506805541849
"ATP5J2",5,0,0.000525864306006985,0.0235702467021213
"ARFGAP2",5,0,0.000536416428289388,0.02387965378725
"SLAMF8",5,0,0.000569836991548223,0.0251960356262944
"HPD",5,0,0.000586398725199389,0.025754317165804
"NSFP1",5,0,0.000591748344710985,0.0258160077852579
"UBE3C",5,0,0.000599458315298174,0.0259791736113328
"RRN3P2",4,1,0.000620960805355009,0.0264578951440738
"RRN3P1",4,1,0.000620960805355009,0.0264578951440738
"RGPD2",3,2,0.00062656421412266,0.0264578951440738
"HHLA2",5,0,0.000626676917379498,0.0264578951440738
"CYP4F12",4,1,0.000649115984333815,0.0271967889097127
"KLC2",4,1,0.000652490198475686,0.0271967889097127
"ARL9",5,0,0.000660299934389652,0.0272276670734786
"MAST3",4,1,0.000661552424309764,0.0272276670734786
"ITLN1",5,0,0.000706769995894918,0.0289068928321021
"USP1",5,0,0.00073551866258359,0.029715022758587
"MASTL",5,0,0.00073734603689124,0.029715022758587
"ARHGAP19",5,0,0.000744691890649185,0.029715022758587
"ARHGAP19-SLIT1",5,0,0.000744691890649185,0.029715022758587
"HOXC13",5,0,0.000758155419981255,0.0298877654720321
"TP73",5,0,0.000758155419981255,0.0298877654720321
"COL4A3",5,0,0.000762842899672767,0.0298924786554406
"RGPD4",3,2,0.00077656636162482,0.0302491087528144
"PITX3",5,0,0.000809033467981335,0.0313273077779281
"SART3",5,0,0.000816944746876991,0.0314475671974296
"CS",5,0,0.000822918722105603,0.0314922813886495
"KCNG1",5,0,0.000828425518520026,0.031518701123227
"ANKRD65",5,0,0.000834466514047394,0.0315650223579546
"MPP3",5,0,0.000841050641778529,0.0315837041793992
"PEX1",5,0,0.000844613116044446,0.0315837041793992
"RELA",5,0,0.000856403476155121,0.0318426383406768
"ZBTB48",5,0,0.000872502784375229,0.032134478909177
"UBL4B",5,0,0.000874073540011233,0.032134478909177
"CDK11B",5,0,0.000894166341075087,0.0326895225474602
"SOCS7",4,1,0.00091675993386342,0.033329316706679
"PVRL3",5,0,0.000928840853884561,0.0335685354942789
"PIP5K1C",4,1,0.000933599245103722,0.0335685354942789
"BARHL1",5,0,0.000967420830196963,0.0345945459716335
"FAM118A",5,0,0.000977120063246795,0.0347514874667773
"RRP9",4,1,0.000983976670354991,0.034806180166503
"DDX5",5,0,0.000989787329219172,0.0348234853893025
"CEL",4,1,0.00101108987574638,0.0349907283581221
"ADRA2C",3,2,0.0010198791916487,0.0349907283581221
"CNBP",5,0,0.00102025086080781,0.0349907283581221
"NOS1",5,0,0.0010208439608268,0.0349907283581221
"SETDB2",5,0,0.00102321911982428,0.0349907283581221
"COPG1",4,1,0.0010284168209832,0.0349907283581221
"LMX1B",5,0,0.00104419093489583,0.0349907283581221
"CYP26C1",4,1,0.00105482360710107,0.0349907283581221
"TIAL1",5,0,0.00105632832334412,0.0349907283581221
"TFAP2A",5,0,0.00105693814213403,0.0349907283581221
"EMD",5,0,0.00105754824253068,0.0349907283581221
"PMP22",5,0,0.00106550521827331,0.0349907283581221
"NR1H2",4,1,0.00106862390252438,0.0349907283581221
"KIDINS220",5,0,0.0010698095381575,0.0349907283581221
"RBM19",5,0,0.00107474578239342,0.0349907283581221
"ALG8",5,0,0.00109216632722942,0.0353818635910363
"SUV420H2",4,1,0.001104134996886,0.0355933961557733
"SLC7A9",4,1,0.00111925991008288,0.0359041022136391
"DACH2",5,0,0.00112768509304983,0.0359979085313077
"KCNH5",5,0,0.00114188912075786,0.0361149522427286
"NPM1",5,0,0.00114578767950879,0.0361149522427286
"CCNK",5,0,0.00115230893460117,0.0361149522427286
"PRDM16",4,1,0.00115342680604069,0.0361149522427286
"TLR4",5,0,0.00117006475548009,0.0361864175281212
"NOC2L",5,0,0.00117205105745677,0.0361864175281212
"GUCA1C",5,0,0.00117669625375061,0.0361864175281212
"CSNK1D",5,0,0.00117802615421314,0.0361864175281212
"PROCR",5,0,0.0011833577859135,0.0361864175281212
"CENPE",4,1,0.00121689142710046,0.0368949064997421
"DACH1",5,0,0.00121780253727755,0.0368949064997421
"IRF9",4,1,0.00123588555997867,0.0372702078548406
"DNAJC2",4,1,0.00124867126107053,0.0374830492314016
"TRIP12",4,1,0.00126618164885517,0.0378351265301746
"ARPC4",5,0,0.00127415350944626,0.0379002752991651
"POU1F1",5,0,0.00129770073181479,0.0382292867775705
"BCAN",5,0,0.00130274005981024,0.0382292867775705
"CCNL1",5,0,0.00130274005981024,0.0382292867775705
"PMEL",5,0,0.00131940818751841,0.0385015317875874
"FKBP15",5,0,0.00132378432949376,0.0385015317875874
"ARG2",5,0,0.00133771877614963,0.0385640161723488
"CRK",5,0,0.00133771877614963,0.0385640161723488
"SOHLH2",4,1,0.00135651203375409,0.0389342752144156
"WDR5B",4,1,0.00138502521413619,0.0395790611410796
"CA11",5,0,0.00140609381832624,0.0400064258570735
"ACVR2B",4,1,0.00145056538449395,0.0410930730568329
"FOSL1",5,0,0.0015175342228656,0.0428049308380711
"SATB2",5,0,0.00153143395626065,0.0430116043337755
"ARL2",5,0,0.00154048204082902,0.0430808310905346
"TULP4",5,0,0.00155040140138918,0.0431737309391098
"GLYR1",5,0,0.00156370663246763,0.0433597296731702
"AIFM1",5,0,0.00160672792144456,0.0442251801831803
"MASP1",5,0,0.00160843412035405,0.0442251801831803
"GRTP1",5,0,0.0016463387705502,0.0449440205367474
"GNMT",5,0,0.00165156247392639,0.0449440205367474
"ESPN",4,1,0.00165778860370214,0.0449440205367474
"TPM3P9",5,0,0.00166204965921346,0.0449440205367474
"GPR149",5,0,0.00167788026188553,0.0451853845011478
"CA2",4,1,0.00169437289869256,0.0454425256108365
"CES3",5,0,0.00170721622527714,0.045600093788627
"BCS1L",5,0,0.00172158664879885,0.0457970041859336
"ROS1",3,2,0.00174401869904228,0.0461214684948138
"ADNP",5,0,0.00174787961288414,0.0461214684948138
"EFNB3",5,0,0.00175518908238093,0.0461283427915695
"C1QL2",5,0,0.00179303492894889,0.0468528161036683
"BTBD17",5,0,0.00180423436096033,0.0468528161036683
"DEPDC1B",5,0,0.00180423436096033,0.0468528161036683
"BCAR1",5,0,0.00184863891796327,0.0474512453886352
"CBWD5",5,0,0.00185628343818622,0.0474512453886352
"CBWD3",5,0,0.00185628343818622,0.0474512453886352
"CBWD7",5,0,0.00185628343818622,0.0474512453886352
"FOXB2",4,1,0.0018715121792704,0.0475642421632378
"ASXL2",4,1,0.00187524059873401,0.0475642421632378
"OVOL1",5,0,0.00189391348621049,0.0478523932577662
"PRPF6",5,0,0.00190463666502194,0.0478716559814098
"HOXB6",5,0,0.00191344625389234,0.0478716559814098
"PIK3CA",4,1,0.00191662192346109,0.0478716559814098
"MUC1",5,0,0.00195399230278093,0.048414841409218
"PHF23",5,0,0.00195698585547821,0.048414841409218
"PSG3",5,0,0.00196799362123257,0.048414841409218
"SREBF1",4,1,0.00197156617485783,0.048414841409218
"SRY",5,0,0.00198207508599546,0.048414841409218
"ATG5",4,1,0.00198840738037109,0.048414841409218
"GKN1",5,0,0.00199015775352684,0.048414841409218
"MLF1",5,0,0.00200742098128315,0.0486539366722849
"SP7",5,0,0.00207767600423991,0.0501708921466641
"OR2G3",4,1,0.00209038200511158,0.0502248704583521
"FBXO5",5,0,0.00210187881265589,0.0502248704583521
"ZNF367",5,0,0.00210293620195423,0.0502248704583521
"RCBTB1",5,0,0.00211353351911236,0.0502582473509727
"APCDD1L",5,0,0.00211991238729081,0.0502582473509727
"RTN4RL2",5,0,0.0021273738563905,0.0502582473509727
"FCN1",5,0,0.0021402138162443,0.0503797094010889
"RBBP8",5,0,0.00216824645699609,0.0507764178817883
"PARP12",5,0,0.00217258511719143,0.0507764178817883
"RARG",5,0,0.00218891699299983,0.0508713648260325
"P2RY6",5,0,0.00219219512239321,0.0508713648260325
"NKX2-1",5,0,0.00220424854861545,0.0509159513111747
