"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"TICAM1","TICAM1",2,0.00964919272260112,3,"0.11103354951809",1,NA,NA
"LARP4B","LARP4B",2,0.0609323389590686,3,"0.813530103803667",1,NA,NA
"GLIS3","GLIS3",2,0.0680611801805135,3,"0.0227002948609659",1,NA,NA
"PMS2","PMS2",2,0.176334732254923,3,"0.20709736844041",1,NA,NA
"NCOR1","NCOR1",2,0.209412341406667,3,"0.00625523439232489",1,NA,NA
"RAD50","RAD50",2,0.362035907153402,3,"0.117172709866862",1,NA,NA
"SI","SI",2,0.402899481553339,3,"0.0870505550391939",1,NA,NA
"POLG2","POLG2",2,0.521304668482361,3,"0.501718340190706",1,NA,NA
"HGF","HGF",2,0.785165721566668,3,"0.96203240253596",1,NA,NA
"LRFN4","LRFN4",2,0.808853497827768,3,"0.738743038636503",1,NA,NA
"NBEA","NBEA",2,0.856285830171553,3,"0.0874474037294832",1,NA,NA
"MAST2","MAST2",2,0.858203765772383,3,"0.124978309512852",1,NA,NA
"LRP1","LRP1",2,0.917556065212637,3,"0.985091460950947",1,NA,NA
"ARAP3","ARAP3",2,0.975508113617065,3,"0.447761150604122",1,NA,NA
"PLCE1","PLCE1",2,0.978677463745803,3,"0.908491971426208",1,NA,NA
"RACGAP1","RACGAP1",1,0.000763731873884455,4,"4.60563958859517e-07",0.230647025913105,NA,NA
"IRF9","IRF9",1,0.00229114894020277,4,"0.00123588555997867",0.689635831001034,NA,NA
"LPAR3","LPAR3",1,0.0128303266977985,4,"0.755536178233883",1,NA,NA
"ZMYM2","ZMYM2",1,0.0255842592015558,4,"0.000362135433748634",1,NA,NA
"FN1","FN1",1,0.0258133717615036,4,"0.16875436898786",1,NA,NA
"WDR5B","WDR5B",1,0.0353597284259924,4,"0.00138502521413619",1,NA,NA
"DLX6","DLX6",1,0.0378799665854176,4,"0.020347979906267",1,NA,NA
"EPHA6","EPHA6",1,0.0390255293851562,4,"0.343796327349605",1,NA,NA
"ZFHX3","ZFHX3",1,0.0420039926644769,4,"0.0101014451053851",1,NA,NA
"NOTCH3","NOTCH3",1,0.047044468983327,4,"0.0968161536017952",1,NA,NA
"SIX4","SIX4",1,0.0485718860496452,4,"0.0707377737880083",1,NA,NA
"XPOT","XPOT",1,0.0555980045547092,4,"0.224327602453114",1,NA,NA
"CYLD","CYLD",1,0.0560562296746046,4,"0.118956378839534",1,NA,NA
"ATF4","ATF4",1,0.0566671965011319,4,"0.0271468582179826",1,NA,NA
"HKDC1","HKDC1",1,0.0585000969807138,4,"0.203829073861531",1,NA,NA
"RIOK1","RIOK1",1,0.0628532356197208,4,"0.265792179645395",1,NA,NA
"PEX14","PEX14",1,0.0662135531656208,4,"0.00313171964256853",1,NA,NA
"MGA","MGA",1,0.0756071681234781,4,"0.0252684913888701",1,NA,NA
"CUL4A","CUL4A",1,0.0840079619882284,4,"0.970431567212735",1,NA,NA
"TOP2A","TOP2A",1,0.0844661871081238,4,"1.59313972855069e-05",1,NA,NA
"ZBTB2","ZBTB2",1,0.0846952996680715,4,"0.0480211129093426",1,NA,NA
"MAGEB16","MAGEB16",1,0.0868336835609171,4,"0.000392771985137319",1,NA,NA
"SYK","SYK",1,0.0895830342802899,4,"0.30224968402048",1,NA,NA
"ELF3","ELF3",1,0.0908813387866604,4,"0.102124670415833",1,NA,NA
"DYRK1A","DYRK1A",1,0.0944707688925083,4,"0.973692436440185",1,NA,NA
"PIK3CG","PIK3CG",1,0.0953872191322992,4,"0.998807206890992",1,NA,NA
