"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"FLI1","FLI1",3,1.13124363369946e-08,8,"5.22167639968721e-06",1.15726223727455e-05,NA,NA
"RUNX1","RUNX1",2,4.43091876396355e-07,9,"1.04342175787457e-06",0.000452839897677075,NA,NA
"DYRK1A","DYRK1A",4,0.000138870229399822,7,"1.24436989652074e-05",0.141786504217218,NA,NA
"IFNGR2","IFNGR2",2,0.00163957889455859,9,"4.40811617642821e-05",1,NA,NA
"VLDLR","VLDLR",4,0.00177065895502505,7,"0.00368398450118199",1,NA,NA
"GPAA1","GPAA1",3,0.0022803168508637,8,"0.395331912787694",1,NA,NA
"ATG4D","ATG4D",2,0.00294884396280435,9,"0.0416920093942895",1,NA,NA
"RAB40B","RAB40B",2,0.00486908737172862,9,"0.968319546449188",1,NA,NA
"CD300E","CD300E",2,0.00555756812675125,9,"9.69314534251536e-06",1,NA,NA
"MCAM","MCAM",2,0.0105642090069507,9,"0.0198020056320989",1,NA,NA
"KCNJ5","KCNJ5",3,0.0136789271525425,8,"0.211711284463348",1,NA,NA
"ERG","ERG",5,0.0139017897899018,6,"9.31013264098464e-05",1,NA,NA
"PARP10","PARP10",3,0.014280114381338,8,"0.238530706410653",1,NA,NA
"BRWD1","BRWD1",5,0.0176961944395276,6,"0.00766622123128598",1,NA,NA
"LLGL2","LLGL2",2,0.0242939809070851,9,"0.0233493847664717",1,NA,NA
"SIRPB1","SIRPB1",3,0.0249957359964109,8,"0.0350575575183216",1,NA,NA
"KIRREL3","KIRREL3",3,0.0285268861788814,8,"0.036447995842381",1,NA,NA
"KIAA0195","KIAA0195",2,0.0445914658226681,9,"0.455854145287198",1,NA,NA
"MFSD3","MFSD3",3,0.0481439421351936,8,"0.0508549308651859",1,NA,NA
"JAK2","JAK2",4,0.0523543933266658,7,"0.00115149303653904",1,NA,NA
"RNF213","RNF213",2,0.0547912089499436,9,"0.0743744697524154",1,NA,NA
"KIAA2026","KIAA2026",3,0.0550485806426157,8,"0.0831907152762089",1,NA,NA
"CBX4","CBX4",2,0.0555468508773701,9,"0.00799318328668211",1,NA,NA
"FDXR","FDXR",2,0.0640319213293081,9,"0.152500698132749",1,NA,NA
"PRMT2","PRMT2",4,0.0693770805357039,7,"0.342620476673878",1,NA,NA
"SPRY2","SPRY2",2,0.0706217227398594,9,"0.0610938685096783",1,NA,NA
"CDC37","CDC37",3,0.0717339693796461,8,"0.000144011011024804",1,NA,NA
"GRIN2C","GRIN2C",2,0.0752956319981606,9,"0.836486051084942",1,NA,NA
"PDE6G","PDE6G",2,0.075722407950946,9,"0.117334052323945",1,NA,NA
"ARMC7","ARMC7",2,0.0798682807118431,9,"0.995342695150494",1,NA,NA
"FN3K","FN3K",2,0.0816019272528293,9,"0.0764065057934868",1,NA,NA
"COL18A1","COL18A1",4,0.0875694873570116,7,"0.000470601133652887",1,NA,NA
"BAIAP2","BAIAP2",2,0.0928673945618162,9,"0.0983241025997067",1,NA,NA
"PTTG1IP","PTTG1IP",4,0.0969304311076922,7,"0.0524891433394871",1,NA,NA
"SLC19A1","SLC19A1",4,0.0973636808287562,7,"0.186825810965091",1,NA,NA
"NFRKB","NFRKB",3,0.0999419981165135,8,"0.356646678257869",1,NA,NA
"NOTUM","NOTUM",2,0.108265036986674,9,"0.0215780101594136",1,NA,NA
"TTC3","TTC3",4,0.110313772083261,7,"0.00986894205845463",1,NA,NA
"C8orf33","C8orf33",3,0.111548588318712,8,"0.00796308019893809",1,NA,NA
"SMARCA4","SMARCA4",2,0.112020254241499,9,"0.57286408495017",1,NA,NA
"SMARCA2","SMARCA2",5,0.115445064761153,6,"0.301960159036515",1,NA,NA
"ENPP7","ENPP7",2,0.117240724687109,9,"0.995328979102913",1,NA,NA
"COL5A3","COL5A3",3,0.120132722561947,8,"0.103878629951265",1,NA,NA
"SHD","SHD",2,0.125982481221212,9,"0.0305457142623323",1,NA,NA
"BTBD17","BTBD17",2,0.128157450321957,9,"0.609245680144799",1,NA,NA
"SIM2","SIM2",5,0.136278666433269,6,"0.00212654388178033",1,NA,NA
"MAFG","MAFG",2,0.140223934509534,9,"0.878908346608059",1,NA,NA
"UBE4A","UBE4A",2,0.14635460199464,9,"0.98092870258755",1,NA,NA
"ITCH","ITCH",2,0.149426236825092,9,"0.71323055522029",1,NA,NA
"SIRT7","SIRT7",2,0.161630120433323,9,"0.228129164643168",1,NA,NA
"SLC39A11","SLC39A11",2,0.161942470624821,9,"0.000554304779664865",1,NA,NA
"RECQL5","RECQL5",2,0.163463889053097,9,"0.849457072198572",1,NA,NA
"PKNOX2","PKNOX2",3,0.163664802454246,8,"0.306688384475182",1,NA,NA
"MYOM2","MYOM2",2,0.165037485324689,9,"0.318860206559625",1,NA,NA
"KIF19","KIF19",2,0.172142902207691,9,"0.2944981284166",1,NA,NA
"CBX2","CBX2",2,0.175565785991159,9,"0.777456910969583",1,NA,NA
"WDR45L","WDR45L",2,0.177523493520783,9,"0.0330012099832775",1,NA,NA
"KBTBD11","KBTBD11",2,0.178928501724662,9,"0.627571395833342",1,NA,NA
"KIFC2","KIFC2",3,0.178993104303883,8,"0.0155113722868994",1,NA,NA
"KANK2","KANK2",3,0.180104002955859,8,"0.89568249778882",1,NA,NA
"JAM3","JAM3",2,0.193673549911185,9,"0.0169211115430754",1,NA,NA
"FOXK2","FOXK2",2,0.194553327611219,9,"0.000163290077307516",1,NA,NA
"CADM1","CADM1",2,0.197697572647869,9,"0.895956747406996",1,NA,NA
"C17orf99","C17orf99",2,0.198289924547166,9,"0.569435973228884",1,NA,NA
"ABCG4","ABCG4",2,0.198339327202605,9,"0.244291891996369",1,NA,NA
"GABPA","GABPA",2,0.198487572089382,9,"0.279978575469944",1,NA,NA
"RAB37","RAB37",2,0.208090436676914,9,"0.290315542943582",1,NA,NA
"GSTT1","GSTT1",4,0.20834513140653,7,"0.0176589378164082",1,NA,NA
"PPP1R16A","PPP1R16A",3,0.208804323816462,8,"0.949228066592293",1,NA,NA
"SLC16A3","SLC16A3",2,0.2147211671111,9,"0.706365186782655",1,NA,NA
"LRG1","LRG1",2,0.218853305252423,9,"0.998203891633217",1,NA,NA
"OR2T10","OR2T10",7,0.220037205584421,4,"0.0180623690652274",1,NA,NA
"KIAA1875","KIAA1875",3,0.221250045748636,8,"0.980626252479195",1,NA,NA
"GALR2","GALR2",2,0.221925989189043,9,"0.133751453963325",1,NA,NA
"ETS1","ETS1",3,0.2228726068012,8,"0.219694557334118",1,NA,NA
"OLIG2","OLIG2",2,0.232768775156626,9,"0.112588686377751",1,NA,NA
"IRS2","IRS2",2,0.233250725640179,9,"0.116028134203036",1,NA,NA
"NRIP1","NRIP1",2,0.245296617151691,9,"0.752002452297338",1,NA,NA
"ARHGEF12","ARHGEF12",2,0.248493707649588,9,"0.714418302797612",1,NA,NA
"AATK","AATK",2,0.252825880832999,9,"0.978466436401021",1,NA,NA
"GLIS3","GLIS3",3,0.256179586100571,8,"0.0880509201588838",1,NA,NA
"NRBP2","NRBP2",3,0.257719274784212,8,"0.319907267323476",1,NA,NA
"DNAI2","DNAI2",2,0.25928134671107,9,"0.0118340669683182",1,NA,NA
"SIK3","SIK3",2,0.25928134671107,9,"0.0141372527415047",1,NA,NA
"SLC38A10","SLC38A10",2,0.261092123079892,9,"0.726855162640633",1,NA,NA
