"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"FLT3","FLT3",2,7.46617968958807e-07,9,"0.230738902887661",0.000416612826679014,NA,NA
"FCGRT","FCGRT",2,0.000850381480194325,9,"0.0196733902018013",0.47196172150785,NA,NA
"TP53","TP53",7,0.00435250585360154,4,"0.31592522182728",1,NA,NA
"ABCA4","ABCA4",2,0.0147241987748566,9,"0.00370489533979792",1,NA,NA
"PKD1","PKD1",2,0.0167416839728339,9,"0.00577815539253885",1,NA,NA
"FOXK2","FOXK2",2,0.0203405313675048,9,"0.00134048635540678",1,NA,NA
"ANK3","ANK3",2,0.0260193182765134,9,"0.331680916718737",1,NA,NA
"HNF4G","HNF4G",2,0.0294903344247032,9,"0.996655091417496",1,NA,NA
"BMP2","BMP2",2,0.0303496845398652,9,"0.75624247178447",1,NA,NA
"CD244","CD244",4,0.0507969326295507,7,"0.851846098023214",1,NA,NA
"DLD","DLD",3,0.0519139045532332,8,"0.215701582379443",1,NA,NA
"KANK1","KANK1",2,0.0569988955442095,9,"0.921854951501251",1,NA,NA
"CASP9","CASP9",2,0.065521236688615,9,"0.202733155369602",1,NA,NA
"ZFHX2","ZFHX2",3,0.070044360144102,8,"0.0111461399252309",1,NA,NA
"VCAN","VCAN",4,0.0739078314457106,7,"0.0164260398962447",1,NA,NA
"MAP3K1","MAP3K1",2,0.0751691643061705,9,"0.184099005198028",1,NA,NA
"POTEE","POTEE",2,0.076716855281725,9,"0.767287121712453",1,NA,NA
"PLEKHG5","PLEKHG5",2,0.0852901257367129,9,"0.22489782277501",1,NA,NA
"FOXK1","FOXK1",2,0.0961840402029932,9,"0.282369997177934",1,NA,NA
"HEATR2","HEATR2",2,0.120309858859372,9,"0.00183478983349159",1,NA,NA
"LGSN","LGSN",2,0.136598323732593,9,"0.671500976469544",1,NA,NA
"WRN","WRN",2,0.142081067659706,9,"0.16574389734132",1,NA,NA
"RUNX1","RUNX1",2,0.144698510495248,9,"2.9360834994206e-10",1,NA,NA
"UBE4A","UBE4A",2,0.14754720351177,9,"0.980764407659337",1,NA,NA
"HIC1","HIC1",2,0.151556795948589,9,"0.00764143689384213",1,NA,NA
"SMEK2","SMEK2",2,0.159478344629703,9,"0.979426592654806",1,NA,NA
"ABCC3","ABCC3",2,0.169108398111716,9,"0.0436040937276276",1,NA,NA
"BAIAP2","BAIAP2",2,0.189732527336007,9,"0.0651967424831574",1,NA,NA
"SALL2","SALL2",2,0.196328128235751,9,"0.131051026709655",1,NA,NA
"PHF3","PHF3",2,0.202452841620999,9,"0.875122432135498",1,NA,NA
"AMZ2","AMZ2",3,0.202641947105029,8,"0.676176806785313",1,NA,NA
"PCM1","PCM1",2,0.203523375072607,9,"0.931332772862208",1,NA,NA
"SYNJ2","SYNJ2",2,0.207833738214062,9,"0.583794525096638",1,NA,NA
"MAP3K7","MAP3K7",3,0.21332573829938,8,"0.00148157147678475",1,NA,NA
"SIRT3","SIRT3",2,0.217243897313992,9,"0.651144093165327",1,NA,NA
"TTC3","TTC3",3,0.218083372285851,8,"0.0047382862972215",1,NA,NA
"RGPD3","RGPD3",2,0.220680527470133,9,"0.16605108802368",1,NA,NA
"SLC4A7","SLC4A7",3,0.224480688529064,8,"0.310201893167932",1,NA,NA
"PDPN","PDPN",2,0.22665667519541,9,"0.0447965494715258",1,NA,NA
"PLEKHG4","PLEKHG4",2,0.234539799197638,9,"0.661443135266862",1,NA,NA
"MAP3K5","MAP3K5",2,0.235272653781778,9,"0.432279179252099",1,NA,NA
"ARHGEF12","ARHGEF12",2,0.248821116981262,9,"0.713193877846169",1,NA,NA
"FPGT-TNNI3K","FPGT-TNNI3K",2,0.256202038723383,9,"0.698363256221655",1,NA,NA
"DGKI","DGKI",2,0.27785228363739,9,"0.0768944149396442",1,NA,NA
"TTC28","TTC28",2,0.297369262601654,9,"0.864394742487036",1,NA,NA
"ZNF703","ZNF703",2,0.303050218312079,9,"0.225002818485565",1,NA,NA
"CDK14","CDK14",2,0.309685830111641,9,"0.0167691630770405",1,NA,NA
"LMO7","LMO7",2,0.321884551791529,9,"0.380345230602489",1,NA,NA
"RNF213","RNF213",2,0.343941823934309,9,"0.0204763884687453",1,NA,NA
"COCH","COCH",2,0.345019464278158,9,"0.0758122065253837",1,NA,NA
"TP63","TP63",3,0.345626901128062,8,"0.49315434335897",1,NA,NA
"XYLT2","XYLT2",2,0.389305072974182,9,"0.065794692446709",1,NA,NA
"FZD10","FZD10",2,0.41575165687672,9,"0.834146432468796",1,NA,NA
"ITGB6","ITGB6",2,0.417773673505007,9,"0.16377758268792",1,NA,NA
"SULT1C2","SULT1C2",3,0.424395358624188,8,"0.760086487738269",1,NA,NA
"IRAK3","IRAK3",3,0.425129892400127,8,"0.858362915845664",1,NA,NA
"RAD50","RAD50",2,0.443067261027422,9,"0.656627435207676",1,NA,NA
"HCAR1","HCAR1",2,0.446091847784662,9,"0.41647628770411",1,NA,NA
"TGS1","TGS1",2,0.460929047019968,9,"0.483021288245001",1,NA,NA
"MECOM","MECOM",2,0.461882781565832,9,"0.077870208661331",1,NA,NA
"EPHA7","EPHA7",2,0.489516359376307,9,"0.416882578751628",1,NA,NA
"CIT","CIT",2,0.491558766442762,9,"0.265266640796247",1,NA,NA
"SOHLH2","SOHLH2",3,0.494959624864648,8,"0.918878671564676",1,NA,NA
"SH3RF1","SH3RF1",2,0.5006871014633,9,"0.730973791480548",1,NA,NA
"PASK","PASK",2,0.502745571254684,9,"0.869907425250463",1,NA,NA
"TTN","TTN",6,0.502898249495386,5,"0.945936085249313",1,NA,NA
"DROSHA","DROSHA",2,0.509425145495541,9,"0.102606855135812",1,NA,NA
"CEL","CEL",2,0.510256916475458,9,"0.9612368090442",1,NA,NA
"MADD","MADD",4,0.541061921274143,7,"0.374843327947797",1,NA,NA
"HERC1","HERC1",2,0.545282617233423,9,"0.498996892158066",1,NA,NA
"MYO7B","MYO7B",2,0.550728502413587,9,"0.0237718070914872",1,NA,NA
"ST7","ST7",2,0.576482356426299,9,"0.57422604265621",1,NA,NA
"STAT5B","STAT5B",2,0.594422426373751,9,"0.224189804208",1,NA,NA
"TENM4","TENM4",2,0.595934235657835,9,"0.916813204256081",1,NA,NA
"MBTPS1","MBTPS1",2,0.605149437178372,9,"0.150384001961353",1,NA,NA
"CYP27B1","CYP27B1",2,0.606370099351979,9,"0.351045002363479",1,NA,NA
"GPR98","GPR98",2,0.64803090757232,9,"0.298366053643391",1,NA,NA
"POLE","POLE",4,0.650970031208237,7,"0.61732643769737",1,NA,NA
"EPHA3","EPHA3",2,0.65192868780439,9,"0.564751707438011",1,NA,NA
"RALGAPB","RALGAPB",2,0.663366494686434,9,"0.0261249091279608",1,NA,NA
"PRKCE","PRKCE",2,0.663742376469169,9,"0.203526257803663",1,NA,NA
"PAK7","PAK7",3,0.684206139950553,8,"0.804523827811649",1,NA,NA
"MYBL1","MYBL1",2,0.689231353190772,9,"0.193862027031489",1,NA,NA
"DDX5","DDX5",2,0.693850153856929,9,"0.974586175809339",1,NA,NA
"SRCAP","SRCAP",3,0.725801047598881,8,"0.210921143115526",1,NA,NA
"CLCA2","CLCA2",2,0.736974277318624,9,"0.818833729847898",1,NA,NA
"OBSCN","OBSCN",2,0.739350712131538,9,"0.979486696033151",1,NA,NA
"ITIH2","ITIH2",2,0.754507915059995,9,"0.951565398896072",1,NA,NA
"RAC1","RAC1",2,0.762153352698813,9,"0.976958091589797",1,NA,NA
"C17orf80","C17orf80",2,0.799389612555347,9,"0.532341871975716",1,NA,NA
"ABCA12","ABCA12",2,0.799631413741917,9,"0.266755897044185",1,NA,NA
"CES3","CES3",3,0.814185258826647,8,"0.289241226371446",1,NA,NA
"CENPE","CENPE",2,0.816102532067748,9,"0.999869492197948",1,NA,NA
"FGFR3","FGFR3",2,0.84237091318416,9,"0.948895698529578",1,NA,NA
"OLR1","OLR1",2,0.853983809355866,9,"0.963372410341704",1,NA,NA
"NBEAL2","NBEAL2",2,0.858407043248658,9,"0.0154807526117397",1,NA,NA
"ACTRT3","ACTRT3",3,0.866119412882345,8,"0.992265846845437",1,NA,NA
"CDKL3","CDKL3",2,0.880997745643958,9,"0.986017137631465",1,NA,NA
"ATP7B","ATP7B",3,0.888236673163129,8,"0.644014652642344",1,NA,NA
"ASB4","ASB4",2,0.89034468935307,9,"0.961328979772588",1,NA,NA
"HOXB7","HOXB7",2,0.905483473794092,9,"0.885675045649665",1,NA,NA
"GPR110","GPR110",2,0.908284783578868,9,"0.786384561940948",1,NA,NA
"CHTF18","CHTF18",2,0.916123367971142,9,"0.15679938970709",1,NA,NA
"CSMD1","CSMD1",2,0.92244324024641,9,"0.649438300340819",1,NA,NA
"OPA1","OPA1",2,0.92912072986148,9,"0.829655598445606",1,NA,NA
"CDC42BPA","CDC42BPA",2,0.932837492648523,9,"0.047221361624459",1,NA,NA
"TCIRG1","TCIRG1",3,0.934359173566127,8,"0.0225278685813217",1,NA,NA
"BIRC6","BIRC6",5,0.972481728708982,6,"0.901487551718723",1,NA,NA
"DKK1","DKK1",3,0.980254533734409,8,"0.663770053359626",1,NA,NA
"RGR","RGR",3,0.984187837233059,8,"0.938921533099484",1,NA,NA
"PWP2","PWP2",2,0.996276231726481,9,"0.983526231864729",1,NA,NA
"MAP1B","MAP1B",3,0.998605889949073,8,"0.993217986278506",1,NA,NA
"NDOR1","NDOR1",2,0.999805881574367,9,"0.960641270974748",1,NA,NA
"KIT","KIT",1,0.000152765047357165,10,"0.00584858907815828",0.0850901313779409,NA,NA
"NRAS","NRAS",1,0.000152765047357165,10,"0.21889165466248",0.0850901313779409,NA,NA
"MED16","MED16",1,0.00106921528714811,10,"0.0127681214641118",0.592345269080053,NA,NA
"MED1","MED1",1,0.00236751979351861,10,"0.00011088624816356",1,NA,NA
"CASC5","CASC5",1,0.00274937406009817,10,"0.645586256200115",1,NA,NA
"MCM10","MCM10",1,0.00504049965957552,10,"0.303914102613631",1,NA,NA
"SLIT2","SLIT2",1,0.00580420819273464,10,"6.41521871250295e-08",1,NA,NA
"TCF3","TCF3",1,0.00595694989936646,10,"0.00271529999903245",1,NA,NA
"PCOLCE","PCOLCE",1,0.0138995186442213,10,"0.0622627675540053",1,NA,NA
"LRFN4","LRFN4",1,0.015885160830435,10,"0.253397161739811",1,NA,NA
"IGSF21","IGSF21",1,0.0197037034962306,10,"0.950758550174329",1,NA,NA
"ITGA4","ITGA4",1,0.0235222461620262,10,"0.0202480304316882",1,NA,NA
"SLC25A15","SLC25A15",1,0.026271596881399,10,"0.985109855347991",1,NA,NA
"GPX4","GPX4",1,0.027111676267874,10,"6.2638110427546e-08",1,NA,NA
"SBDS","SBDS",1,0.0282572390676127,10,"0.973881704545678",1,NA,NA
"OR5W2","OR5W2",1,0.029784656133931,10,"0.00093181717866264",1,NA,NA
"OR2L8","OR2L8",1,0.034901503306097,10,"0.470147006910926",1,NA,NA
"GNE","GNE",1,0.036658032932363,10,"0.0142919123991026",1,NA,NA
"OR4N5","OR4N5",1,0.0405529464514745,10,"0.00711811803960299",1,NA,NA
"TTF2","TTF2",1,0.0439896348506906,10,"0.0957217769718103",1,NA,NA
"RUFY1","RUFY1",1,0.0476554358098543,10,"0.0162926422307076",1,NA,NA
"NCAN","NCAN",1,0.047884548369802,10,"0.373755477832569",1,NA,NA
"CSH2","CSH2",1,0.0503284156759112,10,"0.997981263408345",1,NA,NA
"MYO15A","MYO15A",1,0.0533068789552318,10,"0.231887396045109",1,NA,NA
