"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"FUBP1","FUBP1",-1,-1,11,"1.14284137708864e-11",7.07990233106412e-08,NA,NA
"RRAS","RRAS",-1,-1,11,"2.72072364637665e-11",1.6852162265657e-07,NA,NA
"TEAD1","TEAD1",-1,-1,11,"3.12945558356148e-10",1.93807184289962e-06,NA,NA
"RDX","RDX",-1,-1,11,"2.21691709434424e-09",1.37271506481795e-05,NA,NA
"TAPBPL","TAPBPL",-1,-1,11,"2.22722518206098e-09",1.37887511021395e-05,NA,NA
"RBL2","RBL2",-1,-1,11,"3.37105432457463e-09",2.0866826269117e-05,NA,NA
"LRRC69","LRRC69",-1,-1,10,"5.02947583580493e-09",3.11274259477967e-05,NA,NA
"TLN1","TLN1",-1,-1,10,"5.38408029271409e-09",3.33166888513148e-05,NA,NA
"VPS28","VPS28",-1,-1,8,"1.85828171739288e-08",0.000114971889855097,NA,NA
"SERPINA3","SERPINA3",-1,-1,11,"2.34404926580112e-08",0.000145002887582457,NA,NA
"WDR11","WDR11",-1,-1,11,"2.36961194000074e-08",0.000146560498489046,NA,NA
"PPP1R12A","PPP1R12A",-1,-1,10,"6.34751912143017e-08",0.000392530582469242,NA,NA
"FOXI2","FOXI2",-1,-1,11,"7.98392205680898e-08",0.000493645900772499,NA,NA
"FARP2","FARP2",-1,-1,10,"9.1492259657322e-08",0.000565605149201565,NA,NA
"TNFRSF13C","TNFRSF13C",-1,-1,11,"1.40086493294334e-07",0.000865874615052279,NA,NA
"CYP46A1","CYP46A1",-1,-1,11,"1.6704990246641e-07",0.00103236839724241,NA,NA
"AMIGO2","AMIGO2",-1,-1,11,"1.69548399986397e-07",0.00104763956351595,NA,NA
"PI4KAP2","PI4KAP2",-1,-1,11,"1.86688101089239e-07",0.00115335908852932,NA,NA
"SPAG1","SPAG1",-1,-1,11,"2.01154265244696e-07",0.00124252989641649,NA,NA
"ZNF202","ZNF202",-1,-1,9,"2.25538673959136e-07",0.00139292685037162,NA,NA
"ZCWPW1","ZCWPW1",-1,-1,11,"2.43129503085804e-07",0.00150132468155484,NA,NA
"ESCO2","ESCO2",-1,-1,11,"2.82279879693093e-07",0.00174279597722516,NA,NA
"ITGAV","ITGAV",-1,-1,11,"3.06175754860583e-07",0.00189002293475438,NA,NA
"PATZ1","PATZ1",-1,-1,11,"3.89318105198377e-07",0.00240287134528438,NA,NA
"ROS1","ROS1",-1,-1,11,"4.92818880037937e-07",0.00304118530871411,NA,NA
