"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"CBFB","CBFB",-1,-1,11,"5.50772761062987e-21",3.23083301639548e-17,NA,NA
"MYB","MYB",-1,-1,10,"1.35592994246685e-16",7.95252911256808e-13,NA,NA
"WIPI2","WIPI2",-1,-1,11,"9.59088662765009e-10",5.62409591845401e-06,NA,NA
"KPNA6","KPNA6",-1,-1,11,"1.17027660718976e-09",6.86133174795356e-06,NA,NA
"ATP10D","ATP10D",-1,-1,10,"1.51032709314988e-09",8.8535374200446e-06,NA,NA
"TBC1D10C","TBC1D10C",-1,-1,10,"1.51032709314988e-09",8.8535374200446e-06,NA,NA
"PAPPA","PAPPA",-1,-1,11,"2.17669861894302e-09",1.27554539070061e-05,NA,NA
"KDM1A","KDM1A",-1,-1,11,"1.51193747767726e-08",8.85844168171107e-05,NA,NA
"OGDH","OGDH",-1,-1,11,"5.81871185268856e-08",0.000340860140330496,NA,NA
"SLIT2","SLIT2",-1,-1,10,"6.56268288664564e-08",0.000384376336670835,NA,NA
"ABCG8","ABCG8",-1,-1,11,"1.32390657207964e-07",0.000775279688609837,NA,NA
"RUNX1","RUNX1",-1,-1,7,"1.62425374540051e-07",0.000951000567931999,NA,NA
"MED7","MED7",-1,-1,11,"1.64896233363871e-07",0.000965302550112101,NA,NA
"TOP2B","TOP2B",-1,-1,11,"2.78436721967869e-07",0.00162969013367794,NA,NA
"CHRM1","CHRM1",-1,-1,11,"4.10507254325925e-07",0.00240228845231531,NA,NA
"DGKQ","DGKQ",-1,-1,11,"4.37080441250786e-07",0.00255735766175835,NA,NA
"MTHFD1","MTHFD1",-1,-1,11,"5.70774835570032e-07",0.00333903278808469,NA,NA
"GPX4","GPX4",-1,-1,9,"7.12463494201123e-07",0.00416719897758237,NA,NA
"MED19","MED19",-1,-1,10,"8.41753063288541e-07",0.00492257191411139,NA,NA
"ZBTB9","ZBTB9",-1,-1,11,"8.55090997952522e-07",0.0049997170650284,NA,NA
"AFP","AFP",-1,-1,11,"9.33086725719977e-07",0.00545482499855899,NA,NA
"PRDM9","PRDM9",-1,-1,11,"1.00502796426128e-06",0.00587438845110718,NA,NA
"MAGOHB","MAGOHB",-1,-1,11,"1.21261089888633e-06",0.00708649809309171,NA,NA
"FAM20B","FAM20B",-1,-1,11,"1.42916316521493e-06",0.00835060037435084,NA,NA
"SNAP25","SNAP25",-1,-1,11,"1.51509629104248e-06",0.00885119253227017,NA,NA
"MIOS","MIOS",-1,-1,11,"1.52684166775804e-06",0.00891828218137471,NA,NA
"GNGT2","GNGT2",-1,-1,10,"1.56092480442777e-06",0.00911580085785818,NA,NA
"BTBD1","BTBD1",-1,-1,11,"1.75806624555623e-06",0.0102653488078028,NA,NA
"ANKS1A","ANKS1A",-1,-1,11,"1.83585598161109e-06",0.0107177272206455,NA,NA
"TPCN2","TPCN2",-1,-1,11,"2.3000128488111e-06",0.0134251749985104,NA,NA
"PTPN11","PTPN11",-1,-1,11,"2.51808246718055e-06",0.0146955292784657,NA,NA
"DHX57","DHX57",-1,-1,11,"2.8000731360315e-06",0.0163384267487438,NA,NA
"QRFPR","QRFPR",-1,-1,10,"3.14259619222331e-06",0.0183339061854308,NA,NA
"C1orf228","C1orf228",-1,-1,11,"3.30444768824354e-06",0.0192748433655246,NA,NA
"PLAGL2","PLAGL2",-1,-1,10,"4.04812976279779e-06",0.0236086927766367,NA,NA
"GTF3C4","GTF3C4",-1,-1,10,"4.07490817737985e-06",0.0237607895823019,NA,NA
"HTR1B","HTR1B",-1,-1,10,"4.22379874829223e-06",0.0246247467025437,NA,NA
"RNF20","RNF20",-1,-1,10,"4.42993205908229e-06",0.0258220739723907,NA,NA
"RASGRP3","RASGRP3",-1,-1,11,"4.54401039173019e-06",0.0264824925630035,NA,NA
"CBLN1","CBLN1",-1,-1,11,"4.62775748053423e-06",0.026965942839073,NA,NA
"KIF2A","KIF2A",-1,-1,11,"5.03564061377279e-06",0.0293376422158403,NA,NA
"FLI1","FLI1",-1,-1,8,"5.22167639968721e-06",0.030416265028178,NA,NA
