"","#wt","#mut","pvalue","p_adj"
"CBFB",11,0,4.97884450434732e-21,3.25915161254576e-17
"MYB",10,1,1.49844198955185e-16,4.90440063180321e-13
"WIPI2",11,0,9.66492595343642e-10,1.71336616911113e-06
"KPNA6",11,0,1.17693282389232e-09,1.71336616911113e-06
"ATP10D",10,1,1.48418818405096e-09,1.71336616911113e-06
"TBC1D10C",10,1,1.57045478378655e-09,1.71336616911113e-06
"PAPPA",11,0,2.19713508359721e-09,2.05463517960391e-06
"KDM1A",11,0,1.46413334865524e-08,1.19802711253715e-05
"OGDH",11,0,5.9211749086184e-08,4.19940216920443e-05
"SLIT2",10,1,6.41521871250295e-08,4.19940216920443e-05
"ABCG8",11,0,1.32626409509454e-07,7.89247706044442e-05
"RUNX1",7,4,1.58549018381741e-07,8.26415285204806e-05
"MED7",11,0,1.64121581235296e-07,8.26415285204806e-05
"TOP2B",11,0,2.66159304419642e-07,0.00012444848619507
"CHRM1",11,0,4.01727397127051e-07,0.000175313836106245
"DGKQ",11,0,4.46600854497061e-07,0.00018271557459611
"MTHFD1",11,0,5.45764809126556e-07,0.000210151555326026
"GPX4",9,2,7.1948555401346e-07,0.00026159397737896
"CXorf61",11,0,7.59285910510271e-07,0.00026159397737896
"ZBTB9",11,0,8.26391261935515e-07,0.000265652836723441
"MED19",10,1,8.52231831835054e-07,0.000265652836723441
"AFP",11,0,9.28734639113026e-07,0.000276340770346994
"PRDM9",11,0,1.03624989641782e-06,0.000294925731389176
"MAGOHB",11,0,1.22460567884262e-06,0.000334011198904325
"FAM20B",11,0,1.4030088102548e-06,0.000361573904552927
"MIOS",11,0,1.49472022554404e-06,0.000361573904552927
"GNGT2",10,1,1.53948933836707e-06,0.000361573904552927
"SNAP25",11,0,1.54660393026e-06,0.000361573904552927
"BTBD1",11,0,1.68210704534344e-06,0.000379692162717868
"ANKS1A",11,0,1.80762748056806e-06,0.000394424316259951
"TPCN2",11,0,2.32728631365626e-06,0.000491432780941738
"PTPN11",11,0,2.4383874119036e-06,0.00049880262494753
"DHX57",11,0,2.86783547546912e-06,0.000568874273406693
"QRFPR",10,1,3.15135948664083e-06,0.000606729388222085
