"","#wt","#mut","pvalue","p_adj"
"FUBP1",11,0,1.14284137708864e-11,7.48103965442224e-08
"RRAS",11,0,2.72072364637665e-11,8.90492849459078e-08
"TEAD1",11,0,3.12945558356148e-10,6.82847208333115e-07
"RDX",11,0,2.21691709434424e-09,2.91588320835424e-06
"TAPBPL",11,0,2.22722518206098e-09,2.91588320835424e-06
"RBL2",11,0,3.37105432457463e-09,3.67782026811092e-06
"LRRC69",10,1,5.02947583580493e-09,4.4055236995133e-06
"TLN1",10,1,5.38408029271409e-09,4.4055236995133e-06
"VPS28",8,3,1.85828171739288e-08,1.35159023578375e-05
"SERPINA3",11,0,2.34404926580112e-08,1.41013452356771e-05
"WDR11",11,0,2.36961194000074e-08,1.41013452356771e-05
"PPP1R12A",10,1,6.34751912143017e-08,3.46257168074016e-05
"FOXI2",11,0,7.98392205680898e-08,4.02021182952858e-05
"FARP2",10,1,9.1492259657322e-08,4.27791665512021e-05
"TNFRSF13C",11,0,1.40086493294334e-07,6.11337456736474e-05
"NSDHL",11,0,1.64702778304715e-07,6.16591014617197e-05
"CYP46A1",11,0,1.6704990246641e-07,6.16591014617197e-05
"AMIGO2",11,0,1.69548399986397e-07,6.16591014617197e-05
"PI4KAP2",11,0,1.86688101089239e-07,6.43189636700084e-05
"SPAG1",11,0,2.01154265244696e-07,6.5837791014589e-05
"ZNF202",9,2,2.25538673959136e-07,7.03036266541193e-05
"ZCWPW1",11,0,2.43129503085804e-07,7.23420785090761e-05
"ESCO2",11,0,2.82279879693093e-07,8.03393083683038e-05
"ITGAV",11,0,3.06175754860583e-07,8.3509437138224e-05
"PATZ1",11,0,3.89318105198377e-07,0.000101939052665143
"ROS1",11,0,4.92818880037937e-07,0.000118610694679425
"PRR5",11,0,5.02696808180048e-07,0.000118610694679425
"COL8A1",11,0,5.12427500098944e-07,0.000118610694679425
"VN1R5",10,1,5.25467483303288e-07,0.000118610694679425
"POLB",11,0,5.8548050108076e-07,0.000127751845335822
"PTN",11,0,7.84447385049347e-07,0.000165644922017194
"HLF",10,1,8.32669925787677e-07,0.000167467802013841
"HOXA5",11,0,8.44246481279676e-07,0.000167467802013841
"RPP40",11,0,8.88537701970726e-07,0.000171069641091187
"NMRK2",11,0,9.58368858272607e-07,0.000177931426724639
"NACA2",10,1,9.78541301877023e-07,0.000177931426724639
"PPP1CB",11,0,1.08310919488819e-06,0.000191622507830759
"ALOX15B",10,1,1.17310882741251e-06,0.000198739113068874
"ALDOA",11,0,1.18405521076781e-06,0.000198739113068874
"PHF23",9,2,1.23793538930883e-06,0.00020258812646039
"PKP2",11,0,1.28666746168626e-06,0.000202979351509622
"PI4KAP1",10,1,1.30234231032755e-06,0.000202979351509622
"CHRNA5",11,0,1.37626841600902e-06,0.000209512861655699
"NEK4",11,0,1.71517209990313e-06,0.000255170831044679
"NLRP12",11,0,2.02900135692907e-06,0.000295152064054615
"CHRAC1",10,1,2.08897280851161e-06,0.000297269913141674
"RNF112",11,0,2.23449200920101e-06,0.000305751413274019
"ITGB5",11,0,2.24199019815963e-06,0.000305751413274019
"TMEM44",11,0,2.44379598457467e-06,0.0003264711941842
"OR2M4",11,0,2.52903882702604e-06,0.000331101763234249
"METTL2B",10,1,2.81758400599852e-06,0.000361645194181692
"PHRF1",10,1,3.0675000587399e-06,0.00038254036442901
"MTSS1L",11,0,3.1031626277489e-06,0.00038254036442901
"USP1",11,0,3.15569503195334e-06,0.00038254036442901
"TTC37",11,0,3.55996575973627e-06,0.000421595663551603
"ATP6V1B2",10,1,3.60668456445001e-06,0.000421595663551603
"FABP9",10,1,3.6862677729177e-06,0.000423338751605601
"GNL3",11,0,3.82171708490642e-06,0.000431326897203404
"LOC554223",11,0,5.18549755201825e-06,0.000569258109132508
"C1orf186",11,0,5.21776452000466e-06,0.000569258109132508
"FOXJ3",10,1,5.39244121500193e-06,0.000578670822842666
