"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"HNRNPA1","HNRNPA1",2,0.00258229052477144,9,"0.00328118418851042",0.32278631559643,NA,NA
"TCEA1","TCEA1",2,0.00613988845676638,9,"8.63715549943578e-05",0.761346168639031,NA,NA
"ARAP2","ARAP2",2,0.0136565201180695,9,"0.0105676697155928",1,NA,NA
"NFIA","NFIA",2,0.017950602631983,9,"0.00141017394055454",1,NA,NA
"PASK","PASK",2,0.034129631105965,9,"0.388739168399714",1,NA,NA
"ASXL1","ASXL1",3,0.0567597484203262,8,"0.00157497480034607",1,NA,NA
"RABL2B","RABL2B",2,0.100416618243601,9,"0.00802311098021624",1,NA,NA
"LRP2","LRP2",3,0.104944256304098,8,"0.77998057546061",1,NA,NA
"TIA1","TIA1",2,0.130013402053775,9,"0.83392695619585",1,NA,NA
"RAB3C","RAB3C",2,0.156815408244849,9,"0.0428506489202132",1,NA,NA
"NLK","NLK",2,0.217999659073867,9,"0.888028282214158",1,NA,NA
"PTGIS","PTGIS",2,0.249036663132943,9,"0.0325078311047402",1,NA,NA
"CNTRL","CNTRL",2,0.302159025734179,9,"0.0050696056051478",1,NA,NA
"CNKSR1","CNKSR1",2,0.549859365472496,9,"0.769979073949403",1,NA,NA
"BRCA2","BRCA2",2,0.622066741965522,9,"0.213972687542877",1,NA,NA
"CLTCL1","CLTCL1",2,0.715965141657062,9,"0.455468750547986",1,NA,NA
"ZNF367","ZNF367",2,0.717402344435529,9,"0.101085393159641",1,NA,NA
"BCLAF1","BCLAF1",2,0.719808638765674,9,"0.0585990614237935",1,NA,NA
"PPP3R1","PPP3R1",3,0.81316097282363,8,"0.794434291370276",1,NA,NA
"PDGFD","PDGFD",2,0.865865362540058,9,"0.988688073146376",1,NA,NA
"ACACB","ACACB",2,0.875419675175795,9,"0.745350916056602",1,NA,NA
"ACTR6","ACTR6",2,0.909653404881606,9,"0.598995812035625",1,NA,NA
"TP53","TP53",2,0.961105609185266,9,"0.959396814060698",1,NA,NA
"GATA1","GATA1",2,0.995523193412366,9,"0.946460957772924",1,NA,NA
"SPI1","SPI1",2,0.999995788794301,9,"0.932657292228058",1,NA,NA
"IRS1","IRS1",1,0.0207728954426534,10,"0.139627033870238",1,NA,NA
"USPL1","USPL1",1,0.0301665104005104,10,"0.00368583749222406",1,NA,NA
"PIK3C2G","PIK3C2G",1,0.0316175566135128,10,"0.197892285386843",1,NA,NA
"TRPM1","TRPM1",1,0.0333740862397789,10,"0.0321632565580051",1,NA,NA
"PDE1A","PDE1A",1,0.0369635163456267,10,"0.313290334564807",1,NA,NA
"WDR36","WDR36",1,0.0409348007180541,10,"0.0574839976658115",1,NA,NA
"RBM23","RBM23",1,0.0449824559437974,10,"0.745779246481163",1,NA,NA
"GJB7","GJB7",1,0.061784043673298,10,"0.445598169640192",1,NA,NA
"HEATR6","HEATR6",1,0.0626241230597731,10,"0.00494389818046259",1,NA,NA
"PSPH","PSPH",1,0.0631587190329844,10,"0.183191180030765",1,NA,NA
"RDH10","RDH10",1,0.0835497368683328,10,"0.4494769790953",1,NA,NA
"SMNDC1","SMNDC1",1,0.0837024785749647,10,"0.813404022905349",1,NA,NA
"RDH5","RDH5",1,0.0898885176935535,10,"0.37563250187716",1,NA,NA
"PDPN","PDPN",1,0.108141151636057,10,"0.992574506153914",1,NA,NA
"TSPAN31","TSPAN31",1,0.114403561607961,10,"0.176603421038539",1,NA,NA
"ZNF148","ZNF148",1,0.11516727014112,10,"0.604684507170886",1,NA,NA
"SMO","SMO",1,0.131816116163989,10,"0.951567782726293",1,NA,NA
"DICER1","DICER1",1,0.136398367362944,10,"0.0151494282850514",1,NA,NA
"NCOA1","NCOA1",1,0.150985200346283,10,"0.866106899394548",1,NA,NA
"PLEKHG1","PLEKHG1",1,0.174507423167584,10,"0.666405441611732",1,NA,NA
