"","#wt","#mut","pvalue","p_adj","tcga_pvalue","tcga_tumor_vs_normal"
"SART3",12,1,0.00528982227518467,0.807453677824562,5.95385549886639e-42,"up"
"RREB1",11,2,0.00659100156842821,0.807453677824562,8.46800865009901e-19,"up"
"ARHGEF17",11,2,0.00746756421081605,0.807453677824562,8.72273057933919e-13,"up"
"GRK1",12,1,0.015295524096544,0.807453677824562,0.000934391685881506,"up"
"RGPD5",12,1,0.0180199167761376,0.807453677824562,0.829988458773438,"up"
"KCTD17",12,1,0.0194694200317951,0.807453677824562,1.33097687206144e-18,"up"
"TTC7B",11,2,0.0195893759477107,0.807453677824562,0.114266343443212,"down"
"HECTD1",11,2,0.0221415891306852,0.807453677824562,0.0133099706987591,"up"
"SMIM3",11,2,0.0229946806949032,0.807453677824562,7.21929842458053e-05,"up"
"NUMB",12,1,0.0236288689360388,0.807453677824562,3.22979627947715e-07,"up"
"TLN1",12,1,0.0241471820749555,0.807453677824562,2.93897042084663e-17,"up"
"ISG20",12,1,0.0243123855131905,0.807453677824562,0.00205660569204059,"up"
"DNMT3A",12,1,0.025323655898965,0.807453677824562,7.01129498416675e-53,"up"
"SPEG",11,2,0.0260549545326177,0.807453677824562,0.000742055222685487,"up"
"KIF26A",12,1,0.0261557757626868,0.807453677824562,0.900156583309504,"up"
"ARID2",11,2,0.0284271124606176,0.807453677824562,1.48169291328494e-25,"up"
"NOTCH1",10,3,0.0287744897233422,0.807453677824562,6.77173504409793e-13,"up"
"NRAS",12,1,0.0288126925007504,0.807453677824562,1.86556537890933e-37,"up"
"KDR",12,1,0.0289103893512279,0.807453677824562,0.816431224777462,"up"
"TRIM66",12,1,0.0295251180407984,0.807453677824562,1.13960926223258e-31,"up"
"ATRIP",11,2,0.0309631715245239,0.807453677824562,1.67952980295729e-14,"up"
"GNL3L",12,1,0.0311407391181984,0.807453677824562,1.13821253753623e-17,"up"
"RIOK1",12,1,0.0315337164156229,0.807453677824562,2.9732466649861e-35,"up"
"ANKK1",12,1,0.0327745066147325,0.807453677824562,3.35158806452515e-06,"up"
"RAB36",12,1,0.0328987474971401,0.807453677824562,0.0378361092965197,"up"
"PRDM16",12,1,0.034088893882842,0.807453677824562,1.24889404547273e-15,"up"
"PPP2R5B",12,1,0.0341514037891663,0.807453677824562,5.28480873670102e-41,"up"
"ESRP1",12,1,0.0342879698752043,0.807453677824562,7.6015634706644e-08,"up"
