"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"TLK2","TLK2",-1,-1,12,"2.56851328228613e-06",0.0159119397837626,1,3.0986660448756e-43
"ADSL","ADSL",-1,-1,12,"1.73811016315195e-05",0.107658543505632,1,5.44640612019898e-48
"LOC341056","LOC341056",-1,-1,12,"2.28723111899143e-05",0.141648223199139,NA,NA
"DDX10","DDX10",-1,-1,11,"4.31195964347708e-05",0.266996541124101,1,5.10588130160069e-39
"SART3","SART3",-1,-1,12,"4.7403915210853e-05",0.293477639070391,1,2.9769277494332e-42
"UBA2","UBA2",-1,-1,13,"5.14006117249277e-05",0.318169786577302,1,1.01314716782115e-31
"PAK1IP1","PAK1IP1",-1,-1,13,"5.99078802474562e-05",0.370769870851506,1,4.96813068738938e-25
"CASP8AP2","CASP8AP2",-1,-1,13,"6.2835566216779e-05",0.388826483749429,1,2.68671172667886e-19
"WDR46","WDR46",-1,-1,13,"7.86061354505208e-05",0.486336160032372,1,9.63512719145917e-64
"AHCTF1","AHCTF1",-1,-1,13,"8.10871566107041e-05",0.501605150793816,1,2.83804451780008e-52
"PDE9A","PDE9A",-1,-1,13,"0.000108732801138434",0.672512375041214,0.999999999995732,4.26835628038911e-12
"IGSF21","IGSF21",-1,-1,12,"0.000143843000673938",0.889525116167633,1,5.15854104114903e-16
"LONP1","LONP1",-1,-1,13,"0.000161603572078284",0.99919488616003,1,2.40017491365406e-22
"SOX17","SOX17",-1,-1,12,"0.000168258398669408",1,0.999998131121402,1.86887859799484e-06
"MED1","MED1",-1,-1,12,"0.000179129362972263",1,1,3.07718617865909e-24
"TOP1","TOP1",-1,-1,12,"0.000226541730328544",1,0.999999999996497,3.50327669577026e-12
"KIF24","KIF24",-1,-1,12,"0.000231581714915441",1,1,1.64692626814186e-23
"SUMO2","SUMO2",-1,-1,13,"0.000252710233732967",1,1,3.61769774087819e-54
"STK35","STK35",-1,-1,13,"0.000322361596526766",1,1,6.72128726411543e-35
"ARMC1","ARMC1",-1,-1,13,"0.000334763875637911",1,1,8.776249636825e-68
"SAE1","SAE1",-1,-1,13,"0.000362197321668756",1,1,1.44434421072611e-66
"SAR1B","SAR1B",-1,-1,13,"0.000372540569696156",1,0.971778400866741,0.0282215991332587
"PELP1","PELP1",-1,-1,12,"0.000384376379404805",1,1,6.72550406134363e-46
"RHOT1","RHOT1",-1,-1,12,"0.000396400019513243",1,1,3.73875837388951e-28
"MED17","MED17",-1,-1,12,"0.000408368665519632",1,1,6.44168017287801e-22
"PPP2CA","PPP2CA",-1,-1,13,"0.000467027546276033",1,1,1.75473951995498e-19
"C20orf152","C20orf152",-1,-1,12,"0.000472173539747045",1,NA,NA
