"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"ARID1A","ARID1A",2,0.014829230593687,11,"0.00336497894097165",1,1,8.89915628275194e-18
"AKR1B15","AKR1B15",3,0.0173614302273308,10,"0.882108127224032",1,1,4.07259650328855e-18
"KIAA2026","KIAA2026",3,0.0812410977944512,10,"0.274967383386374",1,0.999993961624308,6.03837569193632e-06
"TGS1","TGS1",2,0.0826922129839147,11,"0.436611851222919",1,1,8.07810943044973e-38
"ATN1","ATN1",2,0.130091301027552,11,"0.673482032804763",1,1,3.15921992882385e-37
"COL4A2","COL4A2",2,0.130793441642846,11,"0.933147650840998",1,1,1.36957069686765e-37
"AXIN1","AXIN1",6,0.169606144569145,7,"0.0755539526383814",1,1,2.03080368833884e-29
"BAZ2B","BAZ2B",2,0.170889645964256,11,"0.136861636825709",1,0.930882131728576,0.0691178682714235
"CCAR1","CCAR1",2,0.211393994207842,11,"0.2972155600467",1,1,4.64591189166731e-39
"ANKAR","ANKAR",2,0.316940303039839,11,"0.822576436021357",1,1,9.0623133695582e-41
"CENPE","CENPE",2,0.364444374074667,11,"0.582005212558877",1,1,1.13722665851297e-43
"KANSL1","KANSL1",2,0.432846412748192,11,"0.075718426971496",1,1,2.48924790087839e-36
"GRB14","GRB14",4,0.446202734763727,9,"0.867360101047292",1,0.995009817186575,0.00499018281342512
"FANCM","FANCM",2,0.493529547400538,11,"0.341295136820719",1,1,1.70292832091638e-34
"ATP6AP1","ATP6AP1",2,0.520257931688798,11,"0.0311843169475838",1,1,1.63002468669082e-71
"JMJD4","JMJD4",2,0.533333760299007,11,"0.969420576491322",1,1,7.07890661556123e-78
"STARD9","STARD9",2,0.5610926349854,11,"0.288469741911097",1,1,7.8280517964096e-23
"TTN","TTN",2,0.607182824283082,11,"0.648582038610812",1,0.999995430669292,4.56933070804648e-06
"EPB41L3","EPB41L3",2,0.731126036519818,11,"0.003304000671975",1,0.232368112967886,0.767631887032114
