"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"PTGER4","PTGER4",2,0.0353373102681989,3,"0.400111741475198",1,NA,NA
"C7","C7",2,0.0517371071447257,3,"0.38391437539594",1,NA,NA
"CFHR3","CFHR3",4,0.0764200463481065,1,"0.927065811742579",1,NA,NA
"CDH6","CDH6",2,0.0928965092350666,3,"0.376065263634135",1,NA,NA
"SKP2","SKP2",2,0.0988484318590093,3,"0.119146125010894",1,NA,NA
"IL7R","IL7R",2,0.100177185047839,3,"0.574870107599873",1,NA,NA
"C6","C6",2,0.126916573726434,3,"0.0886201181755689",1,NA,NA
"NNT","NNT",2,0.138561292128923,3,"0.941509736063926",1,NA,NA
"DNAH5","DNAH5",2,0.16068831002069,3,"0.0053987012997808",1,NA,NA
"NSFP1","NSFP1",2,0.164301860588557,3,"0.050747148557592",1,NA,NA
"DROSHA","DROSHA",2,0.170800361936354,3,"0.323158060132225",1,NA,NA
"TRIO","TRIO",2,0.217999659073867,3,"0.000109410629034389",1,NA,NA
"RICTOR","RICTOR",2,0.264912398913327,3,"0.637547128596625",1,NA,NA
"ANKH","ANKH",2,0.28133593252566,3,"0.00889554742076835",1,NA,NA
"GSTT1","GSTT1",2,0.314876341917937,3,"0.296257350875574",1,NA,NA
"PRKAA1","PRKAA1",2,0.357307484528001,3,"0.593841949909622",1,NA,NA
"ANKRD36","ANKRD36",2,0.370796368494942,3,"0.44889943279835",1,NA,NA
"SLC1A3","SLC1A3",2,0.375348200284493,3,"0.583051341206176",1,NA,NA
"NPR3","NPR3",2,0.437620352238674,3,"0.109727968683431",1,NA,NA
"LIFR","LIFR",2,0.536427427271952,3,"0.37336577195726",1,NA,NA
"C1QTNF3","C1QTNF3",2,0.536427427271952,3,"0.57758123453987",1,NA,NA
"C1QTNF3-AMACR","C1QTNF3-AMACR",2,0.536427427271952,3,"0.57758123453987",1,NA,NA
"ZNF131","ZNF131",2,0.586612736692919,3,"0.416723344180912",1,NA,NA
"ARL17A","ARL17A",2,0.70632965247082,3,"0.719459507808666",1,NA,NA
"ARL17B","ARL17B",2,0.70632965247082,3,"0.719459507808666",1,NA,NA
"PRLR","PRLR",2,0.731853592267569,3,"0.569496485088412",1,NA,NA
"MTMR12","MTMR12",2,0.741112222751069,3,"0.186921115475522",1,NA,NA
"FGF10","FGF10",2,0.744671904217931,3,"0.725403310236625",1,NA,NA
"NIM1","NIM1",2,0.747773191415057,3,"0.637601755890111",1,NA,NA
