"","#wt","#mut","pvalue","p_adj"
"SQSTM1",4,1,0.00480382156847325,0.413128654888699
"ZWINT",4,1,0.0162784397288699,0.699972908341406
"SETDB1",4,1,0.062247265499963,0.746229790650569
"DHRS12",4,1,0.0791130804751931,0.746229790650569
"LRRTM3",4,1,0.086558178271824,0.746229790650569
"SOCS7",4,1,0.0966036253577462,0.746229790650569
"ROBO2",4,1,0.0983357185162534,0.746229790650569
"ATP6AP1",4,1,0.0988803471576227,0.746229790650569
"UNC45A",4,1,0.110373954262585,0.746229790650569
"LRP5",3,2,0.135705798877631,0.746229790650569
"ATG12",4,1,0.136010586480061,0.746229790650569
"CACNB2",4,1,0.136462943312399,0.746229790650569
"RAET1L",4,1,0.136631223369554,0.746229790650569
"SVEP1",4,1,0.161408788926965,0.746229790650569
"FLOT2",4,1,0.164130627999919,0.746229790650569
"PILRB",4,1,0.179450863290999,0.746229790650569
"BIRC6",4,1,0.183224752132351,0.746229790650569
"TRIP12",4,1,0.183806083515219,0.746229790650569
"ABCA10",4,1,0.187716236502855,0.746229790650569
"FBXL14",4,1,0.187859675221307,0.746229790650569
"MFGE8",4,1,0.191096862882938,0.746229790650569
"DHX16",4,1,0.200231988816566,0.746229790650569
"EPHB2",4,1,0.214891437336399,0.746229790650569
"RB1",4,1,0.21864268783661,0.746229790650569
"BAP1",4,1,0.221568621579309,0.746229790650569
"STRN4",4,1,0.23010196168446,0.746229790650569
"ADK",4,1,0.235308966334902,0.746229790650569
"USF2",4,1,0.252332340339401,0.746229790650569
"LDHAL6B",4,1,0.257670049462274,0.746229790650569
"TTF1",4,1,0.260312717668803,0.746229790650569
"ANKRD27",4,1,0.269924967213494,0.748824102592274
"SIPA1L1",4,1,0.286478027622274,0.7609899348711
"MACF1",4,1,0.29560519346493,0.7609899348711
"ATP6V1A",4,1,0.300856485879272,0.7609899348711
"INTS4",4,1,0.338319421957019,0.798835780264208
"P2RY8",4,1,0.354624794679313,0.798835780264208
"PDE9A",4,1,0.355638009435244,0.798835780264208
"IDO2",4,1,0.366426216066275,0.798835780264208
"CACNA1F",4,1,0.371335172684229,0.798835780264208
"ATN1",4,1,0.380066074669783,0.798835780264208
"KPNA5",4,1,0.383923806238383,0.798835780264208
"ADCY7",4,1,0.390129101989497,0.798835780264208
"CDC6",4,1,0.400883610414952,0.801767220829904
"TSPAN6",4,1,0.415608391254302,0.80924524209428
"IRAK1",4,1,0.424719779651268,0.80924524209428
"NFKBIA",4,1,0.434290558602248,0.80924524209428
"CTTNBP2",4,1,0.457529610214881,0.80924524209428
"GATA6",4,1,0.468761894291405,0.80924524209428
"TSKU",4,1,0.472315771672611,0.80924524209428
"MAP3K2",4,1,0.478015870866947,0.80924524209428
"MYO9A",4,1,0.479901248218701,0.80924524209428
"MTMR11",4,1,0.546551198357414,0.85865076241394
"PFKFB4",4,1,0.551282501918955,0.85865076241394
"LEPREL1",4,1,0.557945316532853,0.85865076241394
"TTC3",4,1,0.559322654032556,0.85865076241394
"FER1L6",4,1,0.563753190894013,0.85865076241394
"TTC31",4,1,0.569105737879007,0.85865076241394
"UBE2I",4,1,0.581343857731983,0.85911380927114
"COL8A2",4,1,0.598086991478596,0.85911380927114
"TTC23",4,1,0.604549162039472,0.85911380927114
"LRRN2",4,1,0.609371422855111,0.85911380927114
"VANGL1",4,1,0.646343405864471,0.890511097039811
"PLXNB1",4,1,0.652351152482652,0.890511097039811
"REL",4,1,0.671104360767678,0.901796484781567
"CHD2",4,1,0.693102935973884,0.902021685231208
"ETS1",4,1,0.701240868949771,0.902021685231208
"ATRX",4,1,0.702737824540592,0.902021685231208
"KCNK10",4,1,0.732202539347846,0.926020858586982
"POLD3",4,1,0.766216427756818,0.933254931792278
"AKR1B15",4,1,0.788154443490377,0.933254931792278
"TRDMT1",4,1,0.791038947361877,0.933254931792278
"KIF21A",4,1,0.796871821023475,0.933254931792278
"TTN",4,1,0.80293484089689,0.933254931792278
"DENND3",4,1,0.803033313402658,0.933254931792278
"NF2",2,3,0.830579992866737,0.952398391820525
"UBR5",4,1,0.868330322895971,0.965496324504383
"ASCC3",4,1,0.87322761512617,0.965496324504383
"KIRREL2",4,1,0.89328366829615,0.965496324504383
"BTN1A1",4,1,0.912241243610609,0.965496324504383
"CDKN3",4,1,0.917123522634209,0.965496324504383
"NOTCH4",4,1,0.924586751033382,0.965496324504383
"SETX",4,1,0.931197847084325,0.965496324504383
"HTR1A",4,1,0.937177738533237,0.965496324504383
"KCNJ16",4,1,0.943042921608932,0.965496324504383
"ZNF3",4,1,0.964159691215621,0.975502746406393
"RBM14",4,1,0.97865675214941,0.97865675214941
"A1CF",5,0,NA,NA
"AAAS",5,0,NA,NA
"AADAT",5,0,NA,NA
"AAMDC",5,0,NA,NA
"AAMP",5,0,NA,NA
"AANAT",5,0,NA,NA
"AATF",5,0,NA,NA
"AATK",5,0,NA,NA
"ABCA1",5,0,NA,NA
"ABCA12",5,0,NA,NA
"ABCA13",5,0,NA,NA
"ABCA3",5,0,NA,NA
"ABCA4",5,0,NA,NA
"ABCA5",5,0,NA,NA
"ABCA6",5,0,NA,NA
"ABCA7",5,0,NA,NA
"ABCA8",5,0,NA,NA
"ABCA9",5,0,NA,NA
"ABCB1",5,0,NA,NA
"ABCB10",5,0,NA,NA
"ABCB11",5,0,NA,NA
"ABCB8",5,0,NA,NA
"ABCB9",5,0,NA,NA
"ABCC1",5,0,NA,NA
"ABCC10",5,0,NA,NA
"ABCC11",5,0,NA,NA
"ABCC12",5,0,NA,NA
"ABCC2",5,0,NA,NA
"ABCC3",5,0,NA,NA
"ABCC5",5,0,NA,NA
"ABCC6",5,0,NA,NA
"ABCC8",5,0,NA,NA
"ABCC9",5,0,NA,NA
"ABCD1",5,0,NA,NA
"ABCD2",5,0,NA,NA
"ABCD3",5,0,NA,NA
"ABCD4",5,0,NA,NA
"ABCF1",5,0,NA,NA
"ABCF2",5,0,NA,NA
"ABCF3",5,0,NA,NA
"ABCG1",5,0,NA,NA
