"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"TET1","TET1",-1,-1,5,"1.31231441602431e-07",0.00076980363643986,NA,NA
"WDR82","WDR82",-1,-1,5,"1.45951443486503e-07",0.00085600521604834,NA,NA
"OGDH","OGDH",-1,-1,5,"2.6198601132954e-07",0.00153628597043642,NA,NA
"RAD23B","RAD23B",-1,-1,5,"1.24689678282497e-06",0.0073105558377028,NA,NA
"CRABP1","CRABP1",-1,-1,5,"1.50840122437046e-06",0.00884224797725964,NA,NA
"SHH","SHH",-1,-1,5,"1.01961771622472e-05",0.0597597943479308,NA,NA
"CHRM1","CHRM1",-1,-1,5,"2.0639530859623e-05",0.120947650837391,NA,NA
"MED15","MED15",-1,-1,5,"2.40733617832278e-05",0.141045826687932,NA,NA
"CFL1","CFL1",-1,-1,5,"2.43789348179924e-05",0.142811800163799,NA,NA
"THEM4","THEM4",-1,-1,5,"2.93116935867754e-05",0.171678589337744,NA,NA
"UBA3","UBA3",-1,-1,4,"3.48544770584214e-05",0.204107817654116,NA,NA
"POLD1","POLD1",-1,-1,5,"3.58407084493084e-05",0.209847347970701,NA,NA
"RFC4","RFC4",-1,-1,5,"4.04502123900752e-05",0.2367955433315,NA,NA
"KIF23","KIF23",-1,-1,5,"5.21541597763298e-05",0.305258297170858,NA,NA
"NEUROG3","NEUROG3",-1,-1,5,"5.32352147477599e-05",0.311532476703891,NA,NA
"SPSB1","SPSB1",-1,-1,5,"5.73129217672497e-05",0.335337905260178,NA,NA
"LLGL2","LLGL2",-1,-1,4,"5.80602613652337e-05",0.339652528986617,NA,NA
"CITED2","CITED2",-1,-1,5,"6.02941041226712e-05",0.352660215013504,NA,NA
"ARL11","ARL11",-1,-1,5,"7.01323730719627e-05",0.410134117724838,NA,NA
"RBM19","RBM19",-1,-1,5,"7.37820471645723e-05",0.431403629771254,NA,NA
"NFKBIA","NFKBIA",-1,-1,4,"8.93150157582623e-05",0.522135582122801,NA,NA
"IRF9","IRF9",-1,-1,5,"9.0719162931685e-05",0.530253507335699,NA,NA
"TP53","TP53",-1,-1,4,"0.000101053884969282",0.590558903760484,NA,NA
"CXXC1","CXXC1",-1,-1,5,"0.000105777024012488",0.618055151304967,NA,NA
"COPS3","COPS3",-1,-1,5,"0.000110736049861893",0.646920003293179,NA,NA
"ARPC1A","ARPC1A",-1,-1,5,"0.000120218105527425",0.702193954385689,NA,NA
"KCNJ2","KCNJ2",-1,-1,4,"0.000125760297520094",0.734440137517349,NA,NA
"KEAP1","KEAP1",-1,-1,4,"0.000159315558555195",0.930243546403784,NA,NA
"SLC2A2","SLC2A2",-1,-1,5,"0.000167709407060124",0.979087518417004,NA,NA
"SLC47A2","SLC47A2",-1,-1,5,"0.000182576211754437",1,NA,NA
"FAF2","FAF2",-1,-1,5,"0.0001831920862575",1,NA,NA
"CIT","CIT",-1,-1,5,"0.000185516435265765",1,NA,NA
"BIRC7","BIRC7",-1,-1,5,"0.00024623254245093",1,NA,NA
"SP1","SP1",-1,-1,5,"0.000293208771736775",1,NA,NA
"CDC42BPA","CDC42BPA",-1,-1,3,"0.000317920773892033",1,NA,NA
"AGPAT2","AGPAT2",-1,-1,5,"0.0003204475864379",1,NA,NA
"EPB41L2","EPB41L2",-1,-1,5,"0.00032554396830542",1,NA,NA
"RRP9","RRP9",-1,-1,5,"0.000328239259026697",1,NA,NA
"POLD2","POLD2",-1,-1,5,"0.000342493198662086",1,NA,NA
"PBK","PBK",-1,-1,5,"0.0003561870714619",1,NA,NA
"FANCM","FANCM",-1,-1,5,"0.000381549650061541",1,NA,NA
"MLF2","MLF2",-1,-1,5,"0.000383494626324588",1,NA,NA
"MBOAT1","MBOAT1",-1,-1,5,"0.000398192707079636",1,NA,NA
"ATP10D","ATP10D",-1,-1,4,"0.000412026556320444",1,NA,NA
"ATG14","ATG14",-1,-1,5,"0.000414521875447549",1,NA,NA
"DDX47","DDX47",-1,-1,5,"0.000432607402528151",1,NA,NA
"MED9","MED9",-1,-1,5,"0.00043691681938085",1,NA,NA
"CAND1","CAND1",-1,-1,5,"0.00044157209116602",1,NA,NA
"QPCT","QPCT",-1,-1,5,"0.000474621132777298",1,NA,NA
"DHX38","DHX38",-1,-1,5,"0.00054813423435951",1,NA,NA
"SUPV3L1","SUPV3L1",-1,-1,5,"0.00057187744375109",1,NA,NA
"MCM6","MCM6",-1,-1,5,"0.000626765766632009",1,NA,NA
"FOXE1","FOXE1",-1,-1,5,"0.000675655741658621",1,NA,NA
"MATN4","MATN4",-1,-1,5,"0.00067609385317513",1,NA,NA
"ATP1A1","ATP1A1",-1,-1,5,"0.000680928096908451",1,NA,NA
