"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"CAPZA2","CAPZA2",-1,-1,5,"3.00996586051392e-06",0.0197032365229241,NA,NA
"GPR158","GPR158",-1,-1,5,"5.48384235485642e-06",0.0358917482125353,NA,NA
"RXRG","RXRG",-1,-1,5,"1.46115727498704e-05",0.0956181320751519,NA,NA
"CDC42","CDC42",-1,-1,5,"1.85041417341772e-05",0.121072599366721,NA,NA
"OR6S1","OR6S1",-1,-1,5,"1.87694469406318e-05",0.122789721885613,NA,NA
"OR2T5","OR2T5",-1,-1,4,"2.38341950864341e-05",0.155899470060365,NA,NA
"DDI2","DDI2",-1,-1,5,"3.46222362231844e-05",0.226429424899626,NA,NA
"ABCC1","ABCC1",-1,-1,5,"3.57855679739718e-05",0.234001828981802,NA,NA
"RASGRP1","RASGRP1",-1,-1,5,"4.24521416518099e-05",0.277552102119533,NA,NA
"COPG1","COPG1",-1,-1,5,"4.64634449458972e-05",0.30373153961133,NA,NA
"GRM2","GRM2",-1,-1,5,"5.6207159301104e-05",0.367369993192016,NA,NA
"FERMT2","FERMT2",-1,-1,5,"6.84037081809671e-05",0.44701823296262,NA,NA
"FARP1","FARP1",-1,-1,5,"7.44784772374839e-05",0.48664237026972,NA,NA
"DRD1","DRD1",-1,-1,5,"9.35685092849049e-05",0.611283071158284,NA,NA
"OR2T29","OR2T29",-1,-1,5,"9.75818314322392e-05",0.637404522915387,NA,NA
"SRSF4","SRSF4",-1,-1,5,"0.000100240330602902",0.654669599167553,NA,NA
"ZBTB11","ZBTB11",-1,-1,5,"0.000103811258309136",0.677887516758658,NA,NA
"TRIO","TRIO",-1,-1,3,"0.000109410629034389",0.714341996965526,NA,NA
"SUV39H2","SUV39H2",-1,-1,5,"0.000109855406096558",0.717136090998331,NA,NA
"RAB36","RAB36",-1,-1,5,"0.000153864963523867",1,NA,NA
"TEAD1","TEAD1",-1,-1,5,"0.000157289318279627",1,NA,NA
"L3MBTL1","L3MBTL1",-1,-1,5,"0.000158622496592458",1,NA,NA
"PRR5","PRR5",-1,-1,5,"0.000162267285907058",1,NA,NA
"DNAJC2","DNAJC2",-1,-1,5,"0.000210129848353663",1,NA,NA
"RHOG","RHOG",-1,-1,5,"0.000219853291674638",1,NA,NA
"BTNL3","BTNL3",-1,-1,5,"0.000223525007784026",1,NA,NA
"TPM1","TPM1",-1,-1,5,"0.000225645052229976",1,NA,NA
"ZNF609","ZNF609",-1,-1,5,"0.000278605288814299",1,NA,NA
"SMARCA1","SMARCA1",-1,-1,5,"0.000309260494500109",1,NA,NA
"ING1","ING1",-1,-1,5,"0.000324380998896231",1,NA,NA
"TXNRD3","TXNRD3",-1,-1,5,"0.000326282127321146",1,NA,NA
"BCAR1","BCAR1",-1,-1,5,"0.000341320139643314",1,NA,NA
"PATZ1","PATZ1",-1,-1,5,"0.000378929159919179",1,NA,NA
"DPYD","DPYD",-1,-1,5,"0.00039254460574801",1,NA,NA
"AGTR1","AGTR1",-1,-1,5,"0.000412548205082258",1,NA,NA
"TRIM17","TRIM17",-1,-1,4,"0.000415185261031227",1,NA,NA
"ASCL4","ASCL4",-1,-1,5,"0.000419782668738697",1,NA,NA
"GABARAP","GABARAP",-1,-1,5,"0.000433359105521547",1,NA,NA
"PLXDC1","PLXDC1",-1,-1,5,"0.000457181217900062",1,NA,NA
"H6PD","H6PD",-1,-1,5,"0.000459682544834858",1,NA,NA
"HCRTR1","HCRTR1",-1,-1,5,"0.000468523547230737",1,NA,NA
"SRR","SRR",-1,-1,5,"0.000520997157978133",1,NA,NA
"FGD5","FGD5",-1,-1,5,"0.000543903181161136",1,NA,NA
"DET1","DET1",-1,-1,5,"0.000546057534435956",1,NA,NA
"LRRC69","LRRC69",-1,-1,5,"0.000584117908790517",1,NA,NA
"DNMBP","DNMBP",-1,-1,5,"0.000602564712042424",1,NA,NA
"MAP3K11","MAP3K11",-1,-1,5,"0.000604512740265497",1,NA,NA
"TSPAN6","TSPAN6",-1,-1,4,"0.000635197420065676",1,NA,NA
"RDH12","RDH12",-1,-1,5,"0.000661137665577317",1,NA,NA
"RHOA","RHOA",-1,-1,5,"0.000669985289001035",1,NA,NA
"TPM4","TPM4",-1,-1,5,"0.000670832834951405",1,NA,NA
"MAP2K2","MAP2K2",-1,-1,5,"0.000743770470631239",1,NA,NA
"LOC407835","LOC407835",-1,-1,5,"0.000743770470631239",1,NA,NA
"MASP1","MASP1",-1,-1,5,"0.000829429913848181",1,NA,NA
"B3GNT2","B3GNT2",-1,-1,5,"0.00092061913632326",1,NA,NA
"VWA1","VWA1",-1,-1,5,"0.000928840853882856",1,NA,NA
"OR5W2","OR5W2",-1,-1,5,"0.000984013297891173",1,NA,NA
"DUSP19","DUSP19",-1,-1,5,"0.00101492535561441",1,NA,NA
"ZWINT","ZWINT",-1,-1,4,"0.00104516301026514",1,NA,NA
"TGFBR2","TGFBR2",-1,-1,4,"0.00114309575071385",1,NA,NA
"CHD7","CHD7",-1,-1,5,"0.00117205105745601",1,NA,NA
"ETV5","ETV5",-1,-1,5,"0.00117404005607298",1,NA,NA
"NTSR2","NTSR2",-1,-1,5,"0.00124537534246106",1,NA,NA
"SNAI2","SNAI2",-1,-1,5,"0.00125025151162773",1,NA,NA
"DAZL","DAZL",-1,-1,5,"0.00125164750445229",1,NA,NA
"FGFR1","FGFR1",-1,-1,5,"0.00134288199776395",1,NA,NA
"RHEB","RHEB",-1,-1,5,"0.00137269284042069",1,NA,NA
"DHRS11","DHRS11",-1,-1,5,"0.00144797122821482",1,NA,NA
"TMEM100","TMEM100",-1,-1,4,"0.00146808377673404",1,NA,NA
"RHOBTB3","RHOBTB3",-1,-1,5,"0.00147007483607399",1,NA,NA
"USF1","USF1",-1,-1,5,"0.00153965772482268",1,NA,NA
"SIX6","SIX6",-1,-1,5,"0.00156370663246859",1,NA,NA
"SDC4","SDC4",-1,-1,5,"0.00160161801041104",1,NA,NA
"PYGO1","PYGO1",-1,-1,5,"0.00163420152016156",1,NA,NA
"SOCS7","SOCS7",-1,-1,4,"0.00165892281268001",1,NA,NA
"RABGGTA","RABGGTA",-1,-1,5,"0.00182208118540336",1,NA,NA
"E2F1","E2F1",-1,-1,5,"0.00184673172878771",1,NA,NA
"ZRANB2","ZRANB2",-1,-1,5,"0.00184959310325762",1,NA,NA
"SP100","SP100",-1,-1,4,"0.00189396632742836",1,NA,NA
"NCOA1","NCOA1",-1,-1,5,"0.00190073172247747",1,NA,NA
"CBX5","CBX5",-1,-1,5,"0.00190854802291022",1,NA,NA
"ATP13A1","ATP13A1",-1,-1,5,"0.00192228841050933",1,NA,NA
"GSTM2","GSTM2",-1,-1,5,"0.00194702159131468",1,NA,NA
"FAM83H","FAM83H",-1,-1,4,"0.00201978203294564",1,NA,NA
"CBX7","CBX7",-1,-1,5,"0.00212417351568541",1,NA,NA
"AK1","AK1",-1,-1,5,"0.00213806952878079",1,NA,NA
"SPRYD4","SPRYD4",-1,-1,5,"0.00215096107536344",1,NA,NA
"HMGN5","HMGN5",-1,-1,5,"0.00217475705022214",1,NA,NA
"PITX3","PITX3",-1,-1,5,"0.00225299360702921",1,NA,NA
