"","#wt","#mut","pvalue","p_adj"
"CAPZA2",5,0,3.00996586051392e-06,0.0179486160274451
"GPR158",5,0,5.48384235485642e-06,0.0179486160274451
"RXRG",5,0,1.46115727498704e-05,0.0245729599346752
"CDC42",5,0,1.85041417341772e-05,0.0245729599346752
"OR6S1",5,0,1.87694469406318e-05,0.0245729599346752
"OR2T5",4,1,2.38341950864341e-05,0.0260031068392996
"DDI2",5,0,3.46222362231844e-05,0.0292815409947024
"ABCC1",5,0,3.57855679739718e-05,0.0292815409947024
"RASGRP1",5,0,4.24521416518099e-05,0.0304149710615843
"COPG1",5,0,4.64634449458972e-05,0.0304149710615843
"GRM2",5,0,5.6207159301104e-05,0.0334483695259115
"FERMT2",5,0,6.84037081809671e-05,0.0373142228127176
"FARP1",5,0,7.44784772374839e-05,0.03750277784589
"DRD1",5,0,9.35685092849049e-05,0.0378480783320036
"OR2T29",5,0,9.75818314322392e-05,0.0378480783320036
"SRSF4",5,0,0.000100240330602902,0.0378480783320036
"ZBTB11",5,0,0.000103811258309136,0.0378480783320036
"TRIO",3,2,0.000109410629034389,0.0378480783320036
"SUV39H2",5,0,0.000109855406096558,0.0378480783320036
"RAB36",5,0,0.000153864963523867,0.0461826805890262
"TEAD1",5,0,0.000157289318279627,0.0461826805890262
"L3MBTL1",5,0,0.000158622496592458,0.0461826805890262
"PRR5",5,0,0.000162267285907058,0.0461826805890262
"DNAJC2",5,0,0.000210129848353663,0.0547063893295342
"RHOG",5,0,0.000219853291674638,0.0547063893295342
"BTNL3",5,0,0.000223525007784026,0.0547063893295342
"TPM1",5,0,0.000225645052229976,0.0547063893295342
"ZNF609",5,0,0.000278605288814299,0.0651339364492286
"SMARCA1",5,0,0.000309260494500109,0.0688981550143297
"ING1",5,0,0.000324380998896231,0.0688981550143297
"TXNRD3",5,0,0.000326282127321146,0.0688981550143297
"BCAR1",5,0,0.000341320139643314,0.0698213010657854
"PATZ1",5,0,0.000378929159919179,0.0742674959341489
"DPYD",5,0,0.00039254460574801,0.0742674959341489
"AGTR1",5,0,0.000412548205082258,0.0742674959341489
"TRIM17",4,1,0.000415185261031227,0.0742674959341489
"ASCL4",5,0,0.000419782668738697,0.0742674959341489
"GABARAP",5,0,0.000433359105521547,0.0746518080195802
"PLXDC1",5,0,0.000457181217900062,0.074803783906644
"H6PD",5,0,0.000459682544834858,0.074803783906644
"HCRTR1",5,0,0.000468523547230737,0.074803783906644
"SRR",5,0,0.000520997157978133,0.0812011284791633
"FGD5",5,0,0.000543903181161136,0.0812384686458584
"DET1",5,0,0.000546057534435956,0.0812384686458584
"LRRC69",5,0,0.000584117908790517,0.0841944765484669
"DNMBP",5,0,0.000602564712042424,0.0841944765484669
"MAP3K11",5,0,0.000604512740265497,0.0841944765484669
"TSPAN6",4,1,0.000635197420065676,0.0861033674037627
"RDH12",5,0,0.000661137665577317,0.0861033674037627
