"","#wt","#mut","pvalue","p_adj"
"TET1",5,0,1.28558359735464e-07,0.000447967721763587
"WDR82",5,0,1.36867620459391e-07,0.000447967721763587
"OGDH",5,0,2.68812198056523e-07,0.000586548216159333
"RAD23B",5,0,1.23739172452897e-06,0.00187647406319913
"CRABP1",5,0,1.43329824564553e-06,0.00187647406319913
"SHH",5,0,1.0233600528764e-05,0.0111648581768815
"CHRM1",5,0,2.01163580090258e-05,0.0173494829018079
"MED15",5,0,2.29279877803634e-05,0.0173494829018079
"CFL1",5,0,2.3853551194053e-05,0.0173494829018079
"THEM4",5,0,2.91813391734008e-05,0.0182920759454721
"NEDD8-MDP1",5,0,3.14956311449066e-05,0.0182920759454721
"POLD1",5,0,3.49400878819628e-05,0.0182920759454721
"UBA3",4,1,3.63270680249217e-05,0.0182920759454721
"RFC4",5,0,3.95083974135124e-05,0.0184729978192037
"KIF23",5,0,5.12582027876185e-05,0.0209197324856062
"NEUROG3",5,0,5.26825632296557e-05,0.0209197324856062
"SPSB1",5,0,5.75616279799851e-05,0.0209197324856062
"LLGL2",4,1,5.93702111553185e-05,0.0209197324856062
"CITED2",5,0,6.07202745533941e-05,0.0209197324856062
"ARL11",5,0,6.97797189379568e-05,0.0224076348173627
"RBM19",5,0,7.18851712747659e-05,0.0224076348173627
"NFKBIA",4,1,9.07887154419917e-05,0.025963326253968
"IRF9",5,0,9.12246415889495e-05,0.025963326253968
"CXXC1",5,0,0.000102861829631706,0.0271668653909396
"TP53",4,1,0.000103753686949815,0.0271668653909396
"COPS3",5,0,0.000110154848155242,0.0277336013855467
"ARPC1A",5,0,0.000119339832909793,0.0289332794899076
"KCNJ2",4,1,0.000124600782538842,0.0291298829464021
"GPR50",5,0,0.000148205951448377,0.0334536606269336
"KEAP1",4,1,0.000159503793775495,0.0347742291573616
"SLC2A2",5,0,0.000165701536881557,0.0347742291573616
"CIT",5,0,0.000179876907229759,0.0347742291573616
"FAF2",5,0,0.000180024880949814,0.0347742291573616
"SLC47A2",5,0,0.00018061774997713,0.0347742291573616
"BIRC7",5,0,0.000245269326377695,0.0458723717276683
"SP1",5,0,0.000290343839070228,0.0527941880709365
"AGPAT2",5,0,0.000312468562716828,0.0539449413138509
"CDC42BPA",3,2,0.000313879156987995,0.0539449413138509
"RRP9",5,0,0.000330351625723813,0.0539449413138509
"EPB41L2",5,0,0.000330592266407748,0.0539449413138509
"POLD2",5,0,0.000337876962094086,0.0539449413138509
"PBK",5,0,0.000352578083979704,0.0549518128031224
"FANCM",5,0,0.000374919081621794,0.0560952838269295
"MLF2",5,0,0.000377053542374717,0.0560952838269295
"MBOAT1",5,0,0.000389790691264547,0.0567015525559494
"ATG14",5,0,0.000409682502669595,0.0577696993951427
"ATP10D",4,1,0.000414783970603683,0.0577696993951427
"MED9",5,0,0.000430973101607779,0.0578533180168161
"DDX47",5,0,0.000433060278463793,0.0578533180168161
"CAND1",5,0,0.000442400921003894,0.0579191285778298
"QPCT",5,0,0.000460937307153575,0.0591626590711236
"DHX38",5,0,0.000537836081639043,0.0677052882770995
"SUPV3L1",5,0,0.00056575561386818,0.0698761556298322
"OPHN1",5,0,0.000611173756127625,0.0737297403080242
"MCM6",5,0,0.000619482999838272,0.0737297403080242
"CDK3",4,1,0.000654746971211484,0.0742403605938382
"TEN1-CDK3",4,1,0.000654746971211484,0.0742403605938382
"MATN4",5,0,0.000663655962063081,0.0742403605938382
"ATP1A1",5,0,0.00066913859991391,0.0742403605938382
"FOXE1",5,0,0.000683218943888897,0.0745391867782787
"TLE3",5,0,0.00072013179019248,0.0772784048950815
"SOX17",5,0,0.000732784396006658,0.0773678492945094
"RPS6KA3",5,0,0.000754422051505887,0.0783880436374212
"ACO2",5,0,0.000790489639441061,0.0794294970484962
"POC1A",5,0,0.000798743051034667,0.0794294970484962
"PTK2B",5,0,0.000801183598291066,0.0794294970484962
"ARFRP1",5,0,0.000812981408837343,0.0794294970484962
"RPS6KA4",5,0,0.000853315115444064,0.0821441286131889
"NR4A1",5,0,0.000866762655466591,0.082229396270787
"SKIV2L2",5,0,0.000914083770173546,0.0854798908508005
"SLIT2",5,0,0.000974259309009406,0.0898239638982475
"PNPLA7",5,0,0.00100609894958559,0.0914711628331566
"NCBP2",5,0,0.00102679014568285,0.0920735382690402
"WDR1",5,0,0.0010606029720247,0.0938203656064012
"RAD17",5,0,0.00110917793315157,0.0949972483495526
"CNBD1",4,1,0.0011133596555325,0.0949972483495526
"MMP9",5,0,0.00111744395400482,0.0949972483495526
"FCGRT",5,0,0.00119206284601225,0.0984783190575854
"FCN3",5,0,0.00119475160693383,0.0984783190575854
"KDSR",5,0,0.00120352360595888,0.0984783190575854
"NEUROG1",5,0,0.00130779503093559,0.104515845783629
"UTP15",5,0,0.00130924218671824,0.104515845783629
"ATP1A3",5,0,0.00136818778158798,0.107905508653915
"CCNT1",5,0,0.0014183995617254,0.110533851560172
"KCNJ14",5,0,0.00151509184036602,0.114991160127889
"CD2AP",5,0,0.00156203850121772,0.114991160127889
"WNT7A",5,0,0.00156370663246763,0.114991160127889
"IDH3G",5,0,0.00158383560624176,0.114991160127889
"DNM2",5,0,0.00158636623314656,0.114991160127889
"RAB34",5,0,0.00159652110858288,0.114991160127889
"HIST3H3",4,1,0.00160956527145484,0.114991160127889
"SEMA3E",5,0,0.00161612996207849,0.114991160127889
"NR2E3",5,0,0.00164894896742429,0.115287729339737
"MAT2A",4,1,0.00165552193063478,0.115287729339737
"MTR",4,1,0.00169091764099039,0.116288782485336
"TAS1R3",5,0,0.00170542669089402,0.116288782485336
"RUFY1",5,0,0.00181643015833977,0.119437166664365
"DSC2",5,0,0.00181831227388585,0.119437166664365
"SLAMF6",5,0,0.00182396798330986,0.119437166664365
"NGFR",4,1,0.00185295340874159,0.119437166664365
"CDK7",5,0,0.00185724077862115,0.119437166664365
"ALX3",5,0,0.0018610740910121,0.119437166664365
"LGALSL",5,0,0.00188711483050008,0.119932560004403
"DHX30",5,0,0.00201967875473685,0.126851059954288
"RNGTT",5,0,0.00204540812163445,0.126851059954288
"AATK",4,1,0.002062190700307,0.126851059954288
"PDE10A",5,0,0.00207348967539089,0.126851059954288
"PARK2",5,0,0.00216607972775373,0.131288499054407
"RACGAP1",5,0,0.00222519294497314,0.133634064383433
"HS3ST1",5,0,0.00227768739840362,0.135255340865164
"RFC1",5,0,0.00229351402933597,0.135255340865164
"CYP1A1",5,0,0.00252447929541577,0.146015622977252
"FBXW10",5,0,0.00254289352572667,0.146015622977252
"CDRT1",5,0,0.00254289352572667,0.146015622977252
"LYZ",5,0,0.00259002419998,0.146030436627694
"PPP1R10",5,0,0.00259127384958624,0.146030436627694
"TBL3",5,0,0.002610076548341,0.146030436627694
"ITIH2",5,0,0.00265310024475929,0.147179611883003
"TRPM7",5,0,0.0026773888449253,0.147278885536815
"ELL3",5,0,0.00272780175314002,0.148329232084955
"SOX7",5,0,0.00275657301523458,0.148329232084955
"MED10",5,0,0.00276446170399702,0.148329232084955
"F2RL1",4,1,0.00283585947244702,0.150923057777546
"GEMIN5",4,1,0.00299338225474965,0.158021614835413
"MKNK1",5,0,0.00309658509299149,0.162161968149778
"GRK6",5,0,0.00325391213462589,0.167329446692751
"PIK3CD",5,0,0.00326893617257562,0.167329446692751
"TREML4",5,0,0.00327194762857808,0.167329446692751
"ORC3",5,0,0.00332195793601431,0.167888446740639
"CHD8",5,0,0.00333417324721708,0.167888446740639
"MC5R",4,1,0.00339158063102463,0.168323375934014
