"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"LRP5","LRP5",2,0.156259893963045,3,"0.653024535927143",1,NA,NA
"NF2","NF2",3,0.567854129905192,2,"0.154811670630068",1,NA,NA
"ADK","ADK",1,0.000152765047357173,4,"0.0314418651508156",0.0131377940727169,NA,NA
"NFKBIA","NFKBIA",1,0.000610990167252634,4,"9.07887154419917e-05",0.0519341642164739,NA,NA
"PILRB","PILRB",1,0.00763710867231648,4,"0.0904408747674132",0.641517128474584,NA,NA
"EPHB2","EPHB2",1,0.0100809759784256,4,"0.052530799649292",0.836721006209325,NA,NA
"SQSTM1","SQSTM1",1,0.0132885518176941,4,"0.99446793434316",1,NA,NA
"FBXL14","FBXL14",1,0.0216129748291284,4,"0.0949118084961574",1,NA,NA
"TTF1","TTF1",1,0.0465862438634316,4,"0.0443379221531007",1,NA,NA
"LRRTM3","LRRTM3",1,0.0533832498085477,4,"0.481474425816569",1,NA,NA
"DHRS12","DHRS12",1,0.0561326005279205,4,"0.530770600835601",1,NA,NA
"ATP6AP1","ATP6AP1",1,0.0640751692727753,4,"0.446202734763727",1,NA,NA
"TRIP12","TRIP12",1,0.0900412594001854,4,"0.211850589687924",1,NA,NA
"ROBO2","ROBO2",1,0.106002767743211,4,"0.560295549801176",1,NA,NA
"ABCA10","ABCA10",1,0.121276938406393,4,"0.267526610429147",1,NA,NA
"LDHAL6B","LDHAL6B",1,0.15404003447892,4,"0.180053828270606",1,NA,NA
"SVEP1","SVEP1",1,0.169848801115313,4,"0.470549192947391",1,NA,NA
"UNC45A","UNC45A",1,0.183824667272125,4,"0.701497043240656",1,NA,NA
"MACF1","MACF1",1,0.190545302363925,4,"0.179847130075402",1,NA,NA
"FLOT2","FLOT2",1,0.19886972537536,4,"0.538326809970266",1,NA,NA
"ANKRD27","ANKRD27",1,0.201008109268205,4,"0.249028828324391",1,NA,NA
"CTTNBP2","CTTNBP2",1,0.203681089134262,4,"0.0342850366492655",1,NA,NA
